id,token_cnt
36543,342
34641,283
42678,860
37889,541
33574,840
41867,1091
33019,480
39550,582
42188,654
41680,912
38330,446
33520,657
39435,542
42539,475
35170,535
33801,534
33080,1003
36038,515
38493,442
40809,472
37931,372
35927,489
35143,601
32927,292
33747,476
36454,586
34534,638
39269,767
39278,211
33944,301
41207,663
35355,505
40425,301
39097,320
39988,438
41040,338
33783,443
35505,345
37080,485
33496,725
39863,535
34143,725
38237,687
34814,368
38752,364
34026,847
39925,317
41825,612
40942,942
41674,326
41119,1413
33724,754
36320,276
40566,770
36708,399
36231,762
33904,982
33177,664
42660,444
42319,450
35963,564
42402,453
40462,526
42545,372
33582,625
39000,512
39611,890
33833,489
34160,676
41504,450
33150,852
41110,407
35987,836
41697,317
35312,385
40755,427
34925,549
40546,594
40544,1545
37953,507
42135,315
40054,688
41721,279
33012,355
37365,420
39654,677
36290,573
37396,364
34946,482
33844,135
36552,294
40714,372
38776,748
33621,489
38767,469
34658,333
38885,650
35399,293
41287,365
36410,570
36199,1134
41262,790
34590,1152
33632,383
33768,515
38764,707
32975,818
33558,696
40342,343
40547,515
36806,364
39092,619
34852,443
37308,792
41160,787
39313,242
35483,591
40749,559
39242,739
35134,281
39488,270
40275,614
36134,783
35281,1443
40667,802
42644,351
36904,462
41542,380
35871,482
34175,1023
41037,436
36385,274
34329,543
34022,984
40721,195
41992,361
40764,469
41863,481
34248,552
41585,547
35974,534
33195,652
36404,549
38241,267
36980,416
35008,987
33298,450
33452,681
33031,438
41392,305
42447,524
36174,326
36830,489
33157,902
39065,949
33971,494
37178,443
36910,535
40750,529
39441,447
38891,386
34292,757
41548,682
40585,783
39740,852
38607,1011
41321,476
39987,155
34402,584
33707,512
35290,1302
34018,847
38618,435
41544,988
41391,256
35320,100
39990,564
40817,241
33169,740
37549,476
34231,764
38878,409
37204,589
36681,918
36606,451
41166,379
34341,502
42839,371
41450,813
38249,920
38098,605
38341,691
35167,1028
37431,935
35322,5
35404,323
38437,878
42431,877
40571,361
36521,689
36706,713
38889,455
41345,301
35495,1031
34743,478
40866,576
40076,456
34399,532
40403,648
39789,467
35565,290
37754,940
37910,592
33523,199
34324,561
34829,831
35186,1123
37609,396
38173,301
34039,847
39951,438
37469,515
36734,943
36704,1109
37077,357
36362,1149
39131,1088
33564,701
35615,1225
41750,579
42735,626
33925,494
40413,635
35476,739
36033,303
35126,415
36882,620
35484,872
38730,641
40882,356
38784,778
36486,735
40748,526
35777,210
33598,759
36366,460
42608,281
36218,559
36009,814
33927,443
33164,1152
37494,482
38410,333
42570,508
37790,299
34121,816
40133,928
42638,123
33931,515
40144,629
40862,393
40071,482
41531,309
34746,1096
40744,290
37079,288
33968,443
33614,843
41760,292
42648,631
38583,675
36104,616
38179,371
34523,877
41641,888
33196,695
41937,233
36877,188
36541,547
36066,387
37504,476
42819,302
38539,813
35980,1478
36590,552
34750,194
37177,534
38845,341
39493,752
33850,494
33743,482
39045,778
35936,489
37992,387
39449,718
32888,869
40922,6
37360,549
42282,733
39300,367
38339,772
41294,71
41616,534
37011,901
34469,284
39100,427
41801,383
40464,808
40254,329
37226,577
34410,247
36263,772
38044,308
41904,47
41949,664
36421,718
34487,314
34778,534
40419,946
34980,534
40924,300
33279,1261
40341,556
41196,49
37718,1169
42224,340
39158,515
35474,991
40220,717
35595,489
36859,1150
35888,1168
33443,1019
38585,355
38733,255
37430,573
34368,573
33209,949
36631,366
40192,655
34113,395
34220,423
36527,487
36864,396
34839,482
39628,562
35628,406
40780,405
39202,489
33513,372
42853,295
39479,475
36774,392
38984,248
37246,387
41811,476
34246,284
40910,559
39235,686
33327,502
34885,833
38624,471
38442,283
39056,667
35730,503
36683,295
34485,624
33214,752
37909,306
37734,371
33794,489
42920,542
34672,493
36098,416
33589,712
38691,356
42712,503
34850,476
33891,941
37346,222
37490,401
38762,488
36794,353
41375,310
37462,489
35314,898
40490,1657
39238,479
37302,467
38632,515
40469,212
38614,303
40324,210
38468,408
39064,741
33577,921
34995,352
41416,416
41722,468
34877,475
36715,545
41180,317
37986,474
33690,489
39917,298
33460,687
39913,587
34884,847
33970,476
36502,458
35295,630
33447,838
39923,276
38709,531
36984,654
33778,401
33079,905
40859,738
37513,515
41603,624
34309,641
38165,539
40960,261
40312,389
35066,173
34236,567
39618,587
35601,316
40997,568
37804,490
39245,486
40514,211
39496,481
40973,838
33550,850
35163,754
41974,385
37036,550
37045,470
35473,558
39671,731
40662,621
39067,403
35934,364
36686,465
40047,903
35728,259
41033,772
33509,794
41260,839
42914,532
34908,402
39836,296
37423,2225
38923,552
39710,780
42503,593
34712,278
41767,690
35819,616
33403,264
33099,428
39320,329
42350,175
33964,310
32902,325
37348,332
38035,494
37033,508
38205,687
36610,773
38540,506
37013,681
41298,601
35583,281
41161,178
42102,642
41009,401
38507,736
35641,1019
39012,434
37298,520
42879,815
39040,601
35652,364
33293,589
40500,315
33438,962
40702,610
40086,433
33066,373
33861,443
39849,482
33292,378
35458,925
36809,534
40126,501
38027,450
36748,362
38652,489
35636,453
41295,368
35550,647
42378,793
37171,878
33304,565
33941,534
36652,544
42459,421
34996,1428
37988,505
34673,476
38841,442
34439,681
35638,702
41228,851
38988,491
42558,918
37923,669
42231,617
37016,534
36601,404
35344,450
41584,729
40696,569
34046,644
42889,624
34389,499
33679,922
40307,662
41803,602
39318,297
40325,468
39223,315
40219,540
38925,470
36560,485
35023,421
35725,787
39258,752
36161,443
40232,499
34964,476
38680,494
37019,515
33441,951
41678,765
37795,503
39063,478
35600,622
39500,434
42563,375
33949,482
33980,807
34426,706
40438,357
36605,391
34716,625
38327,406
32886,817
36887,439
35504,211
35666,400
35701,447
33960,482
41842,458
42010,501
34665,589
35732,6
34999,445
34894,790
40633,435
35530,466
41364,515
36229,815
39823,771
34522,370
42061,198
37922,743
32974,770
37093,708
39511,643
36057,644
37400,476
38534,976
42764,594
34518,515
42724,505
36284,613
35372,650
39136,603
34735,48
36878,445
37088,534
42763,773
38140,489
37503,443
40919,300
35597,1271
38168,405
34497,304
33878,771
39348,265
37970,132
37641,386
40653,74
33760,534
33635,573
36274,556
36793,473
33047,713
33400,1511
34103,905
40753,118
37969,225
41422,434
41148,432
40760,630
42551,353
34370,621
34532,525
37144,901
35185,690
36899,416
40505,549
37663,378
33274,737
34708,438
39072,331
41300,408
38191,390
33692,592
37387,515
36396,473
39617,578
33890,570
38660,479
40801,569
34063,652
41634,515
41054,394
38182,593
34923,510
42661,1136
37289,667
39091,849
42090,530
42702,724
42612,522
38355,687
41337,515
35277,500
41485,314
34643,1008
38888,612
41838,523
42632,504
39509,371
39102,439
36344,366
34721,267
36205,829
42927,779
40257,765
41919,593
36391,141
39439,496
34432,272
34602,372
42636,317
39972,486
38290,353
38335,521
33541,697
42363,357
35401,336
40510,410
40660,847
41373,494
39893,1125
36201,762
36744,419
35500,341
33431,681
33022,345
39791,393
34373,543
39483,494
41830,565
36915,213
40365,336
37381,482
32964,380
39472,366
33613,718
39586,380
34146,658
41932,255
38663,509
41021,290
42919,726
38393,786
37356,443
35051,694
35305,608
40879,475
42737,209
34517,672
38570,408
35691,368
41538,925
38910,489
41501,1443
40564,801
35462,440
39474,939
40870,444
35846,494
35376,1044
33222,623
35049,584
36520,455
41456,110
41012,332
37237,926
35058,461
41031,528
42726,838
35724,389
41103,482
35040,995
33669,1101
42411,247
38932,470
35610,600
32884,987
38446,273
34034,533
35187,1052
