id,token_cnt
36543,182
34641,167
42678,504
37889,337
33574,602
41867,691
33019,335
39550,326
42188,395
41680,544
38330,279
33520,436
39435,319
42539,269
35170,286
33801,312
33080,643
36038,300
38493,287
40809,270
37931,195
35927,298
35143,356
32927,165
33747,282
36454,332
34534,383
39269,408
39278,99
33944,178
41207,407
35355,298
40425,178
39097,172
39988,254
41040,169
33783,259
35505,209
37080,265
33496,486
39863,320
34143,446
38237,408
34814,232
38752,232
34026,504
39925,187
41825,405
40942,591
41674,172
41119,841
33724,446
36320,152
40566,450
36708,201
36231,431
33904,566
33177,403
42660,250
42319,256
35963,361
42402,270
40462,270
42545,195
33582,396
39000,336
39611,533
33833,298
34160,385
41504,268
33150,538
41110,246
35987,548
41697,166
35312,223
40755,206
34925,336
40546,399
40544,919
37953,305
42135,214
40054,410
41721,141
33012,218
37365,216
39654,407
36290,364
37396,232
34946,290
33844,77
36552,180
40714,179
38776,410
33621,291
38767,312
34658,185
38885,381
35399,183
41287,204
36410,331
36199,667
41262,488
34590,726
33632,205
33768,300
38764,384
32975,490
33558,383
40342,200
40547,323
36806,231
39092,370
34852,259
37308,439
41160,483
39313,115
35483,329
40749,330
39242,368
35134,156
39488,174
40275,361
36134,458
35281,865
40667,492
42644,196
36904,249
41542,247
35871,290
34175,652
41037,282
36385,145
34329,310
34022,579
40721,108
41992,209
40764,276
41863,264
34248,327
41585,320
35974,312
33195,405
36404,341
38241,169
36980,198
35008,654
33298,262
33452,418
33031,256
41392,162
42447,296
36174,175
36830,297
33157,564
39065,582
33971,287
37178,259
36910,333
40750,319
39441,286
38891,212
34292,448
41548,410
40585,491
39740,547
38607,648
41321,282
39987,105
34402,347
33707,320
35290,781
34018,504
38618,232
41544,642
41391,139
35320,60
39990,368
40817,147
33169,445
37549,282
34231,442
38878,237
37204,325
36681,500
36606,242
41166,225
34341,279
42839,201
41450,534
38249,535
38098,383
38341,402
35167,615
37431,570
35322,4
35404,183
38437,557
42431,537
40571,180
36521,479
36706,435
38889,263
41345,178
35495,664
34743,297
40866,345
40076,253
34399,299
40403,386
39789,269
35565,166
37754,520
37910,345
33523,105
34324,317
34829,455
35186,690
37609,248
38173,178
34039,504
39951,213
37469,323
36734,535
36704,591
37077,223
36362,670
39131,700
33564,407
35615,695
41750,343
42735,361
33925,287
40413,356
35476,454
36033,167
35126,254
36882,359
35484,537
38730,380
40882,210
38784,454
36486,466
40748,313
35777,118
33598,479
36366,265
42608,172
36218,352
36009,456
33927,259
33164,703
37494,290
38410,206
42570,289
37790,180
34121,543
40133,557
42638,77
33931,300
40144,374
40862,218
40071,261
41531,163
34746,614
40744,176
37079,178
33968,259
33614,532
41760,163
42648,348
38583,393
36104,361
38179,194
34523,515
41641,511
33196,405
41937,128
36877,110
36541,316
36066,239
37504,282
42819,136
38539,485
35980,820
36590,323
34750,106
37177,312
38845,204
39493,419
33850,287
33743,290
39045,531
35936,298
37992,233
39449,435
32888,509
40922,4
37360,307
42282,422
39300,188
38339,458
41294,40
41616,311
37011,580
34469,152
39100,275
41801,230
40464,500
40254,173
37226,363
34410,131
36263,429
38044,195
41904,35
41949,386
36421,405
34487,174
34778,312
40419,560
34980,312
40924,172
33279,802
40341,311
41196,37
37718,725
42224,202
39158,299
35474,539
40220,453
35595,300
36859,640
35888,779
33443,613
38585,211
38733,134
37430,342
34368,323
33209,617
36631,229
40192,393
34113,253
34220,283
36527,251
36864,250
34839,290
39628,364
35628,223
40780,221
39202,297
33513,213
42853,164
39479,270
36774,237
38984,148
37246,214
41811,292
34246,173
40910,345
39235,366
33327,289
34885,503
38624,286
38442,161
39056,400
35730,319
36683,179
34485,374
33214,476
37909,150
37734,220
33794,298
42920,285
34672,272
36098,265
33589,447
38691,200
42712,275
34850,282
33891,595
37346,106
37490,243
38762,304
36794,220
41375,191
37462,298
35314,511
40490,958
39238,253
37302,277
38632,300
40469,121
38614,143
40324,117
38468,221
39064,434
33577,505
34995,205
41416,253
41722,248
34877,270
36715,314
41180,165
37986,283
33690,315
39917,151
33460,424
39913,356
34884,504
33970,282
36502,262
35295,384
33447,496
39923,134
38709,305
36984,384
33778,243
33079,575
40859,501
37513,300
41603,374
34309,367
38165,328
40960,157
40312,205
35066,115
34236,317
39618,365
35601,190
40997,330
37804,275
39245,315
40514,118
39496,295
40973,469
33550,470
35163,454
41974,234
37036,382
37045,260
35473,295
39671,423
40662,375
39067,245
35934,232
36686,274
40047,595
35728,139
41033,499
33509,531
41260,533
42914,301
34908,253
39836,183
37423,1294
38923,343
39710,460
42503,390
34712,136
41767,450
35819,379
33403,131
33099,243
39320,169
42350,78
33964,191
32902,190
37348,195
38035,286
37033,309
38205,338
36610,438
38540,289
37013,402
41298,413
35583,167
41161,117
42102,356
41009,212
38507,433
35641,658
39012,266
37298,320
42879,423
39040,359
35652,232
33293,382
40500,189
33438,572
40702,358
40086,254
33066,235
33861,259
39849,285
33292,203
35458,490
36809,311
40126,312
38027,238
36748,212
38652,298
35636,277
41295,210
35550,356
42378,462
37171,557
33304,316
33941,312
36652,336
42459,231
34996,859
37988,280
34673,282
38841,287
34439,429
35638,424
41228,490
38988,271
42558,518
37923,387
42231,362
37016,311
36601,233
35344,261
41584,424
40696,328
34046,353
42889,385
34389,275
33679,516
40307,408
41803,380
39318,149
40325,271
39223,183
40219,305
38925,279
36560,253
35023,263
35725,512
39258,419
36161,259
40232,286
34964,282
38680,287
37019,299
33441,569
41678,420
37795,290
39063,250
35600,375
39500,259
42563,217
33949,290
33980,526
34426,476
40438,205
36605,214
34716,407
38327,233
32886,473
36887,279
35504,112
35666,226
35701,264
33960,290
41842,259
42010,292
34665,359
35732,4
34999,284
34894,422
40633,278
35530,274
41364,323
36229,461
39823,420
34522,201
42061,103
37922,457
32974,449
37093,404
39511,387
36057,402
37400,282
38534,602
42764,306
34518,298
42724,305
36284,351
35372,416
39136,382
34735,25
36878,253
37088,312
42763,423
38140,297
37503,259
40919,138
35597,727
38168,254
34497,178
33878,460
39348,138
37970,101
37641,220
40653,46
33760,312
33635,336
36274,318
36793,238
33047,394
33400,950
34103,519
40753,82
37969,107
41422,246
41148,220
40760,343
42551,187
34370,354
34532,299
37144,580
35185,395
36899,254
40505,320
37663,196
33274,435
34708,284
39072,197
41300,261
38191,239
33692,348
37387,323
36396,256
39617,354
33890,400
38660,266
40801,320
34063,414
41634,299
41054,236
38182,328
34923,283
42661,674
37289,404
39091,515
42090,293
42702,415
42612,287
38355,436
41337,300
35277,321
41485,167
34643,592
38888,343
41838,312
42632,279
39509,219
39102,285
36344,219
34721,151
36205,461
42927,479
40257,482
41919,353
36391,74
39439,322
34432,167
34602,196
42636,174
39972,290
38290,204
38335,295
33541,415
42363,194
35401,208
40510,223
40660,504
41373,287
39893,716
36201,431
36744,243
35500,203
33431,428
33022,204
39791,221
34373,303
39483,310
41830,322
36915,126
40365,172
37381,290
32964,181
39472,224
33613,453
39586,224
34146,386
41932,167
38663,329
41021,159
42919,453
38393,444
37356,259
35051,364
35305,346
40879,284
42737,109
34517,376
38570,240
35691,207
41538,561
38910,301
41501,865
40564,545
35462,247
39474,503
40870,269
35846,287
35376,700
33222,393
35049,295
36520,253
41456,49
41012,223
37237,581
35058,270
41031,265
42726,472
35724,203
41103,289
35040,595
33669,661
42411,141
38932,283
35610,354
32884,543
38446,176
34034,334
35187,666
42391,259
35817,252
40887,259
35697,286
41982,330
39530,334
35534,308
42441,514
37763,364
42278,337
33648,161
40207,288
41841,258
41150,300
34825,241
34617,218
40460,587
39507,636
35686,206
33189,123
41599,743
32876,446
40041,674
39585,693
33018,366
39828,533
34638,150
35124,262
36294,337
37858,225
33940,178
42755,310
37273,382
36901,63
39807,215
36589,738
38077,324
35440,283
42439,132
42198,976
38834,580
33075,557
42684,289
42302,694
40700,300
38527,411
38864,235
36247,446
33981,259
35316,512
37195,308
33584,281
37534,282
37546,178
37511,259
36419,289
37918,355
40936,731
34379,171
37038,546
34635,177
41942,374
36334,186
42871,375
40515,227
36004,523
37949,251
37801,409
38207,780
41113,348
36245,623
34467,142
37773,302
40196,637
32913,448
41407,167
41032,424
37165,384
37540,243
41901,210
42255,356
41036,345
41417,391
38334,452
35824,255
41104,227
33491,575
38032,271
35948,259
33604,612
33671,388
41614,155
41368,191
33511,447
41891,363
42672,234
35092,532
33320,310
37817,166
39959,520
36769,221
36204,326
32981,266
40584,913
38595,232
42362,205
40883,300
41843,232
39438,471
42314,195
40773,257
38642,232
35758,181
40314,618
37605,38
40150,257
40770,357
33063,468
41089,376
41430,112
38346,237
40216,183
33030,356
40027,183
42777,452
33809,178
37681,536
40415,317
36193,351
40969,198
38047,693
35447,298
33969,290
41923,190
33590,791
34215,383
41387,238
41348,323
36490,629
37959,490
38271,242
36645,168
33955,581
33999,299
42305,623
42303,55
40248,420
35940,312
38397,368
34081,504
33939,227
38345,404
33093,447
37325,454
34675,103
38775,322
34805,281
41469,110
34080,424
42267,214
42207,463
40058,557
37236,176
42491,220
34199,300
39141,291
39642,562
42647,504
39996,171
34729,472
41411,282
42822,235
38999,310
41664,126
38220,289
42567,373
41013,420
42885,641
41669,250
40028,173
42849,405
34950,312
36545,438
34940,178
35358,207
38692,288
39591,421
37866,483
41882,306
36946,431
35080,215
33562,559
39284,159
33089,655
38357,250
38288,480
40315,184
38444,161
40822,198
34801,254
39303,123
41746,320
32879,475
38408,313
35085,361
35713,307
33218,259
38681,259
37219,299
33366,190
34644,544
33772,178
38672,248
39934,174
33389,659
36462,280
42190,219
35402,264
34813,225
42326,176
40174,505
36730,212
34491,358
38643,232
34072,504
42918,346
41366,290
35863,227
40576,425
41595,178
33084,331
34786,243
37035,444
40457,318
34474,179
42664,866
33470,381
33415,386
40309,152
41553,262
36790,491
41117,248
40335,478
33706,468
39852,648
39768,419
41880,359
39570,497
40978,707
34092,504
36834,190
38761,169
33129,623
40467,336
34835,287
35394,260
36993,231
36805,259
37631,284
38021,562
35054,611
36485,221
42873,290
37760,379
34557,467
41819,448
33445,717
40661,353
36113,470
40261,162
36632,242
40965,308
39979,221
38058,281
33767,191
39719,252
36548,174
41890,378
39008,256
42132,431
36959,279
34056,313
38956,323
42338,230
39573,491
35415,327
35352,161
38119,289
34208,430
39772,260
41363,323
42877,244
41903,25
37154,728
41636,604
40699,376
41234,473
34104,307
39328,114
38287,84
40395,300
37383,323
42699,336
38742,204
33135,297
39633,187
41656,480
38085,228
40670,322
37337,38
41572,358
42394,533
33225,178
35130,628
33680,374
40259,189
34947,259
33421,351
40803,136
38431,259
39938,315
38622,223
41213,1163
38255,483
33328,448
38114,361
35825,238
34684,536
33126,480
41115,190
33953,298
42793,260
41463,414
40956,215
40063,344
36086,261
35922,290
34362,293
34282,692
34001,504
38554,725
39680,464
33406,824
37598,437
41706,392
39860,263
34824,655
38141,178
36512,231
35915,287
34930,475
38844,248
34214,471
33938,232
37563,352
37924,321
36053,282
39057,191
35030,640
35184,766
41748,491
42728,135
41527,572
33137,412
38597,232
38658,258
38291,1029
37961,553
38949,337
42592,635
40096,558
34252,297
34312,344
36411,311
39316,134
42564,135
40155,231
34363,299
33111,312
40264,281
41740,189
36970,362
41581,437
39418,427
34203,282
38293,108
34990,287
33200,601
38592,206
37389,191
39204,289
38512,211
39855,335
33689,403
36184,123
37242,299
41025,254
40428,287
35887,561
38960,840
35826,3
39076,255
33399,251
42783,203
34579,421
33409,289
35682,301
37181,540
39854,487
36069,195
39198,231
36849,281
35754,140
39358,131
35334,75
36261,128
41567,317
33600,513
33315,289
42141,205
41733,327
36210,232
41276,249
35941,259
37565,200
37686,242
42614,294
41004,277
40048,401
39432,120
41596,322
34511,357
33259,290
38350,211
35748,269
34006,504
36535,246
34514,416
37533,191
41490,161
41094,169
39664,225
36494,489
34031,496
42273,306
36024,191
35011,229
41496,189
36230,353
33091,811
34403,213
35135,127
36311,278
39798,344
36523,419
34375,213
39902,331
40430,282
34129,420
40808,238
41251,296
36711,164
39208,231
36532,254
42878,446
32988,234
40747,414
40124,227
35261,210
41271,487
38430,247
33339,255
36900,860
39307,111
37803,333
34693,399
35921,287
34496,155
38062,195
33895,325
42526,154
42759,415
42732,240
34315,303
38745,226
37878,285
36409,294
33673,240
41083,261
42511,441
38006,159
42418,220
34546,283
39531,428
36841,259
34739,27
38040,299
38702,178
32934,227
37717,270
40379,610
41305,242
42559,255
39274,284
36943,404
41926,319
36032,190
39436,234
35815,298
33045,794
36939,498
35231,378
36054,259
37984,161
38750,298
33842,422
35722,252
34045,504
37200,411
37375,287
34084,504
37339,364
34761,227
32976,352
35618,628
37197,393
39659,418
40166,265
37535,298
35943,312
41849,686
39180,231
35750,460
36154,209
36906,305
39004,295
39495,155
37572,341
42857,438
39636,259
40142,516
35161,386
38890,256
41183,227
33699,191
36465,339
40518,250
40032,219
38854,382
34385,148
34308,146
41076,270
34551,231
36240,523
40073,545
36636,260
42862,300
34201,178
38572,183
39176,227
37897,497
41185,277
34792,331
42498,203
40371,201
39409,169
42811,408
37820,243
37296,186
39366,130
38364,456
37907,205
36322,202
41380,240
32938,518
37987,340
38779,325
38203,348
35194,429
40720,161
39395,169
42800,157
41653,178
40874,533
42494,448
36480,6
39189,178
35191,766
37510,287
37852,57
37934,253
35951,312
41124,299
35749,217
42070,324
34400,526
36694,347
41861,240
40504,155
42587,290
33701,240
34025,304
34645,222
40173,157
37362,289
37607,36
38448,250
34537,174
41219,265
34075,481
42532,195
38546,263
36777,286
42825,379
35121,333
39032,240
38565,625
36517,203
40487,370
42126,275
40256,453
36246,442
33815,290
39181,311
35588,301
33290,424
35425,559
36626,231
41346,287
38228,178
37932,439
41782,171
33684,312
39769,232
39470,560
39897,457
35418,326
37856,308
33033,333
38674,232
37415,281
42021,606
39272,433
40508,381
42060,125
40344,286
38865,289
41035,590
35183,788
38503,427
38521,484
40875,437
40562,316
39433,204
36300,39
34779,287
32949,155
42000,212
34116,622
40137,475
37989,362
33192,650
38790,574
41749,683
36158,178
39452,620
34832,321
35786,125
34767,106
40468,490
33686,669
40555,94
40897,266
36091,362
41343,312
39537,250
37993,345
33410,556
42193,262
34456,357
35471,210
39455,441
41441,255
36693,433
42111,633
39995,235
33448,472
40886,343
36050,243
41804,225
41864,309
35036,591
37840,163
38245,537
36114,273
42152,277
36283,621
39477,328
33881,408
42069,307
36940,274
33228,496
37333,207
34897,250
41428,258
39632,178
38314,596
33638,604
35299,486
39756,407
36426,339
37694,482
38851,488
39621,365
36479,6
36573,409
37720,301
42909,386
41189,474
39350,109
37701,264
41604,375
36398,290
41359,312
36332,19
38439,145
38542,226
35566,289
34224,304
35596,655
34646,131
33104,440
33691,440
37911,129
34837,323
40404,262
36723,326
33996,388
42866,346
36145,263
41743,201
38832,608
39193,231
37972,51
42376,174
39883,324
38166,254
38491,639
42265,175
42258,422
38264,209
38475,536
38024,295
36168,441
37089,300
40184,294
39544,392
39689,421
36196,585
34412,600
39317,111
36785,109
38806,221
33780,298
41894,858
36310,339
41607,246
35180,668
38466,326
34156,275
37786,241
34928,531
38370,291
38381,179
38005,534
37583,268
40746,492
40311,551
42670,321
34849,178
36228,684
42246,445
36244,276
40157,398
35553,218
42598,480
33957,312
41159,439
