ngram,Frequency,relative_freq
"('ADJ', 'NOUN')",216924,6.454536555146559
"('NOUN', 'PUNCT')",206989,6.158922327696479
"('NOUN', 'ADP')",199929,5.948853234007746
"('DET', 'NOUN')",178388,5.307904459624036
"('ADP', 'NOUN')",127369,3.789842832017029
"('NOUN', 'SPACE')",105715,3.145531761941134
"('NOUN', 'CCONJ')",105543,3.1404139313300203
"('ADP', 'DET')",101701,3.0260958777957265
"('CCONJ', 'NOUN')",83769,2.4925322817579985
"('SPACE', 'NOUN')",82148,2.4442997037311662
"('DET', 'ADJ')",76413,2.273655758645489
"('PUNCT', 'NOUN')",74901,2.228666456994304
"('PUNCT', 'SPACE')",70618,2.1012265238117482
"('NOUN', 'VERB')",55237,1.6435674968958276
"('NOUN', 'DET')",50502,1.5026783809445312
"('ADP', 'ADJ')",44102,1.31224747448449
"('PROPN', 'PUNCT')",42093,1.2524700227535177
"('VERB', 'PRON')",42019,1.2502681653975736
"('PROPN', 'PROPN')",40841,1.2152169766772722
"('VERB', 'PUNCT')",38063,1.1325580613419606
"('PRON', 'VERB')",37322,1.1105097329533842
"('PUNCT', 'ADP')",36141,1.0753692797456795
"('ADV', 'ADP')",35214,1.0477865531381079
"('PUNCT', 'ADV')",32473,0.9662285664807684
"('CCONJ', 'ADJ')",32435,0.965097882973662
"('SPACE', 'ADJ')",31688,0.942871025610279
"('NOUN', 'NOUN')",30605,0.9106465456577438
"('SPACE', 'PRON')",29043,0.8641695025498402
"('PUNCT', 'PROPN')",28944,0.8612237744655363
"('SPACE', 'DET')",28613,0.8513749260220561
"('PRON', 'ADP')",26910,0.8007024520062045
"('NOUN', 'ADV')",25417,0.756278492108573
"('ADV', 'PUNCT')",24920,0.7414903420287855
"('ADP', 'PROPN')",24863,0.7397943167681257
"('NOUN', 'PROPN')",22606,0.6726376674118267
"('PUNCT', 'PRON')",22251,0.6620747030691213
"('PUNCT', 'DET')",21739,0.646840230552318
"('PUNCT', 'ADJ')",21029,0.6257143018669072
"('PRON', 'ADV')",21000,0.6248514118220101
"('SPACE', 'PROPN')",20657,0.6146455054289174
"('X', 'CCONJ')",19729,0.5870330239922114
"('PROPN', 'SPACE')",19339,0.5754286406298026
"('PROPN', 'NOUN')",18256,0.5432041606772675
"('NOUN', 'AUX')",18002,0.5356464340771346
"('ADV', 'VERB')",17647,0.5250834697344292
"('PUNCT', 'X')",17315,0.5152048664618145
"('NUM', 'NOUN')",17248,0.513211292909811
"('ADV', 'ADV')",16993,0.5056238114805438
"('PRON', 'DET')",16975,0.5050882245561249
"('X', 'X')",15742,0.4684005202334326
"('ADV', 'ADJ')",15172,0.4514402676268352
"('PRON', 'PRON')",15082,0.44876233300474083
"('ADP', 'PUNCT')",14728,0.43822912349116977
"('CCONJ', 'DET')",14625,0.43516437609032854
"('VERB', 'DET')",14214,0.4229351413160978
"('X', 'PUNCT')",14178,0.42186396746726007
"('VERB', 'ADP')",13962,0.4154369243742336
"('NOUN', 'ADJ')",13675,0.40689728841266615
"('ADJ', 'CCONJ')",13466,0.40067852912358043
"('CCONJ', 'ADV')",13164,0.3916925707249972
"('ADP', 'PRON')",12824,0.3815759288193076
"('CCONJ', 'VERB')",12243,0.36428837309223194
"('SPACE', 'ADP')",12228,0.3638420506552162
"('PRON', 'AUX')",11360,0.33801485896657313
"('PART', 'VERB')",11170,0.3323614414310407
"('VERB', 'SPACE')",10758,0.3201024518276755
"('PROPN', 'CCONJ')",10734,0.31938833592845034
"('PROPN', 'ADP')",10515,0.3128720283480208
"('AUX', 'DET')",10091,0.30025598079504306
"('ADV', 'DET')",10045,0.29888725865486154
"('ADP', 'ADV')",10009,0.2978160848060238
"('PUNCT', 'CCONJ')",9960,0.2963580981784391
"('AUX', 'PRON')",9808,0.29183536415001315
"('VERB', 'CCONJ')",9683,0.28811601050821545
"('PUNCT', 'VERB')",9531,0.2835932764797895
"('ADV', 'CCONJ')",9452,0.28124264497817336
"('SPACE', 'ADV')",9405,0.2798441680088574
"('CCONJ', 'PROPN')",9272,0.2758867757339847
"('PUNCT', 'SCONJ')",9186,0.2733278604284279
"('VERB', 'ADV')",9125,0.2715128158512306
"('ADJ', 'ADJ')",9115,0.2712152675598868
"('NOUN', 'PART')",8587,0.2555047177769334
"('CCONJ', 'ADP')",8433,0.25092247409023866
