POS,Frequency,relative_freq
NOUN,857111,25.427532166705873
PUNCT,378982,11.243091029752888
ADP,359350,10.660677186625485
DET,276931,8.215589241601174
ADJ,256134,7.598613859800006
SPACE,227360,6.7449883543931275
CCONJ,184199,5.46455009628281
PROPN,174703,5.182836472895596
ADV,163812,4.859738002770262
VERB,156336,4.637950824122115
PRON,148566,4.40744167777432
X,64826,1.9231642112152045
AUX,53100,1.5752941661606048
NUM,42655,1.2654269803687495
PART,15203,0.4510206630534778
SCONJ,11516,0.34164006812628106
INTJ,15,0.0004449983520227697
