ngram,Frequency,relative_freq
"('NOUN', 'ADP', 'NOUN')",81196,2.4231832467420458
"('ADP', 'DET', 'NOUN')",64518,1.9254512132777883
"('DET', 'ADJ', 'NOUN')",63632,1.899009758568031
"('ADJ', 'NOUN', 'ADP')",60995,1.8203121106339113
"('NOUN', 'CCONJ', 'NOUN')",57476,1.7152923825033968
"('NOUN', 'ADP', 'DET')",52404,1.5639254995599556
"('NOUN', 'PUNCT', 'NOUN')",49021,1.4629645048837605
"('ADJ', 'NOUN', 'PUNCT')",46699,1.3936675998769248
"('NOUN', 'SPACE', 'NOUN')",43612,1.3015403191895425
"('DET', 'NOUN', 'ADP')",43015,1.283723673070214
"('ADP', 'ADJ', 'NOUN')",38441,1.1472189170403835
"('PUNCT', 'NOUN', 'PUNCT')",36821,1.0988722391286376
"('DET', 'NOUN', 'PUNCT')",35180,1.0498988450217395
"('NOUN', 'DET', 'NOUN')",34730,1.0364692122684769
"('NOUN', 'PUNCT', 'SPACE')",33669,1.0048051225991175
"('ADP', 'NOUN', 'PUNCT')",31256,0.9327924474132885
"('ADJ', 'NOUN', 'SPACE')",30994,0.9249734167880556
"('CCONJ', 'ADJ', 'NOUN')",29684,0.8858782636618908
"('ADP', 'DET', 'ADJ')",28546,0.8519162146103064
"('ADJ', 'NOUN', 'CCONJ')",28102,0.8386656436270871
"('SPACE', 'ADJ', 'NOUN')",27426,0.8184913508688526
"('NOUN', 'ADP', 'ADJ')",26450,0.7893639696084427
"('NOUN', 'PUNCT', 'ADP')",25364,0.7569537892305687
"('ADP', 'NOUN', 'ADP')",24166,0.7212011224785492
"('CCONJ', 'NOUN', 'ADP')",21394,0.6384745847184508
"('SPACE', 'NOUN', 'ADP')",20980,0.626119322585449
"('ADP', 'NOUN', 'CCONJ')",20500,0.6117943809819688
"('SPACE', 'DET', 'NOUN')",20105,0.6000061477874382
"('SPACE', 'PRON', 'VERB')",20060,0.5986631845121119
"('DET', 'NOUN', 'VERB')",19871,0.5930227387557415
"('PUNCT', 'SPACE', 'NOUN')",19375,0.578220299098812
"('DET', 'NOUN', 'SPACE')",18846,0.5624330197066432
"('NOUN', 'SPACE', 'ADJ')",18779,0.5604334966078239
