id,salary_paragraphs
36543,"['Vollzeitbeschäftigung im Ausmaß von 38,5 Stunden/Woche Der kollektivvertragliche Monatslohn beträgt € 3288,23 brutto Überzahlung je nach Qualifikation und Berufserfahrung ist möglich Einen langfristigen Arbeitsplatz mit Übernahme Beste Betreuung durch unsere kompetenten Jobmanager und Recruiter']"
34641,"['Vollzeitanstellung: 38,5 h/Woche Gehalt ab € 3.400,00 Monatsbrutto, je nach Berufserfahrung und Qualifikation ist eine Überzahlung möglich Mitarbeit in einem renommierten und namhaften Unternehmen Angenehmes und wertschätzendes Arbeitsklima Sehr gute Erreichbarkeit mit öffentliche Verkehrsmittel Flexible Arbeitszeit Kantine & diverse Vergünstigungen']"
42678,"['Familiäres Arbeitsklima: Ein herzliches Miteinander und großes Vertrauen in die Mitarbeiter:innen stehen bei uns an erster Stelle Wir setzten auf flache Hierarchien und der Spaß kommt nie zur kurz. Flexible Arbeitszeitmodelle: Eingehen auf individuelle Wünsche je nach Lebensphase. Auch bei Selbstständigkeit oder Teilzeitbeschäftigung. Individuelle Entwicklung: In interdisziplinärer Zusammenarbeit die eigene Expertise vertiefen - mit persönlichen Entwicklungswegen und Fortbildungsmöglichkeiten. OptimaMed Benefits: Vom freien Zugang zu Gesundheits- und Fitnessangeboten über kostengünstige Verpflegung bis zu Firmen- und Sportevents. Faire und leistungsgerechte Bezahlung: Wir sind gesetzlich dazu verpflichtet ein Mindestgehalt lt. Kollektivvertrag anzugeben. Bei dieser Stelle handelt es sich um EUR 2.142,00 monatlich (KV Kur/Reha, Vollzeit). Wir besprechen Ihr tatsächliches Gehalt (abhängig von Berufserfahrung und Qualifikation) gerne mit Ihnen im Rahmen eines persönlichen Gesprächs.']"
37889,"['Das Unternehmen HAPEKO ist die erste Adresse für Fach- und Führungskräfte in Österreich. Schwerpunkt der Tätigkeit ist das Schaffen von Verbindungen zwischen Spezialisten und Führungskräften mit einem beruflichen Veränderungswunsch und passenden Unternehmen. HAPEKO hat mehr als 20 Niederlassungen in Österreich und Deutschland. Unser Mandant ist ein eigentümergeführtes, österreichisches Unternehmen im Industrieanlagenbau, das erfolgreich ebenso individuelle wie innovative Lösungen entwickelt und installiert. Kunden sind namhafte Konzerne, die als globale Player unter anderem in Bereichen der Halbleitertechnik oder der Entwicklung von Wasserstofftechnologien aktiv sind. Als Projektmanager Elektrotechnik (m/w/d) sind Sie von Projektidee bis Ausführung für die gesamte Steuerung von Anlagenbau-Projekten im Bereich EMSR-Technik verantwortlich und arbeiten dabei eng mit internen und externen Partnern zusammen. Für diese äußerst verantwortungsvolle Position ist ein Bruttojahresgehalt von mind. 65.000 EUR vorgesehen, mit der deutlichen Bereitschaft zur Überzahlung abhängig von Ihrer Qualifikation und Erfahrung. Sie verfügen über Erfahrung in der Steuerung von komplexen Projekten, sind technisch versiert und auf der Suche nach einer neuen beruflichen Herausforderung? Dann freuen wir uns auf Ihre Bewerbung! Aufgaben Verantwortung für Steuerung von Projekten im Bereich der EMSR-Technik Konzeption, Planung, Kalkulation und Errichtung von Industrieanlagen (Auslegung, Ausschreibungen, Koordination in der Umsetzungsphase) Enge Zusammenarbeit mit internen Ingenieuren und Monteuren sowie externen Partnern (Kunden und Behörden) Verantwortung für Dokumentation der Projekte Profil Abgeschlossene technische Ausbildung (HTL, FH, TU) und fundierte Berufserfahrung idealerweise in vergleichbarer Position Kompetenz in der Elektro-, Mess-, Steuer- und Regelungstechnik Hohe technische Affinität, Kreativität bei der Lösung technischer Herausforderungen Strukturierte und eigenverantwortliche Arbeitsweise, Bewusstsein für Qualität, Sicherheit und Wirtschaftlichkeit Idealerweise Erfahrung in der Zusammenarbeit mit großen Konzernen Vorteile Sicherer und langfristiger Arbeitsplatz in einem expandierenden Hightech-Unternehmen mit viel Gestaltungsspielraum Individuelle Karriere- und Entwicklungsmöglichkeiten Dienstwagen, Laptop und Handy auch zur privaten Nutzung Flexible Einteilung der Arbeitszeit Referenz-Nr. TKR/112881']"
33574,"['Das Mindestgrundgehalt gemäß Einstufung nach Kollektivvertrag liegt bei dieser Position bei € 1.481,03 brutto pro Monat (Vollzeit). Wenn du Lust hast, für die Sommermonate Teil unseres Teams zu werden und in einem erfolgreichen Unternehmen Einblicke in die Arbeitswelt zu sammeln, dann bewirb dich jetzt bei uns! Wir freuen uns darauf, dich kennenzulernen.']"
41867,"['Gesundheitsförderung durch unser gesundundfit-Programm über prevent@work Ein sympathisches, agiles Team mit vielen Ideen Im Jahr 2024 bieten wir allen Mitarbeiter*innen einen blinkist-Zugang Zugang zur Plattform mitarbeiterangebote.at, mit vielen Ermäßigungen & Vergünstigungen in ganz Österreich und diversen Online-Shops Die Möglichkeit, etwas bewirken zu können Die Entlohnung erfolgt gemäß dem BABE KV. Die tatsächliche Einstufung erfolgt gemäß der Qualifikation und Berufserfahrung', 'Im August folgt eine KV Erhöhung von 7.7%. In den Monaten Mai, Juni, und Juli erfolgen Einmalzahlungen in Höhe von 250 EUR (Vollzeitbasis, aliquotiert nach Eintrittsdatum und Stundenanzahl) monatlich.']"
33019,['Das Lehlingseinkommen beträgt:']
39550,"['überdurchschnittliche Bezahlung', 'Ihr Gehalt', 'Unsere Gehälter liegen deutlich über dem Kollektivvertrag für Privatkrankenanstalten und richten sich nach Ihrer Qualifikation und Berufserfahrung. Das monatliche Bruttogehalt mit angerechneten 5 Dienstjahren beträgt durchschnittlich EUR 5.400,00 auf Vollzeitbasis für 39 Std. inkl. variabler Zulagen (exkl. Pflegebonus).', 'Sie haben mehr zu bieten? Wir auch! Lassen Sie uns gemeinsam über Ihr tatsächliches Gehalt reden.']"
42188,"['Moderne Arbeitsplätze, innovative Arbeitsumgebung und Technologien Attraktive Vergütung Verantwortungsvolle und sinnstiftende Tätigkeit in einem tollen Team Gute Work-Life-Balance - mit mindestens 30 Tagen Urlaub, Angeboten zur Vereinbarkeit von Familie und Beruf Betriebliches Gesundheitsmanagement mit Fitness- und Sportangeboten (EGYM Wellpass) Persönliche Vorteile (Vetter-Ferienhäuser, JobRad, Mitarbeiterrabatte u. v. m)']"
41680,"['Wir sind ein familiengeführtes Hotel, mit internationalen Gästen und toller Stammbelegschaft. Deine Bezahlung ist überdurchschnittlich und 13. + 14. Gehalt werden auf den geleistesten Arbeitszeitraum angerechnet. Das madlochBlick liegt im Herzen von Lech, direkt an der Piste. Du bist also genau so schnell auf der Piste und auch im Ort, um einzukaufen oder auf einen Drink zu gehen. Der Sport und Fitnesspark sind auch zu Fuß erreichbar. Du kannst an Coachings und Weiterbildungsmöglichkeiten teilnehmen. Du wohnst in einem schönen, liebevoll eingerichteten Einzelzimmer in ruhiger Lage in Lech. Kost und Logis stehen Dir kostenfrei zur Verfügung, auch an den freien Tagen. MitarbeiterParkplatz outdoor steht Dir ebenfalls kostenfrei zur Verfügung. Das Hotel-Gym und den Spa-Bereich mit Pool kannst Du gerne benutzen. Mit der Lech-Card erhältst Du zahlreiche Vergünstigungen im Ort (50 % auf den Skipass und im Sportverleih, 5 % im örtlichen Supermarkt, Ermäßigung im Sportpark uvm…) Kostenlose Teilnahme am SkischulGruppenkurs nach Verfügbarkeit. TeamEvents, wie Abschlussfeier, Bowling-Abende, Wein-Verkostungen finden statt. Deine Familie und Dein Partner wohnen vergünstigt bei uns! Du arbeitest an einem der schönsten und besten Winterskigebiete der Welt, dazu noch in perfekter Lage und kannst leicht in der Pause mal 2h auf die Piste!']"
38330,"['… Nettolohn € 1.900,-', '... 13. & 14. Monatsgehalt (aliquot nach KV)']"
33520,"['Entlohnung: 518,44 Euro / Monat (Geringfügig)']"
39435,"['Gehalt: Das Gehalt beträgt auf Basis für 40h ab € 2000,- brutto pro Monat. Überbezahlung je nach Qualifikation.']"
42539,"['Mit einem krisensicheren Marktsegment, einer leistungsgerechten Vergütung und einem Firmenwagen bietet diese Position ein attraktives und interessantes Tätigkeitsfeld für motivierte und verlässliche Persönlichkeiten.', 'Gehalt', 'Das Gehalt liegt zwischen € 2500 und € 3900 Brutto pro Monat (Vollzeit) – je nach Qualifikation und Erfahrung.']"
35170,"['Für diese Position bieten wir ein KV-Gehalt in Höhe von mindestens € 3.098,2 auf Vollzeitbasis (ohne Anrechnung von Vordienstzeiten, zzgl. Pflegebonus). Für fachliche Auskünfte steht Ihnen Elke Mayer, Pflegemanagement unter +43 7242 415 - 92706 gerne zur Verfügung.']"
33801,"['Die Möglichkeit zur Ausbildung zum zertifizierten Barista nach umfangreicher Einschulung in deinen Arbeitsbereich Eine gute Work-Life-Balance durch Berücksichtigung deines Privatlebens bei der Dienstplanerstellung Einen sicheren Job in einem wirtschaftlich stabilen Unternehmen In unseren Deutschkursen kannst du deine Sprachkenntnisse kostenlos und individuell verbessern Überdurchschnittliche Chancen, innerhalb des Unternehmens aufzusteigen Verpflegung im monatlichen Gegenwert von bis zu € 200,- zusätzlich zum kollektivvertraglichen Bruttomonatslohn von € 1.800,- bei Vollzeit. Das tatsächliche Vergütungspaket orientiert sich an Qualifikation sowie Berufserfahrung und liegt über dem kollektivvertraglichen Minimum.']"
33080,"['Wir suchen eine*n Verkäufer*in für unser talentiertes Team in Wien. Diese Position ist eine unbefristete Stelle für 30 Stunden pro Woche. Dein monatliches Bruttogehalt auf Teilzeitbasis wird dem Vollzeitgehalt – je nach Stundeneinsatz - entsprechend angepasst. Ein Vollzeitgehalt beträgt ab €2.124,- (14 mal jährlich).']"
36038,"['Eine gute Work-Life-Balance durch Berücksichtigung deines Privatlebens bei der Dienstplanerstellung Einen sicheren Job in einem wirtschaftlich stabilen Unternehmen Die Möglichkeit zu laufenden Trainings und Weiterbildungen Viel Spaß in einem diversen Team Überdurchschnittliche Chancen, innerhalb des Unternehmens aufzusteigen Verpflegung im monatlichen Gegenwert von bis zu € 200,- zusätzlich zum kollektivvertraglichen Bruttomonatslohn von € 1.800,- bei Vollzeit. Das tatsächliche Vergütungspaket orientiert sich an Qualifikation, sowie Berufserfahrung. Kostenlose Deutschkurse auf deine persönlichen Vorkenntnisse abgestimmt.']"
38493,"['Verdienst: €13,26 brutto/Stunde', '+ €6,63 brutto/Stunde für Nachtarbeit zwischen 22:00 - 06:00 Uhr', '+ €6,63 brutto/Stunde für Sonn- oder Feiertagsarbeit', '+ €3,32 brutto/Stunde für die 2. Schicht in der Zeit von 19:00 - 22:00 Uhr)']"
