data,num_samples,statistic,value
doclen-space_tokenized,10000,mean,328.3815
doclen-space_tokenized,10000,std,155.7903
doclen-space_tokenized,10000,median,298.0
doclen-bert_tokenized,10000,mean,553.4901
doclen-bert_tokenized,10000,std,249.0211
doclen-bert_tokenized,10000,median,511.0
space_tokenized,10000,STTR,0.5106
ngrams,10000,ngram_vendiscore,274.5643
BERT_embeddings,10000,embedding_vendiscore,1.424
lemmas,10000,STTR,0.4462
paragraphs_per_doc,10000,mean,13.6395
paragraphs_per_doc,10000,std,9.9138
paragraphs_per_doc,10000,median,12.0
lists_per_doc,10000,mean,2.336
lists_per_doc,10000,std,1.4269
lists_per_doc,10000,median,3.0
paragraph_len-space_tokenized,10000,mean,23.4895
paragraph_len-space_tokenized,10000,std,44.2046
paragraph_len-space_tokenized,10000,median,7.0
elements_per_list,10000,mean,5.3036
elements_per_list,10000,std,2.3449
elements_per_list,10000,median,5.0
salary_info,10000,percentage,78.86
salary_info,10000,mean_lines_per_doc,1.0482
other_language_detected,10000,percentage,0.26
