id,token_cnt
35075,859
25424,926
33923,448
24691,259
26711,395
36903,552
36587,775
28112,568
26657,349
26319,258
30747,831
31046,640
28293,636
38455,410
36467,503
29358,452
34863,749
36373,708
30668,839
22228,710
34488,524
33416,350
29495,684
28015,177
37678,428
29216,564
26507,259
24235,475
32458,650
30094,330
27803,342
30665,590
28266,575
22693,442
37547,392
23860,570
36898,996
30798,1478
27211,446
29019,470
28206,280
31828,529
33078,759
25797,578
35768,774
22497,499
37889,560
37001,767
34995,546
26155,91
33800,564
23202,251
24174,503
28068,1313
33384,567
22517,493
35386,830
36059,832
36703,502
33231,432
22136,280
36478,562
38687,362
22742,904
23567,474
29104,837
33170,623
34752,437
29605,751
27380,318
23954,192
31973,443
30205,559
23959,521
37720,738
32002,464
38411,627
26148,85
22419,477
36543,508
23270,293
27917,471
28788,403
35431,765
38474,108
27448,477
39041,409
29037,537
32347,583
21514,507
25504,829
24091,684
24083,738
26172,187
36000,425
30283,775
30502,391
36561,348
32529,565
26990,745
38382,373
31552,530
21885,919
25260,668
30411,522
29232,317
37359,299
30119,736
22973,330
21846,645
21925,393
26218,109
32281,420
22920,228
32534,1163
33303,674
32889,755
35142,478
30728,775
33587,228
27327,384
31070,316
31326,386
35248,448
32030,548
32921,779
30463,837
30051,88
27875,456
35015,947
30850,874
37440,399
30911,775
31894,488
30974,775
26466,82
31177,471
36472,489
31642,166
37667,665
33963,974
21843,616
36171,831
23274,323
28395,573
24329,414
33443,226
25179,548
26823,263
29368,775
35211,483
32936,716
33573,694
30323,732
27156,602
39000,588
21988,943
25288,826
38813,490
35215,463
24175,674
31209,349
24117,391
21894,863
23490,719
37638,1095
33067,820
33909,378
23807,493
37089,587
23602,331
37882,621
24749,622
37325,273
24681,123
37585,450
25034,473
33484,227
32570,890
28032,72
24624,372
35490,1205
27856,489
36714,452
30932,775
24052,481
38810,390
31318,583
33417,666
23038,309
24849,623
23221,241
26628,855
34367,508
35154,425
31663,164
33727,858
26486,259
25121,701
25481,333
25804,421
30400,837
27077,987
29298,579
31419,275
36458,1030
35685,775
30034,301
34146,662
26229,259
22123,399
38731,484
23583,624
36398,816
33174,524
35724,832
21899,864
30597,775
22985,281
32476,918
32611,324
29451,775
25445,215
26620,351
21478,697
33934,708
38161,694
38179,543
36788,428
36155,1112
24241,474
38002,409
38349,149
28142,586
39060,578
25175,556
23901,466
36132,837
29289,1030
24824,623
32196,420
35016,1046
31601,741
28516,302
21508,495
25088,509
37483,563
31997,442
26342,183
33663,441
23852,421
24641,200
27498,442
23738,529
36117,775
38948,547
28642,744
32886,557
27620,440
23645,538
37034,417
33601,425
22071,389
30298,497
22355,1258
25691,451
23493,328
26185,142
28731,462
22245,951
38293,495
38355,120
22384,542
21751,710
33612,197
27266,436
33811,634
22416,775
22520,222
30039,146
29785,1496
36446,831
38443,553
25964,563
25720,278
37470,463
22991,190
36432,552
22889,279
29924,242
30461,399
36881,1208
37802,871
23026,153
29082,895
30770,775
34267,592
35303,491
27809,436
31615,684
29935,227
31930,638
25882,494
31093,352
24185,650
23829,1032
32027,519
38733,495
30725,592
31120,828
30500,775
29897,363
26978,403
26821,1001
30795,775
37744,871
24490,192
29956,379
37394,250
31076,394
30861,775
22198,391
28231,1262
32185,430
27195,795
34894,369
26050,549
30749,854
38640,488
38587,513
31098,467
30185,775
25628,195
27663,514
38951,511
36415,546
31949,468
26065,145
32361,574
33010,457
24892,362
38203,691
33228,613
38612,564
33141,745
38935,407
36518,521
24905,343
31796,441
27757,530
23597,323
38244,728
29984,281
28702,945
38663,601
27781,297
36679,370
30404,388
36369,532
35128,883
22905,447
27839,360
34430,778
35736,831
23879,287
37518,513
23128,316
25722,339
25111,501
24993,624
28873,938
22663,591
36545,454
35603,837
25417,378
35541,1406
36761,988
31257,493
22418,803
24959,621
22730,440
22743,548
22734,701
26246,116
37586,860
30076,328
38549,370
36379,989
35644,837
33374,627
35227,569
32967,205
37539,466
23965,471
24491,436
35053,333
35214,251
24163,586
33991,607
34896,649
28823,308
36683,705
31719,71
22492,597
35562,837
31789,266
25043,741
39071,312
37316,310
35538,1127
33222,446
23373,625
22150,300
22073,519
34978,478
27129,1342
26101,249
27708,732
22458,756
25157,520
24774,624
25286,371
37984,826
30272,1015
31809,510
22233,323
25276,264
30151,441
38121,447
32845,618
31220,369
34969,339
29277,694
26451,266
24682,152
23277,237
36087,775
35208,693
25780,762
26283,79
37910,330
29682,327
36444,265
24588,255
26259,296
28604,760
38238,542
38004,397
24565,306
34608,932
23702,533
37453,414
38950,1105
33602,156
30329,539
24575,196
22534,257
33345,518
22396,429
29434,794
33742,347
21805,786
32698,768
22479,488
33407,384
26312,81
28777,775
32233,433
34680,581
33665,546
27013,530
30026,140
32410,283
27947,60
36351,1465
30521,412
32158,442
37171,353
33955,694
25188,336
28544,625
34924,531
34810,549
22624,435
36396,487
28393,710
28440,258
29876,196
30705,713
21541,1210
35634,837
29689,544
28318,355
29461,735
23986,352
31698,236
35882,831
33962,300
33961,965
27858,754
29507,496
32993,1055
38745,126
27024,378
27417,566
29624,629
28345,340
35085,955
29946,358
22613,436
34046,282
35938,837
33261,670
27442,488
25842,760
30630,349
25579,540
29939,104
26038,100
25064,404
34937,469
27548,833
27206,416
22645,740
30353,508
25650,425
37806,618
27652,566
28384,620
31570,610
27186,731
22108,127
38820,395
31912,451
33456,1484
