id,token_cnt
35075,533
25424,529
33923,266
24691,166
26711,194
36903,313
36587,510
28112,344
26657,197
26319,158
30747,541
31046,383
28293,398
38455,259
36467,282
29358,272
34863,457
36373,398
30668,477
22228,429
34488,304
33416,209
29495,410
28015,102
37678,226
29216,344
26507,166
24235,267
32458,380
30094,204
27803,193
30665,360
28266,330
22693,247
37547,239
23860,338
36898,595
30798,892
27211,218
29019,271
28206,161
31828,309
33078,452
25797,352
35768,507
22497,300
37889,326
37001,430
34995,314
26155,56
33800,350
23202,158
24174,269
28068,832
33384,325
22517,292
35386,544
36059,547
36703,289
33231,236
22136,167
36478,300
38687,226
22742,543
23567,290
29104,547
33170,391
34752,284
29605,467
27380,199
23954,114
31973,259
30205,318
23959,314
37720,437
32002,276
38411,327
26148,49
22419,286
36543,260
23270,190
27917,287
28788,225
35431,435
38474,66
27448,268
39041,252
29037,318
32347,307
21514,273
25504,499
24091,404
24083,436
26172,103
36000,249
30283,510
30502,254
36561,234
32529,373
26990,445
38382,232
31552,326
21885,542
25260,406
30411,302
29232,198
37359,174
30119,435
22973,193
21846,405
21925,208
26218,73
32281,253
22920,132
32534,715
33303,406
32889,450
35142,300
30728,510
33587,131
27327,205
31070,154
31326,226
35248,253
32030,307
32921,458
30463,547
30051,51
27875,266
35015,593
30850,533
37440,233
30911,510
31894,282
30974,510
26466,48
31177,262
36472,274
31642,87
37667,403
33963,546
21843,373
36171,541
23274,199
28395,344
24329,239
33443,127
25179,320
26823,155
29368,414
35211,279
32936,396
33573,352
30323,449
27156,349
39000,354
21988,553
25288,477
38813,287
35215,272
24175,371
31209,189
24117,211
21894,519
23490,385
37638,608
33067,538
33909,202
23807,281
37089,328
23602,195
37882,371
24749,400
37325,173
24681,71
37585,260
25034,298
33484,143
32570,542
28032,41
24624,225
35490,731
27856,277
36714,266
30932,510
24052,270
38810,234
31318,300
33417,375
23038,185
24849,400
23221,142
26628,542
34367,312
35154,252
31663,86
33727,538
26486,166
25121,396
25481,183
25804,237
30400,547
27077,554
29298,336
31419,154
36458,588
35685,510
30034,164
34146,373
26229,175
22123,235
38731,282
23583,354
36398,462
33174,319
35724,547
21899,515
30597,510
22985,172
32476,565
32611,187
29451,510
25445,108
26620,180
21478,370
33934,421
38161,429
38179,281
36788,264
36155,642
24241,265
38002,253
38349,94
28142,335
39060,328
25175,334
23901,263
36132,547
29289,643
24824,400
32196,240
35016,626
31601,445
28516,134
21508,288
25088,282
37483,342
31997,265
26342,106
33663,258
23852,246
24641,112
27498,247
23738,310
36117,510
38948,309
28642,438
32886,343
27620,259
23645,319
37034,247
33601,346
22071,251
30298,285
22355,711
25691,268
23493,187
26185,91
28731,262
22245,619
38293,297
38355,79
22384,311
21751,438
33612,111
27266,262
33811,370
22416,456
22520,131
30039,88
29785,993
36446,541
38443,319
25964,340
25720,171
37470,264
22991,101
36432,336
22889,136
29924,156
30461,223
36881,753
37802,571
23026,88
29082,591
30770,510
34267,314
35303,287
27809,251
31615,420
29935,148
31930,390
25882,294
31093,186
24185,351
23829,594
32027,293
38733,285
30725,372
31120,509
30500,510
29897,214
26978,215
26821,556
30795,510
