ngram,Frequency,relative_freq
"('ADJ', 'NOUN')",196113,5.710905242240192
"('NOUN', 'PUNCT')",192404,5.602897371556102
"('NOUN', 'ADP')",184349,5.368331882647949
"('DET', 'NOUN')",176559,5.141483321680287
"('NOUN', 'SPACE')",118345,3.446263536292421
"('ADP', 'NOUN')",117094,3.4098338123167413
"('SPACE', 'NOUN')",103572,3.0160666439721036
"('ADP', 'DET')",99401,2.8946051102370434
"('NOUN', 'CCONJ')",93492,2.722532177405476
"('PUNCT', 'SPACE')",88695,2.5828412214411784
"('CCONJ', 'NOUN')",74405,2.166709522310512
"('DET', 'ADJ')",67870,1.9764071672497072
"('PUNCT', 'NOUN')",67468,1.9647007331663955
"('NOUN', 'VERB')",54809,1.596064541473246
"('VERB', 'PRON')",53442,1.5562568414934264
"('PROPN', 'PUNCT')",46866,1.3647605466380548
"('NOUN', 'DET')",46366,1.3502003052409006
"('VERB', 'PUNCT')",45352,1.320672135687472
"('PRON', 'VERB')",41810,1.217527385630032
"('PUNCT', 'X')",38168,1.1114705872931607
"('X', 'PUNCT')",37860,1.1025014785925138
"('PUNCT', 'PROPN')",37733,1.0988031772776368
"('SPACE', 'ADJ')",36913,1.0749243813863039
"('PRON', 'ADP')",35343,1.0292052233992397
"('NOUN', 'NOUN')",35290,1.0276618378111415
"('X', 'X')",34810,1.0136840060698733
"('ADP', 'ADJ')",34753,1.012024138550598
"('ADV', 'ADP')",31704,0.9232357865107517
"('SPACE', 'PRON')",28826,0.8394270370287324
"('NOUN', 'ADV')",28116,0.8187514942447734
"('CCONJ', 'ADJ')",28051,0.8168586628631433
"('PRON', 'ADV')",27546,0.8021528190520176
"('PUNCT', 'ADP')",27490,0.8005220720155363
"('PUNCT', 'ADV')",26793,0.7802250955079034
"('ADV', 'PUNCT')",25865,0.7532012874747853
"('SPACE', 'DET')",25853,0.7528518416812536
"('ADV', 'ADV')",25155,0.7325257446908264
"('PROPN', 'PROPN')",25151,0.7324092627596491
"('PRON', 'PRON')",22915,0.6672958632315756
"('ADV', 'VERB')",22184,0.6460087903089362
"('PUNCT', 'PRON')",22097,0.6434753083058314
"('NOUN', 'PROPN')",21569,0.6280996933904367
"('PRON', 'DET')",21239,0.6184899340683149
"('X', 'CCONJ')",20560,0.5987171262509795
"('PROPN', 'SPACE')",20176,0.5875348608579651
"('ADP', 'PRON')",20090,0.5850304993376546
"('NUM', 'NOUN')",19008,0.553522136954213
"('ADP', 'PROPN')",18654,0.5432134860450278
"('SPACE', 'ADV')",17532,0.5105403043498139
"('PUNCT', 'DET')",16888,0.4917867134302793
"('SPACE', 'PROPN')",16715,0.48674886990686395
"('NOUN', 'AUX')",15999,0.46589860422613916
"('CCONJ', 'DET')",15372,0.4476400615141079
"('PROPN', 'NOUN')",15332,0.44647524220233553
"('CCONJ', 'VERB')",14920,0.4344776032910805
"('PUNCT', 'ADJ')",14784,0.43051721763105455
"('PART', 'VERB')",14010,0.4079779639482599
"('PRON', 'AUX')",13718,0.39947478297232186
"('AUX', 'PRON')",13497,0.3930391562747797
"('VERB', 'DET')",13392,0.38998150558137734
"('NUM', 'NUM')",13042,0.37978933660336944
"('NOUN', 'ADJ')",12958,0.3773432160486475
"('SPACE', 'ADP')",12577,0.36624831210401604
"('VERB', 'ADP')",12330,0.3590555528538219
"('PUNCT', 'VERB')",11953,0.3480771308403676
"('ADV', 'DET')",11632,0.33872945586339465
"('ADP', 'ADV')",11556,0.3365162991710272
"('VERB', 'SPACE')",11527,0.3356718051699923
"('ADV', 'ADJ')",11482,0.3343613834442484
"('PUNCT', 'SCONJ')",10754,0.31316167196999195
"('ADJ', 'CCONJ')",10486,0.3053573825811173
"('ADP', 'PUNCT')",10333,0.3009019487135881
"('AUX', 'ADV')",10258,0.298717912504015
"('PRON', 'PUNCT')",10241,0.29822286429651174
"('PUNCT', 'NUM')",10077,0.2934471051182452
"('CCONJ', 'ADV')",10035,0.2922240448408842
"('PUNCT', 'PUNCT')",9937,0.289370237527042
"('AUX', 'PUNCT')",9883,0.28779773145614934
"('VERB', 'CCONJ')",9879,0.28768124952497215
"('PUNCT', 'CCONJ')",9708,0.2827016469671454
"('ADV', 'SPACE')",9037,0.26316180301216446
"('ADP', 'NUM')",8943,0.2604244776294995
"('PROPN', 'ADP')",8861,0.2580365980403662
"('DET', 'PROPN')",8455,0.24621368202587704
"('ADV', 'CCONJ')",8411,0.24493238078292745
"('AUX', 'DET')",8383,0.24411700726468685
"('NOUN', 'PART')",7863,0.22897435621164652
"('NOUN', 'NUM')",7832,0.22807162124502295
"('SCONJ', 'PRON')",7774,0.22638263324295305
"('AUX', 'ADP')",7646,0.22265521144528158
"('CCONJ', 'ADP')",7613,0.22169423551306944
"('VERB', 'ADV')",7600,0.22131566923674342
"('PROPN', 'CCONJ')",7500,0.21840362095731256
"('ADV', 'NUM')",7449,0.21691847633480288
"('VERB', 'AUX')",7375,0.21476356060802404
"('NUM', 'SPACE')",7342,0.21380258467581184
"('NUM', 'PROPN')",7261,0.2114438255694729
"('SPACE', 'X')",7082,0.2062312591492917
"('NOUN', 'PRON')",6897,0.20084396983234462
"('ADV', 'AUX')",6884,0.20046540355601866
"('ADJ', 'ADJ')",6565,0.19117596954463428
"('PROPN', 'VERB')",6134,0.17862504146028738
