POS,Frequency,relative_freq
NOUN,832287,24.166233063337835
PUNCT,404615,11.748375729673102
ADP,336079,9.758368737819424
DET,267774,7.775069047458659
SPACE,267400,7.7642096069463244
ADJ,225229,6.539735099337748
PRON,186959,5.428529782741504
ADV,176843,5.134802242038926
VERB,173625,5.041364596133342
CCONJ,166604,4.837503281060903
PROPN,151342,4.394356807533549
X,105131,3.0525771136420126
NUM,58886,1.709810197885719
AUX,57727,1.6761575466723653
PART,19431,0.564197295708953
SCONJ,14029,0.40734516296129397
INTJ,47,0.0013646890483413512
