ngram,Frequency,relative_freq
"('NOUN', 'ADP', 'NOUN')",75740,2.2120262499233356
"('ADP', 'DET', 'NOUN')",67682,1.976688152195817
"('DET', 'ADJ', 'NOUN')",58618,1.7119692991550843
"('ADJ', 'NOUN', 'ADP')",56337,1.645351503062199
"('NOUN', 'SPACE', 'NOUN')",53465,1.5614732433608547
"('NOUN', 'CCONJ', 'NOUN')",50580,1.4772153118711686
"('NOUN', 'ADP', 'DET')",49271,1.4389852833373735
"('NOUN', 'PUNCT', 'NOUN')",47286,1.3810123218098078
"('DET', 'NOUN', 'ADP')",39614,1.1569475556438211
"('ADJ', 'NOUN', 'PUNCT')",38017,1.1103063367221473
"('DET', 'NOUN', 'PUNCT')",37596,1.098010811884311
"('NOUN', 'PUNCT', 'SPACE')",37116,1.0839921612378467
"('ADJ', 'NOUN', 'SPACE')",35185,1.0275962979080084
"('SPACE', 'ADJ', 'NOUN')",32935,0.9618838730027073
"('NOUN', 'DET', 'NOUN')",32910,0.961153734948204
"('ADP', 'ADJ', 'NOUN')",30258,0.883700690126489
"('ADP', 'NOUN', 'PUNCT')",27729,0.8098399245329306
"('SPACE', 'NOUN', 'PUNCT')",27478,0.8025093384657171
"('CCONJ', 'ADJ', 'NOUN')",26309,0.7683680830371407
"('PUNCT', 'NOUN', 'PUNCT')",25923,0.757094751475609
"('PUNCT', 'SPACE', 'NOUN')",24891,0.7269546525857109
"('ADP', 'DET', 'ADJ')",23612,0.6896007897173198
"('ADJ', 'NOUN', 'CCONJ')",22510,0.6574163042748122
"('SPACE', 'NOUN', 'ADP')",22004,0.6426383100516645
"('NOUN', 'ADP', 'ADJ')",21898,0.6395425247005704
"('ADP', 'NOUN', 'ADP')",21582,0.6303135796916481
"('PUNCT', 'PROPN', 'PUNCT')",20287,0.5924924284683748
"('NOUN', 'PUNCT', 'X')",19809,0.5785321888662708
"('NOUN', 'SPACE', 'ADJ')",19610,0.5727202899524242
"('DET', 'NOUN', 'VERB')",19179,0.5601327098927865
"('SPACE', 'PRON', 'VERB')",18977,0.5542331944123995
"('CCONJ', 'NOUN', 'ADP')",18386,0.5369727308039405
"('CCONJ', 'NOUN', 'SPACE')",18282,0.5339353564972065
"('X', 'CCONJ', 'NOUN')",18273,0.5336725067975853
"('VERB', 'PUNCT', 'SPACE')",17715,0.5173758254210706
"('VERB', 'PRON', 'ADP')",17401,0.5082052914565086
"('ADP', 'NOUN', 'CCONJ')",17187,0.5019553097099599
"('NOUN', 'VERB', 'PUNCT')",17145,0.5007286777783944
"('PUNCT', 'X', 'PUNCT')",17105,0.49956045689118894
"('X', 'X', 'PUNCT')",17061,0.4982754139152631
"('SPACE', 'DET', 'NOUN')",16619,0.48536657311164394
"('ADP', 'NOUN', 'SPACE')",15914,0.46477667997464955
"('X', 'X', 'X')",15730,0.459402863893505
"('DET', 'NOUN', 'CCONJ')",15378,0.4491225200860979
"('PUNCT', 'X', 'X')",15271,0.44599752921282354
"('PUNCT', 'NOUN', 'CCONJ')",14953,0.436710173159541
"('CCONJ', 'NOUN', 'PUNCT')",14755,0.43092747976787454
"('PRON', 'VERB', 'PRON')",14740,0.4304893969351725
"('NOUN', 'PUNCT', 'ADP')",14636,0.42745202262843857
"('DET', 'NOUN', 'SPACE')",14575,0.42567048577545047
"('NOUN', 'CCONJ', 'ADJ')",14399,0.4205303138717469
"('SPACE', 'NOUN', 'SPACE')",14210,0.41501047017970155
"('PRON', 'ADP', 'DET')",13981,0.4083224056004509
"('PRON', 'DET', 'NOUN')",13731,0.4010210250554175
"('X', 'PUNCT', 'X')",13681,0.3995607489464108
"('VERB', 'PRON', 'PRON')",13336,0.3894848437942646
"('DET', 'NOUN', 'DET')",13048,0.38107365340638605
"('NOUN', 'VERB', 'PRON')",12816,0.374297972260595
"('PUNCT', 'SPACE', 'PRON')",12624,0.36869051200200936
"('ADJ', 'NOUN', 'VERB')",12014,0.3508751434721277
"('PUNCT', 'ADJ', 'NOUN')",11768,0.3436905850158148
"('PROPN', 'PUNCT', 'PROPN')",11764,0.34357376292709424
"('NOUN', 'PUNCT', 'ADV')",11755,0.34331091322747304
"('NOUN', 'ADP', 'PROPN')",11566,0.33779106953542776
"('NOUN', 'CCONJ', 'DET')",11309,0.33028525033513334
"('PUNCT', 'DET', 'NOUN')",11141,0.32537872260887085
"('PUNCT', 'SPACE', 'ADJ')",11067,0.323217513967541
"('NOUN', 'PUNCT', 'PROPN')",10975,0.32053060592696864
"('NOUN', 'PUNCT', 'PRON')",10856,0.31705514878753277
"('PUNCT', 'SPACE', 'DET')",10744,0.3137841303033578
"('NOUN', 'ADJ', 'NOUN')",10694,0.3123238541943511
"('ADV', 'ADP', 'DET')",10667,0.31153530509548744
"('DET', 'NOUN', 'ADV')",10542,0.30788461482297075
"('NOUN', 'SPACE', 'PRON')",10519,0.3072128878128277
"('X', 'PUNCT', 'PROPN')",10444,0.3050224736493176
"('SPACE', 'NOUN', 'CCONJ')",10247,0.29926898577983124
"('NOUN', 'SPACE', 'DET')",10240,0.2990645471245703
"('PUNCT', 'PRON', 'VERB')",9832,0.2871486940750757
"('NOUN', 'DET', 'ADJ')",9773,0.2854255682664478
"('ADV', 'ADP', 'NOUN')",9752,0.284812252300665
"('ADV', 'ADJ', 'NOUN')",9741,0.28449099155668356
"('ADV', 'VERB', 'PRON')",9732,0.28422814185706236
"('ADJ', 'CCONJ', 'ADJ')",9558,0.27914638099771905
"('PART', 'VERB', 'PUNCT')",9545,0.2787667092093773
"('ADP', 'NOUN', 'DET')",8832,0.25794317189494187
"('NOUN', 'PUNCT', 'DET')",8655,0.25277379446905823
"('CCONJ', 'DET', 'NOUN')",8569,0.2502621195615667
"('PROPN', 'SPACE', 'NOUN')",8327,0.2431943831939743
"('NOUN', 'PUNCT', 'ADJ')",8142,0.23779136159064956
"('ADJ', 'NOUN', 'DET')",8117,0.23706122353614623
"('PUNCT', 'ADP', 'NOUN')",8104,0.23668155174780448
"('VERB', 'DET', 'NOUN')",7917,0.23122011910011944
"('PUNCT', 'SPACE', 'ADV')",7893,0.23051918656779624
"('ADV', 'DET', 'NOUN')",7782,0.22727737360580136
"('PUNCT', 'ADV', 'VERB')",7745,0.22619676928513646
"('PRON', 'ADV', 'ADV')",7684,0.22441523243214825
"('PROPN', 'PUNCT', 'SPACE')",7468,0.2181068396412394
"('ADV', 'VERB', 'PUNCT')",7346,0.21454376593526303
"('NOUN', 'NOUN', 'PUNCT')",7302,0.21325872295933718
"('PUNCT', 'NOUN', 'SPACE')",7281,0.21264540699355433
"('VERB', 'PRON', 'DET')",7231,0.21118513088454766
"('DET', 'NOUN', 'AUX')",7116,0.20782649583383225
"('PRON', 'PRON', 'ADP')",6997,0.20435103869439636
"('PUNCT', 'SPACE', 'ADP')",6996,0.20432183317221622
"('SPACE', 'DET', 'ADJ')",6979,0.20382533929515392
"('VERB', 'PRON', 'ADV')",6958,0.20321202332937113
"('NOUN', 'PART', 'VERB')",6913,0.2018977748312651
"('PRON', 'PRON', 'ADV')",6786,0.1981886735143881
"('PUNCT', 'NOUN', 'ADP')",6778,0.19795502933694703
"('NOUN', 'VERB', 'SPACE')",6777,0.1979258238147669
"('SPACE', 'PRON', 'AUX')",6776,0.19789661829258676
"('PRON', 'ADP', 'NOUN')",6718,0.19620269800613901
"('ADP', 'NOUN', 'VERB')",6678,0.19503447711893365
"('NOUN', 'ADV', 'PUNCT')",6676,0.19497606607457338
"('NOUN', 'NOUN', 'ADP')",6634,0.19374943414300777
"('PROPN', 'PROPN', 'PUNCT')",6606,0.192931679521964
"('PUNCT', 'VERB', 'PRON')",6570,0.19188028072347918
"('ADV', 'PUNCT', 'SPACE')",6546,0.19117934819115598
"('PRON', 'VERB', 'DET')",6463,0.18875528985020487
"('PRON', 'ADV', 'ADP')",6451,0.18840482358404326
"('PUNCT', 'ADP', 'DET')",6350,0.18545506584384974
"('NUM', 'NUM', 'NUM')",6343,0.1852506271885888
"('ADJ', 'NOUN', 'ADV')",6294,0.18381955660176227
"('NOUN', 'SPACE', 'PROPN')",6226,0.18183358109351316
"('DET', 'NOUN', 'NOUN')",6176,0.1803733049845065
"('VERB', 'AUX', 'PUNCT')",6106,0.1783289184318971
"('ADJ', 'ADJ', 'NOUN')",5945,0.17362682936089555
"('NOUN', 'NOUN', 'SPACE')",5818,0.16991772804401856
"('VERB', 'SPACE', 'NOUN')",5716,0.1669387647816449
"('PRON', 'DET', 'ADJ')",5710,0.1667635316485641
"('ADP', 'NUM', 'NOUN')",5641,0.16474835061813486
"('SPACE', 'NOUN', 'DET')",5601,0.16358012973092953
"('NOUN', 'SPACE', 'ADV')",5560,0.16238270332154403
"('ADP', 'NOUN', 'NOUN')",5529,0.1614773321339599
"('PRON', 'VERB', 'PUNCT')",5523,0.16130209900087908
"('SPACE', 'NOUN', 'NOUN')",5520,0.16121448243433867
"('PROPN', 'PUNCT', 'ADP')",5494,0.16045513885765522
"('NOUN', 'CCONJ', 'VERB')",5430,0.15858598543812666
"('X', 'PUNCT', 'SPACE')",5371,0.15686285962949875
"('PROPN', 'PROPN', 'PROPN')",5299,0.1547600620325291
"('CCONJ', 'NOUN', 'DET')",5294,0.15461403442162844
"('CCONJ', 'DET', 'ADJ')",5264,0.15373786875622442
"('PUNCT', 'ADV', 'ADP')",5251,0.1533581969678827
"('PUNCT', 'SCONJ', 'PRON')",5183,0.15137222145963358
"('ADV', 'NUM', 'NOUN')",5151,0.15043764474986931
"('ADV', 'ADV', 'PUNCT')",5150,0.15040843922768918
"('NOUN', 'PROPN', 'PUNCT')",5122,0.14959068460664543
"('CCONJ', 'VERB', 'PRON')",5115,0.14938624595138447
"('PUNCT', 'SPACE', 'PROPN')",5107,0.14915260177394343
"('ADP', 'PROPN', 'PUNCT')",5077,0.14827643610853938
"('SPACE', 'NOUN', 'VERB')",5049,0.14745868148749566
"('SPACE', 'ADP', 'DET')",4931,0.14401242987023985
"('NOUN', 'ADV', 'ADP')",4887,0.142727386894314
"('ADV', 'ADV', 'ADP')",4880,0.14252294823905304
"('ADP', 'X', 'CCONJ')",4818,0.14071220586388475
"('NOUN', 'ADP', 'PRON')",4790,0.139894451242841
"('PRON', 'ADP', 'PRON')",4744,0.13855099722255484
"('PROPN', 'PROPN', 'SPACE')",4705,0.13741198185752962
"('VERB', 'ADP', 'DET')",4702,0.13732436529098924
"('NOUN', 'ADP', 'X')",4661,0.13612693888160374
"('PROPN', 'PUNCT', 'NOUN')",4661,0.13612693888160374
"('NOUN', 'NOUN', 'CCONJ')",4622,0.1349879235165785
"('ADP', 'PUNCT', 'SPACE')",4608,0.13457904620605665
"('AUX', 'DET', 'NOUN')",4571,0.13349844188539167
"('ADP', 'NOUN', 'PROPN')",4565,0.1333232087523109
"('NOUN', 'ADP', 'ADV')",4563,0.13326479770795063
"('PRON', 'VERB', 'ADP')",4519,0.13197975473202472
"('PUNCT', 'DET', 'ADJ')",4512,0.1317753160767638
"('PRON', 'PUNCT', 'SPACE')",4484,0.13095756145572005
"('ADP', 'PRON', 'PUNCT')",4462,0.13031503996775712
"('NOUN', 'PROPN', 'PROPN')",4381,0.12794939267116628
"('VERB', 'PUNCT', 'ADV')",4362,0.12739448774974374
"('ADJ', 'NOUN', 'NOUN')",4356,0.12721925461666292
"('ADV', 'PUNCT', 'ADV')",4313,0.12596341716291717
"('DET', 'NOUN', 'PROPN')",4312,0.12593421164073704
"('NOUN', 'AUX', 'ADV')",4287,0.12520407358623367
"('PRON', 'ADV', 'PUNCT')",4180,0.12207908271295936
"('NOUN', 'PUNCT', 'VERB')",4119,0.1202975458599712
"('PROPN', 'PUNCT', 'PUNCT')",4043,0.11807792617428102
"('PUNCT', 'PRON', 'AUX')",4029,0.11766904886375915
"('SPACE', 'PROPN', 'PROPN')",4021,0.11743540468631809
"('VERB', 'PUNCT', 'PRON')",4016,0.11728937707541742
"('PROPN', 'NOUN', 'PUNCT')",3986,0.11641321141001341
