id,salary_paragraphs
35075,"['Accountant / Finanzbuchhalter/in (m/w/d) | bis zu 46.000.- brutto p.a. | Übernahme Deutschlandticket', '40 Stunden pro Woche | 30 Tage Urlaub | bis zu 46.000.- brutto p. a. | Übernahme Deutschlandticket', 'Vergütung:']"
25424,[]
33923,"['Aushilfe (m/w/d) Kasse - auf 520,00 € - Basis', 'Aushilfe (m/w/d) Kasse - auf 520,00 € - Basis']"
24691,"['Sie erwartet ein sicherer, attraktiver Arbeitsplatz und ein tolles Betriebsklima! Sie erhalten ein sehr gutes Grundgehalt mit einem außerordentlichen Provisionsmodell. Wir bieten eine spannende und anspruchsvolle Tätigkeit mit Entwicklungspotenzial.']"
26711,"['Du suchst einen Nebenjob, der in deinen Uni-Alltag passt? Starte als Werkstudent Verkauf (m/w/d) und finanziere dir dein Studium - mit einem attraktiven Gehalt sowie Urlaubs- und Weihnachtsgeld.', 'Attraktives Gehalt (kein Minijob) Urlaubs- und Weihnachtsgeld sowie tarifliche Altersvorsorge und Zuschläge Arbeitszeiten, die sich in deinen Alltag als Student:in integrieren lassen Minutengenaue Arbeitszeiterfassung und sechs Wochen Urlaub pro Jahr Obst, Gemüse und Getränke kostenlos am Arbeitsplatz JobRad und exklusive Rabatte bei zahlreichen Online-Shops und Fitnessstudios']"
36903,[]
36587,[]
28112,"['Unschlagbare Teampower in einem offenen, leistungsstarken Arbeitsumfeld Top-Branchengehalt mit attraktiver ALDI Zulage (insgesamt mind. 14€ Stundenlohn brutto) Unbefristeter Arbeitsvertrag Fahrgeldzuschuss, Urlaubsgeld und volles Weihnachtsgeld Einen sicheren Arbeitsplatz beim Erfinder des Discounts Aufstiegsmöglichkeiten zum Beispiel zur Vertretungskraft oder zur Ersten Kraft Elektronische Arbeitszeiterfassung 30 Urlaubstage (Vollzeit) Vergünstigungen bei Fitnessstudios Rabattportal mit Vergünstigungen bei zahlreichen Online-Shops']"
26657,"['Vielfältige Einstiegsmöglichkeiten, unabhängig von deinem Qualifikationsniveau Stabiler Vollzeitjob für eine sichere Zukunft Attraktive Bezahlung von bis zu 21,87€/Std. Unterstützung deiner persönlichen Entwicklung und Förderung deiner Karriere Garantierte Arbeitsplatzsicherheit, auch in turbulenten Zeiten Zusammenarbeit mit einem engagierten und erfolgreichen Team, das den Zusammenhalt großschreibt']"
26319,"['Unbefristeter Arbeitsvertrag von Beginn an Persönliche Unterstützung vom Bewerbungsgespräch bis hin zur Übernahme in eine Festeinstellung im Einsatzunternehmen Bei Mitarbeiter-Empfehlungen bis zu 300€, schon nach 4 Wochen erhalten Bis zu 30 Tage Urlaub pro Jahr sowie Urlaubs- und Weihnachtsgeld Mitarbeiterrabatte in zahlreichen Geschäften und Online-Shops Bereitstellung von Arbeitskleidung und Sicherheitsschuhen']"
30747,[]
31046,[]
28293,"['Eine übertarifliche Bezahlung (18,00 23,00 Euro / Stunde) sowie eine Starterprämie bis zu 1500 Euro']"
38455,"['Der Job befindet sich in Mainz für 15,92 € bis 20,00 € pro Stunde.', 'unbefristeter Arbeitsvertrag Entlohnung gemäß iGZ-DGB-Tarifwerk Abschlagszahlungen jederzeit']"
36467,[]
29358,[]
34863,[]
36373,[]
