data,num_samples,statistic,value
doclen-space_tokenized,10000,mean,328.3208
doclen-space_tokenized,10000,std,160.1441
doclen-space_tokenized,10000,median,304.0
doclen-bert_tokenized,10000,mean,549.9856
doclen-bert_tokenized,10000,std,255.7952
doclen-bert_tokenized,10000,median,521.0
space_tokenized,10000,STTR,0.4966
ngrams,10000,ngram_vendiscore,283.9367
BERT_embeddings,10000,embedding_vendiscore,1.4001
lemmas,10000,STTR,0.4291
paragraphs_per_doc,10000,mean,20.113
paragraphs_per_doc,10000,std,15.6566
paragraphs_per_doc,10000,median,17.0
lists_per_doc,10000,mean,1.827
lists_per_doc,10000,std,1.6543
lists_per_doc,10000,median,2.0
paragraph_len-space_tokenized,10000,mean,16.0056
paragraph_len-space_tokenized,10000,std,35.567
paragraph_len-space_tokenized,10000,median,6.0
elements_per_list,10000,mean,5.1527
elements_per_list,10000,std,3.3574
elements_per_list,10000,median,5.0
salary_info,10000,percentage,59.21
salary_info,10000,mean_lines_per_doc,0.9447
other_language_detected,10000,percentage,0.02
