id,token_cnt
4165,1020
96,142
5813,97
7563,516
5053,722
3446,453
6702,110
6139,938
2243,249
8336,185
6104,447
2559,117
4344,128
7780,113
8285,138
8657,152
3280,45
7961,656
612,131
7091,179
6062,322
3809,537
3334,419
8266,454
7116,178
1454,1112
1398,171
7563,179
1546,799
4048,283
1147,39
1316,347
783,120
2437,142
6653,133
2450,472
7667,482
374,149
3994,231
8279,166
4048,304
6263,286
6280,215
4149,81
2464,356
7052,226
2610,70
1042,82
911,127
3536,422
4635,171
8608,172
6711,501
5324,93
1847,158
930,156
4273,289
4979,372
3375,486
2225,450
6517,187
7889,827
544,257
3566,234
8419,657
7315,348
2033,42
343,154
5286,318
6598,1112
1228,179
3788,428
3918,151
4655,235
6037,375
584,96
208,129
4128,367
7067,136
6478,192
870,152
2511,78
232,321
5164,369
6767,618
4290,146
6999,468
2520,181
5474,482
7759,535
4640,365
5487,208
965,189
270,113
6551,100
8079,171
588,127
949,206
4527,144
5967,170
5117,120
699,449
2601,133
2970,75
6483,649
2882,335
5763,141
6398,185
5030,185
3774,304
879,275
6019,698
5266,369
1666,243
8089,210
3063,100
5276,370
1296,156
6000,196
491,47
4957,363
1260,75
2993,305
7312,1112
7105,109
7920,534
8264,280
959,107
4671,376
1198,368
1189,207
189,149
1043,187
3313,77
992,92
6629,460
4238,165
8631,60
5362,45
2055,143
932,96
8140,972
811,246
3767,87
2473,220
4203,488
3583,130
3546,197
2697,154
681,93
7299,197
2609,153
5426,188
794,369
5729,705
6380,102
888,71
763,294
1050,290
6136,186
8428,355
5959,172
1680,438
3778,363
735,447
1627,255
3662,466
5157,76
2794,348
5258,486
5262,441
3440,37
5142,166
5062,360
725,133
567,126
4598,148
4836,414
3173,290
4089,190
6162,328
899,494
233,65
1259,152
5277,889
354,257
2880,254
595,170
5544,173
8405,109
2551,164
4226,234
6664,502
2631,70
4840,299
610,159
8611,59
1069,162
2491,199
691,79
4544,109
1980,423
4377,242
5649,16
2817,440
4680,112
6072,786
4721,260
1005,184
3964,578
7642,40
8835,493
1059,167
8160,265
42,145
4240,536
6888,190
2534,222
442,136
8305,161
3420,110
7960,467
678,587
1231,298
413,132
7226,190
6133,1112
2272,256
312,69
8044,188
8506,490
1833,116
1068,329
5138,391
563,182
4800,513
4987,115
5599,214
794,834
8261,119
3616,583
4146,196
1706,679
5189,530
6142,22
5910,626
5229,643
1460,157
848,153
1378,76
9021,302
906,129
3388,56
3609,716
8465,456
1087,203
480,583
6943,215
5978,243
2875,465
8713,681
6527,174
8613,32
452,518
4261,466
275,239
6141,25
5884,114
5622,507
8024,453
5000,177
13,254
4676,628
4624,341
1634,406
293,142
7067,177
5877,287
5224,385
2479,220
2015,65
5194,239
3004,434
8180,304
7918,109
8386,541
7700,334
3624,466
5993,210
4847,119
4716,346
4469,125
2025,268
5301,193
4299,365
1678,137
5251,82
6553,225
5896,267
2062,144
6612,321
6299,83
7086,138
6586,27
7315,573
3660,466
196,118
5188,318
1361,161
7245,183
5974,517
855,103
4115,59
206,248
927,178
316,175
6135,129
6010,338
6109,344
8356,567
2044,155
3933,428
7553,308
1175,709
8504,953
3887,77
5314,371
5351,265
1656,385
2703,8
6071,224
8298,215
4023,519
5849,1038
7073,495
167,109
1859,481
7576,173
5121,59
2793,238
4996,166
7979,37
1567,289
798,218
7893,786
4135,367
1758,410
6418,102
5955,175
9,568
2367,149
1110,57
353,219
6256,133
4395,923
2706,384
3922,727
8658,132
6845,163
7325,213
6194,272
7837,274
2631,216
6561,171
1116,659
1095,204
3776,242
2483,359
2752,170
5608,110
1263,222
1056,341
806,48
6866,44
6675,261
527,65
2411,163
4155,243
2451,676
3051,370
4671,228
4762,361
3872,165
3048,217
8126,781
7205,89
3343,695
10,273
8336,379
3207,1112
2131,176
3543,134
8752,675
3336,655
3382,342
5274,628
25,400
2471,458
1770,181
8406,390
3720,179
2720,163
4528,571
5364,404
5911,197
4920,524
4891,217
8711,675
5655,374
4456,134
5898,245
54,274
4599,120
7756,128
864,178
7592,91
6415,85
3561,120
2064,34
2683,52
1478,161
6444,110
1049,364
6121,146
8676,227
5844,343
4755,156
8009,144
2578,693
1429,345
1897,1112
3235,139
1344,163
2744,231
1856,799
7369,226
4115,339
639,174
6405,35
4083,117
1790,133
1997,243
3282,74
2754,656
725,42
1210,228
5151,98
2514,142
1326,127
3488,274
2182,188
385,155
4968,327
1166,140
7092,77
4981,361
6383,1112
4289,37
1371,263
7481,185
4032,494
4757,246
1402,127
7965,579
1252,294
3884,183
7284,527
8523,142
1215,70
6382,216
7355,1038
212,486
3912,40
5859,513
6904,175
4423,122
8323,799
2289,125
474,299
6298,447
2339,404
4131,880
1888,156
1725,521
6553,130
2837,1155
6108,367
5475,397
2103,346
7719,323
4005,1107
1723,141
7706,200
2959,142
1828,96
8194,1112
2041,296
5901,152
6432,337
1564,482
5399,629
7817,207
1956,46
5336,297
568,185
2108,79
6862,192
352,143
7629,140
4316,200
8330,233
1041,102
5166,156
421,140
479,169
7892,650
6550,511
4335,522
4210,139
1144,109
2842,94
3567,213
2305,319
6744,364
8514,215
6247,138
1012,403
4006,349
6445,109
215,317
1777,73
4965,231
534,175
284,296
1404,148
933,129
6843,146
3357,342
4482,118
1903,171
1008,413
801,158
3327,88
1176,561
3568,218
3482,462
983,128
4798,162
3232,117
7163,277
1597,285
8840,68
6449,126
5747,204
7336,584
963,315
5895,182
8690,700
1926,426
3460,99
283,140
3696,162
2620,288
3495,367
513,492
6643,334
6924,151
2478,524
7208,189
5231,454
5338,1080
6680,91
5639,384
6257,29
3042,35
139,160
1257,258
