id	detected_lang	score	text
7889	en	0.9755	It takes the brightest minds to be a technology leader. It takes imagination to create green energy for the generations to come. At Siemens Gamesa we make real what matters, join our global team. Responsible for total Purchasing Volume (PVO) of commodities in the area of Advisory & Professional services\nSiemens Gamesa has a vision for renewable energy: we believe in the power of nature and technology. Help us to be ready to face the energy challenges of tomorrow and make a green footprint – join the team in creating a better future for us on our planet.\nWe focus on hiring the best people, wherever they may be in the world. We pride ourselves on the flexibility we offer to our employees and are committed to building a workforce that can grow with the company. Siemens Gamesa is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.\nIn our culture of trust, we focus on empowerment, diversity and continuous learning. Valuing our people is what makes us one global team, with our colleagues’ safety at the heart of our organization.\nHow to contribute to our vision\nIn close alignment with the Procurement Category Manager for Advisory Services implement a global sourcing strategy in one or more areas of Advisory & Professional Services (Mgmt. Consulting, HR Services, Financial Services, Tax Services, and/or Audit)\nLead global tendering and contracting for high profile services as well as outsourcing projects typically under senior mgmt. attention\nLead supplier activities, such as supplier introduction, qualification, and development\nIdentify and manage procurement risks, opportunities and market forces to avoid potential damage/exploit potential opportunities through tailored actions\nCooperate closely with internal customers (requesters) to ensure customer care and early involvement\nNegotiate frame contracts and define core supplier and service assortment\nPlan, monitor and report on relevant KPI to contribute to the success of the business and make results transparent\nWhat you need to make a difference\nA successful university degree in a technical and/or commercial area\nApproximately 4 years of relevant working experience in Procurement, Consulting, Finance, or other commercial or technical areas\nComprehensive experience in commodities such as Consulting\nExcellent communication skills for interacting with internal business and external collaboration partners/suppliers at senior management level\nStrong analytical and planning skills; results driven personality; excellent and experienced negotiation skills in procurement\nProficiency in English (min. C1) both orally and in writing\nFlexibility to travel approximately once or twice a month if needed\nIn return of your commitment we offer you…\nBecome a part of our mission for sustainability: Clean energy for generations to come\nA global team of diverse colleagues who share passion for renewable energy\nTrust and empowerment to make your own ideas reality\nPersonal and professional development to grow internally within our organization\nFlexible working hours as well as home-office\nAttractive remuneration package\nLocal benefits such as subsided lunch, employee discounts and much more\nEmpowering our people\nHow do you imagine the future?\nOur global team is on the front line of tackling the climate crisis, reducing carbon emissions – the greatest challenge we face.\nSeverely disabled applicants are encouraged to reach out to us. We have inclusive recruiting processes specifically for severely disabled persons in Germany and we do our utmost to tailor working spaces to suit your individual needs. In cases of severe disability, applicants who are equally qualified will be given preferential consideration.\nSiemens Gamesa is an equal opportunity employer and maintains a work environment that is free from discrimination and where employees are treated with dignity and respect. Employment at Siemens Gamesa is based solely on an individual's merit and qualifications, which are directly related to job competence. Siemens Gamesa does not discriminate against any employee or job applicant on the basis of race, ethnicity, nationality, ancestry, genetic information, citizenship, religion, age, gender, gender identity/expression, sexual orientation, pregnancy, marital status, disability or any other characteristic protected by applicable laws, rules or regulations. We adhere to these principles in all aspects of employment, including recruiting, hiring, training, compensation, promotion and benefits.\nWe are driven by people - from more than 100 different countries, they build the company we are every day. Our diverse and inclusive culture encourages us to think outside the box, speak without fear, and be bold. We value the flexibility that our smart-working arrangements, our digital disconnection framework and our family-friendly practices bring to the new way of working.
7889	en	0.9755	Req ID 65001 | Mutliva Baja, España\nSobre el equipo:\nEstamos buscando un compañero para nuestro departamento de I+D (para nuestras instalaciones de Mutilva Baja (Pamplona)). Esta posición reportará al responsable de Ingeniería de Aplicación.\nLo que puede esperar como conductor de prueba (m/f/d):\nPreparación, montaje, realización de pruebas de freno y reporte de los resultados.\nGestión del mantenimiento de los vehículos.\nCoordinación con el resto del equipo de I+D para el desarrollo de nuevos productos.\nRealización de pruebas especiales en circuitos por toda Europa.\nColaboración con clientes y empresas de servicios para la realización de pruebas y la validación de productos.\nTu perfil como Conductor de Pruebas (m/f/d):\nFPII Mecánica del automóvil y conocimientos de electrónica del automóvil.\nINGLÉS: mínimo nivel A2 hablado, escrito y leído. Se valorará muy positivamente nivel superior.\nConocimiento de herramientas ofimáticas, especialmente Excel.\nCarnet de conducir B1, se valorarán otros permisos adicionales.\nCarnet de conducir B1, se valorarán otros permisos adicionales.\nGusto por conducir y viajar, responsabilidad é iniciativa son un requisito. Autonomía en la resolución de problemas y orientación a trabajo en equipo.\nBe part of our ZF team as Conductor de pruebas (m/f/d): and apply now!\nContact\nJulia Ibele\n(+49) 7541 77963555
8140	en	0.9799	Full time\nAre you ready for new challenges in an international and innovation-driven environment where you can make a difference? Apply and join our team, be curious, learn, grow, and develop your career together with us. We promise: you are in for a special ride!\nThe location of the role is in: Oviedo\nAbout the job\nat RHI Magnesita, you will play a pivotal role in shaping and optimizing key organizational processes. Working within the Digital Transformation Department, you will lead the design, implementation, and optimization of IT Service Management processes and HR Service Delivery on the ServiceNow platform. Your main focus will revolve around HR Case Management, Service Request Management, and Knowledge Management, all while ensuring the efficiency, transparency, and continuous improvement of these critical functions. You will collaborate with global teams to implement processes, handle demands, and drive continuous process standardization across ServiceNow. As a key member of the team, you will be instrumental in facilitating efficient communication and coordination between various departments, ensuring a cohesive approach to service delivery.\nIn addition, your tasks will include\nCollaborating with relevant departments to enhance service delivery\nCollaborating with stakeholders to align on solution architecture, conceptual models, and designing effective solutions for optimizing ServiceNow functionalities\nWorking closely with Global Process Experts (GPEs) and Key Users during high incidents to accelerate workaround recommendations and issue resolution\nOverseeing and optimizing HR case workflows and implementing best practices for HR case handling\nDeveloping and maintaining a seamless service request process\nEstablishing and maintaining a robust knowledge management system, ensuring that knowledge resources are up-to-date and easily accessible\nAbout You\nYou are a strong communicator with a collaborative attitude. With your great enthusiasm and creative mindset, you bring new ideas to the table, not only as an individual but also together with your colleagues. You work well in cross-functional teams and are not afraid to take responsibility and make decisions. With your hands-on mentality, structured approach and analytical skills, you proactively seek to improve the status quo. You see change as something positive, can adapt quickly and you like to courageously help shaping the future of RHI Magnesita.\nWhat we expect from you in terms of\nEducation & Skills\nHigher education in IT, Computer Engineering, or related field\nDeep understanding of IT service management processes (i.e. knowledge of standard ITSM and ITOM modules), ITIL certification is a plus\nExtensive knowledge and experience with the ServiceNow system - ServiceNow certification is a plus\nUnderstanding of fundamental Human Resources processes and familiarity with essential tools supporting these processes\nLanguages\nEnglish - Proficient/Fluent\nAny other language is considered an asset\nWork Experience\nSeveral years of experience in the field\nProven expertise in ownership, optimization, and driving improvements within organizational processes\nProficient in utilizing ServiceNow for process optimization and management, showcasing proficiency in service delivery strategies and methodologies\nWhy you should work for RHI Magnesita\nYou will perform in a customer focused environment. We live innovation and appreciate an open and pragmatic way of working. From our leaders we expect to drive our further transformation, to engage our people and to give direction. RHI Magnesita is a company where you can be yourself and where not only your resume and experience, but also your personality counts. We aim for global consistency in compensation policies, but also consider local common practices. RHI Magnesita is committed to support its employees through various means to enable the best possible performance.\nWe offer\nA permanent contract\nFlexible working hours for the perfect balance between your professional and personal life\nRHIM Academy for your ongoing learning & development, including full LinkedIn Learning catalogue\nMeal allowance\nPrivate medical insurance\nPossibility of up to 50% home office\nEmpowerment to take responsibility and forge your own career success\nOpportunities to learn, lead, and build something new with colleagues from around the world\nSounds like you?\nAt RHI Magnesita everyone is welcome and encouraged to apply. We evaluate applications based on required qualifications and regardless of gender identity, nationality, ethnic origin, religion, disability, age, sexual orientation, marital or partnership status. At RHI Magnesita we appreciate the value of diverse teams.\nWe kindly ask you to submit your application online and in English. Due to data privacy reasons, applications via e-mail cannot be taken into consideration. Should you have any questions about this position, please contact us at:\nAgencies may only submit candidates for positions for which they have been invited to do so by the Head of Talent Acquisition Europe. All unsolicited resumes sent to us will be considered property of RHI Magnesita and our company will not be held liable to pay a placement fee.\nAbout RHI Magnesita\nWe are the acknowledged technology leader in the refractory industry. Our company is defined by people. We are committed to diversity and know that multiple approaches, perspectives and backgrounds fuel creativity and innovation. It is our aspiration to build a workplace culture where everyone feels valued, engages, and can enjoy a truly inclusive environment and the diverse voices of our employees are heard. We foster a collaborative culture that cherishes ideas and determination to add value for our customers. Our leadership style encourages open-mindedness, reliability, pragmatism, and innovation.\nFind & follow us:\n, ,
8140	en	0.9799	¿Tienes experiencia en atención al cliente en pescaderías? ¿Has trabajado con cuchillos anteriormente?\nNuestro cliente, una importante cadena de hipermercados te está buscando!\nTus responsabilidades incluirán:\n- Atención al público en varias tiendas.\n- Manipulación de productos.\n- Preparación de pedidos.\n- Mantenimiento de la limpieza y el orden en el local.\nRequisitos del puesto:\n- Formación: Educación Secundaria Obligatoria.\n- Conocimientos: pescadería, manejo de cuchillos, alimentos perecederos.\n- Experiencia: Mínimo 1 año.\n- Experiencia previa indispensable en pescaderías.\n- Habilidad para manejar cuchillos.\n- Buenas habilidades sociales.\nBeneficios:\n- Contratación estable con posibilidad de integración en plantilla.\n- Salario competitivo.\n- Seguro médico\n- Puedes elegir si quieres trabajar a media jornada o turnos rotativos a jornada completa (mañana y tarde)
8356	en	0.9859	Job Description:\nHi, did you know that ...\nDXC Technology is a large global consulting and professional services company specializing in technology consulting, digital transformation, and technology solutions. With a presence in over 70 countries, DXC works with several industries to drive innovation and business efficiency, while offering exciting opportunities for junior professionals seeking growth and development in the exciting world of consulting and technology.\nWe are seeking an IT passionate Junior System Engineer with Knowledge/experience in Microsoft & Linux environments for our Delivery Center in Asturias.\nMore about us ... 📝\nWe are a team that shares a common goal. To achieve this we collaborate and work together.\nThat goal is to add value, to each other and the customer 🎯.\nWe are a very large company, but also close and human, where relationships are nurtured and communication is encouraged.\nWith representation from all generations: X, Y and Z. This is the only way we can all grow and contribute.\nFor us training is a Win-Win 🏆, we grow on a personal level and we do our work much better.\nOur values are: Deliver, Care, Collaborate, Do the right thing, and Community (and they summarize our culture very well).\nWhat are we looking for? 🔍\n• Bachelor's degree in a relevant field or equivalent combination of education and experience\nTypically, 1+ year of relevant work experience\nProven experience in infrastructure technology analysis\nProficiencies in data analysis and problem-solving\nA continuous learner that stays abreast with industry knowledge and technology. * Available for work schedule 24x7\nTo provide escalated technical support to customers by handling L1- L2 systems-related issues.\nTo analyze and resolve program support deficiencies and to conduct testing to enhance performance.\nTo perform repairs, maintenance and upgrades of existing systems using solutions in accordance with standard operating procedures. Investigates and resolves matters of significance.\nTo provide End User support\nTo provide work guidance to less experienced personnel.\nWhat will you find in DXC? ✔️\nWe offer a dynamic platform to boost your career.\nCollaborating on innovative projects, while providing you with continuous learning opportunities and an environment where talent thrives, allowing you to develop a career and build a solid future in the world of consulting and technology.\nFlexibility and work-life balance.\nExcellent work environment.\nA company that is ethical and social responsable.\nJob stability.\nAccess to DXC University with unlimited certifications.\nSocial benefits.\nIs it a match? 😉🚀\nRecruitment fraud is a scheme in which fictitious job opportunities are offered to job seekers typically through online services, such as false websites, or through unsolicited emails claiming to be from the company. These emails may request recipients to provide personal information or to make payments as part of their illegitimate recruiting process. DXC does not make offers of employment via social media networks and DXC never asks for any money or payments from applicants at any point in the recruitment process, nor ask a job seeker to purchase IT or other equipment on our behalf. More information on employment scams is available .
8356	en	0.9859	Descripción :\n¿Buscas un nuevo reto profesional en el área de administración? ¡Esto te interesa!\nDesde Grupo Crit Santander buscamos administrativo/a para incorporación en empresa situada en Santander.\nBuscamos una persona con conocimientos de contabilidad. Tus principales funciones serán:\n- Control, gestión y contabilización facturas proveedores\n- Conciliaciones bancarias\n- Preparación y presentación de impuestos\n- Control de comisiones financieras\n- Control del inmovilizado\n¿Qué ofrecemos?\n- Contrato inicial de sustitución de maternidad a través de la empresa usuaria y posteriormente contrato indefinido.\n- Salario: entre 18.000 y 22.000 euros brutos anuales, en función del perfil y experiencia aportados.\n- Jornada de Lunes a Viernes de 8.30 a 13.30 y de 15.30 a 18.30h.\nSi buscas un nuevo reto profesional y tienes el perfil que buscamos, ¡apúntate a la oferta! Queremos conocerte.\nRequisitos mínimos :\n- Grado en ADE o FP de Grado Superior en Administración y finanzas\n- Experiencia de al menos 2 años en posición similar
7553	en	0.958	Offer Description\nPERMANENT CONTRACT TECHNICAL SCIENTIFIC ACTIVITIES LINKED TO LINES OF RESEARCH\nArticle 23.bis of Law 14/2011 on Science and Technology\nRequirements\nResearch Field Computer science » Digital systems Education Level Bachelor Degree or equivalent\nSkills/Qualifications\nPrincipal tasks and duties:\nDevelopment of solutions for Edge/IoT environments.\nSecurity systems Orchestration.\nIntegration with environments of distributed programming.\nTest planning and monitoring of indicators.\nParticipation in control meetings.\nSpecific Requirements\nQualification required for eligibility for the selection process (generic):\nBachelor's Architecture, Engineering, Degree or Master's Degree\nInternal Application form(s) needed\nConvocatoria R-441-24 p37403 TitS.pdf\nEnglish\n(604.41 KB - PDF)\nAdditional Information\nAdditional comments\n1.- Name of the line of research in regard to which the contract is established - Reference or\nidentification code.\nResearch in cybersecurity, 5G and Digitization of intelligent systems and infrastructures\n2.- Principal researcher\nAntonio F Skarmeta Gómez\nDepartment: Information and Communications Engineering\n3.- Project assigned to the line of research covering the contract.\nTitle Flexible, scalable and secure decentralized operationg\nFunding organisation European Commission, in the framework of the Horizon Europe\nProgramme\nGrant Agreement Project 101070473 - FLUIDOS\nReference HORIZON-CL4-2021-DATA-01\nJUSTO No. 37403\nPlace of work: Faculty of Computer Science\nWork Location(s)\nNumber of offers available 1 Company/Institute UNIVERSITY OF MURCIA Country Spain State/Province Murcia City Murcia Postal Code 30100 Street Campus Universitario de Espinardo Geofield\nWhere to apply Website\nContact State/Province\nRegión de Murcia City\nMurcia Website\nStreet\nUniversidad de Murcia Postal Code\n30100 E-Mail\nskarmeta@um.es\nselepas@um.es\nSTATUS: EXPIRED
7553	en	0.958	En qué consiste el trabajo:\nDesde nuestra delegación de Tudela precisamos incorporar un/a ADMINISTRATIVO/A para una importante empresa de conservación de alimentos en la zona de la Bisimbre (Zaragoza).\nFUNCIONES:\n- Gestionar el transporte para la recogida o la entrega de mercancías.\n- Controlar que vehículos y chóferes posean la documentación correspondiente.\n- Gestionar presupuestos, albaranes y facturas\n- Gestionar y tramitar las incidencias en almacén\n- Preparar y gestionar la documentación de transporte necesaria.\n- Gestionar incidencias de entregas y gestión de tráfico.\nSE OFRECE:\n- Salario según convenio\n- Horario por turnos, de 8:00-16:00 o de 10:00-18:00.\n- Contrato inicial a través de IMAN TEMPORING con posibilidad de paso a empresa.\nDesde IMAN Temporing, empresa especializada en RRHH, queremos acompañarte en tu trayectoria laboral.\n#Conectamoseltalentoconlasoportunidades\nSe valorará:\nREQUISITOS:\n- Carnet de conducir y coche propio.\n- Residir en la zona de Bisimbre.\n- Experiencia de 2 años en un puesto similar.\n- Valorable formación en gestión de logística y almacén.\nSomos una empresa comprometida con la igualdad y no discriminamos por género, etnia, orientación sexual, diversidad funcional, edad u otros aspectos protegidos por la legislación. Éste proceso de selección se basa en criterios objetivos de profesionalidad, méritos y capacidad.
7893	en	0.978	It takes the brightest minds to be a technology leader. It takes imagination to create green energy for the generations to come. At Siemens Gamesa we make real what matters, join our global team.\nIt takes the brightest minds to be a technology leader. It takes imagination to create green energy for the generations to come. At Siemens Gamesa we make real what matters.\nSiemens Gamesa has a vision for renewable energy: we believe in the power of nature and technology. Help us to be ready to face the energy challenges of tomorrow and make a green footprint – join the team in creating a better future for us on our planet.\nWe focus on hiring the best people, wherever they may be in the world. We pride ourselves on the flexibility we offer to our employees and are committed to building a workforce that can grow with the company. Siemens Gamesa is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.\nIn our culture of trust, we focus on empowerment, diversity and continuous learning. Valuing our people is what makes us one global team, with our colleagues’ safety at the heart of our organization.\nHow to contribute to our vision\nWe are a dedicated Corporate internal transformation team under our Chief Finance Officer supporting our Business Units and Functions. To support our Project Managers in the delivery of our internal project pipeline, we are looking for an intern to:\n· Contribute to running projects by providing data analytics support as well as presentation / workshops preparation.\n· Support company´s thought leadership with benchmarking and training design.\n· Support projects ad hoc requests\nWhat you need to make a difference\n· Passion for renewable energy and a sense for the importance to lead the change.\n· Previous working experience as intern in a company, especially in corporate functions is appreciated (2-4 years)\n· Background in Finance / Business administration and/or Mathematics / Digital Sciences / Engineering\n· Strong ownership and problem solving oriented\n· High knowledge of Office365 applications\n· Knowledge of Power BI / Power Platform is an advantage\n· English: C1, Spanish & German is a plus\n· Madrid based (apply only if you have work permit (DNI/NIE) and Social Security Number available)\n· 6 months contract - renewable\nIn return of your commitment, we offer you…\n· Become a part of our mission for sustainability: Clean energy for generations to come\n· A global team of diverse colleagues who share passion for renewable energy\n· Trust and empowerment to make your own ideas reality\n· Personal and professional development to grow internally within our organization\n· Flexible working hours as well as working from home\n· Attractive remuneration package\n· Local benefits such as subsided lunch, employee discounts and much more\nEmpowering our people\nHow do you imagine the future?\nOur global team is on the front line of tackling the climate crisis, reducing carbon emissions – the greatest challenge we face.\nSeverely disabled applicants are encouraged to reach out to us. We have inclusive recruiting processes specifically for severely disabled persons in Germany and we do our utmost to tailor working spaces to suit your individual needs. In cases of severe disability, applicants who are equally qualified will be given preferential consideration\nSiemens Gamesa is an equal opportunity employer and maintains a work environment that is free from discrimination and where employees are treated with dignity and respect. Employment at Siemens Gamesa is based solely on an individual's merit and qualifications, which are directly related to job competence. Siemens Gamesa does not discriminate against any employee or job applicant on the basis of race, ethnicity, nationality, ancestry, genetic information, citizenship, religion, age, gender, gender identity/expression, sexual orientation, pregnancy, marital status, disability or any other characteristic protected by applicable laws, rules or regulations. We adhere to these principles in all aspects of employment, including recruiting, hiring, training, compensation, promotion and benefits.\nWe are driven by people - from more than 100 different countries, they build the company we are every day. Our diverse and inclusive culture encourages us to think outside the box, speak without fear, and be bold. We value the flexibility that our smart-working arrangements, our digital disconnection framework and our family-friendly practices bring to the new way of working.
8126	en	0.983	Job Description\nIn this role, you will be responsible of sourcing of the Corporate Materials & Services category in the EMEA region in accordance with Global Procurement policies, systems, and procedures, while contributing to the execution of the Global Procurement strategies through active participation on assigned Category Excellence Teams.\nCategory includes a regional portfolio of materials & services related to:\nFinance.\nHR.\nFleet.\nMarketing & Communications.\nProfessional Services (Consulting, Legal).\nTravel & Entertainment.\nIn addition, it requires extensive internal interaction with the regional Procurement organizations, and the key stakeholders (HR, Finance, Corporate…) in the different countries within the EMEA region, to ensure they are supported for spend management from supplier discovery Request For Information (RFI), vendor selection and award and sourcing execution with proper agreements in place. It requires close monitoring of KPI's on service delivery against standards, resolve/reconcile price discrepancy and disputes with vendor to support sites and meet customer request in most efficient and effective manner and at the lowest cost and administrative effort.\nYou will manage relationships with key suppliers, ensure alignment with IFF business objectives. align sourcing strategies with regional and local business needs. Regional external interactions with suppliers and extensive market/network knowledge will be required.\nThe role will include responsibility for year over year savings in the cost of corporate material & services, continuous improvements in working capital, supplier development and collaborating with suppliers to drive IFF's digital strategy and innovation programs.\nYou will be a valued business partner across the organization and support initiatives to achieve the company's strategic objectives. The scope of this position includes effective products/services and competitive market intelligence to dynamically evaluate IFF competitive advantage.\nResponsibilities\nDevelop strong sourcing capabilities within IFF in EMEA, that support the organization in delivering successful corporate materials and services regionally.\nMaintain connections with the main internal stakeholders to understand demand and future trends in their needs.\nSupport the development of regional category strategies for your categories, to ensure objectives are met, with lowest life cycle costs.\nImplement strategies within the portfolio, driving results and achieving strategic objectives.\nExecute a disciplined application of IFF's strategic sourcing methodology: Perform continually spend analysis on assigned categories and sub-categories, assess market intelligence, and develop full market analysis, Identify and approve new vendors to diversify supply portfolio.\nUnderstand and apply the principals of SRM within the category and region: Develop new and existing supplier partnerships and collaboration to support growth strategy with innovation and technology, support technology buying by accessing supplier capabilities and reduce non-value-added suppliers.\nProvide continuous impactful communication to stakeholders. Be the advocate of the regional spend.\nNegotiate master agreements with vendors.\nNegotiate and resolve vendor performance issues and negotiate claims, when necessary.\nEnsure coordination both within the EMEA region and with also other regions within IFF.\nOptimization and continuous improvement in service quality through collaboration with the stakeholders.\nReduction of working capital through payment term negotiation and collaboration with the stakeholders on long terms plans & initiatives.\nJob Requirements\nYour Bachelor, or master's degree, preferably in Business, Engineering, Economics or Supply Chain. Chemical background a plus.\nGood verbal, interpersonal, and written communications.\nNegotiation skills and experience (\n3 years). * You must be able to prioritize tasks and function effectively under pressure.\nWe will rely on your minimum 3 - 5 years in procurement of Corporate Materials and Services.\nERP (SAP / Oracle) knowledge.\nExperience in the F&F industry including an understanding of religious certifications, regulations, and REACH.\nExperience with Office 365, procurement tools, and sourcing tools.\nCPSM (Certified Professionals in Supply Management) / ISM or equivalent.\nThe preferred candidate will be fluent in English (written and spoken).\nIFF is an Equal Opportunity Employer.\nAt IFF, we believe that your uniqueness unleashes our potential. We value the diverse mosaic of the ethnicity, national origin, race, age, sex or veteran status. We strive for inclusive workplace that allows each of our colleagues to bring their authentic self to work regardless of their religion, gender identity & expression, sexual orientation, or disability.\nVisit IFF.com/careers/workplace-diversity-and-inclusion to learn more.\n#LI-LV1
