ngram,Frequency,relative_freq
"('NOUN', 'ADP')",240610,7.4961523842755575
"('DET', 'NOUN')",223503,6.96318750817813
"('ADP', 'NOUN')",206434,6.431406513842069
"('ADP', 'DET')",150810,4.698452853466593
"('NOUN', 'PUNCT')",148171,4.6162353806179866
"('PUNCT', 'SPACE')",121758,3.793344092118463
"('NOUN', 'ADJ')",120651,3.7588557471228556
"('PROPN', 'PROPN')",107250,3.3413504975418875
"('PROPN', 'PUNCT')",81026,2.5243474630660048
"('SPACE', 'PROPN')",72006,2.2433313186573534
"('ADJ', 'ADP')",70462,2.195228333406028
"('ADJ', 'PUNCT')",66873,2.0834138165232505
"('PROPN', 'ADP')",64464,2.008361943809233
"('ADP', 'PROPN')",62587,1.9498844157543507
"('NOUN', 'CCONJ')",59509,1.8539899930836383
"('VERB', 'DET')",53720,1.6736349531743608
"('PUNCT', 'PROPN')",53115,1.6547863093420732
"('VERB', 'ADP')",51676,1.6099545763261034
"('PUNCT', 'NOUN')",48935,1.524559315591723
"('CCONJ', 'NOUN')",47532,1.4808491547707319
"('PRON', 'VERB')",38377,1.1956271146309092
"('ADJ', 'NOUN')",35381,1.1022873841820935
"('ADP', 'VERB')",33862,1.0549632685106145
"('SPACE', 'PUNCT')",33189,1.0339960994211441
"('VERB', 'NOUN')",32955,1.02670588015378
"('PUNCT', 'VERB')",32242,1.004492519736555
"('PUNCT', 'ADP')",31400,0.9782601922873219
"('ADJ', 'CCONJ')",25308,0.7884652530703039
"('PROPN', 'ADJ')",25100,0.7819850581659802
"('NOUN', 'SPACE')",24144,0.7522010854326464
"('SPACE', 'NOUN')",22261,0.693536628678601
"('SPACE', 'VERB')",21272,0.6627245480998698
"('PROPN', 'SPACE')",19839,0.6180797437830631
"('PUNCT', 'PUNCT')",19185,0.5977045155742761
"('NUM', 'NOUN')",19079,0.5944021085557266
"('PROPN', 'CCONJ')",18899,0.5887942475808311
"('ADP', 'NUM')",18733,0.5836225535706497
"('DET', 'ADJ')",18469,0.5753976908074697
"('CCONJ', 'VERB')",17891,0.5573902261214164
