POS,Frequency,relative_freq
NOUN,667806,20.740733838957944
ADP,515882,16.022274813807154
PUNCT,396414,12.311834970091125
PROPN,356396,11.068955021771675
DET,278625,8.653541546316829
ADJ,244987,7.608811782171452
VERB,202379,6.285491555323655
SPACE,187353,5.818813707768854
CCONJ,126115,3.9168825199237216
PRON,75467,2.3438557913894735
ADV,46539,1.4454093136798165
AUX,44197,1.3726714247557286
NUM,43668,1.3562417308014834
SCONJ,28632,0.8892533030207033
SYM,2984,0.09267713943188664
INTJ,1853,0.05755051587375535
PART,466,0.014473038530582835
X,17,0.000527986384162893
