ngram,Frequency,relative_freq
"('NOUN', 'ADP', 'NOUN')",124485,3.8904237166305187
"('ADP', 'DET', 'NOUN')",120002,3.750320334522998
"('DET', 'NOUN', 'ADP')",84300,2.634556125733644
"('ADP', 'NOUN', 'ADP')",65102,2.034577377194682
"('NOUN', 'ADP', 'DET')",64797,2.0250454718761914
"('NOUN', 'PUNCT', 'SPACE')",54231,1.6948352699248073
"('ADP', 'NOUN', 'PUNCT')",53720,1.6788654219977623
"('PROPN', 'PROPN', 'PROPN')",47654,1.4892898886798467
"('VERB', 'DET', 'NOUN')",44628,1.3947208870609855
"('DET', 'NOUN', 'ADJ')",44246,1.3827825663014333
"('DET', 'NOUN', 'PUNCT')",42343,1.3233097275437686
"('NOUN', 'ADJ', 'PUNCT')",40715,1.2724312296470384
"('NOUN', 'ADJ', 'ADP')",39455,1.233053522429667
"('PUNCT', 'SPACE', 'PROPN')",38944,1.2170836745026221
"('ADP', 'NOUN', 'ADJ')",36514,1.1411409534405492
"('NOUN', 'CCONJ', 'NOUN')",33067,1.033414797267312
"('ADJ', 'ADP', 'DET')",26805,0.8377138428266944
"('ADJ', 'PUNCT', 'SPACE')",26588,0.8309321265837025
"('PUNCT', 'SPACE', 'PUNCT')",24850,0.7766158923425985
"('NOUN', 'PUNCT', 'NOUN')",24757,0.7737094425241735
"('PROPN', 'PUNCT', 'PROPN')",24657,0.7705842276656519
"('VERB', 'ADP', 'DET')",24596,0.7686778466019539
"('SPACE', 'PROPN', 'ADP')",23465,0.7333316665520754
"('PROPN', 'ADP', 'NOUN')",22814,0.7129865178231004
"('PROPN', 'PROPN', 'PUNCT')",22641,0.7075798961178581
"('CCONJ', 'NOUN', 'ADP')",22549,0.7047046984480183
"('ADP', 'NOUN', 'CCONJ')",22517,0.7037046296932914
"('ADJ', 'ADP', 'NOUN')",22012,0.6879222946577578
"('PROPN', 'ADP', 'PROPN')",21251,0.6641394095844089
"('DET', 'NOUN', 'CCONJ')",20114,0.6286057166430192
"('ADP', 'PROPN', 'PUNCT')",19994,0.6248554588127934
"('NOUN', 'ADP', 'PROPN')",18814,0.5879779234822394
"('PROPN', 'PUNCT', 'SPACE')",18735,0.5855090037440074
"('NOUN', 'ADJ', 'CCONJ')",15921,0.49756545762521176
"('ADP', 'PROPN', 'PROPN')",15906,0.4970966753964335
"('VERB', 'NOUN', 'ADP')",15793,0.49356518260630416
"('DET', 'ADJ', 'NOUN')",15657,0.4893148903987149
"('NOUN', 'ADP', 'VERB')",15576,0.4867834663633125
"('PUNCT', 'SPACE', 'NOUN')",15509,0.48468957240810306
"('PUNCT', 'SPACE', 'VERB')",15235,0.4761264836957541
"('ADJ', 'NOUN', 'ADP')",15127,0.47275125164855086
"('PUNCT', 'PROPN', 'PUNCT')",14195,0.4436242491671303
"('VERB', 'ADP', 'NOUN')",13929,0.435311177643463
"('PUNCT', 'NOUN', 'ADP')",13803,0.4313734069217258
"('PUNCT', 'PROPN', 'PROPN')",12726,0.39771484289544906
"('PUNCT', 'NOUN', 'PUNCT')",12563,0.39262074267605895
"('ADP', 'VERB', 'DET')",12073,0.3773071898693035
"('SPACE', 'PROPN', 'PROPN')",12069,0.37718218127496267
"('PUNCT', 'DET', 'NOUN')",11745,0.3670564851333529
"('NOUN', 'SPACE', 'PROPN')",11608,0.3627749407771784
"('SPACE', 'PUNCT', 'PROPN')",11588,0.36214989780547413
"('NOUN', 'PUNCT', 'ADP')",11285,0.3526804967841539
"('PROPN', 'SPACE', 'PROPN')",11199,0.3499928120058254
"('SPACE', 'PROPN', 'ADJ')",11133,0.3479301701992012
