id,salary_paragraphs
4165,[]
96,"['¿Te encuentras en búsqueda de una oportunidad que te permita obtener experiencia laboral en una importante empresa multinacional? ¡Sigue leyendo!Nuestro cliente, una importante empresa de soluciones intralogísticas en materia de vehículos de manutención ubicada en Pallejá, se encuentra en búsqueda de un/a administrativo/a de planificación para cubrir una baja maternal de larga duración. ¿Qué ofrecemos?-Contrato de sustitución a través de Adecco, de larga duración: desde Mayo a Enero/Febrero-Flexibilidad horaria de entrada y salida: 7:30hs/9:00hs a 16:00hs/18:00hs-Jornada intensiva los días Viernes-Salario 27.000 / 33.000 según experiencia-Cantina subvencionada con menú completo-Teletrabajo al 50% a partir de los tres meses']"
5813,[]
7563,['Salario: A concretar']
5053,[]
3446,['Salario: A concretar']
6702,[]
6139,"['Programa de beneficios con interesantes descuentos para toda nuestra plantilla Programas de reconocimiento para nuestros mejores embajadores Ofrecemos un salario bruto competitivo regido por nuestro V Convenio Colectivo que se podrá ver incrementado por las variables que generes cuando realices turnos partidos, trabajes en días festivos, domingos, nocturnidades, etc. pudiendo alcanzar una horquilla de entre 22.500 y 25.500 euros brutos anuales a jornada completa* Ofrecemos un programa de formación completo, uniforme y la oportunidad de unirse a un equipo en expansión con oportunidades de promoción. Ser parte de una Empresa en la que puedas desarrollar tu trabajo siendo tú mismo/a.']"
2243,"['Ambiente de trabajo internacional, dinámico e inclusivo Formar parte de un proyecto ambicioso en el que no pararás de crecer Gran oferta de cursos de alto nivel, tanto de hard como de soft skills Certificaciones formativas a cargo de la empresa Formación continua en inglés Salario competitivo acorde a tu perfil profesional Tickets Restaurantes Tickets Guardería Seguro de vida y seguro de salud Contrato de trabajo indefinido Modelo de trabajo híbrido']"
8336,['Pago de muy interesante comisión por curso vendido.Con opción a contrato del régimen general por media jornada por logro de objetivo mensual.']
6104,['🌱 Crecimiento y estabilidad: Un lugar donde tu carrera puede florecer en un proyecto lleno de oportunidades en grandes proyectos que aumentarán tu expertis. ⏰ Flexibilidad: Un horario que se adapta a ti (08:30 - 14:00 y 15:00 - 17:30) para que puedas equilibrar trabajo y vida personal. 💰Condiciones salariales: banda salarial 22.000€ B/A - 30.000€ B/A']
2559,"['DESCRIPCIÓN: ¿Quieres trabajar en una empresa que te apoye y ayude a vender productos y servicios de Movistar combinando un salario fijo con un atractivo plan de comisiones? Si te apasiona el mundo comercial y buscas un empleo estable... ¡La vacante que CommCenter ofrece en Sevilla te va a interesar! La funciones del puesto consisten en recibir, orientar y aconsejar al cliente, ofreciendo los productos y servicios del porfolio y realizar el reporte de ventas y la gestión administrativa derivada de las ventas.']"
4344,"['Salario fijo + variable. Furgoneta para uso personal, móvil y gastos. Contratación indefinida.']"
7780,[]
8285,[]
8657,['- Salario por convenio']
3280,['Sueldo: 9€ brutos/hora']
7961,"['Salario competitivo y acorde a experiencia aportada. Contratación indefinida, estabilidad y crecimiento profesional. Dedicación:']"
612,[]
7091,[]
6062,[]
3809,"['Pago base inicial de 13€/h + plus nocturnidad o fin de semana. Sueldos medios incluidas horas para clase social I (solteros) 2.200-2.400€ netos. Casados, clase social III, 2.500-2.700€ netos. Posibilidad de ayuda estatal para familia, por niño de 250€ mensuales (Kindergeld)', 'Tras superar los 6 primeros meses de trabajo, aumento a 13,50€/h. También se puede pasar a ser conductor „Springer“ (14,75 €/h) conociendo al menos 6 rutas diferentes de la compañía. En este caso, solteros ya pueden superar los 2.500€ netos mensuales', 'Paga de Navidad tras 1 año de antigüedad en la empresa']"
3334,[]
8266,[]
7116,[]
1454,['Contarás con una retribución fija además de la participación en los resultados y beneficios.']
1398,['Salario entre 1500-1800 Brutos al mes']
7563,[]
1546,"['¿Estás buscando tener un empleo estable, con un buen salario y muchas oportunidades de crecimiento? ¡Esta es tu empresa!', '- Posición estable, con un salario atractivo y posibilidades reales de crecimiento profesional, en un ambiente de trabajo muy positivo, dinámico, motivado y emprendedor.', '- Posibilidad de retribución flexible con grandes ventajas fiscales (transporte, comida, guardería, seguros de salud...).']"
4048,[]
1147,[]
1316,[]
783,[]
