data,num_samples,statistic,value
doclen-space_tokenized,10000,mean,304.3855
doclen-space_tokenized,10000,std,234.8822
doclen-space_tokenized,10000,median,236.0
doclen-bert_tokenized,10000,mean,426.1634
doclen-bert_tokenized,10000,std,312.6629
doclen-bert_tokenized,10000,median,339.0
space_tokenized,10000,STTR,0.4298
ngrams,10000,ngram_vendiscore,242.1171
BERT_embeddings,10000,embedding_vendiscore,1.3889
lemmas,10000,STTR,0.383
paragraphs_per_doc,10000,mean,15.9729
paragraphs_per_doc,10000,std,12.0621
paragraphs_per_doc,10000,median,13.0
lists_per_doc,10000,mean,0.9121
lists_per_doc,10000,std,1.4016
lists_per_doc,10000,median,0.0
paragraph_len-space_tokenized,10000,mean,18.9916
paragraph_len-space_tokenized,10000,std,26.021
paragraph_len-space_tokenized,10000,median,10.0
elements_per_list,10000,mean,5.1243
elements_per_list,10000,std,2.598
elements_per_list,10000,median,5.0
salary_info,10000,percentage,55.22
salary_info,10000,mean_lines_per_doc,0.6183
other_language_detected,10000,percentage,2.06
