id,token_cnt
31699,514
29039,523
30780,216
30752,736
25670,350
30292,397
23367,423
32124,724
27913,485
23324,172
30817,491
25474,579
22564,597
20878,1359
26745,413
23808,418
21355,662
24081,703
23163,113
26693,162
26870,343
21055,310
29399,878
25640,393
24283,686
31485,760
26152,1104
32653,734
22768,271
21805,395
31583,300
20886,381
21051,336
26269,462
22585,666
28545,124
31468,355
26148,384
27329,413
27049,755
32316,163
29962,158
26470,365
22756,524
22157,391
26551,734
25603,756
31685,1056
25559,389
24373,282
22463,480
29817,384
32452,584
24694,816
25873,91
23589,547
22147,875
23398,296
26765,271
30215,815
27147,374
30662,493
23376,499
29070,456
28015,521
25017,650
25201,385
25147,826
29549,361
31683,533
31716,625
28982,582
32638,774
26664,768
30188,767
23036,686
26401,447
29567,719
21736,1192
27446,835
32420,332
28232,505
29032,805
23405,494
30107,226
24490,334
23779,380
23315,85
24085,580
23987,661
26491,808
22468,397
24592,192
26419,300
31709,1034
31731,287
24073,448
28237,749
23052,274
22780,323
32751,210
32391,297
31230,842
25878,207
32322,425
31405,1289
30335,557
23517,358
24110,224
31505,480
28772,602
30303,742
26487,604
23966,639
21617,709
24080,627
26119,172
32008,297
25067,863
29584,745
25130,726
27388,418
26639,656
24504,590
30032,339
25271,298
25199,945
24497,631
28212,196
32630,259
23573,467
21628,1775
25043,962
21034,692
20887,759
32559,182
28069,534
30396,504
32370,553
23943,577
20890,775
30290,153
32098,297
22925,582
20867,1020
28152,694
26940,380
28289,596
28863,557
23310,154
25311,655
30956,526
28272,714
21479,744
26961,342
26025,556
20929,887
21412,656
30434,616
21263,718
30753,510
26465,181
26388,330
31883,401
25845,103
28626,300
24988,581
24425,232
32362,543
22673,493
28663,749
31619,300
21308,1192
32035,355
26454,583
21229,705
27620,611
28589,997
21145,701
27923,1616
21653,658
29260,429
28681,544
31517,561
30810,224
27927,724
30435,781
30115,174
22582,626
24105,483
30905,495
28369,764
28158,741
21903,1338
32196,332
31293,360
21918,613
30125,335
22113,581
24732,500
25626,681
21830,732
26280,1622
25135,608
30221,677
31719,588
22149,439
21821,694
21122,449
29755,344
24548,531
31425,375
21935,589
26356,572
22850,665
26845,342
29952,192
21397,631
29006,223
25341,337
20930,610
29250,734
27669,367
23351,435
32776,614
22062,743
28656,564
21392,744
29721,522
30738,307
21108,626
30087,217
30027,351
29173,865
26319,227
31908,444
32194,472
22686,787
29111,666
21930,652
31565,300
25510,331
30198,373
30743,501
25517,388
24690,357
29955,362
29089,432
29254,690
31764,508
28479,712
31781,343
31355,669
31915,642
30987,277
29035,938
29409,328
20944,736
28916,1063
28695,1017
26181,704
29204,700
23910,638
25683,805
32482,312
22760,761
26443,522
30442,496
31370,572
28555,144
24403,1266
31412,346
30965,490
30265,241
32551,753
24477,608
31477,562
21494,660
25865,1264
32351,464
22123,344
23560,286
24040,677
31635,428
26583,309
22577,551
21378,694
22397,813
21011,657
26525,734
21911,355
20908,776
24158,586
26663,658
30472,274
23359,239
28533,382
31387,755
24704,1405
28938,502
31148,568
28064,480
21759,1397
26564,953
26676,843
26308,653
31773,343
28769,255
28443,576
32669,617
25583,386
21193,763
30802,710
25744,575
28364,744
31784,330
24219,699
29550,710
28827,796
21500,1349
23613,636
26717,437
25038,373
27943,647
28568,217
26158,653
29556,791
21088,769
23994,955
23540,307
22335,142
29306,1942
21451,657
21824,791
25051,750
22825,971
22407,467
27880,728
21439,1072
32353,721
28463,147
23139,254
29804,311
27544,652
27171,356
24595,421
31947,466
31181,474
28337,624
21856,728
31732,180
31506,539
27321,341
23847,599
22629,545
25698,756
23073,339
23443,491
26871,642
23354,632
29756,292
23822,248
23225,160
29222,727
25877,414
31331,443
23714,568
31914,560
29180,234
22602,535
23455,648
28941,724
28137,158
28405,399
30340,1150
30898,831
31552,677
27214,643
31026,204
32174,452
23074,253
32859,1388
31903,516
22296,353
29124,738
31055,646
20858,422
32025,353
29716,398
24899,396
29863,442
27425,336
31990,751
25388,388
26956,275
32158,330
21961,319
22295,680
31534,562
29382,328
21607,790
24023,515
31509,729
26202,353
28881,464
29098,432
25079,398
29354,589
21807,756
22855,160
21866,331
24930,487
24667,786
28585,453
28181,557
24193,472
26264,688
31653,469
27814,427
29793,772
30589,231
28674,725
29555,792
22019,711
22939,605
25557,575
30828,472
32036,507
21478,766
32485,559
22955,1333
25644,350
23015,723
31261,730
23194,192
29712,206
29615,414
21067,659
21644,362
29922,705
26587,290
21493,744
22492,458
29095,432
24447,552
23749,842
23326,112
29362,522
32466,733
30048,1070
29085,382
26865,288
30251,732
26183,943
25808,475
30747,269
25430,397
28333,398
30537,440
31080,505
31736,397
23275,253
28823,490
30907,396
22010,707
25692,1070
32379,522
25573,871
27801,963
27744,517
28019,279
23709,310
25593,787
23682,754
21189,663
23588,304
27700,423
25397,904
32007,330
31243,387
31585,300
24068,289
24429,415
29371,248
22603,493
26850,379
24209,443
30945,536
32348,567
31105,474
21469,1858
22172,448
23029,230
30991,482
28036,997
24115,530
29950,235
28575,190
30683,217
29787,293
23621,238
26715,384
26194,769
28330,238
31300,492
30724,378
23086,185
25112,371
24506,445
29373,157
24464,207
22766,418
27122,781
26126,121
25870,114
29598,666
23183,125
27307,363
26950,315
22087,602
26908,425
28058,219
24674,734
21017,1117
25705,557
28079,413
25089,480
26531,775
21560,792
23463,400
29021,294
26369,406
26849,377
27475,643
26097,523
27292,435
25836,97
31524,349
26776,412
24905,554
25101,374
31805,816
27405,328
26019,287
22078,168
23693,741
31979,1364
27681,357
29106,754
32105,497
29332,380
21894,194
28951,345
25268,450
22222,337
24893,1074
22741,738
28886,412
31104,249
28846,811
31438,658
26230,398
31284,725
22024,706
22334,567
32253,765
25139,758
27352,430
25508,401
28953,806
27570,610
32816,192
23773,594
21099,723
22419,375
21191,663
32667,357
30806,327
30798,326
26882,346
23825,550
29402,215
32313,390
25628,323
27094,484
26474,1150
31441,735
24956,487
22873,232
28817,633
26716,176
23484,605
29406,328
22511,377
26236,469
26541,690
31575,618
21377,1502
23782,380
27334,395
25745,560
31184,562
29496,563
27063,935
29764,632
23960,487
28746,431
29995,523
20995,421
28525,682
25270,293
30826,513
27287,533
29801,362
24866,547
30649,449
22369,131
29114,1486
21525,763
30095,392
24108,665
27959,544
22692,736
32461,529
28552,1463
26618,713
23572,611
31703,476
27167,549
30706,503
32203,686
27309,390
24377,225
29208,543
32854,1057
23727,528
20860,682
27245,326
24165,386
26363,378
21696,1162
28193,864
21981,711
25530,535
31680,410
24509,229
22043,724
23368,412
22068,483
22606,412
21148,707
32801,150
25308,388
32125,724
22199,582
30796,613
21268,712
25018,713
30814,231
30276,776
23301,220
22412,398
31806,324
25059,358
29195,922
31086,567
28307,310
25035,1283
25617,755
29339,320
25982,447
30663,391
23538,570
21965,621
28421,3052
32661,578
21325,984
21573,782
28368,764
29914,227
28263,340
26297,685
27709,502
32151,316
32631,208
24442,352
31256,1052
32081,808
27458,396
24628,758
21879,444
28177,683
29053,457
29991,364
26672,538
26041,193
28816,796
27117,580
28120,386
21730,766
25802,624
32380,550
28720,784
27543,716
27739,409
30485,1114
32687,426
22889,158
25182,473
32113,296
31273,707
23769,168
29367,371
32440,483
29703,497
30006,633
29169,743
22890,664
26129,263
24155,644
32255,623
25580,656
24196,252
28420,210
24980,309
23894,478
28832,239
27639,422
26478,1352
29593,788
23610,573
23172,177
29461,613
26885,286
23912,424
31769,419
28743,709
32745,329
28063,533
30462,519
31985,616
28155,1038
29979,245
21680,625
25775,535
22847,626
22206,619
28370,1300
26812,538
28920,550
28844,438
22112,435
32114,297
29225,1121
21869,413
30242,499
32293,411
24741,774
31611,578
30040,210
30903,281
25121,1105
30854,272
21375,762
25850,352
31838,234
31602,745
22322,141
28373,757
23375,144
25103,772
21954,672
22089,473
31620,255
24839,659
29176,439
28270,418
26983,593
28652,662
30426,945
25244,469
20992,1069
28148,865
28127,997
20974,811
26570,737
30813,520
32162,879
26808,312
21895,537
27499,550
26036,452
29908,633
27982,470
26926,265
23360,182
29659,597
21463,663
24466,532
27210,313
24895,182
24359,671
31786,797
22968,733
26046,1218
28992,283
26859,384
26169,487
29837,406
24844,339
23792,502
24306,618
23515,459
28711,725
21604,766
20847,1124
27169,404
22755,759
22009,687
26043,774
26115,615
25924,245
29301,285
25180,316
22235,481
28240,654
29603,1618
22384,390
21019,641
28868,328
29672,420
22437,595
29678,372
30028,477
21192,658
24563,395
22028,596
23920,532
29289,219
23462,474
21799,739
32430,288
29338,1044
28948,427
32627,472
26121,100
26959,193
21277,662
24569,166
25801,401
25650,875
23606,733
32792,868
30655,691
32556,173
22904,1271
31037,549
29705,676
21750,798
28537,671
31596,552
29736,388
28086,733
29892,366
23482,344
24766,761
27517,366
32732,233
22410,482
28651,473
24926,277
30549,475
25979,794
28616,630
22450,397
24047,864
24742,275
25660,837
25818,537
31455,452
26842,278
26277,573
25514,477
30563,724
29966,798
24272,733
27653,347
23448,274
21980,659
28094,734
27168,1131
26377,441
28600,194
24253,733
22287,741
28266,562
27713,640
31971,598
25495,584
31380,671
32866,500
31152,356
26742,359
31207,321
27105,656
31650,894
27668,419
21065,691
26367,308
21796,881
29854,538
28125,436
24765,632
29587,606
23821,331
21070,411
24584,363
28458,720
23909,891
30656,311
27300,795
30333,147
28747,849
22978,268
22265,656
26212,367
27899,610
30883,288
27036,361
23631,974
32467,762
22496,375
29780,567
26727,315
25951,214
23221,195
24035,243
24983,646
21633,1096
28800,449
27821,751
24360,472
31862,593
26898,522
22815,320
23860,565
30065,915
32070,316
28131,1055
30373,148
26125,645
23672,642
22823,371
22516,417
29123,734
29534,647
29988,259
30731,373
28284,626
29654,452
28097,562
23022,441
21862,753
31318,446
32306,497
26679,713
25302,614
25475,1615
25936,210
