id,token_cnt
31699,366
29039,353
30780,161
30752,533
25670,248
30292,269
23367,296
32124,518
27913,338
23324,115
30817,363
25474,381
22564,410
20878,997
26745,263
23808,299
21355,467
24081,464
23163,80
26693,121
26870,229
21055,197
29399,592
25640,258
24283,479
31485,508
26152,754
32653,520
22768,172
21805,284
31583,208
20886,240
21051,227
26269,305
22585,496
28545,84
31468,254
26148,270
27329,296
27049,522
32316,112
29962,96
26470,268
22756,406
22157,288
26551,518
25603,512
31685,630
25559,263
24373,200
22463,309
29817,279
32452,426
24694,554
25873,62
23589,380
22147,603
23398,213
26765,194
30215,528
27147,259
30662,354
23376,350
29070,320
28015,368
25017,483
25201,225
25147,586
29549,265
31683,382
31716,435
28982,401
32638,563
26664,586
30188,558
23036,492
26401,298
29567,504
21736,867
27446,578
32420,233
28232,345
29032,593
23405,327
30107,158
24490,216
23779,292
23315,61
24085,409
23987,447
26491,539
22468,280
24592,139
26419,203
31709,728
31731,197
24073,288
28237,528
23052,194
22780,228
32751,124
32391,201
31230,590
25878,141
32322,294
31405,967
30335,388
23517,246
24110,150
31505,326
28772,418
30303,521
26487,391
23966,426
21617,515
24080,429
26119,133
32008,211
25067,561
29584,522
25130,516
27388,296
26639,465
24504,345
30032,232
25271,205
25199,636
24497,437
28212,133
32630,155
23573,320
21628,1166
25043,719
21034,454
20887,523
32559,125
28069,355
30396,357
32370,405
23943,400
20890,552
30290,105
32098,201
22925,399
20867,658
28152,472
26940,264
28289,431
28863,401
23310,102
25311,417
30956,382
28272,489
21479,522
26961,252
26025,382
20929,629
21412,463
30434,409
21263,513
30753,372
26465,126
26388,241
31883,272
25845,70
28626,212
24988,427
24425,149
32362,397
22673,343
28663,516
31619,208
21308,867
32035,245
26454,433
21229,493
27620,428
28589,694
21145,490
27923,1135
21653,463
29260,332
28681,395
31517,407
30810,156
27927,518
30435,540
30115,115
22582,441
24105,327
30905,367
28369,543
28158,521
21903,1047
32196,233
31293,228
21918,435
30125,242
22113,421
24732,308
25626,449
21830,518
26280,1140
25135,411
30221,464
31719,398
22149,348
21821,468
21122,272
29755,234
24548,357
31425,239
21935,444
26356,400
22850,433
26845,234
29952,136
21397,447
29006,164
25341,237
20930,431
29250,512
27669,251
23351,292
32776,432
22062,521
28656,407
21392,521
29721,366
30738,204
21108,487
30087,158
30027,258
29173,603
26319,164
31908,295
32194,324
22686,548
29111,478
21930,448
31565,208
25510,229
30198,260
30743,374
25517,273
24690,237
29955,256
29089,316
29254,459
31764,330
28479,509
31781,232
31355,465
31915,433
30987,196
29035,654
29409,213
20944,520
28916,751
28695,752
26181,501
29204,495
23910,459
25683,619
32482,197
22760,520
26443,365
30442,366
31370,388
28555,91
24403,859
31412,262
30965,362
30265,169
32551,534
24477,426
31477,379
21494,463
25865,876
32351,339
22123,237
23560,191
24040,447
31635,289
26583,201
22577,371
21378,498
22397,534
21011,415
26525,518
21911,250
20908,553
24158,376
26663,463
30472,197
23359,155
28533,265
31387,521
24704,1084
28938,353
31148,398
28064,331
21759,876
26564,654
26676,602
26308,467
31773,213
28769,185
28443,378
32669,436
25583,274
21193,544
30802,467
25744,397
28364,514
31784,235
24219,516
29550,491
28827,537
21500,897
23613,465
26717,344
25038,267
27943,457
28568,177
26158,461
29556,540
21088,500
23994,637
23540,214
22335,102
29306,1291
21451,463
21824,526
25051,519
22825,717
22407,332
27880,500
21439,720
32353,519
28463,110
23139,180
29804,211
27544,446
27171,273
24595,289
31947,296
31181,347
28337,441
21856,513
31732,132
31506,376
27321,233
23847,416
22629,399
25698,506
23073,242
23443,321
26871,431
23354,417
29756,211
23822,178
23225,101
29222,521
25877,283
31331,306
23714,395
31914,376
29180,164
22602,380
23455,446
28941,518
28137,105
28405,270
30340,859
30898,594
31552,451
27214,429
31026,137
32174,311
23074,156
32859,1165
31903,385
22296,243
29124,488
31055,455
20858,294
32025,232
29716,270
24899,267
29863,304
27425,214
31990,550
25388,273
26956,201
32158,231
21961,226
22295,445
31534,384
29382,231
21607,552
24023,343
31509,519
26202,242
28881,327
29098,316
25079,275
29354,414
21807,523
22855,120
21866,218
24930,320
24667,532
28585,298
28181,419
24193,357
26264,496
31653,321
27814,303
29793,549
30589,155
28674,511
29555,541
22019,515
22939,421
25557,406
30828,302
32036,341
21478,548
32485,379
22955,919
25644,248
23015,478
31261,562
23194,138
29712,141
29615,293
21067,422
21644,282
29922,480
26587,215
21493,521
22492,304
29095,316
24447,381
23749,555
23326,77
29362,369
32466,524
30048,749
29085,235
26865,208
30251,518
26183,651
25808,342
30747,191
25430,266
28333,284
30537,315
31080,360
31736,282
23275,184
28823,355
30907,289
22010,493
25692,731
32379,360
25573,616
27801,700
27744,391
28019,205
23709,207
25593,527
23682,541
21189,467
23588,204
27700,289
25397,612
32007,229
31243,277
31585,208
24068,192
24429,285
29371,179
22603,317
26850,249
24209,350
30945,396
32348,404
31105,347
21469,1168
22172,302
23029,160
30991,350
28036,714
24115,363
29950,172
28575,145
30683,154
29787,208
23621,163
26715,256
26194,542
28330,156
31300,348
30724,250
23086,114
25112,250
24506,304
29373,85
24464,148
22766,275
27122,554
26126,74
25870,81
29598,462
23183,83
27307,250
26950,217
22087,444
26908,314
28058,142
24674,520
21017,758
25705,383
28079,292
25089,341
26531,552
21560,553
23463,261
29021,201
26369,261
26849,272
27475,459
26097,393
27292,288
25836,73
31524,244
26776,281
24905,392
25101,260
31805,568
27405,234
26019,197
22078,134
23693,518
31979,1027
27681,241
29106,521
32105,352
29332,292
21894,133
28951,240
25268,318
22222,244
24893,755
22741,520
28886,279
31104,170
28846,531
31438,468
26230,286
31284,540
22024,511
22334,375
32253,543
25139,523
27352,317
25508,276
28953,564
27570,417
32816,111
23773,384
21099,468
22419,283
21191,465
32667,245
30806,219
30798,239
26882,245
23825,400
29402,150
32313,265
25628,198
27094,335
26474,823
31441,518
24956,344
22873,165
28817,451
26716,125
23484,403
29406,225
22511,268
26236,319
26541,481
31575,417
21377,941
23782,292
27334,290
25745,396
31184,387
29496,398
27063,658
29764,450
23960,290
28746,304
29995,366
20995,317
28525,442
25270,207
30826,374
27287,335
29801,254
24866,374
30649,305
22369,97
29114,1147
21525,544
30095,267
24108,434
27959,367
22692,521
32461,352
28552,996
26618,518
23572,433
31703,328
27167,375
30706,388
32203,496
27309,281
24377,146
29208,377
32854,885
23727,380
20860,465
27245,227
24165,257
26363,250
21696,734
28193,550
21981,499
25530,369
31680,279
24509,154
22043,516
23368,276
22068,314
22606,287
21148,511
32801,96
25308,273
32125,518
22199,412
30796,449
21268,515
25018,528
30814,156
30276,553
23301,130
22412,287
31806,213
25059,253
29195,698
31086,371
28307,220
25035,955
25617,521
29339,210
25982,293
30663,291
23538,385
21965,393
28421,1965
32661,415
21325,630
21573,569
28368,543
29914,167
28263,229
26297,425
27709,340
32151,226
32631,130
24442,221
31256,764
32081,589
27458,264
24628,522
21879,317
28177,466
29053,323
29991,268
26672,379
26041,133
28816,537
27117,402
28120,263
21730,547
25802,424
32380,376
28720,530
27543,510
27739,261
30485,781
32687,260
22889,121
25182,342
32113,216
31273,500
23769,134
29367,247
32440,333
29703,358
30006,416
29169,518
22890,457
26129,186
24155,421
32255,401
25580,437
24196,178
28420,86
24980,203
23894,343
28832,176
27639,292
26478,958
29593,532
23610,416
23172,117
29461,415
26885,201
23912,283
31769,309
28743,488
32745,207
28063,356
30462,365
31985,427
28155,725
29979,177
21680,462
25775,377
22847,479
22206,406
28370,956
26812,380
28920,370
28844,310
22112,311
32114,201
29225,864
21869,286
30242,341
32293,280
24741,565
31611,407
30040,145
30903,177
25121,798
30854,197
21375,544
25850,243
31838,165
31602,530
22322,102
28373,523
23375,105
25103,555
21954,433
22089,331
31620,193
24839,463
29176,312
28270,288
26983,426
28652,455
30426,683
25244,331
20992,738
28148,614
28127,714
20974,538
26570,522
30813,342
32162,632
26808,211
21895,372
27499,387
26036,309
29908,464
27982,322
26926,178
23360,108
29659,424
21463,468
24466,389
27210,226
24895,123
24359,454
31786,522
22968,536
26046,938
28992,201
26859,273
26169,322
29837,275
24844,236
23792,378
24306,405
23515,303
28711,511
21604,548
20847,807
27169,294
22755,523
22009,484
26043,550
26115,440
25924,148
29301,209
25180,225
22235,326
28240,471
29603,1138
22384,282
21019,435
28868,236
29672,278
22437,412
29678,253
30028,340
21192,463
24563,280
22028,423
