ngram,Frequency,relative_freq
"('DET', 'NOUN')",397967,9.825367994246498
"('NOUN', 'ADP')",363944,8.98537750441129
"('ADP', 'NOUN')",313403,7.737575742463157
"('NOUN', 'PUNCT')",229966,5.677607882474904
"('ADP', 'DET')",194672,4.806237799053576
"('PUNCT', 'SPACE')",136355,3.366455140389734
"('NOUN', 'ADJ')",126835,3.131416799760419
"('VERB', 'ADP')",97296,2.4021313434737235
"('VERB', 'DET')",91160,2.2506402449336522
"('PUNCT', 'NOUN')",84067,2.0755218678240164
"('NOUN', 'CCONJ')",79568,1.9644465007556038
"('PRON', 'VERB')",77440,1.9119085187325806
"('ADJ', 'PUNCT')",64713,1.5976928715488312
"('SPACE', 'NOUN')",59575,1.4708412965327153
"('PROPN', 'PUNCT')",57073,1.4090696654135404
"('NOUN', 'NOUN')",54414,1.3434218767860877
"('NOUN', 'SPACE')",50557,1.2481967843693578
"('ADJ', 'ADP')",48121,1.188054620737739
"('ADP', 'VERB')",44146,1.0899162379644693
"('PUNCT', 'DET')",41090,1.014466955510353
"('NOUN', 'VERB')",40219,0.9929629224548767
"('SPACE', 'PUNCT')",39679,0.979630915738508
"('ADJ', 'NOUN')",38243,0.9441776534334978
"('PUNCT', 'ADP')",35850,0.8850971125589231
"('PUNCT', 'PROPN')",35794,0.8837145340846332
"('PUNCT', 'PRON')",34893,0.8614698339893586
"('CCONJ', 'ADP')",33088,0.8169063670948298
"('NOUN', 'PROPN')",32519,0.8028583822399895
"('NUM', 'NOUN')",32361,0.7989575358303852
"('SPACE', 'DET')",30271,0.747357732057773
"('PUNCT', 'VERB')",30259,0.7470614652418537
"('CCONJ', 'NOUN')",29495,0.7281991446283246
"('SPACE', 'PROPN')",29033,0.7167928722154314
"('SPACE', 'PRON')",27387,0.6761549406318335
"('ADV', 'ADP')",27219,0.6720072052089632
"('VERB', 'PUNCT')",26360,0.6507994389694062
"('ADP', 'PROPN')",26104,0.6444790802297944
"('ADJ', 'CCONJ')",25953,0.6407510561294765
"('CCONJ', 'DET')",25049,0.6184322893302222
"('ADP', 'NUM')",24841,0.6132969978542876
"('PROPN', 'PROPN')",23923,0.5906325864364608
"('DET', 'ADJ')",20825,0.5141463701266269
"('PRON', 'AUX')",20701,0.5110849463621274
"('CCONJ', 'VERB')",20578,0.5080482114989545
"('PUNCT', 'PUNCT')",20390,0.5034066980495521
"('AUX', 'VERB')",17204,0.4247478584229767
"('NOUN', 'ADV')",16545,0.4084778724487415
"('ADP', 'ADJ')",16348,0.40361415888739954
"('VERB', 'ADV')",16265,0.40156498007729113
"('ADP', 'PRON')",15828,0.39077593019756307
"('PROPN', 'ADP')",15333,0.3785549240408917
"('NOUN', 'PRON')",15110,0.37304929904505796
"('NOUN', 'DET')",15008,0.3705310311097439
"('PROPN', 'CCONJ')",14876,0.3672720961346315
"('SPACE', 'ADP')",14704,0.3630256051064549
"('SPACE', 'VERB')",14348,0.35423635623418215
"('PRON', 'PRON')",13834,0.3415462609523052
"('ADJ', 'SPACE')",13816,0.3411018607284263
"('CCONJ', 'ADJ')",13703,0.3383120148785195
"('NOUN', 'AUX')",13571,0.33505307990340716
"('VERB', 'VERB')",12273,0.30300688598146897
"('ADP', 'ADV')",12251,0.3024637301522836
"('PROPN', 'SPACE')",12061,0.29777283890022793
"('ADV', 'PUNCT')",11557,0.28532963263161715
"('PUNCT', 'ADJ')",11229,0.2772316729964895
"('PROPN', 'NOUN')",10980,0.2710841365661639
"('PUNCT', 'ADV')",10898,0.26905964665738197
"('ADV', 'VERB')",10329,0.25501166180254164
"('PROPN', 'VERB')",9780,0.24145745497423343
"('VERB', 'SPACE')",9756,0.24086492134239484
"('VERB', 'CCONJ')",9435,0.23293978401655344
"('VERB', 'NOUN')",9388,0.23177940565420282
"('ADJ', 'ADJ')",9275,0.22898955980429603
"('PUNCT', 'NUM')",8926,0.22037313324130958
"('ADJ', 'DET')",8880,0.21923744378028556
"('PUNCT', 'CCONJ')",8862,0.2187930435564066
"('AUX', 'DET')",8200,0.20244899087819165
"('NUM', 'PUNCT')",7983,0.19709149929031752
"('ADV', 'DET')",7704,0.19020329582019369
"('PRON', 'ADP')",7472,0.1844754707124205
"('CCONJ', 'PROPN')",7455,0.18405575938986812
"('ADJ', 'VERB')",6990,0.17257542027299505
"('PRON', 'PUNCT')",6887,0.17003246343635434
"('AUX', 'ADJ')",6706,0.16556377229623817
"('DET', 'PROPN')",6528,0.1611691478601018
"('PROPN', 'ADJ')",6230,0.15381185526477242
"('PROPN', 'DET')",6212,0.15336745504089347
"('ADV', 'ADJ')",5664,0.13983793711391188
"('AUX', 'ADP')",5630,0.13899851446880718
"('NOUN', 'NUM')",5470,0.1350482902565498
"('PROPN', 'PRON')",5440,0.13430762321675152
"('CCONJ', 'ADV')",5440,0.13430762321675152
"('SCONJ', 'DET')",5438,0.1342582454140983
"('VERB', 'ADJ')",5272,0.13015988779388124
"('CCONJ', 'PRON')",5065,0.12504928521927325
"('SCONJ', 'PRON')",4954,0.12230881717201966
"('SPACE', 'ADJ')",4780,0.11801294834118975
"('PROPN', 'ADV')",4465,0.110235944423308
"('ADV', 'ADV')",4326,0.10680418713890939
"('ADV', 'SCONJ')",4291,0.10594007559247808
"('SPACE', 'ADV')",4224,0.1042859192035953
"('ADP', 'ADP')",4073,0.10055789510327738
"('AUX', 'ADV')",3985,0.0983852717865358
"('ADV', 'NOUN')",3905,0.09641015968040711
"('VERB', 'PRON')",3862,0.09534853692336294
"('DET', 'PRON')",3631,0.08964540071691632
"('NUM', 'ADP')",3605,0.08900348928242449
"('ADV', 'PRON')",3578,0.08833688894660605
"('DET', 'DET')",3339,0.08243624152954657
"('ADJ', 'AUX')",3242,0.08004141810086551
"('ADJ', 'ADV')",3196,0.07890572863984152
"('PRON', 'SPACE')",3012,0.07436297079574551
"('PRON', 'DET')",3010,0.0743135929930923
"('AUX', 'NOUN')",2969,0.07330134803870134
"('ADJ', 'PRON')",2946,0.07273350330818933
"('DET', 'VERB')",2945,0.07270881440686272
"('PROPN', 'AUX')",2901,0.07162250274849194
"('SPACE', 'X')",2882,0.07115341362328638
"('ADP', 'PUNCT')",2826,0.06977083514899629
"('ADJ', 'PROPN')",2747,0.06782041194419419
"('PUNCT', 'SCONJ')",2647,0.06535152181153332
"('ADV', 'SPACE')",2642,0.06522807730490028
"('DET', 'NUM')",2555,0.06308014288948532
"('DET', 'ADV')",2554,0.0630554539881587
"('VERB', 'PROPN')",2512,0.06201852013244114
"('SPACE', 'NUM')",2481,0.061253164191316274
"('AUX', 'PRON')",2465,0.06085814177009053
"('X', 'X')",2403,0.05932742988784079
"('SCONJ', 'SCONJ')",2387,0.05893240746661506
"('CCONJ', 'SYM')",2205,0.054439027425172266
"('NUM', 'SPACE')",2200,0.05431558291853921
"('SPACE', 'SCONJ')",2109,0.05206889289781782
"('X', 'NOUN')",2072,0.051155403548733304
"('NOUN', 'X')",2001,0.049402491554544084
"('SYM', 'CCONJ')",1991,0.049155602541277994
"('VERB', 'AUX')",1982,0.04893340242933851
"('CCONJ', 'NUM')",1947,0.048069290882907206
"('PRON', 'NOUN')",1909,0.04713111263249608
"('PRON', 'ADV')",1882,0.04646451229667764
"('NOUN', 'SCONJ')",1808,0.0446375335985086
"('ADV', 'AUX')",1806,0.04458815579585537
"('ADP', 'AUX')",1735,0.04283524380166616
"('SCONJ', 'NOUN')",1707,0.04214395456452111
"('X', 'PROPN')",1666,0.04113170961013015
"('ADV', 'CCONJ')",1654,0.04083544279421085
"('X', 'SPACE')",1532,0.03782339683236458
"('PROPN', 'X')",1515,0.03740368550981223
"('AUX', 'PUNCT')",1498,0.036983974187259884
"('SPACE', 'CCONJ')",1371,0.033848483718780575
"('PROPN', 'NUM')",1367,0.033749728113474146
"('PRON', 'ADJ')",1313,0.03241652744183727
"('PUNCT', 'AUX')",1304,0.03219432732989779
"('ADJ', 'NUM')",1287,0.03177461600734544
"('X', 'VERB')",1280,0.031601793698059176
"('CCONJ', 'SCONJ')",1277,0.03152772699407935
"('NUM', 'PROPN')",1273,0.03142897138877292
"('VERB', 'SCONJ')",1248,0.0308117488556077
"('NUM', 'ADJ')",1171,0.02891070345345883
"('NUM', 'CCONJ')",1159,0.028614436637539525
"('NOUN', 'SYM')",1132,0.02794783630172109
"('ADJ', 'SCONJ')",1132,0.02794783630172109
"('CCONJ', 'AUX')",1067,0.02634305771549152
"('PUNCT', 'X')",1041,0.025701146280999693
"('SYM', 'NOUN')",1030,0.025429568366406998
"('X', 'ADJ')",1028,0.02538019056375378
"('VERB', 'NUM')",1024,0.02528143495844734
"('SCONJ', 'ADJ')",1017,0.025108612649161085
"('ADV', 'NUM')",938,0.023158189444358993
"('PRON', 'CCONJ')",927,0.022886611529766298
"('ADP', 'SPACE')",893,0.022047188884661603
"('NUM', 'DET')",860,0.021232455140883514
"('PROPN', 'SYM')",792,0.019553609850674118
