ngram,Frequency,relative_freq
"('NOUN', 'ADP', 'NOUN')",209907,5.195199587763894
"('ADP', 'DET', 'NOUN')",176787,4.37547937668594
"('DET', 'NOUN', 'ADP')",149264,3.6942849512783753
"('ADP', 'NOUN', 'ADP')",98807,2.445473879709524
"('NOUN', 'ADP', 'DET')",92195,2.2818268375704105
"('VERB', 'DET', 'NOUN')",83013,2.054572279052362
"('ADP', 'NOUN', 'PUNCT')",80313,1.98774726184492
"('DET', 'NOUN', 'PUNCT')",79386,1.9648040059370315
"('NOUN', 'PUNCT', 'SPACE')",76310,1.888672986333294
"('DET', 'NOUN', 'ADJ')",56735,1.40419161157934
"('NOUN', 'ADJ', 'PUNCT')",41405,1.0247740138793087
"('VERB', 'ADP', 'DET')",41159,1.0186855123115195
"('NOUN', 'PUNCT', 'NOUN')",40277,0.9968560066904217
"('ADP', 'NOUN', 'ADJ')",37561,0.9296349893810097
"('PUNCT', 'DET', 'NOUN')",37392,0.9254522383039514
"('NOUN', 'ADJ', 'ADP')",31089,0.7694529481341341
"('PRON', 'VERB', 'ADP')",30141,0.7459899420924101
"('DET', 'NOUN', 'CCONJ')",29700,0.7350751892818612
"('VERB', 'ADP', 'NOUN')",29374,0.7270066872042219
"('ADP', 'NOUN', 'CCONJ')",29132,0.7210171856619253
"('SPACE', 'NOUN', 'ADP')",27407,0.6783234246682818
"('PUNCT', 'SPACE', 'NOUN')",27199,0.6731754233426714
"('PUNCT', 'NOUN', 'ADP')",27116,0.671121172813702
"('SPACE', 'DET', 'NOUN')",26740,0.6618151704174063
"('ADP', 'VERB', 'DET')",23347,0.5778383987933877
"('CCONJ', 'DET', 'NOUN')",23273,0.5760068983217763
"('PUNCT', 'SPACE', 'DET')",22537,0.5577908936311551
"('PUNCT', 'NOUN', 'PUNCT')",22268,0.5511331419167841
"('PUNCT', 'SPACE', 'PUNCT')",21806,0.5396986389723996
"('NOUN', 'PUNCT', 'ADP')",21793,0.5393768888895488
"('PUNCT', 'PRON', 'VERB')",21723,0.53764438844343
"('ADJ', 'PUNCT', 'SPACE')",21668,0.5362831380929081
"('NOUN', 'CCONJ', 'ADP')",21389,0.5293778863148058
"('ADP', 'NOUN', 'SPACE')",20719,0.5127953820448109
"('PRON', 'VERB', 'DET')",20447,0.5060633803113205
"('PUNCT', 'SPACE', 'PRON')",20125,0.4980938782591737
"('NOUN', 'PUNCT', 'DET')",19687,0.4872533754677442
"('NOUN', 'ADJ', 'CCONJ')",19517,0.4830458743843126
"('ADP', 'NUM', 'NOUN')",19376,0.47955612348570176
"('ADJ', 'ADP', 'DET')",19278,0.4771306228611354
"('NOUN', 'VERB', 'ADP')",19197,0.4751258723449121
"('CCONJ', 'ADP', 'NOUN')",18725,0.4634438693367963
"('NOUN', 'CCONJ', 'DET')",18566,0.45950861832346923
"('NOUN', 'ADP', 'VERB')",18087,0.44765336527074157
"('DET', 'ADJ', 'NOUN')",17255,0.42706135996830014
"('NOUN', 'CCONJ', 'NOUN')",17209,0.4259228596751364
"('ADJ', 'ADP', 'NOUN')",17208,0.4258981096687632
"('DET', 'NOUN', 'VERB')",16352,0.4047121042133668
"('SPACE', 'PRON', 'VERB')",15267,0.3778583472985244
"('PUNCT', 'SPACE', 'PROPN')",15227,0.37686834704359934
"('NOUN', 'PUNCT', 'PRON')",14957,0.37018584532285514
"('ADJ', 'NOUN', 'ADP')",14386,0.35605359168379985
"('NOUN', 'SPACE', 'NOUN')",14318,0.35437059125042725
"('PUNCT', 'PROPN', 'PUNCT')",13376,0.33105608524694197
"('PUNCT', 'ADP', 'NOUN')",12910,0.3195225822770649
"('PUNCT', 'VERB', 'DET')",12833,0.3176168317863342
"('ADP', 'NOUN', 'NOUN')",12819,0.3172703316971104
"('NOUN', 'DET', 'NOUN')",12737,0.315240831174514
"('NOUN', 'ADP', 'PROPN')",12733,0.3151418311490215
"('SPACE', 'PUNCT', 'NOUN')",12603,0.31192433032051503
"('NOUN', 'PUNCT', 'VERB')",12436,0.3077910792562029
"('PROPN', 'PUNCT', 'SPACE')",12397,0.306825829007651
"('PUNCT', 'ADP', 'DET')",12263,0.303509328153652
"('DET', 'NOUN', 'NOUN')",11966,0.29615857626083336
"('DET', 'NOUN', 'PROPN')",11901,0.2945498258465802
"('ADP', 'PROPN', 'PUNCT')",11723,0.2901443247121636
"('DET', 'NOUN', 'SPACE')",11587,0.2867783238454184
"('NOUN', 'NOUN', 'PUNCT')",11553,0.28593682362873213
"('NOUN', 'PROPN', 'PUNCT')",11474,0.2839815731252551
"('NOUN', 'SPACE', 'PUNCT')",11455,0.2835113230041657
"('NUM', 'NOUN', 'ADP')",11281,0.2792048218952416
"('NOUN', 'NOUN', 'ADP')",11171,0.2764823211941977
"('PROPN', 'PUNCT', 'NOUN')",11063,0.2738093205059
"('NOUN', 'PUNCT', 'PROPN')",10846,0.26843856912293157
"('NOUN', 'NOUN', 'NOUN')",10743,0.2658893184664995
"('ADP', 'NOUN', 'VERB')",10505,0.25999881694969534
