id,salary_paragraphs
31699,['Politique de rémunération fixe attractive']
29039,"['· Solde de tout compte (Indemnité CP, Précarité, Attestation Pôle Emploi, Certificat de travail, DIF, BIAF )', 'Rémunération selon votre expérience.']"
30780,[]
30752,[]
25670,[]
30292,[]
23367,"['Temporis vous propose un suivi personnalisé par notre équipe, spécialisée en recrutement + des acomptes à la semaine + 21% à chaque fin de mission correspondant aux CP et aux indemnités de fin de mission + voir avantages entreprise utilisatrice.']"
32124,"['Rémunération attractive :', ""- Vous percevez une rémunération sur chaque vente de votre équipe. Plus votre réseau s'étoffe, plus vos revenus sont récurrents et indépendants de vos propres ventes.""]"
27913,"[""Job4you, cabinet de recrutement, recherche pour son client, une belle PME bretonne, spécialisée dans le domaine des énergies et de l'efficacité énergétique, un Chargé d'affaires génie climatique en CDI."", ""Avantages : salaire selon profil, 13ème mois, tickets restaurants, prime d'intéressement et de participation""]"
23324,[]
30817,"[""Vous êtes disponible N'attendez plus pour postuler, rémunération selon profil et expérience.""]"
25474,"['Localisation Avignon - 84, France - pas de déplacement Contrat CDI Salaire 40000,00 à 45000,00 EUR par an Niveau de qualification Agent de maîtrise/Bac +3/4, Ingénieur/Cadre/Bac +5 Expérience 1 à 7 ans, + 7 ans Modalités de travail Temps complet Fonction Informatique - Développement Secteur Secteur informatique/ESN Télétravail Pas de télétravail']"
22564,"[""Avec 750 collaborateurs permanents, 170 agences en France et à l'étranger et 300 MEUR de CA, nos activités travail temporaire et recrutement se structurent en 4 branches : tertiaire « Staff », médico-social « Care », BTP, Transport Logistique, Industrie « Missions » et deux cabinets de recrutement « HC Resources » et « Nextep HR ». À cela s'ajoute une offre de diversification RH : portage salarial, formation, évaluation, management de transition.""]"
20878,"['Avantages et rémunération :', ""La rémunération est composée d'un salaire fixe, se situant entre 45 000 et 50 000 euros bruts, répartis sur 13.3 mois, pour un travail de 39 heures par semaine."", ""- Plan d'épargne salariale ,"", ""Localisation Villeneuve-le-Roi - 94, France - pas de déplacement Contrat CDI Salaire 45000,00 à 50000,00 EUR par an Niveau de qualification Technicien/Employé Bac +2, Agent de maîtrise/Bac +3/4, Ingénieur/Cadre/Bac +5 Expérience 1 à 7 ans, + 7 ans Modalités de travail Temps complet Fonction BTP - Gros Oeuvre/Second Oeuvre, Bureau d'Etudes/R&D/BTP archi/conception Secteur BTP Télétravail Pas de télétravail""]"
26745,"['- Rémunération : taux horaire : 11,65€/heure + indemnité de déplacement + IFM']"
23808,['Rémunération']
21355,[]
24081,[]
23163,['Salaire selon profil']
26693,[]
26870,[]
21055,['Votre rémunération sera évaluée en fonction de votre expérience.']
29399,"['Rémunération / Avantage:', '+ 21% de rémunération à chaque fin de mission correspondant aux CP et aux indemnités de fin de missions']"
25640,['Votre rémunération sera basée entre 25K€ et 35K€ et sera déterminée en fonction de vos expériences et de votre profil.']
24283,[]
31485,"['Rémunération : 2500EUR brut sur 169h', 'Rémunération : 2500EUR brut sur 169h']"
26152,[]
32653,['Rémunération fixe de 30k à 35k annuel brut (selon expérience) + rémunération variable.']
22768,"[""Titulaire d'un CAP ou bien une première expérience dans les travaux publics ; Planning selon besoins entreprise ; Taux horaire fixe + 10% de congés payés ; CET 5% ; Acompte de paye à la semaine si besoin ; Bénéficiez d'aides et de services dédiés (mutuelle, logement, garde enfant, déplacement) ;""]"
21805,['Salaire et avantages intéressants']
31583,"[""Aujourd'hui pour notre client, nous recherchons un Gestionnaire de paie / SILAE H/F""]"
