data,num_samples,statistic,value
doclen-space_tokenized,10000,mean,384.9521
doclen-space_tokenized,10000,std,189.7084
doclen-space_tokenized,10000,median,364.5
doclen-bert_tokenized,10000,mean,551.6969
doclen-bert_tokenized,10000,std,266.3896
doclen-bert_tokenized,10000,median,522.0
space_tokenized,10000,STTR,0.4224
ngrams,10000,ngram_vendiscore,163.8614
BERT_embeddings,10000,embedding_vendiscore,1.3416
lemmas,10000,STTR,0.3681
paragraphs_per_doc,10000,mean,21.2124
paragraphs_per_doc,10000,std,11.0197
paragraphs_per_doc,10000,median,20.0
lists_per_doc,10000,mean,0.7041
lists_per_doc,10000,std,1.245
lists_per_doc,10000,median,0.0
paragraph_len-space_tokenized,10000,mean,18.0534
paragraph_len-space_tokenized,10000,std,21.1274
paragraph_len-space_tokenized,10000,median,12.0
elements_per_list,10000,mean,5.4518
elements_per_list,10000,std,2.6393
elements_per_list,10000,median,5.0
salary_info,10000,percentage,60.56
salary_info,10000,mean_lines_per_doc,0.866
other_language_detected,10000,percentage,0.39
