id,token_cnt
16263,435
16966,627
20222,360
8777,641
17806,313
13573,433
9031,527
19322,529
17006,155
13609,193
8905,879
18882,454
13713,396
16874,562
15942,529
9941,443
9040,349
16796,295
10888,284
19153,339
9565,179
15922,218
15022,663
18973,567
9655,596
16247,583
16646,501
14891,46
14800,149
11832,457
12351,116
16407,311
12711,136
11595,259
20499,348
9901,240
18621,469
13101,326
14497,325
12692,108
16528,426
10544,297
9593,292
12708,84
15987,489
11294,117
10877,435
18484,381
12452,354
9964,51
9228,300
14930,395
10746,518
16384,664
11700,200
13563,258
18795,513
20192,529
18566,281
17451,112
11125,203
19597,517
10436,169
10656,514
16512,356
13789,373
12524,202
12398,418
16805,281
18014,24
15300,498
11660,432
12871,544
19375,298
12466,177
12059,429
16504,530
19886,557
16284,445
15513,509
17770,268
13819,239
9677,353
13823,297
16703,350
17466,175
16919,312
11818,910
17232,889
16856,312
9443,664
20027,291
18348,99
19369,656
15373,423
9640,208
9909,460
8901,88
15485,305
9497,95
19777,850
13689,477
12284,218
18650,208
9054,489
11580,259
10096,526
17884,350
10281,225
15624,259
17736,529
17630,232
19314,127
19518,509
16075,385
12281,907
18058,249
19929,252
17205,179
11271,134
18719,293
12542,272
15413,340
18305,945
14207,204
9705,141
15801,307
18060,349
13208,194
12278,259
10598,583
9553,441
10050,121
15234,479
9657,417
19869,828
18276,200
12236,286
10630,269
13264,171
12402,785
12833,429
14551,157
9456,81
13238,209
11997,198
20341,662
12446,319
20234,581
11285,122
17181,341
14490,287
17668,196
15059,142
17838,464
19055,148
19856,216
16356,302
12637,195
19744,676
16340,308
16108,93
16162,288
19982,324
15156,290
13538,573
18025,703
12432,990
19235,383
18609,376
14142,306
18786,904
18931,379
15988,573
12689,126
19309,359
17704,999
17464,185
20588,260
19382,437
12382,266
9404,43
9352,266
10947,263
11481,473
13883,333
15821,363
12282,223
17353,373
11207,230
18106,325
9578,301
9072,269
13567,324
12478,215
12410,515
19431,371
15590,923
16097,493
14614,152
11920,103
17560,47
17835,313
13255,314
13015,554
10960,394
14280,334
12420,204
13054,593
12576,117
9840,359
12357,846
17952,164
14883,180
10435,411
10549,264
8806,1907
9532,626
10275,209
9522,314
9844,431
12924,381
15579,690
19930,491
10762,355
18301,235
10690,295
18284,373
14159,200
11706,210
10200,336
17971,98
12907,443
18434,84
16151,190
17004,433
16651,489
9589,317
19640,357
12288,393
14358,515
13983,262
20526,651
20493,627
9304,314
14911,158
18378,324
11972,222
14146,226
17898,233
19713,445
20286,298
9313,281
16418,477
11782,311
18686,187
10663,544
9285,228
15606,504
20264,179
16291,402
15135,317
17902,279
17105,420
17413,310
18137,503
11507,361
13418,448
16471,332
19615,2043
14918,611
11733,372
11562,679
12204,722
16974,553
15047,300
18702,635
12783,372
20291,367
14840,583
11292,269
16406,150
17596,609
10487,134
12032,426
14578,452
10874,365
11302,188
12730,202
14298,422
13731,201
17520,26
20096,207
18827,607
18243,489
11916,41
17328,329
20508,264
13487,257
20833,329
17967,382
9879,275
16793,100
14992,375
8721,304
13981,1008
14065,538
15161,318
16864,231
13544,629
12793,338
10615,879
13452,475
9112,235
15032,594
13896,223
14778,288
17676,355
15655,412
20592,472
17918,248
14206,452
12289,283
19569,203
12161,115
17128,635
9817,509
19584,574
15558,507
16927,289
17517,24
9958,49
13784,602
