id,token_cnt
16263,275
16966,441
20222,233
8777,460
17806,213
13573,277
9031,371
19322,328
17006,102
13609,131
8905,589
18882,337
13713,269
16874,412
15942,328
9941,294
9040,245
16796,179
10888,204
19153,209
9565,129
15922,141
15022,452
18973,371
9655,415
16247,390
16646,322
14891,36
14800,98
11832,280
12351,83
16407,199
12711,67
11595,180
20499,214
9901,152
18621,304
13101,216
14497,229
12692,75
16528,273
10544,197
9593,194
12708,46
15987,318
11294,72
10877,311
18484,263
12452,236
9964,31
9228,209
14930,275
10746,350
16384,482
11700,133
13563,173
18795,337
20192,377
18566,195
17451,75
11125,134
19597,347
10436,119
10656,355
16512,238
13789,249
12524,142
12398,299
16805,183
18014,16
15300,341
11660,272
12871,405
19375,185
12466,120
12059,307
16504,371
19886,354
16284,275
15513,326
17770,181
13819,160
9677,251
13823,201
16703,232
17466,105
16919,203
11818,629
17232,637
16856,201
9443,466
20027,191
18348,73
19369,446
15373,273
9640,147
9909,315
8901,58
15485,186
9497,59
19777,583
13689,324
12284,149
18650,131
9054,337
11580,180
10096,352
17884,240
10281,149
15624,189
17736,328
17630,151
19314,97
19518,363
16075,259
12281,641
18058,161
19929,174
17205,128
11271,89
18719,190
12542,175
15413,224
18305,611
14207,142
9705,91
15801,220
18060,221
13208,141
12278,180
10598,370
9553,304
10050,76
15234,324
9657,288
19869,572
18276,122
12236,202
10630,180
13264,116
12402,542
12833,293
14551,104
9456,58
13238,140
11997,128
20341,494
12446,215
20234,370
11285,90
17181,200
14490,196
17668,141
15059,94
17838,316
19055,89
19856,138
16356,224
12637,122
19744,468
16340,217
16108,65
16162,188
19982,222
15156,198
13538,413
18025,494
12432,689
19235,252
18609,257
14142,197
18786,635
18931,263
15988,356
12689,74
19309,240
17704,658
17464,111
20588,161
19382,268
12382,162
9404,28
9352,206
10947,176
11481,303
13883,207
15821,224
12282,147
17353,256
11207,162
18106,216
9578,196
9072,183
13567,212
12478,143
12410,347
19431,265
15590,643
16097,327
14614,99
11920,71
17560,29
17835,213
13255,213
13015,376
10960,291
14280,240
12420,145
13054,384
12576,83
9840,264
12357,611
17952,106
14883,99
10435,283
10549,175
8806,1315
9532,429
10275,134
9522,222
9844,286
12924,263
15579,482
19930,325
10762,233
18301,147
10690,197
18284,255
14159,135
11706,133
10200,224
17971,66
12907,295
18434,60
16151,120
17004,299
16651,318
9589,209
19640,239
12288,267
14358,347
13983,170
20526,436
20493,441
9304,213
14911,101
18378,218
11972,160
14146,163
17898,142
19713,278
20286,195
9313,191
16418,318
11782,190
18686,113
10663,365
9285,162
15606,359
20264,103
16291,265
15135,238
17902,180
17105,282
17413,203
18137,356
11507,224
13418,306
16471,240
19615,1273
14918,411
11733,267
11562,454
12204,470
16974,382
15047,217
18702,406
12783,253
20291,253
14840,402
11292,182
16406,90
17596,436
10487,72
12032,299
14578,299
10874,264
11302,114
12730,151
14298,277
13731,135
17520,20
20096,142
18827,398
18243,315
11916,30
17328,237
20508,188
13487,173
20833,218
17967,241
9879,173
16793,75
14992,255
8721,196
13981,678
14065,369
15161,237
16864,140
13544,409
12793,223
10615,589
13452,332
9112,148
15032,419
13896,125
14778,206
17676,247
15655,270
20592,302
17918,147
14206,301
12289,206
19569,129
12161,89
17128,406
9817,348
19584,344
15558,287
16927,188
17517,16
9958,31
13784,387
9354,154
18202,248
15248,259
17359,327
13540,403
15625,175
9886,343
15004,338
13812,272
9682,202
11030,236
16115,130
20582,297
18165,82
20320,289
10652,267
11315,162
13928,153
19902,99
20154,506
15645,241
13822,202
18538,138
11145,246
14700,220
9274,269
16529,269
18711,406
18151,221
16891,161
14856,70
20546,197
19264,204
14524,197
18167,238
12755,640
10385,124
12510,153
10842,198
18628,374
12789,103
11169,184
11295,70
13480,238
18216,671
20735,635
16493,200
14193,116
13386,69
11164,192
11621,69
10329,203
16320,317
9518,223
14361,261
13535,235
10049,90
13986,302
17721,81
15509,265
10643,314
17849,173
12577,93
15517,166
19775,116
18706,356
13024,682
15789,267
18675,631
20333,187
16103,72
11812,349
16298,221
17387,635
10790,119
16519,258
17462,163
17529,18
10707,181
10665,224
18610,371
14241,350
17390,182
11447,131
15359,388
12544,174
15976,105
14989,395
9315,322
14550,199
17904,580
12580,167
20367,179
10340,571
16677,62
20458,315
20625,361
11659,169
13570,173
9113,95
17018,312
12139,185
15392,254
16442,341
14250,328
14530,433
13865,175
20466,406
16753,191
14573,407
20543,333
12772,336
20643,99
14441,182
19616,320
19743,116
20191,405
17360,117
17575,8
17792,250
9639,227
17030,426
12248,220
12522,259
19948,188
18840,600
8970,180
18647,360
17987,383
17931,86
19780,86
17561,15
9729,306
11160,331
12335,168
12454,231
14220,514
11853,138
15992,328
17456,147
17350,210
20690,143
17741,197
15092,187
12147,357
14924,457
9412,140
20180,209
20626,251
15027,425
13472,183
15656,89
16139,128
15740,294
19186,305
10457,255
20568,394
17319,261
12366,122
17778,284
19752,567
17832,262
18666,441
11191,92
14635,135
14563,84
18028,143
18441,436
19456,239
19454,185
18446,301
14574,205
13484,203
17850,301
17169,211
18594,141
11140,448
20034,138
12239,190
10177,118
12264,142
11135,171
11215,149
18266,586
12624,323
9050,105
18801,358
9219,186
18926,264
11919,122
18643,232
17994,346
18783,635
19378,94
10745,242
13982,214
11187,135
18733,356
14055,330
17913,255
17272,91
10695,243
15919,402
12966,252
10046,215
14229,333
11956,427
18960,218
10508,544
19509,116
18395,166
19155,300
16219,72
19810,197
16554,138
16357,631
16138,114
20314,260
18856,20
16775,142
13600,278
18977,156
17546,14
13271,220
13869,260
10127,221
14538,620
20741,171
19712,191
10359,556
16027,441
18050,198
16393,259
20340,156
16001,208
14963,233
17361,313
17201,75
15894,72
17933,221
11764,107
9177,160
13947,183
16809,89
12937,305
17995,178
12612,363
10953,211
20095,237
9223,107
11415,266
15895,241
15209,332
10107,285
14958,179
9251,167
15623,149
13226,219
15490,286
18215,356
15141,357
9193,194
20538,348
13350,75
20436,361
17840,232
9982,97
11883,371
18833,629
16552,362
13281,196
19033,432
18160,124
12949,309
20788,216
10496,187
11498,140
12963,180
12771,138
11687,179
11224,27
17182,286
9912,258
17204,737
9643,139
11913,283
10802,276
8903,115
20275,309
15334,332
14830,115
20662,173
16338,216
13852,191
11808,242
9588,251
14420,43
8778,210
11731,170
12645,93
18223,202
18410,111
14187,348
18761,143
20145,209
20634,81
16777,112
19272,342
16932,158
18355,431
19864,114
15473,195
15977,356
9019,144
18536,396
11095,334
14191,274
15875,137
14427,667
20001,264
16082,65
16771,192
8955,305
15598,412
14887,96
12945,291
20742,468
12788,307
13870,328
10245,362
10676,150
17385,635
14910,155
18357,218
20391,328
19394,263
14325,130
10502,159
14975,87
8906,72
17324,202
13732,298
17448,214
19256,315
20161,133
9058,307
9353,182
11932,90
16265,324
19718,120
19321,220
15524,233
13848,275
10234,307
20262,707
10846,245
9809,253
10017,101
8975,82
9082,258
20627,361
12408,399
