ngram,Frequency,relative_freq
"('ADP', 'NOUN')",267022,10.510095157725031
"('NOUN', 'ADP')",223389,8.79268242762408
"('NOUN', 'PUNCT')",120941,4.760287236521422
"('DET', 'NOUN')",112473,4.426983292293547
"('NOUN', 'ADJ')",111709,4.396911939743937
"('PUNCT', 'SPACE')",91079,3.584906700086278
"('PROPN', 'PUNCT')",84151,3.312217785866779
"('PUNCT', 'NOUN')",66045,2.5995582187683026
"('VERB', 'ADP')",63775,2.5102100901195925
"('PUNCT', 'PROPN')",54116,2.1300278986579673
"('ADJ', 'PUNCT')",53935,2.1229036646115285
"('ADJ', 'NOUN')",47193,1.8575357864839503
"('ADP', 'DET')",46759,1.8404533689361353
"('SPACE', 'NOUN')",46653,1.8362811655719224
"('PROPN', 'PROPN')",45349,1.7849551921102849
"('NOUN', 'CCONJ')",44548,1.7534275044241099
"('ADJ', 'ADP')",39905,1.5706771249897662
"('VERB', 'DET')",36481,1.4359070842438708
"('ADP', 'PROPN')",34400,1.3539980729143708
"('CCONJ', 'NOUN')",32886,1.2944064135424997
"('SPACE', 'PROPN')",31526,1.2408762571714664
"('NOUN', 'SPACE')",28483,1.1211025322912798
"('ADP', 'VERB')",26221,1.0320692869153405
"('PUNCT', 'ADP')",26060,1.0257322610508284
"('NOUN', 'NOUN')",23074,0.9082020794891333
"('PROPN', 'ADP')",22732,0.8947408195781823
"('PRON', 'VERB')",22343,0.8794296204397031
"('ADJ', 'CCONJ')",21898,0.8619142383918282
"('NOUN', 'VERB')",21800,0.858056918300386
"('SPACE', 'PUNCT')",21693,0.8538453545270768
"('AUX', 'VERB')",21082,0.8297961445692081
"('PUNCT', 'VERB')",20728,0.815862559749101
"('NOUN', 'PROPN')",19201,0.7557592150589776
"('CCONJ', 'ADP')",18524,0.72911221810075
"('NUM', 'PUNCT')",18294,0.72005932400859
"('SPACE', 'DET')",18227,0.7174221765991348
"('ADP', 'ADJ')",17703,0.6967973222326483
"('DET', 'DET')",16857,0.663498416137138
"('PUNCT', 'ADJ')",15305,0.6024110612196059
"('PROPN', 'SPACE')",14291,0.5624996063959091
"('VERB', 'NOUN')",14030,0.5522265396217623
"('NUM', 'NOUN')",13836,0.5445906202570707
"('PUNCT', 'DET')",13647,0.537151502937861
"('DET', 'ADJ')",13135,0.5169989734805308
"('NOUN', 'NUM')",13079,0.5147947905711353
"('PUNCT', 'NUM')",12606,0.4961773170685627
"('ADJ', 'SPACE')",12453,0.49015517447682144
"('VERB', 'PUNCT')",11652,0.4586274867906467
"('PUNCT', 'PUNCT')",11380,0.44792145551644
"('SPACE', 'VERB')",11117,0.43756966792410057
"('NOUN', 'AUX')",10899,0.42898909874109664
"('CCONJ', 'ADJ')",10894,0.4287922966956149
"('PROPN', 'CCONJ')",10770,0.4239116059676678
"('ADP', 'NUM')",10693,0.420880854467249
"('SPACE', 'ADJ')",10318,0.40612070105611847
"('CCONJ', 'VERB')",9488,0.37345156150614967
"('NOUN', 'PRON')",8687,0.3419238738199749
"('PROPN', 'NOUN')",8564,0.33708254350112415
"('NUM', 'ADP')",8402,0.33070615722751573
"('NUM', 'CCONJ')",7641,0.30075288590519494
"('CCONJ', 'DET')",6954,0.2737122848560039
"('CCONJ', 'PROPN')",6844,0.2693826398554056
"('ADJ', 'ADJ')",6836,0.2690677565826348
"('DET', 'PROPN')",6783,0.2669816549005284
"('ADJ', 'VERB')",6392,0.2515917349438563
"('PROPN', 'ADJ')",6333,0.24926947080717177
"('ADP', 'PRON')",5833,0.2295892662589978
"('VERB', 'ADV')",5766,0.22695211884954247
"('ADV', 'ADP')",5763,0.22683403762225343
"('SPACE', 'PRON')",5685,0.2237639257127383
"('PUNCT', 'CCONJ')",5587,0.2199066056212962
"('PUNCT', 'PRON')",5323,0.20951545761986032
"('PUNCT', 'AUX')",5268,0.20735063511956117
"('PROPN', 'VERB')",4995,0.19660524343625818
"('CCONJ', 'NUM')",4926,0.19388937520861016
"('ADJ', 'PROPN')",4754,0.1871193848440383
"('PROPN', 'NUM')",4666,0.1836556688435597
"('SPACE', 'ADP')",4624,0.18200253166151306
"('VERB', 'ADJ')",4441,0.1747995767968814
"('PUNCT', 'ADV')",4409,0.17354004370579826
"('VERB', 'SPACE')",4404,0.1733432416603165
"('VERB', 'VERB')",4396,0.17302835838754574
"('NOUN', 'DET')",4343,0.1709422567054393
"('VERB', 'CCONJ')",4015,0.15803204252183717
"('PROPN', 'AUX')",4013,0.15795332170364446
"('NOUN', 'ADV')",4000,0.15744163638539194
"('ADP', 'ADV')",3947,0.1553555347032855
"('AUX', 'ADJ')",3900,0.15350559547575715
"('ADV', 'ADJ')",3770,0.1483887422932319
"('ADP', 'PUNCT')",3538,0.13925712738287915
"('ADV', 'NUM')",3450,0.13579341138240053
"('ADJ', 'AUX')",3386,0.1332743452002343
"('DET', 'PUNCT')",3072,0.12091517674398101
"('PRON', 'PUNCT')",3028,0.11918331874374169
"('AUX', 'DET')",2956,0.11634936928880464
"('ADV', 'VERB')",2918,0.11485367374314343
"('PRON', 'AUX')",2842,0.11186228265182097
"('ADV', 'DET')",2708,0.10658798783291035
"('AUX', 'ADP')",2667,0.10497421105996006
"('ADV', 'PUNCT')",2593,0.10206154078683033
"('PRON', 'ADP')",2520,0.09918823092279691
"('PROPN', 'DET')",2511,0.09883398724092977
"('SPACE', 'AUX')",2501,0.0984403831499663
"('PRON', 'PRON')",2390,0.09407137774027167
"('CCONJ', 'PRON')",2362,0.09296928628557394
"('NUM', 'PROPN')",2124,0.08360150892064311
