POS,Frequency,relative_freq
NOUN,638128,25.018505275571783
ADP,421250,16.51556638689199
PUNCT,339609,13.314741804358462
PROPN,213267,8.361365689337196
ADJ,205906,8.072769643820493
SPACE,157297,6.167000702573175
DET,155897,6.112112173334839
VERB,154042,6.039384872094045
CCONJ,97054,3.8051080833552886
NUM,55654,2.1819758615930844
PRON,36033,1.412713124317814
AUX,35064,1.3747224208664233
ADV,26906,1.0548791197761802
X,5558,0.21790746107619155
SCONJ,3747,0.1469052278971734
SYM,3396,0.13314388949527645
INTJ,1741,0.06825780671710138
PART,75,0.002940456923482254
