ngram,Frequency,relative_freq
"('NOUN', 'ADP', 'NOUN')",156714,6.192699431958508
"('ADP', 'NOUN', 'ADP')",90248,3.5662336379352926
"('ADP', 'NOUN', 'PUNCT')",57451,2.2702296863423066
"('ADP', 'NOUN', 'ADJ')",49608,1.960306248456409
"('NOUN', 'ADJ', 'PUNCT')",38900,1.537169671523833
"('DET', 'NOUN', 'ADP')",38589,1.5248802173376141
"('NOUN', 'PUNCT', 'SPACE')",36196,1.4303185971844898
"('VERB', 'ADP', 'NOUN')",36109,1.4268807112867374
"('ADP', 'DET', 'NOUN')",32340,1.2779451716473202
"('PROPN', 'PUNCT', 'PROPN')",28176,1.1134008397135096
"('PUNCT', 'PROPN', 'PUNCT')",28100,1.1103976290442086
"('VERB', 'DET', 'NOUN')",26688,1.0546011360829834
"('NOUN', 'PUNCT', 'NOUN')",26269,1.0380439614719683
"('PUNCT', 'SPACE', 'NOUN')",26011,1.0278488515682884
"('NOUN', 'ADJ', 'ADP')",25869,1.0222375895282787
"('SPACE', 'NOUN', 'ADP')",22816,0.9015954556680661
"('NOUN', 'CCONJ', 'NOUN')",22440,0.8867374660409978
"('ADJ', 'ADP', 'NOUN')",22213,0.8777673499629539
"('NOUN', 'ADP', 'DET')",21937,0.8668609533218078
"('DET', 'NOUN', 'ADJ')",21317,0.8423610768090886
"('ADP', 'NOUN', 'CCONJ')",20988,0.8293603358854038
"('ADJ', 'PUNCT', 'SPACE')",19944,0.7881057051123734
"('PUNCT', 'NOUN', 'ADP')",19192,0.7583897258582366
"('ADJ', 'NOUN', 'ADP')",18531,0.7322696962212892
"('PROPN', 'PROPN', 'PUNCT')",17859,0.7057149913558903
"('DET', 'NOUN', 'PUNCT')",17431,0.6888021733761422
"('NOUN', 'ADJ', 'CCONJ')",16516,0.6526450975549518
"('PROPN', 'PUNCT', 'SPACE')",15828,0.6254581378118054
"('NOUN', 'ADP', 'PROPN')",15635,0.617831563348975
"('PUNCT', 'ADP', 'NOUN')",15495,0.6122993331686836
"('ADP', 'ADJ', 'NOUN')",15320,0.6053840454433194
"('PUNCT', 'SPACE', 'PROPN')",15236,0.6020647073351445
"('SPACE', 'DET', 'NOUN')",14347,0.566935045690294
"('DET', 'DET', 'NOUN')",14282,0.5643665102494444
"('NOUN', 'PUNCT', 'PROPN')",14158,0.5594665349469005
"('PUNCT', 'SPACE', 'PUNCT')",13793,0.5450432205482836
"('CCONJ', 'NOUN', 'ADP')",13365,0.5281304025685355
"('ADP', 'PROPN', 'PUNCT')",13142,0.5193183502099283
"('PROPN', 'PUNCT', 'NOUN')",13118,0.518369967893307
"('CCONJ', 'ADP', 'NOUN')",13034,0.5150506297851322
"('PUNCT', 'NOUN', 'PUNCT')",12857,0.5080563102000494
"('NOUN', 'PUNCT', 'ADP')",12463,0.4924870338355149
"('AUX', 'VERB', 'ADP')",12434,0.4913410718695974
"('SPACE', 'PUNCT', 'NOUN')",12356,0.4882588293405779
"('ADP', 'NOUN', 'SPACE')",11983,0.4735193875030872
"('NOUN', 'VERB', 'ADP')",11911,0.470674240553223
"('DET', 'ADJ', 'NOUN')",11861,0.4686984440602618
"('PUNCT', 'SPACE', 'DET')",11118,0.439338108174858
"('NOUN', 'ADP', 'VERB')",11034,0.43601877006668316
"('SPACE', 'PROPN', 'PUNCT')",10478,0.4140479130649543
"('PUNCT', 'NOUN', 'ADJ')",10356,0.4092269696221289
"('PROPN', 'PROPN', 'PROPN')",10212,0.4035366757224006
"('PROPN', 'ADP', 'NOUN')",10164,0.40163991108915786
"('PRON', 'VERB', 'ADP')",9220,0.3643368733020499
"('ADP', 'VERB', 'DET')",9214,0.36409977772289454
"('PUNCT', 'DET', 'NOUN')",9102,0.35967399357866137
"('NOUN', 'ADJ', 'SPACE')",9072,0.35848851568288465
"('VERB', 'ADP', 'DET')",9034,0.35698691034823415
"('ADP', 'NOUN', 'NOUN')",8882,0.350980489009632
"('PUNCT', 'PROPN', 'PROPN')",8846,0.3495579155346999
"('NOUN', 'SPACE', 'NOUN')",8815,0.34833292170906394
"('ADJ', 'NOUN', 'PUNCT')",8723,0.3446974561620153
"('ADP', 'VERB', 'ADP')",8624,0.3407853791059521
"('ADP', 'PROPN', 'PROPN')",8548,0.337782168436651
"('NOUN', 'CCONJ', 'ADP')",8323,0.32889108421832547
"('NOUN', 'AUX', 'VERB')",8153,0.32217337614225733
"('ADJ', 'CCONJ', 'ADJ')",8150,0.3220548283526797
"('ADJ', 'NOUN', 'ADJ')",8098,0.32
"('NOUN', 'PUNCT', 'VERB')",8037,0.31758952827858733
"('ADP', 'NOUN', 'PROPN')",7937,0.31363793529266487
"('PUNCT', 'VERB', 'ADP')",7853,0.31031859718449
"('VERB', 'ADP', 'VERB')",7789,0.3077895776734996
"('ADJ', 'PUNCT', 'NOUN')",7758,0.30656458384786367
"('NOUN', 'PROPN', 'PUNCT')",7548,0.2982662385774265
"('SPACE', 'NOUN', 'ADJ')",7392,0.2921017535193875
"('PUNCT', 'SPACE', 'VERB')",7370,0.29123240306248455
"('PUNCT', 'NOUN', 'CCONJ')",7316,0.28909854285008646
"('DET', 'NOUN', 'AUX')",7233,0.2858187206717708
"('NOUN', 'ADP', 'ADJ')",7141,0.2821832551247222
"('VERB', 'NOUN', 'ADP')",6950,0.2746357125216103
"('SPACE', 'ADJ', 'NOUN')",6950,0.2746357125216103
"('CCONJ', 'NOUN', 'PUNCT')",6900,0.27265991602864903
"('ADP', 'NOUN', 'VERB')",6846,0.27052605581625094
"('DET', 'NOUN', 'CCONJ')",6788,0.2682341318844159
"('ADP', 'DET', 'DET')",6778,0.2678389725858237
"('NOUN', 'PRON', 'VERB')",6327,0.2500172882193134
"('DET', 'NOUN', 'VERB')",6324,0.24989874042973576
"('SPACE', 'PROPN', 'PROPN')",6306,0.24918745369226972
"('PUNCT', 'SPACE', 'ADJ')",6256,0.2472116571993085
"('NOUN', 'NOUN', 'PUNCT')",6204,0.24515682884662882
"('NOUN', 'SPACE', 'PROPN')",6178,0.24412941467028895
"('VERB', 'PUNCT', 'SPACE')",6048,0.23899234378858977
"('SPACE', 'PROPN', 'ADP')",5975,0.23610768090886639
"('PROPN', 'ADP', 'PROPN')",5962,0.23559397382069647
"('PUNCT', 'NUM', 'PUNCT')",5833,0.23049641886885652
"('PUNCT', 'VERB', 'DET')",5653,0.22338355149419611
"('SPACE', 'PRON', 'VERB')",5242,0.20714250432205483
"('SPACE', 'VERB', 'DET')",5228,0.20658928130402568
"('NOUN', 'NOUN', 'ADP')",5134,0.20287478389725858
"('PROPN', 'PUNCT', 'PUNCT')",5091,0.2011755989133119
"('SPACE', 'NOUN', 'PUNCT')",5087,0.20101753519387502
"('DET', 'NOUN', 'PRON')",5059,0.19991108915781675
"('NUM', 'NOUN', 'ADP')",5037,0.19904173870091382
"('CCONJ', 'NOUN', 'ADJ')",5027,0.19864657940232155
"('ADJ', 'PUNCT', 'ADP')",5022,0.19844899975302543
"('PUNCT', 'ADJ', 'NOUN')",4976,0.19663126697950112
"('NOUN', 'CCONJ', 'DET')",4918,0.1943393430476661
"('ADJ', 'ADP', 'DET')",4873,0.19256112620400098
"('PROPN', 'PUNCT', 'NUM')",4787,0.18916275623610768
"('CCONJ', 'ADJ', 'PUNCT')",4766,0.18833292170906396
"('NOUN', 'ADJ', 'ADJ')",4711,0.1861595455668066
"('ADJ', 'PUNCT', 'ADJ')",4695,0.18552729068905902
"('ADJ', 'CCONJ', 'NOUN')",4684,0.18509261546060754
"('CCONJ', 'DET', 'NOUN')",4643,0.18347246233637934
"('ADP', 'NOUN', 'NUM')",4635,0.18315633489750555
"('NOUN', 'PUNCT', 'DET')",4568,0.1805087675969375
"('PUNCT', 'PUNCT', 'SPACE')",4566,0.18042973573721907
"('ADJ', 'ADP', 'PROPN')",4536,0.17924425784144232
"('PROPN', 'PUNCT', 'ADP')",4533,0.17912571005186467
"('NOUN', 'NUM', 'CCONJ')",4456,0.17608298345270437
"('ADP', 'NUM', 'NOUN')",4440,0.17545072857495678
"('PROPN', 'PROPN', 'SPACE')",4335,0.17130155593973823
"('ADP', 'DET', 'ADJ')",4309,0.17027414176339836
"('VERB', 'DET', 'DET')",4304,0.17007656211410224
"('PROPN', 'CCONJ', 'PROPN')",4282,0.16920721165719932
"('PROPN', 'PROPN', 'ADP')",4237,0.1674289948135342
"('NOUN', 'SPACE', 'PUNCT')",4160,0.1643862682143739
"('PROPN', 'SPACE', 'NOUN')",4153,0.16410965670535935
"('NUM', 'CCONJ', 'NUM')",4065,0.1606322548777476
"('PUNCT', 'NOUN', 'NOUN')",4048,0.15996048407014077
"('PUNCT', 'PROPN', 'SPACE')",4009,0.15841936280563101
"('NUM', 'ADP', 'NOUN')",3925,0.15510002469745615
"('ADJ', 'PUNCT', 'VERB')",3879,0.15328229192393183
"('PROPN', 'ADP', 'DET')",3876,0.15316374413435416
"('ADJ', 'CCONJ', 'ADP')",3853,0.152254877747592
"('NOUN', 'ADJ', 'VERB')",3843,0.15185971844899976
"('ADJ', 'SPACE', 'NOUN')",3810,0.15055569276364533
"('AUX', 'VERB', 'DET')",3795,0.149962953815757
"('PRON', 'VERB', 'PUNCT')",3772,0.1490540874289948
"('NOUN', 'PUNCT', 'ADJ')",3770,0.14897505556927637
"('CCONJ', 'VERB', 'DET')",3741,0.14782909360335886
"('ADJ', 'PUNCT', 'PROPN')",3725,0.14719683872561126
"('NOUN', 'NUM', 'PUNCT')",3714,0.1467621634971598
"('PUNCT', 'SPACE', 'PRON')",3698,0.1461299086194122
"('PUNCT', 'NOUN', 'NUM')",3623,0.14316621387997036
"('NUM', 'PUNCT', 'NUM')",3608,0.142573474932082
"('VERB', 'DET', 'ADJ')",3556,0.14051864657940233
"('VERB', 'ADP', 'PROPN')",3403,0.13447270931094096
"('PUNCT', 'ADJ', 'ADP')",3392,0.1340380340824895
"('PUNCT', 'PROPN', 'ADP')",3359,0.1327340083971351
"('NOUN', 'CCONJ', 'VERB')",3337,0.13186465794023217
"('PROPN', 'SPACE', 'PROPN')",3320,0.13119288713262534
"('NOUN', 'NOUN', 'ADJ')",3305,0.13060014818473697
"('ADV', 'NUM', 'NOUN')",3257,0.1287033835514942
"('PUNCT', 'PRON', 'VERB')",3251,0.12846628797233886
"('ADV', 'ADP', 'NOUN')",3248,0.12834774018276116
"('ADJ', 'SPACE', 'PROPN')",3247,0.12830822425290195
"('PUNCT', 'NOUN', 'PROPN')",3185,0.12585823660163004
"('NOUN', 'ADP', 'NUM')",3148,0.12439614719683874
"('VERB', 'NOUN', 'ADJ')",3139,0.12404050382810572
"('ADJ', 'VERB', 'ADP')",3116,0.12313163744134355
"('CCONJ', 'NUM', 'PUNCT')",3037,0.1200098789824648
"('PUNCT', 'SPACE', 'ADP')",3015,0.11914052852556185
"('PUNCT', 'PROPN', 'CCONJ')",3006,0.11878488515682886
"('PROPN', 'PUNCT', 'VERB')",2988,0.11807359841936281
"('NUM', 'NOUN', 'PUNCT')",2983,0.11787601877006669
"('ADP', 'VERB', 'NOUN')",2970,0.11736231168189676
"('NOUN', 'ADJ', 'AUX')",2946,0.11641392936527538
"('PROPN', 'CCONJ', 'NOUN')",2941,0.11621634971597926
"('NUM', 'PUNCT', 'SPACE')",2883,0.11392442578414425
"('ADP', 'PROPN', 'ADP')",2877,0.11368733020498889
"('PUNCT', 'ADP', 'DET')",2863,0.11313410718695974
"('PUNCT', 'CCONJ', 'ADP')",2863,0.11313410718695974
"('DET', 'NOUN', 'NOUN')",2832,0.1119091133613238
"('SPACE', 'NOUN', 'VERB')",2831,0.11186959743146455
"('SPACE', 'NOUN', 'SPACE')",2818,0.11135589034329464
"('PUNCT', 'ADJ', 'PUNCT')",2807,0.11092121511484317
"('VERB', 'ADP', 'ADJ')",2807,0.11092121511484317
"('SPACE', 'PUNCT', 'VERB')",2786,0.11009138058779945
"('PROPN', 'SPACE', 'DET')",2775,0.10965670535934798
"('NOUN', 'ADP', 'PRON')",2772,0.10953815756977031
"('NOUN', 'PROPN', 'PROPN')",2748,0.10858977525314893
"('VERB', 'CCONJ', 'VERB')",2727,0.10775994072610522
"('ADP', 'PROPN', 'CCONJ')",2708,0.10700913805877993
"('ADJ', 'ADP', 'ADJ')",2661,0.10515188935539639
"('VERB', 'VERB', 'ADP')",2655,0.10491479377624105
"('PUNCT', 'AUX', 'VERB')",2652,0.10479624598666336
"('PRON', 'VERB', 'DET')",2646,0.10455915040750803
"('NOUN', 'PUNCT', 'NUM')",2641,0.10436157075821191
"('ADP', 'ADV', 'NUM')",2640,0.10432205482835268
"('SPACE', 'PUNCT', 'ADJ')",2635,0.10412447517905656
"('PROPN', 'PUNCT', 'ADJ')",2628,0.10384786367004198
"('DET', 'NOUN', 'PROPN')",2625,0.10372931588046432
"('NUM', 'PUNCT', 'PROPN')",2573,0.10167448752778463
"('NOUN', 'PUNCT', 'CCONJ')",2536,0.10021239812299335
"('AUX', 'ADJ', 'ADP')",2529,0.09993578661397877
"('ADJ', 'PUNCT', 'DET')",2524,0.09973820696468264
"('PUNCT', 'NOUN', 'SPACE')",2521,0.09961965917510496
"('DET', 'PROPN', 'PROPN')",2511,0.09922449987651272
"('NOUN', 'SPACE', 'DET')",2446,0.09665596443566313
"('ADJ', 'ADP', 'VERB')",2443,0.09653741664608545
"('NOUN', 'DET', 'NOUN')",2425,0.09582612990861941
"('NOUN', 'NUM', 'ADP')",2401,0.09487774759199802
"('NOUN', 'ADJ', 'NOUN')",2397,0.09471968387256113
"('AUX', 'ADP', 'NOUN')",2388,0.0943640405038281
"('ADP', 'NUM', 'PUNCT')",2388,0.0943640405038281
"('NOUN', 'VERB', 'DET')",2368,0.09357372190664362
"('NUM', 'ADP', 'NUM')",2347,0.0927438873795999
"('ADJ', 'NOUN', 'CCONJ')",2333,0.09219066436157076
"('PRON', 'VERB', 'VERB')",2320,0.09167695727340085
"('AUX', 'DET', 'NOUN')",2296,0.09072857495677945
"('ADP', 'PUNCT', 'SPACE')",2295,0.09068905902692023
"('NOUN', 'PROPN', 'ADP')",2289,0.09045196344776488
"('PUNCT', 'NUM', 'NOUN')",2288,0.09041244751790566
