data,num_samples,statistic,value
doclen-space_tokenized,10000,mean,248.5026
doclen-space_tokenized,10000,std,141.5944
doclen-space_tokenized,10000,median,222.0
doclen-bert_tokenized,10000,mean,368.8823
doclen-bert_tokenized,10000,std,206.83
doclen-bert_tokenized,10000,median,330.0
space_tokenized,10000,STTR,0.4551
ngrams,10000,ngram_vendiscore,280.1844
BERT_embeddings,10000,embedding_vendiscore,1.4031
lemmas,10000,STTR,0.4057
paragraphs_per_doc,10000,mean,14.3466
paragraphs_per_doc,10000,std,8.4567
paragraphs_per_doc,10000,median,13.0
lists_per_doc,10000,mean,0.7308
lists_per_doc,10000,std,1.1258
lists_per_doc,10000,median,0.0
paragraph_len-space_tokenized,10000,mean,17.2491
paragraph_len-space_tokenized,10000,std,26.7241
paragraph_len-space_tokenized,10000,median,9.0
elements_per_list,10000,mean,4.1773
elements_per_list,10000,std,1.7773
elements_per_list,10000,median,4.0
salary_info,10000,percentage,29.24
salary_info,10000,mean_lines_per_doc,0.3398
other_language_detected,10000,percentage,0.02
