id,token_cnt
13103,244
3144,948
19853,329
14844,391
712,513
6562,688
8391,789
17698,432
6020,616
9173,337
18880,509
15417,333
6289,237
4211,695
18512,1172
1676,447
631,176
16497,390
265,227
17838,328
9548,970
1915,532
10970,685
7887,309
9122,385
14910,498
20011,477
7802,603
17484,836
19803,327
17214,781
3730,118
7328,461
1588,612
1223,612
5816,533
20083,449
16729,745
8891,954
16181,858
9403,1549
16191,840
18503,173
6489,916
18946,420
9214,1600
17020,378
3074,487
6533,504
15411,426
5069,192
5007,539
12237,677
10007,945
12046,623
19139,598
586,738
6892,599
12482,547
11831,559
821,188
1917,473
5342,600
11812,1244
19382,1219
8941,869
1598,384
5953,518
3504,460
154,392
9319,699
16826,108
19096,515
6102,714
13779,435
15315,610
4799,508
19352,406
230,450
13378,287
5107,311
20246,1397
1845,596
1668,764
11703,315
15845,756
13965,320
5597,324
8135,886
2838,1109
9580,1071
19556,506
13049,369
5899,1035
5036,1385
5627,259
15287,642
5798,326
17226,1170
3345,1068
6951,206
786,1108
20599,940
17232,770
4738,667
11292,967
8740,1011
21103,557
10246,491
3558,789
6932,921
17177,416
8255,566
14261,627
19896,188
21179,380
1776,550
16823,107
606,867
11365,543
3064,504
3682,443
84,469
10756,476
5493,226
3162,500
12394,865
4540,545
19229,648
6591,346
5497,210
3896,882
4665,977
17652,528
8447,321
4050,828
14269,668
17419,1861
7708,734
3604,513
3531,2028
16410,451
5374,700
18595,448
2400,740
10386,953
10023,446
13727,513
11000,918
5427,680
4433,316
1928,679
1328,1279
11634,583
14625,386
19998,534
1207,402
17873,946
15536,712
4105,511
20713,728
13691,409
4154,264
3523,416
4364,31
20569,517
7629,634
8142,501
13226,452
17620,535
14352,618
3276,547
20186,712
7519,230
7240,453
20985,356
17168,479
7606,896
7154,585
16594,416
21353,577
12066,613
15712,384
5875,208
20530,577
8205,409
7961,623
6916,856
10177,426
2286,343
5136,125
6250,502
2139,552
1359,646
2998,156
9820,1213
6824,395
4165,555
12883,641
4614,9
17485,426
17154,258
16819,287
2066,994
6034,302
17819,570
5846,1036
14166,217
702,1136
1622,496
2029,675
9679,480
12891,565
65,830
12025,556
1650,900
14154,433
5027,1624
2466,807
17047,734
6641,431
11026,422
15675,473
3726,277
15789,312
15229,515
18261,668
1551,1083
15320,581
11810,812
6924,772
870,820
17361,801
14660,443
4032,1252
13494,426
5330,848
19354,425
7848,1221
15382,471
14696,351
4263,886
2980,816
7682,418
483,286
20340,445
15360,461
19553,321
4182,195
21100,616
1016,822
1937,697
13645,572
496,621
14595,401
12477,573
3887,584
1206,756
3128,329
11057,204
7558,383
700,824
3585,567
4970,882
14900,236
3362,733
6937,1023
13477,483
10671,536
12129,380
2108,568
2163,402
3817,272
13478,729
12654,1067
21269,449
20068,432
13568,420
6100,398
18849,1000
8848,606
19252,1080
19659,843
3996,589
18755,715
6865,571
5914,1035
927,399
17413,319
10022,444
2320,131
5562,952
13491,439
19812,278
12234,682
13924,680
14693,609
7428,1449
15500,704
20341,453
19635,547
15351,849
1497,678
20674,492
5869,1046
4160,932
15750,948
12782,405
20977,981
18398,461
7226,678
15280,121
16600,529
3207,788
16383,730
19418,1037
12744,929
5103,946
15138,387
3691,1157
874,272
3988,841
3313,635
12641,469
1755,886
20495,803
20975,85
15734,1088
16106,1343
16279,340
12976,393
20917,681
18642,1498
12586,522
6887,636
516,620
16063,1150
4248,604
12589,580
1959,400
402,598
823,747
13245,314
10702,323
16824,105
15843,439
1389,425
5742,565
20504,530
18024,1275
21171,266
11230,444
15971,622
6735,1228
13838,569
15006,755
3992,458
6863,568
10434,321
19931,681
7362,410
17410,85
20600,1755
18919,686
15071,399
14762,249
15223,708
12531,395
3125,324
18656,589
21247,342
10392,678
15182,665
10330,577
7790,290
13698,324
7865,1075
19107,969
5530,605
17033,397
9945,459
14420,598
14397,632
9568,1066
12582,328
15303,341
1735,1437
4430,195
21284,323
18025,788
20749,702
9369,694
15008,160
3420,1117
5691,553
20565,625
10541,694
10076,434
12105,286
9786,802
1382,432
11137,88
21415,319
6627,400
18504,119
13121,980
969,401
19979,703
11445,492
18717,525
3434,780
8179,926
12160,809
10674,457
13499,962
5114,998
19170,653
14285,553
14232,337
14264,546
5910,681
19944,873
7441,264
18682,1205
8318,302
21029,734
6371,419
1386,882
10030,457
8809,375
12949,455
6343,609
3522,760
12850,570
8243,784
20431,877
14188,971
1285,521
11743,353
5625,560
1430,232
8254,299
733,848
14940,377
7659,716
6811,376
21240,319
851,565
4609,9
11791,721
3468,382
11061,285
14719,301
11840,727
15774,57
16288,521
13,780
4870,999
7890,885
10986,611
17937,577
2954,413
