id,token_cnt
13103,176
3144,818
19853,290
14844,314
712,439
6562,568
8391,657
17698,366
6020,471
9173,230
18880,434
15417,286
6289,178
4211,580
18512,1003
1676,367
631,110
16497,308
265,189
17838,291
9548,849
1915,451
10970,579
7887,248
9122,312
14910,386
20011,418
7802,500
17484,672
19803,285
17214,673
3730,100
7328,384
1588,496
1223,514
5816,406
20083,383
16729,571
8891,828
16181,769
9403,1167
16191,705
18503,155
6489,764
18946,355
9214,1365
17020,312
3074,428
6533,420
15411,379
5069,124
5007,448
12237,572
10007,813
12046,519
19139,510
586,632
6892,498
12482,474
11831,422
821,172
1917,393
5342,521
11812,978
19382,1030
8941,735
1598,319
5953,451
3504,382
154,326
9319,609
16826,82
19096,439
6102,647
13779,331
15315,503
4799,395
19352,339
230,400
13378,223
5107,260
20246,1161
1845,468
1668,663
11703,264
15845,659
13965,259
5597,269
8135,733
2838,869
9580,866
19556,411
13049,304
5899,818
5036,1206
5627,214
15287,512
5798,282
17226,993
3345,912
6951,181
786,959
20599,775
17232,686
4738,521
11292,829
8740,854
21103,475
10246,412
3558,666
6932,788
17177,345
8255,487
14261,529
19896,159
21179,292
1776,434
16823,82
606,732
11365,478
3064,408
3682,341
84,405
10756,386
5493,144
3162,424
12394,762
4540,431
19229,520
6591,299
5497,141
3896,694
4665,797
17652,423
8447,260
4050,701
14269,552
17419,1549
7708,623
3604,419
3531,1731
16410,329
5374,582
18595,351
2400,575
10386,789
10023,378
13727,418
11000,743
5427,595
4433,227
1928,591
1328,1091
11634,392
14625,311
19998,450
1207,350
17873,822
15536,604
4105,422
20713,636
13691,305
4154,214
3523,349
4364,23
20569,428
7629,535
8142,418
13226,377
17620,426
14352,544
3276,422
20186,603
7519,202
7240,382
20985,274
17168,411
7606,743
7154,510
16594,333
21353,500
12066,490
15712,309
5875,140
20530,501
8205,300
7961,542
6916,696
10177,350
2286,283
5136,89
6250,400
2139,394
1359,528
2998,137
9820,1047
6824,346
4165,445
12883,542
4614,8
17485,329
17154,214
16819,240
2066,849
6034,268
17819,491
5846,908
14166,166
702,973
1622,368
2029,556
9679,395
12891,466
65,725
12025,441
1650,785
14154,380
5027,1455
2466,635
17047,607
6641,366
11026,347
15675,399
3726,245
15789,229
15229,434
18261,573
1551,759
15320,471
11810,727
6924,651
870,686
17361,706
14660,371
4032,1058
13494,361
5330,712
19354,338
7848,1013
15382,349
14696,311
4263,746
2980,655
7682,334
483,237
20340,380
15360,377
19553,254
4182,127
21100,504
1016,659
1937,614
13645,487
496,527
14595,348
12477,478
3887,482
1206,652
3128,244
11057,155
7558,309
700,705
3585,469
4970,739
14900,178
3362,568
6937,858
13477,392
10671,455
12129,311
2108,494
2163,313
3817,228
13478,623
12654,955
21269,378
20068,380
13568,355
6100,342
18849,857
8848,508
19252,929
19659,734
3996,511
18755,620
6865,462
5914,818
927,342
17413,295
10022,367
2320,91
5562,783
13491,373
19812,245
12234,568
13924,530
14693,498
7428,1245
15500,586
20341,359
19635,471
15351,703
1497,589
20674,391
5869,851
4160,784
15750,792
12782,349
20977,810
18398,387
7226,552
15280,99
16600,408
3207,707
16383,564
19418,844
12744,795
5103,815
15138,319
3691,959
874,230
3988,668
3313,470
12641,400
1755,726
20495,673
20975,70
15734,958
16106,1129
16279,277
12976,304
20917,589
18642,1249
12586,444
6887,532
516,515
16063,964
4248,494
12589,476
1959,342
402,509
823,640
13245,275
10702,258
16824,84
15843,362
1389,306
5742,476
20504,415
18024,1093
21171,225
11230,368
15971,517
6735,1066
13838,418
15006,631
3992,369
6863,477
10434,274
19931,579
7362,352
17410,73
20600,1428
18919,572
15071,334
14762,206
15223,604
12531,313
3125,273
18656,503
21247,271
10392,584
15182,575
10330,479
7790,229
13698,251
7865,862
19107,818
5530,502
17033,332
9945,391
14420,506
14397,533
9568,930
12582,291
15303,302
1735,1173
4430,127
21284,274
18025,683
20749,621
9369,604
15008,135
3420,952
5691,458
20565,550
10541,532
10076,376
12105,229
9786,649
1382,331
11137,73
21415,234
6627,339
18504,102
13121,817
969,342
19979,610
11445,410
18717,428
3434,607
8179,804
12160,686
10674,397
13499,734
5114,849
19170,561
14285,465
14232,273
14264,475
5910,549
19944,706
7441,226
18682,981
8318,251
21029,627
6371,360
1386,700
10030,389
8809,327
12949,386
6343,474
3522,640
12850,481
8243,640
20431,764
14188,839
1285,422
11743,302
5625,416
1430,184
8254,248
733,715
14940,293
7659,613
6811,314
21240,263
851,459
4609,9
11791,553
3468,294
11061,235
14719,268
11840,621
15774,50
16288,433
13,699
4870,849
7890,672
10986,484
17937,469
2954,331
17462,347
12509,449
8066,340
14105,876
19234,261
2837,297
3035,952
3656,378
16450,403
6629,589
13936,1022
19554,320
2471,618
18444,245
3269,198
4422,123
10581,898
5398,389
4646,959
7508,202
3911,397
14045,603
1644,906
8594,943
15993,1023
3261,186
2186,276
14113,804
16603,427
17552,471
14565,297
8724,697
397,840
1561,383
16441,232
13465,536
9935,444
15963,725
16980,353
14115,1579
20873,368
7481,336
21408,385
9695,280
1439,700
12220,427
6689,510
7808,552
10799,261
6712,704
13139,816
7534,472
15981,453
10792,500
8436,227
1012,567
15135,588
8928,224
8064,1023
15149,227
4480,477
5058,175
8851,1282
708,701
13649,720
12109,374
12656,119
3846,551
4500,537
13440,645
8133,557
9891,805
13709,618
8383,551
13683,549
967,233
18949,703
18187,153
2251,193
3085,304
17753,729
4772,440
18270,325
126,415
3156,806
8400,515
2428,192
8201,285
6417,559
7992,671
3142,672
13028,399
4641,9
19047,268
19346,217
2646,957
21084,422
2198,582
17417,948
10772,827
16194,878
15647,509
19874,259
6363,622
12329,554
8710,379
20091,369
14587,233
2151,376
14597,623
19153,615
9267,813
15816,258
14787,365
9285,646
9430,611
3878,400
8430,221
12223,482
5859,374
9892,725
12797,206
12067,221
4440,350
11262,1380
13180,386
11467,533
8101,588
16017,662
18666,528
13973,797
718,1394
5915,913
3297,1340
13081,624
15889,231
10273,660
10462,693
28,680
5385,57
16565,223
11647,361
15132,199
3680,407
12765,235
3856,1062
5009,513
1424,697
1958,402
4084,556
3642,422
1653,714
8632,748
9903,430
3883,469
20207,80
6197,713
8487,29
4952,437
14556,489
16495,220
4784,122
7594,341
18834,1843
7877,578
10645,628
11413,486
2170,733
14149,588
8787,1226
1010,349
5148,152
21266,216
4810,145
7369,456
4640,9
21278,212
20433,161
19564,378
7735,463
18795,482
8249,554
10662,370
20779,561
14592,410
18447,348
12459,593
10305,582
11304,574
13720,536
12712,330
994,219
18263,355
9712,275
19069,277
20219,840
15017,530
5209,414
10025,329
13810,1401
1593,461
8660,324
12456,1385
6274,299
19048,1207
17451,698
19782,301
1542,759
8407,654
15054,100
11259,1419
10956,316
15881,936
755,707
7065,844
5226,385
14933,577
5166,164
17706,153
20000,349
5140,753
14826,222
3206,1027
13652,654
17799,376
999,192
3735,336
13302,235
10054,922
9775,393
3446,552
14611,519
15288,576
16946,330
21307,890
8047,703
206,842
16722,157
15518,595
10778,509
9195,835
17481,329
2929,388
21381,111
19148,639
20447,528
8923,682
4003,170
13052,813
14646,313
18746,678
5924,825
1235,1004
5070,703
2793,347
18571,486
11178,414
26,573
12093,189
246,346
3213,1000
10262,541
6405,568
5066,650
11174,680
13863,575
521,856
8369,562
11717,148
7909,229
11035,154
21021,483
13639,489
4257,133
12751,551
4399,684
5610,238
20346,563
11813,1211
12649,613
2494,731
8551,718
16331,412
12167,383
6495,576
11671,661
12491,293
19963,795
9220,915
7630,635
11748,482
19310,283
358,185
6554,396
10580,533
21013,303
2045,515
20043,322
11596,365
15752,681
826,931
7969,1023
13232,580
16456,503
18236,772
17774,712
10818,479
9757,289
18984,726
4106,652
9771,794
19518,514
16683,332
1597,421
14338,782
11475,282
17296,601
12179,363
17960,812
10846,500
5477,312
2751,115
7905,277
10521,559
4150,513
18042,128
5782,302
14563,380
788,750
15067,513
14790,474
6013,683
18569,474
7725,224
4516,509
10197,367
11566,371
17776,641
17598,266
9522,969
9438,269
11074,79
19486,731
2696,422
2253,170
4724,598
3139,372
10730,201
7514,311
5931,674
3105,214
12119,123
114,363
11070,88
3015,982
20266,646
13225,431
20012,261
8209,312
19125,426
13732,1004
1031,859
15393,524
12423,620
13847,485
14091,778
7147,930
5679,431
15103,132
16150,604
9252,829
19639,792
15402,325
12857,315
8379,454
1199,414
9637,342
8972,377
14571,164
17694,633
11518,464
10727,266
15585,283
4634,938
12368,392
19108,915
20866,187
15725,554
3394,533
2560,941
13502,276
8160,310
16104,777
3024,944
5286,212
17548,1411
3053,317
1629,1271
10667,55
143,870
11063,93
20383,528
8225,430
2464,272
157,352
19675,492
20646,499
6273,296
8653,1200
10368,316
14446,243
10971,578
6896,531
13455,362
20705,398
20286,890
19017,474
10547,692
7187,468
11418,229
8712,150
11646,187
17098,456
12333,624
8728,707
4544,228
9702,355
4729,155
12700,657
15746,405
5391,345
19106,394
19576,446
4200,312
12533,768
300,343
9687,230
17872,748
4362,593
13671,286
5327,510
1940,290
6872,896
18508,1944
4631,498
5020,920
3181,534
996,389
17127,351
20264,205
16692,609
3824,747
8918,527
10889,405
15814,393
15558,639
17633,964
6662,418
4069,320
9939,443
14779,266
8729,714
16559,508
19328,491
12612,265
17710,287
16916,985
14139,792
7928,196
4463,321
13061,223
14903,427
15078,556
14003,612
8228,573
14966,729
1,347
15914,329
11807,679
10095,321
18826,744
19283,687
4102,461
18874,269
17751,656
19223,297
19838,260
13558,268
6458,569
17409,355
6600,764
9809,1188
15248,583
12811,287
6857,459
19147,460
3256,307
12363,499
3226,676
6335,543
14997,991
16897,424
7499,179
12901,21
17877,506
8252,651
12260,379
13072,198
20542,839
15922,793
15427,346
9791,649
920,592
13678,544
15687,476
19477,400
6219,492
15651,438
289,324
2808,332
9419,181
17230,610
14301,483
14624,382
13516,940
15942,1039
8153,318
5865,712
7431,520
19078,694
11400,702
6136,382
3441,161
4982,639
6762,403
13418,453
12354,352
2733,290
4072,140
11767,389
9764,1202
10592,937
10542,495
13562,382
7599,313
8574,840
12302,336
19786,244
20552,605
9682,126
6044,470
21294,411
9255,536
11869,513
345,156
3519,310
19640,1164
4610,122
21348,633
11487,361
20392,198
7274,305
3797,550
16856,78
4340,361
10807,699
6598,589
7691,258
6073,726
12878,479
16077,703
10609,1433
19290,279
20919,562
602,898
14417,432
21304,669
8269,592
7476,295
17204,839
19430,505
5660,129
5106,963
11081,331
13850,192
5017,165
20080,624
14977,178
3245,281
10219,281
18953,628
12886,724
21448,377
13386,415
20085,584
9823,371
5655,214
14481,1103
20129,888
6677,376
16696,990
14852,248
12596,424
3908,589
18756,857
11820,1111
14990,860
4226,551
14441,929
13318,827
20717,421
4457,369
7055,668
17026,284
4452,317
8908,521
6977,461
19623,293
16270,168
6045,392
1982,794
19667,815
16759,246
3583,631
623,410
10198,286
6933,182
3268,191
19250,565
11687,148
15570,181
18552,376
13124,731
1785,681
11303,1201
14391,301
10612,1110
5546,481
17080,596
8748,1038
10699,358
7653,406
5143,90
8476,248
7090,458
19687,593
6911,620
17712,210
16768,262
330,292
8165,368
16972,330
9480,520
4473,648
331,244
13677,286
12230,485
3193,462
16373,318
6807,304
2886,468
5992,293
576,552
18879,422
20988,254
20761,784
13670,596
8623,239
12432,593
17764,315
5663,146
12433,547
4536,68
2588,495
5950,465
12709,300
2081,479
19608,167
10600,687
21338,617
9236,472
11555,855
6281,296
5731,538
3841,419
16159,1090
20372,308
10610,844
