POS,Frequency,relative_freq
NOUN,1188089,21.72745173090628
VERB,562441,10.28576956691179
PUNCT,550336,10.064396586265879
ADP,517097,9.456530704094094
PROPN,466792,8.536566409059596
ADJ,397406,7.267653923714926
DET,327706,5.992999090916904
PRON,323927,5.923889756438515
SPACE,278727,5.097284326847833
CCONJ,256346,4.6879866250852436
AUX,202720,3.7072887762527236
PART,131461,2.404123371226121
ADV,101995,1.8652570971482663
NUM,74783,1.3676113681654865
SCONJ,49948,0.9134355751591902
SYM,24801,0.453554010161029
INTJ,9301,0.17009418364210033
X,4271,0.07810689800402221
