ngram,Frequency,relative_freq
"('NOUN', 'PUNCT', 'SPACE')",87109,1.5988738923527577
"('ADP', 'DET', 'NOUN')",80241,1.4728126829176966
"('NOUN', 'ADP', 'DET')",71054,1.3041865426905699
"('NOUN', 'ADP', 'NOUN')",68005,1.2482225608082895
"('NOUN', 'NOUN', 'PUNCT')",67955,1.2473048175829324
"('DET', 'ADJ', 'NOUN')",67918,1.246625687596168
"('NOUN', 'CCONJ', 'NOUN')",63734,1.1698289344982797
"('ADJ', 'NOUN', 'PUNCT')",58968,1.0823496502572343
"('ADJ', 'NOUN', 'ADP')",57912,1.0629669133376909
"('DET', 'NOUN', 'ADP')",48507,0.8903394126480068
"('NOUN', 'PART', 'VERB')",46280,0.8494631293905983
"('VERB', 'DET', 'NOUN')",45587,0.836743208287148
"('ADJ', 'NOUN', 'NOUN')",44067,0.8088438142362899
"('NOUN', 'PUNCT', 'NOUN')",43553,0.7994094138796182
"('PROPN', 'PROPN', 'PROPN')",40092,0.7358832278203947
"('PRON', 'AUX', 'VERB')",40032,0.7347819359499661
"('PROPN', 'PROPN', 'PUNCT')",39097,0.717620137635787
"('VERB', 'ADP', 'DET')",36225,0.6649049667712711
"('NOUN', 'PUNCT', 'PRON')",35495,0.6515059156810563
"('NOUN', 'PUNCT', 'VERB')",34293,0.6294433685434699
"('ADP', 'ADJ', 'NOUN')",34188,0.6275161077702198
"('ADP', 'DET', 'ADJ')",34170,0.6271857202090914
"('VERB', 'DET', 'ADJ')",33624,0.617163964188191
"('DET', 'NOUN', 'PUNCT')",33302,0.6112536978168908
"('PROPN', 'PUNCT', 'PROPN')",33077,0.6071238533027835
"('VERB', 'ADJ', 'NOUN')",32369,0.594128609231726
"('PUNCT', 'PRON', 'AUX')",32005,0.5874474385511258
"('NOUN', 'ADP', 'PRON')",30820,0.5656969241101608
"('ADP', 'PRON', 'NOUN')",30014,0.5509029033174031
"('PUNCT', 'SPACE', 'PROPN')",29792,0.5468281233968173
"('CCONJ', 'ADJ', 'NOUN')",29457,0.5406792437869242
"('ADP', 'NOUN', 'PUNCT')",29337,0.5384766600460671
"('NOUN', 'NOUN', 'ADP')",29300,0.5377975300593028
"('VERB', 'NOUN', 'ADP')",27595,0.5065024860746231
"('SPACE', 'PROPN', 'PROPN')",27384,0.5026296096636159
"('ADP', 'DET', 'PROPN')",27146,0.4982611519109158
"('ADJ', 'NOUN', 'CCONJ')",26727,0.49057046368242263
"('ADP', 'NOUN', 'ADP')",26551,0.4873400075291654
"('AUX', 'VERB', 'ADP')",26463,0.4857247794525368
"('NOUN', 'ADP', 'ADJ')",26373,0.4840728416468939
"('NOUN', 'NOUN', 'CCONJ')",25248,0.4634236190763575
"('VERB', 'PRON', 'NOUN')",24302,0.44605991725259986
"('NOUN', 'CCONJ', 'VERB')",24166,0.44356365567962835
"('CCONJ', 'NOUN', 'NOUN')",23425,0.42996270107983503
"('NOUN', 'NOUN', 'NOUN')",22965,0.42151946340654906
"('PUNCT', 'SPACE', 'VERB')",22784,0.4181972329307561
"('PUNCT', 'NOUN', 'PUNCT')",21951,0.40290763079630565
"('NOUN', 'ADP', 'PROPN')",21433,0.3933998109816053
"('DET', 'PROPN', 'PROPN')",21362,0.3920966156015981
"('DET', 'NOUN', 'NOUN')",21315,0.3912339369697624
"('PROPN', 'SPACE', 'PROPN')",21124,0.387728157848898
"('PRON', 'NOUN', 'PUNCT')",20792,0.38163434283252634
"('PROPN', 'PROPN', 'SPACE')",20307,0.37273223354656176
"('PUNCT', 'SPACE', 'PRON')",20277,0.3721815876113475
"('PART', 'VERB', 'DET')",20234,0.37139232843754033
"('VERB', 'ADP', 'NOUN')",20165,0.3701258427865474
"('PROPN', 'CCONJ', 'PROPN')",19710,0.36177437943579716
"('VERB', 'NOUN', 'PUNCT')",19641,0.36050789378480425
"('NOUN', 'SPACE', 'PROPN')",19585,0.35948002137240426
"('NOUN', 'PUNCT', 'CCONJ')",19392,0.3559375325225256
"('CCONJ', 'NOUN', 'PUNCT')",19371,0.35555208036787556
"('PUNCT', 'PRON', 'VERB')",19283,0.35393685229124694
"('ADP', 'NOUN', 'NOUN')",19276,0.3538083682396969
"('VERB', 'NOUN', 'NOUN')",19176,0.35197288178898256
"('PART', 'VERB', 'ADP')",18514,0.3398219614852536
"('PUNCT', 'NOUN', 'NOUN')",18345,0.33671998938354636
"('NOUN', 'NOUN', 'SPACE')",18229,0.3345908251007177
"('ADP', 'NOUN', 'CCONJ')",17500,0.32121012887501016
"('PART', 'VERB', 'PRON')",17479,0.32082467672036014
"('VERB', 'PART', 'VERB')",17438,0.3200721272755673
"('NOUN', 'AUX', 'VERB')",16954,0.31118837285410983
"('PROPN', 'PUNCT', 'SPACE')",16936,0.31085798529298125
"('PUNCT', 'PROPN', 'PUNCT')",16679,0.3061407851146454
"('VERB', 'ADP', 'PRON')",16360,0.30028558333686667
"('ADJ', 'ADJ', 'NOUN')",16342,0.2999551957757381
"('SPACE', 'ADJ', 'NOUN')",16319,0.29953303389207375
"('ADJ', 'CCONJ', 'ADJ')",16203,0.2974038696092451
"('PUNCT', 'SPACE', 'NOUN')",15960,0.2929436375340093
"('PUNCT', 'VERB', 'NOUN')",15871,0.2913100545928735
"('PROPN', 'NOUN', 'PUNCT')",15827,0.2905024405545592
"('NOUN', 'CCONJ', 'ADJ')",15802,0.2900435689418806
"('NOUN', 'PUNCT', 'ADJ')",15784,0.289713181380752
"('NOUN', 'ADP', 'VERB')",15645,0.2871618552142591
"('VERB', 'CCONJ', 'VERB')",15602,0.2863725960404519
"('PUNCT', 'PROPN', 'PROPN')",15569,0.2857668855117162
"('ADP', 'PROPN', 'PROPN')",15453,0.28363772122888753
"('DET', 'NOUN', 'PART')",15326,0.2813066534364803
"('CCONJ', 'NOUN', 'ADP')",15214,0.2792509086116803
"('CCONJ', 'VERB', 'NOUN')",15070,0.27660780812265157
"('PUNCT', 'ADJ', 'NOUN')",14820,0.2720190919958657
"('PRON', 'ADJ', 'NOUN')",14808,0.27179883362178003
"('SPACE', 'PRON', 'AUX')",14705,0.26990828257754423
"('NOUN', 'PUNCT', 'ADP')",14502,0.26618224508259414
"('NOUN', 'VERB', 'ADP')",14218,0.2609694635625654
"('PUNCT', 'NOUN', 'CCONJ')",13980,0.2566010058098653
"('NOUN', 'PRON', 'VERB')",13894,0.2550224874622509
"('PART', 'VERB', 'NOUN')",13706,0.25157177293490796
"('PRON', 'VERB', 'DET')",13551,0.24872676893630072
"('SPACE', 'PROPN', 'NOUN')",13488,0.24757041247235068
"('VERB', 'PUNCT', 'SPACE')",13170,0.2417335655590791
"('VERB', 'NOUN', 'CCONJ')",13165,0.2416417912365434
"('ADP', 'PROPN', 'PUNCT')",12505,0.22952758066182868
"('DET', 'NOUN', 'CCONJ')",12494,0.22932567715225013
"('PRON', 'AUX', 'AUX')",12377,0.22717815800491434
"('PUNCT', 'SPACE', 'ADJ')",12356,0.22679270585026431
"('PRON', 'VERB', 'PRON')",12190,0.2237457983420785
"('AUX', 'VERB', 'DET')",12095,0.22200208621389989
"('ADJ', 'NOUN', 'SPACE')",12079,0.22170840838178557
"('PUNCT', 'SPACE', 'DET')",11874,0.21794566115782119
"('PRON', 'NOUN', 'ADP')",11624,0.21335694503103533
"('PROPN', 'PROPN', 'NOUN')",11616,0.21321010611497818
"('AUX', 'ADJ', 'ADP')",11557,0.2121271691090567
"('SCONJ', 'PRON', 'AUX')",11258,0.20663906462142084
"('AUX', 'AUX', 'VERB')",10815,0.19850785964475626
"('DET', 'NOUN', 'AUX')",10657,0.1956077910526276
"('CCONJ', 'VERB', 'DET')",10652,0.1955160167300919
"('SCONJ', 'PRON', 'VERB')",10627,0.19505714511741332
"('PUNCT', 'DET', 'NOUN')",10283,0.18874307172695598
"('NOUN', 'PUNCT', 'PROPN')",10103,0.18543919611567014
"('ADJ', 'PART', 'VERB')",10092,0.1852372926060916
"('ADJ', 'NOUN', 'PART')",10047,0.18441132370327012
"('NOUN', 'PUNCT', 'DET')",10028,0.1840625812776344
"('NOUN', 'SPACE', 'VERB')",9985,0.18327332210382724
"('PROPN', 'ADP', 'PROPN')",9967,0.18294293454269867
"('PROPN', 'PUNCT', 'PRON')",9925,0.18217203023339862
"('ADP', 'PRON', 'PUNCT')",9850,0.18079541539536287
"('PROPN', 'PROPN', 'ADP')",9737,0.17872131570605565
