id,salary_paragraphs
13103,"['Up to £48,474 Mileage coverage Generous Annual Leave Free Parking Hybrid Working Continuous Training Development']"
3144,"['25 days holiday (plus take your public holiday allowance whenever works best for you) An extra day’s holiday for your birthday Annual leave is increased with length of service, and you can choose to buy or sell up to five extra days off 16 hours paid volunteering time a year Salary sacrifice, company enhanced pension scheme Life insurance at 4x your salary & group income protection Private Medical Insurance with VitalityHealth including mental health support and cancer care. Partner benefits include discounts with Waitrose, Mr&Mrs Smith and Peloton Generous family-friendly policies Incentives refer a friend scheme Perkbox membership giving access to retail discounts, a wellness platform for physical and mental health, and weekly free and boosted perks Access to initiatives like Cycle to Work, Salary Sacrificed Gym partnerships and Electric Vehicle (EV) leasing']"
19853,['The support from the experienced consultants at protocol education. Continuous work and income The chance to extend your skill set through our online courses. The opportunity to network and form relationships with schools in Newcastle.']
14844,[]
712,[]
6562,"['This role has a starting salary of between £39,355 - £42,053 per annum based on 36 hours working week. We welcome both full time and part time applications.', ""26 days' holiday (prorated for part time staff), rising to 28 days after 2 years' service and 30 days after 5 years' service Option to buy up to 10 days of additional annual leave An extensive Employee Assistance Programme (EAP) to support health and wellbeing Up to 5 days of carer's leave per year Paternity, adoption and dependants leave A generous local government salary related pension Lifestyle discounts including gym, travel, shopping and many more 2 paid volunteering days plus 1 team volunteering day per year Learning and development hub where you can access a wealth of resources""]"
8391,['Inner London Main Pay Scale M1-M6']
17698,[]
6020,[]
9173,[]
18880,"[""50% Discount off your total bill for you and 5 friends in all of our brands (T&C's apply) Exclusive access to discounts through our BRG Spark App on 1000's of online and high-street retailers, and restaurants 20% off at Carluccio’s retail gift shop & deli purchases Access to free Mortgage advice Wage stream – Access to advanced pay Access to our Financial & Wellbeing centre Access to our Healthcare Cashplan Employee Assistance Programme (EAP) Refer A Friend Bonus Scheme Excellent opportunities for career development across our group of diverse brands Flexible working opportunities""]"
15417,[]
6289,"['ARC Group will pay you through any payroll solution: LTD, UMB, SELF EMPLOYED OR PAYE.']"
4211,['Competitive compensation']
18512,"['Salary: £25,000 - £29,000']"
1676,[]
631,[]
16497,[]
265,"['Glasgow, Salary DOE']"
17838,"['In return, we offer our Home Delivery Drivers a great rate of pay, as well as many other benefits. You will be supported, and we will train you in all aspects of the operation, ensuring that you reach excellence in your role.']"
9548,[]
1915,"['Newcross gives you more support and free training to make a rewarding difference in people’s lives every day. We offer unlimited free training and a salary of up to £14.63 per hour (inc holiday pay).', 'Excellent hourly rates: get market-leading basic rates Flexible shifts in the palm of your hand: our HealthForceGo app makes flexible working easy. Choose full-time, part-time, day and night shifts at the tap of a finger Same-day pay with FlexiPay: get instant access to up to 50% of the value of your completed shifts, even on weekends and bank holidays £500 when you Introduce a Friend: receive up to £500 when you introduce a friend or family member']"
10970,"['Salary is dependent on experience, training, or qualifications. The minimum requirement for this position is a suitable qualification to teach Maths i.e PGCE, with valid QTS/QTLS', 'Excellent daily rates paid using the PAYE system. (Daily rate is subject to your scale rate, experience in role and qualifications which will be discussed at the point of registration.) Guaranteed pay scheme (subject to availability). Social and networking events. Pension contributions. CPD to help with your professional development. Access to a dedicated consultant.']"
7887,[]
9122,[]
14910,"['Tradewind pay to your Payscale and experience - ranging from £125 - £250 a day PAYE', 'Competitive pay rates based on experience and pay scale.']"
20011,[]
7802,[]
17484,"['Salary: £35,000-39,000 (UK-Wide) £42,000-44,000 (London-Rising) Hours: Monday-Friday 9am-5pm, Part-Time Available Office, Homeworking and Hybrid options']"
19803,['Salary £385 - £525 per week.']
17214,[]
3730,[]
7328,"[""Flexible shifts - to fit around the other important things in life. Love dining out? You'll love it even more with a massive 33% discount across all our brands. Whether its date night at Miller & Carter, a family roast at Toby Carvery or socialising with friends in the city at All Bar One, we've got you covered. Hastee Pay - no more waiting for payday, you can access your earned pay when you need it.""]"
1588,"['You will get a competitive salary and a benefits package which includes 25 days annual leave per annum, life assurance, access to Employee Assistance Programmes and access to career developmental opportunities.']"
1223,"['Earn up to £14.44/hour (including hourly rate and mileage) plus tips!', 'Salary: £8.60 - £11.44 per hour plus mileage & tips']"
5816,"[""Competitive top-level salary and benefits package. Opportunity to lead a dynamic and high-performing team in a growth-oriented company at the forefront of Net Zero. Make a significant impact on the company's success by shaping the future of clean energy through innovative hydrogen related products. Be part of a company committed to and at the forefront of sustainability and technological advancement.""]"
20083,"['All pay rates quoted will be inclusive of 12.07% statutory holiday pay. This advert is for a temporary position. In some cases, the option to make this role permanent may become available at a later date.']"
16729,['Hourly Rate: Negotiable']
8891,[]
16181,[]
9403,"['Area: NW London, London - West London, London| Salary: Basic Salary £18,000 - £22,000 + Commission, car allowance', 'Pear Recruitment - Lettings Negotiator - Ealing Basic Salary £18,000 - £22,000 + Commission, car allowance Driver with own car Hours: Mon...', 'Area: NW London, London| Salary: Basic Salary £25,000 + commission and pool car available.', 'Senior Sales Negotiator - Belsize Park Basic Salary £25,000 + commission and pool car available. Monday to Friday: 9am - 6pm Every other Sa...', 'Area: East London, London - North London, London| Salary: Salary - £35,000 – £40,000, OTE £65,000 +', 'Pear Recruitment - Commercial Property Manager Sales & Lettings - Shoreditch Salary - £35,000 - £40,000, OTE £65,000 + Our client, an ...', 'Area: Surrey, UK| Salary: Salary - £20,000, OTE £50,000', 'Pear Recruitment - Senior Sales Negotiator - Epsom Salary - £20,000, OTE £50,000 Full UK licence & car required Our client is looking...', 'Area: City & Central London, London - East London, London| Salary: Salary - £30,000 - £35,000', 'Property Manager - Limehouse Salary - £30,000 - £35,000 Working Hours: Monday to Friday 9am - 6pm Our client an independent Esta...', 'Area: City & Central London, London - East London, London| Salary: Salary - £40,000', 'Pear Recruitment - Senior Property Manager - Limehouse Salary - £40,000 Our client is looking for a Senior Property Manager to join thei...', 'Area: North London, London| Salary: Salary – £40,000 - £45,000', 'Senior Property Manager - Archway Salary - £40,000 - £45,000 Working Hours: Monday - Thursday 9am -6pm Friday 9am -5.30pm Full clean licence ...', 'Area: East London, London - North London, London| Salary: Salary – £18,000 – £20,000 + commission', 'Pear Recruitment - Sales Negotiator - Hackney Salary - £18,000 - £20,000 + commission Our client is a well-known brand within th...', 'Area: Berkshire, UK| Salary: Salary - £25,000 OTE £40,000', ""Lettings Client Manager - Reading Salary - £25,000 OTE £40,000 Our clients' highly successful office is looking for a Lettings Client Man..."", 'Area: Oxfordshire, UK| Salary: Basic Salary up to £26,000 - £29,700 OTE £50,000', 'Sales Client Manager - Bicester Basic Salary up to £26,000 - £29,700 OTE £50,000 Our clients highly Successful Bicester Branch is look...', 'Area: Hertfordshire, UK| Salary: Salary – £25,000', 'Pear Recruitment - Junior Property Manager - Cheshunt Salary - £25,000 Monday - Friday 08:45am - 6pm Our client is a successful in...', 'Area: SW London, London| Salary: Salary - £28,000 – £35,000', 'Pear Recruitment - Property Manager - Greenford Salary - £28,000 - £35,000 Monday - Friday 9am -6pm, Ideally some Saturdays although not...', 'Area: East London, London| Salary: Salary - £24,000 – £28,000, OTE £50,000 – £60,000', 'Pear Recruitment - Sales Negotiator - East London Salary - £24,000 - £28,000, OTE £50,000 - £60,000 Our client an independent Est...', 'Area: City & Central London, London - North London, London| Salary: Basic Salary - £15,000 - £18,000, OTE £30,000 - £35,000', 'Pear Recruitment - Trainee Lettings Negotiator - Islington Basic Salary - £15,000 - £18,000, OTE £30,000 - £35,000 Driver preferred. U...', 'Area: Middlesex, UK| Salary: Salary £30,000 - £35,000', 'PEAR Recruitment - Property Manager - West Drayton Salary £30,000 - £35,000 Driver - NOT essential We have an exc...']"
16191,"[""Recognition and rewards for doing a great job and achieving great results 25% off a huge selection of Next, Lipsy & Victoria's Secret products 10% off most partner brands & up to 15% off Branded Beauty 75% off a generous (optional) working wardrobe allowance to buy clothes to wear for work Early VIP access to sale stock Hot deals and exclusive offers from over 3,500 retailers through Perks at Work Access to fantastic discounts at our Staff Shops Sharesave scheme Access a 24/7 digital GP and other free health and wellbeing services Life assurance You can register for a discounted health plan for you and your family""]"
18503,"['Are you looking for a full-time position to start immediately? Want to earn a weekly wage in the region of £500pw? Do you have factory experience and have you own transport?', 'Regular hours, good pay and working with a leading local company based South of Kings Lynn therefore, you will need your own transport.']"
6489,"['This role has a starting salary of £44,614 per annum, based on a 36 hour working week (pro-rated for part time roles) 21.6 hours or 18 hours per week, supplemented with an annual AMHP allowance of £1,500 (pro rata for part-time roles).', ""26 days' holiday (prorated for part time staff), rising to 28 days after 2 years' service and 30 days after 5 years' service Option to buy up to 10 days of additional annual leave An extensive Employee Assistance Programme (EAP) to support health and wellbeing Up to 5 days of carer's leave per year Paternity, adoption and dependants leave A generous local government salary related pension Lifestyle discounts including gym, travel, shopping and many more 2 paid volunteering days plus 1 team volunteering day per year Learning and development hub where you can access a wealth of resources AMHP allowance of up to £1,500 per annum""]"
18946,"['As well as competitive pay, we offer a wide range of employee rewards such as , the option to withdraw up to 40% of your pay before pay day, free Blue Light card with discounts for high street retailers, eating out and fun family days. There is also a free DBS check, generous annual leave, contributory pension scheme, excellent training programmes relevant to your role and so much more!']"
9214,[]
17020,"[""Flexible shifts to fit around you! A massive 33% discount across all our brands. Whether its date night at Miller & Carter or a family roast at Toby Carvery, we've got you covered. 20% discount off all of our brands for friends and family. Earned Wage Access - No more waiting for payday, you can access your earned pay when you need i""]"
3074,['Good basic salary and commission']
6533,['Competitive rates of pay. Temporary to permanent. Supportive team and work environment. Access to training and development opportunities.']
15411,"['An extremely competitive pay rate Weekly pay which is paid through PAYE (No hidden umbrella costs) Social events, opportunity to network with other educational staff £250 bonus if you refer a friend to Protocol!']"
5069,['Salary: (£21k - £23k)']
5007,[]
12237,"['Top rates of pay through our attraction of the best education talent.', ""Our payroll team are onsite in London. Not offshore, not through a third party. We don't leave candidate service or pay to chance.""]"
10007,"[""Every year, you'll have a review with your manager, which can make a real difference to your pay. You'll get a bigger pay rise if your reviews show you're doing well.""]"
12046,"['Salary: -', 'The successful candidate will have the opportunity to earn an uncapped salary within this buoyant area.', 'This is an excellent opportunity for the right applicant, who is dedicated and committed to work, in return the company offers a competitive basic salary, generous commission structure, genuine career progression, training, and incentives.', 'Offering excellent working facilities with a competitive salary, together with a host of other employee benefits including:', 'Salary: -']"
19139,"['- Life Insurance (2x annual salary)', '- Enhanced Pay for Paternity and Maternity Leave', '- Annual pay reviews.']"
586,[]
6892,"['You’ll receive a competitive salary, pension contribution as well as:', ""The chance to further your career across our well-known brands – as one of the industry's top apprenticeship providers, we can provide training and development at each level of your career. Discount of 33% for you and 15% for your loved ones on all of our brands – so you enjoy your favourite food and drink at a discount. Free employee assistance program – mental health, well-being, financial, and legal support because you matter! Discount of 50% for you and 25% for your loved ones at our Greene King Inns and hotels. – so you can enjoy a weekend away without breaking the bank. Wage Stream – access your wage before payday for when life happens. Retail discounts – Receive up to 30% off at Superdrug, exclusive discounts with three mobile along with many more…""]"
12482,"['Salaries are based on skills, qualifications, and experience.']"
11831,[]
821,"['Starting salary for a Production Operator is £23,418 per annum with the potential to rise to £25,695 as an Advanced Operator with in-house training. All rates will be reviewed with effect from 1st April 2024.']"
1917,"['At Newcross Healthcare, we give our nurses a different level of support to help them continue doing the life-changing work they do! As a Registered Nurse in the Abernyte area, you’ll earn up to £30.25 per hour (inc holiday pay).']"
5342,['A competitive annual salary Mileage Allowance up to 28p whilst out in the community A Pool car (which may need to be loaned to team members in emergency situations) Annual staff awards and recognition events. Up to £2000 a year KPI Bonus A family and team orientated working environment with sector leading management and support.']
