data,num_samples,statistic,value
doclen-space_tokenized,10000,mean,517.9848
doclen-space_tokenized,10000,std,273.4632
doclen-space_tokenized,10000,median,469.0
doclen-bert_tokenized,10000,mean,621.6642
doclen-bert_tokenized,10000,std,324.5411
doclen-bert_tokenized,10000,median,564.5
space_tokenized,10000,STTR,0.4368
ngrams,10000,ngram_vendiscore,240.4243
BERT_embeddings,10000,embedding_vendiscore,1.1892
lemmas,10000,STTR,0.3955
paragraphs_per_doc,10000,mean,18.8418
paragraphs_per_doc,10000,std,10.7836
paragraphs_per_doc,10000,median,17.0
lists_per_doc,10000,mean,2.0043
lists_per_doc,10000,std,1.6031
lists_per_doc,10000,median,2.0
paragraph_len-space_tokenized,10000,mean,27.1834
paragraph_len-space_tokenized,10000,std,34.4393
paragraph_len-space_tokenized,10000,median,14.0
elements_per_list,10000,mean,5.9969
elements_per_list,10000,std,3.2003
elements_per_list,10000,median,5.0
salary_info,10000,percentage,68.55
salary_info,10000,mean_lines_per_doc,1.0696
other_language_detected,10000,percentage,0.07
