id,token_cnt
34583,1013
16597,225
2923,275
29253,856
11925,410
17247,913
59561,340
32098,376
30021,475
34729,1277
46266,357
54076,387
54262,1041
54866,599
31035,584
35053,538
1573,298
6264,1041
24899,1346
4228,134
38563,308
38150,645
60407,435
2417,414
49608,878
13062,596
50489,394
56463,999
50564,208
39618,830
41507,1096
8896,146
1486,220
38004,1102
9642,427
22173,349
58803,172
1322,320
30421,1600
49474,829
60786,369
49695,609
56072,550
26275,349
43980,849
46824,412
44593,498
14311,1059
37875,596
6888,657
31004,757
23610,1145
30676,901
5234,671
23001,712
44066,1225
10354,306
51064,295
11390,1513
557,652
42352,734
53646,667
36031,667
50152,1209
57100,664
55357,768
49052,186
28607,750
7506,545
39757,215
41725,450
22466,478
7864,923
35337,526
40461,581
51042,332
52538,303
19326,1107
54,290
30610,916
7529,962
54816,600
45929,720
59256,1030
34519,246
9669,641
27825,434
48705,993
7080,400
34455,1056
51766,357
48164,710
9863,326
52164,464
41639,862
33885,204
48446,523
25042,798
44034,1087
7949,461
31053,387
31974,961
41131,558
31594,367
49822,0
23264,421
21875,836
18751,317
38848,849
2209,108
48188,1412
6314,656
33204,86
47707,189
5659,200
17341,389
19311,595
19987,410
50106,465
32550,299
19429,1140
52043,487
52327,818
49239,244
52127,308
23710,428
21804,108
46306,244
46951,372
13798,319
59583,636
43704,457
24020,406
59400,285
817,576
137,727
5104,1123
34004,1160
57956,389
47004,656
4678,609
40432,6
8127,385
34990,69
1120,369
4797,354
51237,383
33943,328
4216,444
60397,548
15551,526
48955,251
35280,147
53603,671
58411,682
26606,1568
23508,817
20681,606
59487,499
2523,93
61008,290
45603,320
12695,1069
3365,577
14835,472
40225,1050
9199,83
26792,1288
26679,718
46857,605
36304,472
36616,387
31521,780
16464,955
5600,669
21331,647
59500,115
59637,553
25956,182
16000,320
43648,468
36017,432
4570,718
15548,704
11706,674
7916,939
3995,395
20918,615
35086,158
48000,1078
59049,962
42182,1533
12307,198
2653,236
57450,646
24121,305
31399,492
50173,164
23618,157
18345,526
19113,771
16618,346
27111,323
20360,329
48386,151
3623,984
14702,1165
35515,41
21716,404
55227,616
32297,1103
24932,513
15519,1216
47163,232
33230,349
55010,1109
43634,909
49155,221
40213,949
33656,693
44891,407
55749,299
54139,367
44090,376
60675,625
59606,306
21198,718
38334,199
42434,455
22918,304
5275,216
35602,473
17460,830
45509,335
19477,978
36682,301
12011,1206
24858,796
38426,465
12298,62
24078,505
53814,674
27671,598
53206,332
2040,186
16874,713
44855,406
48217,893
7784,703
8927,1041
6161,763
14831,826
32526,603
24509,888
56354,1340
12964,861
12161,1096
48423,982
38757,107
32622,350
51831,883
11203,662
24312,1412
60739,857
56532,626
28139,249
17959,277
57179,887
47156,566
45876,328
13623,902
7387,683
9419,639
22568,1554
48080,492
20674,173
55726,640
60058,1180
18015,412
42907,450
21091,836
7655,866
1155,262
49803,323
27931,809
18465,372
28559,383
8904,511
43620,671
49829,227
25943,247
23066,842
57520,288
25038,573
28145,138
4081,655
59684,212
21936,322
43508,1160
53031,480
39495,653
38586,74
50483,556
32663,1228
47212,613
16255,1403
17106,697
39059,889
11735,968
5874,459
43535,1113
43485,324
55679,604
34742,1194
5463,206
29414,541
22985,873
29002,1105
55722,666
12757,664
21541,754
56337,686
753,319
53209,272
14133,712
28695,458
59077,487
37015,421
27154,364
45767,547
21307,230
39630,388
94,395
10837,984
12691,909
4476,383
45456,561
49120,279
20189,279
58294,227
11875,667
19639,492
59863,706
12546,1123
50390,652
47680,190
53928,638
25247,562
38964,620
16387,1209
37432,257
19790,521
45741,642
41941,1078
56,496
16222,1516
53083,323
36889,265
30366,723
10024,922
1081,404
15594,919
50285,527
29456,298
11998,107
7345,450
