id	detected_lang	score	text
49822	th	0.0741	
57179	es	0.6606	Job Summary\nInformación disponible en español a continuación.\nA Housekeeper is primarily responsible for maintaining clean and attractive guest rooms hallways and public areas in the hotel servicing guest rooms daily in accordance with hotel procedures stocking cart with room supplies and replacing bed linens and replenishing guest room supplies while following company standards and safety/security procedures. In some instances this role would also be responsible for conducting ‘deep cleaning’ activities within the guest room in conjunction with preventative maintenance tasks.\nRecamarera tiene la responsabilidad de mantener limpias ordenadas y atractivas las habitaciones de los clientes pasillos áreas públicas del hotel limpiando los cuartos de acuerdo a los procedimientos del hotel llenar los carros con material reemplazando la línea y reabastecer el cuarto de amenidades siguiendo las normas de la empresa y los procedimientos de seguridad. En algunos casos esta función también sería responsable de realizar actividades de 'limpieza profunda' dentro de la habitación de invitados junto con tareas de mantenimiento preventivo.\nResponsibilities\nQUALIFICATIONS:\nHigh School diploma or equivalent and/or experience in a hotel or a related field preferred.\nThis position requires strong attention to detail ability to communicate effectively with guests and team members verbally or in written form.\nMust be able to convey information and ideas clearly.\nMust be able to evaluate and select among alternative courses of action quickly and accurately.\nMust work well in stressful high pressure situations.\nDiploma de enseñanza secundaria o equivalente y de preferencia con experiencia en trabajos de hotelería o similares.\nEsta posición requiere altos niveles de atención al detalle habilidad de comunicarse efectivamente con huéspedes y compañeros de equipo oralmente o de forma escrita\nComunicar las informaciones e ideas en forma clara.\nEvaluar y seleccionar en forma rápida y precisa los mejores cursos de acción.\nDesempeñarse correctamente aun cuando haya sobrecarga de trabajo.\nRESPONSIBILITIES:\nApproach all encounters with guests and employees in a friendly service-oriented manner.\nMaintain regular attendance in compliance with Aimbridge Hospitality standards as required by scheduling which will vary according to the needs of the hotel.\nMaintain high standards of personal appearance and grooming which include wearing the proper uniform and name tag when working (per brand standards).\nComply at all times with Aimbridge Hospitality standards and regulations to encourage safe and efficient hotel operations.\nThoroughly clean and restock the required number of guest rooms per shift.\nComplete all pre-cleaning duties including but not limited to guest supplies cleaning supplies and linen for housekeeping cart set-up.\nRemove all trash and dirty linen from guest rooms.\nPerform other tasks/jobs as assigned by the supervisor or manager.\nMay be required to disassemble furniture or items in the guest room to conduct deep cleaning.\nDeep cleaning tasks may include but are not limited to changing the AC filter cleaning the AC coils touching up paint on walls/molding touching up scratched furniture or rehanging closed slide doors.\nMantener un trato cordial y servicial hacia los clientes y entre los empleados.\nPresentarse regularmente al trabajo tal como lo establecen las normas de Aimbridge Hospitality y según lo exija el programa de trabajo el cual variará según las necesidades del hotel.\nMostrar una apariencia personal e higiene impecables. Ello incluye usar adecuadamente el uniforme y la placa con el nombre de la persona (basado en normas de marca)\nAcatar siempre las normas y reglamentaciones de Aimbridge Hospitality para asegurar una operación eficiente del hotel.\nLimpiar y surtir totalmente las habitaciones que se requieran en un turno.\nCompletar todos los deberes de limpieza previa incluyendo pero sin limitarse a la preparación del carro de limpieza con los artículos para los clientes productos de limpieza y ropa de cama.\nEliminar todos los desechos y retirar la ropa de cama toallas y demás artículos sucios de las habitaciones.\nLlevar a cabo otra tarea según asignada por el supervisor o gerente.\nPuede ser necesario desmontar muebles o artículos en la habitación de invitados para realizar una limpieza profunda.\nLas tareas de limpieza profunda pueden incluir entre otras cambiar el filtro de CA limpiar las bobinas de CA retocar la pintura en las paredes / molduras retocar muebles rayados o cambiar puertas correderas cerradas.\nCompany Overview\nAs the global leader in third-party hotel management, our growing portfolio represents over 1,550 hotels in all 50 states and 22 countries, from top international lodging brands to luxury hotels, destination resorts and lifestyle hotels. Our associates around the globe are passionate about serving our guests and driving exceptional results, and thrive in a culture where everyone is inspired to be the best. Join a world of possibility with Aimbridge Hospitality.\nBenefits\nAfter an initial waiting period, those hired into full time positions are eligible for a competitive benefits package that includes the following:\nNow offering Daily Pay! Ask your Recruiter for more details\nMedical, Dental, and Vision Coverage\nShort-Term and Long-Term Disability Income\nTerm Life and AD&D Insurance\nPaid Time Off\nEmployee Assistance Program\n401k Retirement Plan
43590	es	0.4917	Job Summary\nInformación disponible en español a continuación.\nThe Server is responsible for taking customer's food and drink orders serve food and beverages prepare itemized checks and sometimes accept payments. May perform additional duties which may include escorting guests to tables serving customers seated at counters setting up and clearing tables or operating a cash register. They also check the identification of patrons to ensure they meet the minimum age requirement for the purchase of alcohol. Responsible for providing the highest quality of service possible to guests in an efficient and courteous manner.\nEl Mesero es responsable de tomar ordenes de comidas y bebidas de los clientes preparar la cuenta y aceptar pago. Servicios adicionales como acompañar a los clientes a la mesa sentar y limpiar las mesas y manejar caja registradora. Responsable de revisar la identificación de los clientes para asegurar que cumplen los requisitos de edad para comprar bebidas alcohólicas; proveer el servicio de más alta calidad posible a los huéspedes de manera eficiente y cortés.\nResponsibilities\nQUALIFICATIONS:\nHigh School diploma or equivalent and/or experience in a hotel or a related field preferred.\nAlcohol Awareness Certification (must comply with State regulations)\nFood Handlers certification (must comply with State regulations)\nMust be able to convey information and ideas clearly.\nMust be able to evaluate and select among alternative courses of action quickly and accurately.\nMust work well in stressful high pressure situations.\nSe prefiere diploma de Escuela Superior o su equivalente y / o experiencia en un hotel o campo relacionado.\nCertificación para Manejar alimentos( debe cumplir con requisitos del Estado)\nCertificación para Servir/Vender Alcohol (debe cumplir con requisitos del estado)\nTiene que poder expresar claramente información e ideas.\nTiene que poder evaluar y seleccionar entre varias opciones alternativas rápida y acertadamente.\nTiene que poder trabajar bien bajo presión.\nRESPONSIBILITIES:\nComply at all times with Aimbridge Hospitality standards and regulations to encourage safe and efficient hotel operations.\nComply with certification requirements as applicable to position to include Alcohol Awareness Food Handlers Safety etc.\nBe familiar with the organization of the restaurant and lounge and know the function of each job position.\nHave a thorough knowledge of menus and specials in the restaurant.\nService guests with all food and beverage requirements in a warm friendly courteous and professional manner.\nClear clean and reset tables as needed.\nBe familiar with the operation of the P.O.S. system.\nCarry out cashiering functions in closing checks and end of shift paperwork.\nPerform opening and closing procedures and side work duties according to station rotation assignment.\nEnsure that tables and side stands are kept stocked tidy and clean.\nPerform other tasks/jobs as assigned by the supervisor or manager.\nCumplir en todo momento con las normas y reglamentos de Aimbridge Hospitality para alentar operaciones de trabajo seguras y eficientes.\nCumplir con los requisitos de certificación requeridos para la posición incluyendo Certificado para manejar alimentos Certificado para servir alcohol Seguridad etc.\nEstar familiarizado con la organización del restaurante y el salón social y saber la función de cada puesto.\nEstar completamente familiarizado con los menús y los especiales en el restaurante.\nServirle a los huéspedes todas las bebidas y los alimentos pedidos de manera calurosa simpática cortés y profesional.\nRecoger limpiar y volver a preparar mesas según necesario.\nEstar familiarizado con la operación del Sistema Punto de Ventas (P.O.S.)\nLlevar a cabo funciones de cajero para cerrar los cheques y el papeleo para el cierre del turno.\nLlevar a cabo los deberes de abertura y cierre y otros deberes extras de acuerdo con la asignación de la rotación de las estaciones.\nAsegurarse que las mesas y las estaciones para los meseros se mantenga suplidas nítidas y limpias.\nLlevar a cabo otra tarea según asignada por el supervisor o gerente.\nCompany Overview\nAs the global leader in third-party hotel management, our growing portfolio represents over 1,550 hotels in all 50 states and 22 countries, from top international lodging brands to luxury hotels, destination resorts and lifestyle hotels. Our associates around the globe are passionate about serving our guests and driving exceptional results, and thrive in a culture where everyone is inspired to be the best. Join a world of possibility with Aimbridge Hospitality.\nBenefits\nAfter an initial waiting period, those hired into full time positions are eligible for a competitive benefits package that includes the following:\nNow offering Daily Pay! Ask your Recruiter for more details\nMedical, Dental, and Vision Coverage\nShort-Term and Long-Term Disability Income\nTerm Life and AD&D Insurance\nPaid Time Off\nEmployee Assistance Program\n401k Retirement Plan
10008	ur	0.4448	M075\n193213-J2
21218	es	0.4917	Job Summary\nInformación disponible en español a continuación.\nThe Server is responsible for taking customer's food and drink orders serve food and beverages prepare itemized checks and sometimes accept payments. May perform additional duties which may include escorting guests to tables serving customers seated at counters setting up and clearing tables or operating a cash register. They also check the identification of patrons to ensure they meet the minimum age requirement for the purchase of alcohol. Responsible for providing the highest quality of service possible to guests in an efficient and courteous manner.\nEl Mesero es responsable de tomar ordenes de comidas y bebidas de los clientes preparar la cuenta y aceptar pago. Servicios adicionales como acompañar a los clientes a la mesa sentar y limpiar las mesas y manejar caja registradora. Responsable de revisar la identificación de los clientes para asegurar que cumplen los requisitos de edad para comprar bebidas alcohólicas; proveer el servicio de más alta calidad posible a los huéspedes de manera eficiente y cortés.\nResponsibilities\nQUALIFICATIONS:\nHigh School diploma or equivalent and/or experience in a hotel or a related field preferred.\nAlcohol Awareness Certification (must comply with State regulations)\nFood Handlers certification (must comply with State regulations)\nMust be able to convey information and ideas clearly.\nMust be able to evaluate and select among alternative courses of action quickly and accurately.\nMust work well in stressful high pressure situations.\nSe prefiere diploma de Escuela Superior o su equivalente y / o experiencia en un hotel o campo relacionado.\nCertificación para Manejar alimentos( debe cumplir con requisitos del Estado)\nCertificación para Servir/Vender Alcohol (debe cumplir con requisitos del estado)\nTiene que poder expresar claramente información e ideas.\nTiene que poder evaluar y seleccionar entre varias opciones alternativas rápida y acertadamente.\nTiene que poder trabajar bien bajo presión.\nRESPONSIBILITIES:\nComply at all times with Aimbridge Hospitality standards and regulations to encourage safe and efficient hotel operations.\nComply with certification requirements as applicable to position to include Alcohol Awareness Food Handlers Safety etc.\nBe familiar with the organization of the restaurant and lounge and know the function of each job position.\nHave a thorough knowledge of menus and specials in the restaurant.\nService guests with all food and beverage requirements in a warm friendly courteous and professional manner.\nClear clean and reset tables as needed.\nBe familiar with the operation of the P.O.S. system.\nCarry out cashiering functions in closing checks and end of shift paperwork.\nPerform opening and closing procedures and side work duties according to station rotation assignment.\nEnsure that tables and side stands are kept stocked tidy and clean.\nPerform other tasks/jobs as assigned by the supervisor or manager.\nCumplir en todo momento con las normas y reglamentos de Aimbridge Hospitality para alentar operaciones de trabajo seguras y eficientes.\nCumplir con los requisitos de certificación requeridos para la posición incluyendo Certificado para manejar alimentos Certificado para servir alcohol Seguridad etc.\nEstar familiarizado con la organización del restaurante y el salón social y saber la función de cada puesto.\nEstar completamente familiarizado con los menús y los especiales en el restaurante.\nServirle a los huéspedes todas las bebidas y los alimentos pedidos de manera calurosa simpática cortés y profesional.\nRecoger limpiar y volver a preparar mesas según necesario.\nEstar familiarizado con la operación del Sistema Punto de Ventas (P.O.S.)\nLlevar a cabo funciones de cajero para cerrar los cheques y el papeleo para el cierre del turno.\nLlevar a cabo los deberes de abertura y cierre y otros deberes extras de acuerdo con la asignación de la rotación de las estaciones.\nAsegurarse que las mesas y las estaciones para los meseros se mantenga suplidas nítidas y limpias.\nLlevar a cabo otra tarea según asignada por el supervisor o gerente.\nProperty Details\nDirectly off highway I-95 and within driving distance of downtown Boston, this hotel features on-site dining options, modern facilities and easy access to area attractions, including Faneuil Hall.\nThe Hilton Garden Inn Boston Waltham is only a short drive from popular sites including the Boston Aquarium and Fenway Park, home to baseball's Red Sox. The historic cities of Lexington and Concord are also easily accessible.\nGuests staying at the Boston Waltham Hilton Garden Inn can enjoy a breakfast buffet for a charge at the on-site Great American Grill restaurant or purchase snacks from the on-site 24-hour convenience store. The hotel also features an indoor swimming pool and state-of-the-art fitness facilities.\nCompany Overview\nAs the global leader in third-party hotel management, our growing portfolio represents over 1,550 hotels in all 50 states and 22 countries, from top international lodging brands to luxury hotels, destination resorts and lifestyle hotels. Our associates around the globe are passionate about serving our guests and driving exceptional results, and thrive in a culture where everyone is inspired to be the best. Join a world of possibility with Aimbridge Hospitality.\nBenefits\nAfter an initial waiting period, those hired into full time positions are eligible for a competitive benefits package that includes the following:\nNow offering Daily Pay! Ask your Recruiter for more details\nMedical, Dental, and Vision Coverage\nShort-Term and Long-Term Disability Income\nTerm Life and AD&D Insurance\nPaid Time Off\nEmployee Assistance Program\n401k Retirement Plan
17268	es	0.6606	Job Summary\nInformación disponible en español a continuación.\nA Housekeeper is primarily responsible for maintaining clean and attractive guest rooms hallways and public areas in the hotel servicing guest rooms daily in accordance with hotel procedures stocking cart with room supplies and replacing bed linens and replenishing guest room supplies while following company standards and safety/security procedures. In some instances this role would also be responsible for conducting ‘deep cleaning’ activities within the guest room in conjunction with preventative maintenance tasks.\nRecamarera tiene la responsabilidad de mantener limpias ordenadas y atractivas las habitaciones de los clientes pasillos áreas públicas del hotel limpiando los cuartos de acuerdo a los procedimientos del hotel llenar los carros con material reemplazando la línea y reabastecer el cuarto de amenidades siguiendo las normas de la empresa y los procedimientos de seguridad. En algunos casos esta función también sería responsable de realizar actividades de 'limpieza profunda' dentro de la habitación de invitados junto con tareas de mantenimiento preventivo.\nResponsibilities\nQUALIFICATIONS:\nHigh School diploma or equivalent and/or experience in a hotel or a related field preferred.\nThis position requires strong attention to detail ability to communicate effectively with guests and team members verbally or in written form.\nMust be able to convey information and ideas clearly.\nMust be able to evaluate and select among alternative courses of action quickly and accurately.\nMust work well in stressful high pressure situations.\nDiploma de enseñanza secundaria o equivalente y de preferencia con experiencia en trabajos de hotelería o similares.\nEsta posición requiere altos niveles de atención al detalle habilidad de comunicarse efectivamente con huéspedes y compañeros de equipo oralmente o de forma escrita\nComunicar las informaciones e ideas en forma clara.\nEvaluar y seleccionar en forma rápida y precisa los mejores cursos de acción.\nDesempeñarse correctamente aun cuando haya sobrecarga de trabajo.\nRESPONSIBILITIES:\nApproach all encounters with guests and employees in a friendly service-oriented manner.\nMaintain regular attendance in compliance with Aimbridge Hospitality standards as required by scheduling which will vary according to the needs of the hotel.\nMaintain high standards of personal appearance and grooming which include wearing the proper uniform and name tag when working (per brand standards).\nComply at all times with Aimbridge Hospitality standards and regulations to encourage safe and efficient hotel operations.\nThoroughly clean and restock the required number of guest rooms per shift.\nComplete all pre-cleaning duties including but not limited to guest supplies cleaning supplies and linen for housekeeping cart set-up.\nRemove all trash and dirty linen from guest rooms.\nPerform other tasks/jobs as assigned by the supervisor or manager.\nMay be required to disassemble furniture or items in the guest room to conduct deep cleaning.\nDeep cleaning tasks may include but are not limited to changing the AC filter cleaning the AC coils touching up paint on walls/molding touching up scratched furniture or rehanging closed slide doors.\nMantener un trato cordial y servicial hacia los clientes y entre los empleados.\nPresentarse regularmente al trabajo tal como lo establecen las normas de Aimbridge Hospitality y según lo exija el programa de trabajo el cual variará según las necesidades del hotel.\nMostrar una apariencia personal e higiene impecables. Ello incluye usar adecuadamente el uniforme y la placa con el nombre de la persona (basado en normas de marca)\nAcatar siempre las normas y reglamentaciones de Aimbridge Hospitality para asegurar una operación eficiente del hotel.\nLimpiar y surtir totalmente las habitaciones que se requieran en un turno.\nCompletar todos los deberes de limpieza previa incluyendo pero sin limitarse a la preparación del carro de limpieza con los artículos para los clientes productos de limpieza y ropa de cama.\nEliminar todos los desechos y retirar la ropa de cama toallas y demás artículos sucios de las habitaciones.\nLlevar a cabo otra tarea según asignada por el supervisor o gerente.\nPuede ser necesario desmontar muebles o artículos en la habitación de invitados para realizar una limpieza profunda.\nLas tareas de limpieza profunda pueden incluir entre otras cambiar el filtro de CA limpiar las bobinas de CA retocar la pintura en las paredes / molduras retocar muebles rayados o cambiar puertas correderas cerradas.\nCompany Overview\nAs the global leader in third-party hotel management, our growing portfolio represents over 1,550 hotels in all 50 states and 22 countries, from top international lodging brands to luxury hotels, destination resorts and lifestyle hotels. Our associates around the globe are passionate about serving our guests and driving exceptional results, and thrive in a culture where everyone is inspired to be the best. Join a world of possibility with Aimbridge Hospitality.\nBenefits\nAfter an initial waiting period, those hired into full time positions are eligible for a competitive benefits package that includes the following:\nNow offering Daily Pay! Ask your Recruiter for more details\nMedical, Dental, and Vision Coverage\nShort-Term and Long-Term Disability Income\nTerm Life and AD&D Insurance\nPaid Time Off\nEmployee Assistance Program\n401k Retirement Plan
42824	ur	0.3565	M075\n191333-J2
53689	ur	0.948	Req ID: 88594
10214	ur	0.3548	M075\n192306-J2
52944	es	0.6515	Job Summary\nInformación disponible en español a continuación.\n$15/HR!\nWeekends Required\nA Housekeeper is primarily responsible for maintaining clean and attractive guest rooms hallways and public areas in the hotel servicing guest rooms daily in accordance with hotel procedures stocking cart with room supplies and replacing bed linens and replenishing guest room supplies while following company standards and safety/security procedures. In some instances this role would also be responsible for conducting ‘deep cleaning’ activities within the guest room in conjunction with preventative maintenance tasks.\nRecamarera tiene la responsabilidad de mantener limpias ordenadas y atractivas las habitaciones de los clientes pasillos áreas públicas del hotel limpiando los cuartos de acuerdo a los procedimientos del hotel llenar los carros con material reemplazando la línea y reabastecer el cuarto de amenidades siguiendo las normas de la empresa y los procedimientos de seguridad. En algunos casos esta función también sería responsable de realizar actividades de 'limpieza profunda' dentro de la habitación de invitados junto con tareas de mantenimiento preventivo.\nResponsibilities\nQUALIFICATIONS:\nHigh School diploma or equivalent and/or experience in a hotel or a related field preferred.\nThis position requires strong attention to detail ability to communicate effectively with guests and team members verbally or in written form.\nMust be able to convey information and ideas clearly.\nMust be able to evaluate and select among alternative courses of action quickly and accurately.\nMust work well in stressful high pressure situations.\nDiploma de enseñanza secundaria o equivalente y de preferencia con experiencia en trabajos de hotelería o similares.\nEsta posición requiere altos niveles de atención al detalle habilidad de comunicarse efectivamente con huéspedes y compañeros de equipo oralmente o de forma escrita\nComunicar las informaciones e ideas en forma clara.\nEvaluar y seleccionar en forma rápida y precisa los mejores cursos de acción.\nDesempeñarse correctamente aun cuando haya sobrecarga de trabajo.\nRESPONSIBILITIES:\nApproach all encounters with guests and employees in a friendly service-oriented manner.\nMaintain regular attendance in compliance with Aimbridge Hospitality standards as required by scheduling which will vary according to the needs of the hotel.\nMaintain high standards of personal appearance and grooming which include wearing the proper uniform and name tag when working (per brand standards).\nComply at all times with Aimbridge Hospitality standards and regulations to encourage safe and efficient hotel operations.\nThoroughly clean and restock the required number of guest rooms per shift.\nComplete all pre-cleaning duties including but not limited to guest supplies cleaning supplies and linen for housekeeping cart set-up.\nRemove all trash and dirty linen from guest rooms.\nPerform other tasks/jobs as assigned by the supervisor or manager.\nMay be required to disassemble furniture or items in the guest room to conduct deep cleaning.\nDeep cleaning tasks may include but are not limited to changing the AC filter cleaning the AC coils touching up paint on walls/molding touching up scratched furniture or rehanging closed slide doors.\nMantener un trato cordial y servicial hacia los clientes y entre los empleados.\nPresentarse regularmente al trabajo tal como lo establecen las normas de Aimbridge Hospitality y según lo exija el programa de trabajo el cual variará según las necesidades del hotel.\nMostrar una apariencia personal e higiene impecables. Ello incluye usar adecuadamente el uniforme y la placa con el nombre de la persona (basado en normas de marca)\nAcatar siempre las normas y reglamentaciones de Aimbridge Hospitality para asegurar una operación eficiente del hotel.\nLimpiar y surtir totalmente las habitaciones que se requieran en un turno.\nCompletar todos los deberes de limpieza previa incluyendo pero sin limitarse a la preparación del carro de limpieza con los artículos para los clientes productos de limpieza y ropa de cama.\nEliminar todos los desechos y retirar la ropa de cama toallas y demás artículos sucios de las habitaciones.\nLlevar a cabo otra tarea según asignada por el supervisor o gerente.\nPuede ser necesario desmontar muebles o artículos en la habitación de invitados para realizar una limpieza profunda.\nLas tareas de limpieza profunda pueden incluir entre otras cambiar el filtro de CA limpiar las bobinas de CA retocar la pintura en las paredes / molduras retocar muebles rayados o cambiar puertas correderas cerradas.\nProperty Details\nWe are located within Beaumont Centre, just five miles from Lexington/Bluegrass Airport, Keeneland Racetrack, and just minutes away from the University of Kentucky, downtown Lexington and Lexington Convention Center. Our lobby also features The Bistro. Eat, drink and connect in our restaurant that serves both breakfast and dinner. The Bistro lounge is the perfect place for guests to enjoy wine, beer or our signature cocktails after a long day. We proudly brew Starbucks coffee and guests can swim in the indoor pool or relax in the hot tub.\nCompany Overview\nAs the global leader in third-party hotel management, our growing portfolio represents over 1,550 hotels in all 50 states and 22 countries, from top international lodging brands to luxury hotels, destination resorts and lifestyle hotels. Our associates around the globe are passionate about serving our guests and driving exceptional results, and thrive in a culture where everyone is inspired to be the best. Join a world of possibility with Aimbridge Hospitality.\nBenefits\nAfter an initial waiting period, those hired into full time positions are eligible for a competitive benefits package that includes the following:\nNow offering Daily Pay! Ask your Recruiter for more details\nMedical, Dental, and Vision Coverage\nShort-Term and Long-Term Disability Income\nTerm Life and AD&D Insurance\nPaid Time Off\nEmployee Assistance Program\n401k Retirement Plan
