ngram,Frequency,relative_freq
"('NOUN', 'PUNCT')",467009,7.3880011681359585
"('NOUN', 'NOUN')",301617,4.771528489450232
"('ADJ', 'NOUN')",289217,4.5753626457836525
"('NOUN', 'ADP')",282040,4.461823753848568
"('PROPN', 'PROPN')",214016,3.385695903076355
"('PUNCT', 'SPACE')",176336,2.789604855547586
"('NOUN', 'CCONJ')",166925,2.6407244721003127
"('DET', 'NOUN')",166299,2.6308212609603707
"('PUNCT', 'NOUN')",155885,2.466073591932648
"('ADP', 'NOUN')",155216,2.455490128270314
"('VERB', 'NOUN')",151341,2.3941883021245074
"('ADP', 'DET')",142610,2.2560654004266922
"('PROPN', 'PUNCT')",132532,2.0966331929692896
"('CCONJ', 'NOUN')",121443,1.9212071413226197
"('SPACE', 'PROPN')",116744,1.8468697784686472
"('VERB', 'ADP')",112890,1.7859001686709859
"('PART', 'VERB')",97760,1.546546199745554
"('DET', 'ADJ')",82807,1.3099923400402014
"('VERB', 'DET')",82022,1.2975737765500186
"('PUNCT', 'PROPN')",81299,1.286136042278169
"('PUNCT', 'VERB')",80011,1.265760106258608
"('CCONJ', 'VERB')",73446,1.1619029478980354
"('NOUN', 'SPACE')",70018,1.1076725840198876
"('AUX', 'VERB')",69929,1.1062646194967967
"('NOUN', 'VERB')",69730,1.1031164741024702
"('VERB', 'ADJ')",66575,1.0532049227502072
"('PUNCT', 'CCONJ')",66384,1.0501833359646977
"('NOUN', 'PART')",63639,1.0067579133143136
"('ADP', 'ADJ')",61880,0.9789308392006433
"('CCONJ', 'ADJ')",58367,0.923355790103813
"('PROPN', 'NOUN')",56646,0.8961298693820239
"('PUNCT', 'ADJ')",55017,0.870359372661632
"('PRON', 'NOUN')",54950,0.8692994443127884
"('PRON', 'VERB')",53612,0.8481325169881202
"('SPACE', 'VERB')",53157,0.840934496111645
"('PROPN', 'SPACE')",50157,0.7934750178052143
"('ADP', 'PROPN')",49769,0.7873369252775826
"('VERB', 'PUNCT')",49450,0.7822904007509988
"('NOUN', 'AUX')",47683,0.7543367680285111
"('PRON', 'AUX')",47213,0.7469014497605037
"('PUNCT', 'PRON')",44923,0.710674047986595
"('SPACE', 'NOUN')",44156,0.6985402413662508
"('ADJ', 'PUNCT')",43814,0.6931298608393177
"('VERB', 'PRON')",42245,0.6683085536850545
"('ADP', 'PRON')",41997,0.6643852368117229
"('DET', 'PROPN')",39119,0.6188557772897537
"('ADP', 'VERB')",35795,0.5662706753262285
"('NUM', 'NOUN')",34064,0.5388865563434181
"('PROPN', 'CCONJ')",32863,0.5198869451947437
"('PROPN', 'ADP')",32555,0.5150144387552834
"('ADJ', 'ADP')",29844,0.4721268901923722
"('ADJ', 'ADJ')",29828,0.4718737729747379
"('CCONJ', 'PROPN')",28664,0.4534594953918429
"('VERB', 'CCONJ')",28081,0.4442365367742932
"('ADJ', 'CCONJ')",24920,0.39423006646541736
"('ADV', 'VERB')",24382,0.3857190000224641
"('SPACE', 'ADJ')",24027,0.3801029617562032
"('AUX', 'ADJ')",23940,0.37872663688531666
"('PUNCT', 'ADP')",23684,0.37467676140316797
"('PUNCT', 'DET')",22348,0.35354147373070416
"('NOUN', 'PRON')",22290,0.35262392381677987
"('AUX', 'AUX')",21374,0.33813296310721636
