POS,Frequency,relative_freq
NOUN,1565468,24.726322739205013
PUNCT,784034,12.383694666712998
VERB,623360,9.845873912919867
PROPN,595716,9.409241247287236
ADP,541429,8.55178655479705
ADJ,457106,7.219917929990934
CCONJ,333922,5.274245875176507
SPACE,324763,5.129580899611131
DET,308015,4.865048853452279
PRON,210257,3.320976500431199
AUX,171709,2.7121168565733402
PART,135295,2.136963409664549
ADV,93752,1.4807982082329043
NUM,83292,1.3155841407131057
SCONJ,47286,0.7468749901282226
SYM,40730,0.6433239933156221
X,10422,0.16461386345041523
INTJ,4624,0.07303535833762427
