ngram,Frequency,relative_freq
"('NOUN', 'PUNCT', 'SPACE')",113458,1.7977292374933136
"('NOUN', 'NOUN', 'PUNCT')",112614,1.7843561525064076
"('NOUN', 'PUNCT', 'NOUN')",109764,1.739198223344463
"('NOUN', 'ADP', 'NOUN')",96864,1.5347991755588175
"('NOUN', 'CCONJ', 'NOUN')",89695,1.4212071776072446
"('ADJ', 'NOUN', 'PUNCT')",82747,1.3111168997766505
"('ADP', 'DET', 'NOUN')",82381,1.305317670979011
"('NOUN', 'ADP', 'DET')",74081,1.1738051053494876
"('PUNCT', 'NOUN', 'PUNCT')",69317,1.098320061655626
"('PROPN', 'PROPN', 'PROPN')",63701,1.0093351738754566
"('DET', 'ADJ', 'NOUN')",61387,0.9726701043734425
"('ADJ', 'NOUN', 'NOUN')",60454,0.9578868244056901
"('ADJ', 'NOUN', 'ADP')",57168,0.9058205243263389
"('PROPN', 'PROPN', 'PUNCT')",56874,0.901162127423317
"('PUNCT', 'SPACE', 'PROPN')",52618,0.8337262865414794
"('PROPN', 'PUNCT', 'PROPN')",52607,0.8335519927798016
"('NOUN', 'PUNCT', 'VERB')",52273,0.8282598003797702
"('NOUN', 'PART', 'VERB')",49480,0.7840050298010643
"('VERB', 'ADJ', 'NOUN')",47149,0.7470705972128209
"('SPACE', 'PROPN', 'PROPN')",46673,0.7395284307984048
"('NOUN', 'PUNCT', 'CCONJ')",45729,0.7245708570689747
"('DET', 'NOUN', 'ADP')",45640,0.723160662088128
"('ADP', 'NOUN', 'PUNCT')",44921,0.7117681880293777
"('ADP', 'ADJ', 'NOUN')",43828,0.6944497260735861
"('VERB', 'DET', 'NOUN')",43034,0.6818688854579427
"('CCONJ', 'ADJ', 'NOUN')",41987,0.6652792883237123
"('PUNCT', 'NOUN', 'NOUN')",41009,0.6497829884218239
"('NOUN', 'NOUN', 'CCONJ')",40699,0.6448710733199983
"('NOUN', 'NOUN', 'ADP')",39327,0.6231318877725638
"('NOUN', 'NOUN', 'NOUN')",38975,0.617554487398878
"('CCONJ', 'NOUN', 'NOUN')",38372,0.6080000202814559
"('VERB', 'NOUN', 'ADP')",36768,0.5825848208513648
"('NOUN', 'ADP', 'ADJ')",35614,0.5642998207626334
"('PUNCT', 'SPACE', 'VERB')",34707,0.5499285078679373
"('NOUN', 'PUNCT', 'ADJ')",34506,0.5467436854954633
"('VERB', 'ADP', 'DET')",34194,0.5418000806187873
"('VERB', 'NOUN', 'NOUN')",33814,0.5357790233971945
"('PUNCT', 'ADJ', 'NOUN')",32830,0.5201876541707546
"('DET', 'NOUN', 'PUNCT')",32672,0.5176841619575662
"('PUNCT', 'PROPN', 'PUNCT')",32521,0.5152915839563543
"('VERB', 'NOUN', 'PUNCT')",32365,0.5128197815180163
"('ADP', 'NOUN', 'NOUN')",31352,0.4967689105562442
"('CCONJ', 'NOUN', 'PUNCT')",30822,0.48837112022086504
"('ADP', 'DET', 'ADJ')",30567,0.48433067392742785
"('ADJ', 'NOUN', 'CCONJ')",29910,0.47392058288904265
"('PROPN', 'SPACE', 'PROPN')",29588,0.46881852913811417
"('ADP', 'NOUN', 'ADP')",29432,0.46634672669977617
"('NOUN', 'CCONJ', 'VERB')",29425,0.46623581248779944
"('PROPN', 'PROPN', 'SPACE')",29335,0.46480977261952755
"('VERB', 'DET', 'ADJ')",28524,0.45195956891765476
"('PUNCT', 'VERB', 'NOUN')",27948,0.4428329137607144
"('NOUN', 'PUNCT', 'PRON')",27418,0.4344351234253351
"('VERB', 'ADP', 'NOUN')",27122,0.42974503674746295
"('CCONJ', 'VERB', 'NOUN')",25784,0.40854457737248673
"('DET', 'NOUN', 'NOUN')",25140,0.3983404698706296
"('PUNCT', 'SPACE', 'NOUN')",24171,0.3829867739555684
"('NOUN', 'SPACE', 'PROPN')",23971,0.3798177964705196
"('NOUN', 'CCONJ', 'ADJ')",23639,0.3745572938453387
"('PUNCT', 'PROPN', 'PROPN')",23369,0.37027917424052287
"('CCONJ', 'NOUN', 'ADP')",23254,0.3684570121866198
"('PROPN', 'PUNCT', 'SPACE')",22805,0.3613426577326853
"('DET', 'PROPN', 'PROPN')",22762,0.36066132757339986
"('AUX', 'VERB', 'ADP')",22649,0.3588708552943473
"('ADP', 'NOUN', 'CCONJ')",21807,0.34552946008229196
"('PRON', 'AUX', 'VERB')",21751,0.3446421463864784
"('ADP', 'PRON', 'NOUN')",21707,0.34394497133976765
"('NOUN', 'ADP', 'PRON')",20818,0.32985886641872586
"('ADP', 'DET', 'PROPN')",20691,0.3278465657157199
"('PART', 'VERB', 'NOUN')",20306,0.321746284057001
"('PUNCT', 'CCONJ', 'NOUN')",20279,0.3213184720965195
"('NOUN', 'NOUN', 'SPACE')",20247,0.32081143569891163
"('NOUN', 'ADP', 'PROPN')",20239,0.3206846765995097
"('NOUN', 'AUX', 'VERB')",20151,0.31929032650608824
"('NOUN', 'VERB', 'ADP')",19992,0.31677098940547443
"('VERB', 'NOUN', 'CCONJ')",19878,0.31496467223899666
"('VERB', 'CCONJ', 'VERB')",19864,0.31474284381504325
"('ADP', 'PROPN', 'PROPN')",19759,0.31307913063539267
"('PUNCT', 'PRON', 'AUX')",19199,0.3042059936772561
"('ADJ', 'ADJ', 'NOUN')",19111,0.30281164358383467
"('PUNCT', 'NOUN', 'CCONJ')",19008,0.30117962017903455
"('PROPN', 'CCONJ', 'PROPN')",18922,0.2998169598604636
"('PROPN', 'NOUN', 'PUNCT')",18435,0.29210049968436985
"('VERB', 'PRON', 'NOUN')",18382,0.2912607206508319
"('SPACE', 'PROPN', 'NOUN')",18135,0.2873470334567967
"('NOUN', 'ADP', 'VERB')",18114,0.2870142908208666
"('NOUN', 'PUNCT', 'PROPN')",17259,0.2734669120722831
"('PRON', 'NOUN', 'PUNCT')",17258,0.2734510671848579
"('VERB', 'PUNCT', 'SPACE')",16471,0.260981140781191
"('ADJ', 'CCONJ', 'ADJ')",16226,0.25709914336200623
"('PART', 'VERB', 'DET')",15949,0.2527101095452137
"('PUNCT', 'PRON', 'VERB')",15928,0.2523773669092836
"('PART', 'VERB', 'ADP')",15863,0.2513474492266427
"('VERB', 'PART', 'VERB')",15491,0.24545315110445204
"('SPACE', 'ADJ', 'NOUN')",15285,0.24218910429485183
"('ADJ', 'PUNCT', 'NOUN')",14610,0.23149380528281224
"('NOUN', 'PUNCT', 'ADP')",14389,0.22799208516183336
"('NOUN', 'NOUN', 'VERB')",14371,0.22770687718817895
"('PUNCT', 'CCONJ', 'VERB')",14195,0.224918177001336
"('SPACE', 'VERB', 'NOUN')",13648,0.21625102357972764
"('PROPN', 'PROPN', 'NOUN')",13548,0.2146665348372033
"('ADP', 'VERB', 'NOUN')",13511,0.2140802740024693
"('NOUN', 'PRON', 'VERB')",13398,0.21228980172341672
"('NOUN', 'PUNCT', 'DET')",13346,0.21146586757730407
"('DET', 'NOUN', 'PART')",13092,0.20744126617129208
"('PROPN', 'ADP', 'PROPN')",12999,0.2059676916407444
"('NUM', 'NOUN', 'ADP')",12769,0.20232336753293836
"('DET', 'NOUN', 'CCONJ')",12658,0.2005645850287363
"('PUNCT', 'SPACE', 'ADJ')",12556,0.19894840651136142
"('VERB', 'ADP', 'ADJ')",12517,0.19833045590177692
"('NOUN', 'SPACE', 'VERB')",12475,0.19766497062991667
"('SPACE', 'PROPN', 'PUNCT')",12372,0.19603294722511655
"('PUNCT', 'DET', 'NOUN')",12339,0.19551006594008352
"('ADJ', 'NOUN', 'VERB')",12047,0.1908833588119123
"('PUNCT', 'CCONJ', 'ADJ')",11841,0.1876193120023121
"('ADJ', 'NOUN', 'SPACE')",11820,0.18728656936638197
"('PROPN', 'PROPN', 'CCONJ')",11819,0.18727072447895673
"('ADP', 'PROPN', 'PUNCT')",11625,0.1841968163184594
"('CCONJ', 'PROPN', 'PROPN')",11510,0.1823746542645564
"('NOUN', 'VERB', 'NOUN')",11471,0.18175670365497187
"('PART', 'VERB', 'ADJ')",11396,0.18056833709807857
