id,salary_paragraphs
34583,"['Drivers make around $20-35+ an hour after tips There is room for growth and upward mobility You will be working in a small, but growing franchise alongside the owner and an energetic crew']"
16597,"['100% Work from Home Paid weekly, based on a suggested schedule for success Bonus structured contracts Fully unionized position with full Union Benefits Life Insurance Flexible Schedule Retirement Plan Renewals']"
2923,"['Great pay - Our drivers receive a competitive hourly wage, plus tips Benefits - All team members are eligible for benefits (eligibility for certain benefits dependent on approximate hours worked per week) Schedule - Flexible scheduling and opportunities for overtime Perks - Discounts on menu items, a safe work environment, and opportunities for career growth and advancement']"
29253,"['Starting rate $16.50 with opportunities to earn additional compensation up to $21.45 per hour. Also, up to $1,000 Bonus during key holiday weeks. Plus, refer your friends and earn up to $500!', 'An inclusive, challenging, and refreshingly fun work environment Empowerment and autonomy to perform impactful work with tangible results Competitive pay and benefits rooted in principles of equity Coverage across medical, dental, vision, and retirement Employee Assistance Program (mental health and financial literacy resources) Fully-Funded education benefits may include 100% of tuition, books, and fees Annual merit and merchandise discounts Colleague Resource Groups (CRGs), give-back/volunteer opportunities']"
11925,"['Looking for a job with promotion opportunities? We offer on the job training, weekly pay, overtime and raises for time earned!', 'This is a general labor position that starts at $13.50-$14.50/hr!', 'Raises at 6 months and on January 1st after a year of service. Paid holidays after 90 days of employment. Potential access to a company vehicle and a merit increase with promotion. Referral Program! Earn $500 for finding your friend a job! (Must work 90 days) Become a certified Traffic Control Flagger. Paid training and ATSSA certification.']"
17247,[]
59561,[]
32098,[]
30021,"['Competitive compensation. Salary range: $43,000-46,000 (Plus additional bonus opportunities) Health & Wellness benefits. We offer coverage for medical, dental, and vision, including access to the best doctors at an affordable price. Paid Leave. We provide 20 days of paid time off plus holidays. Retirement planning. We offer a 401k program with a company match. Tuition Reimbursement. Plus many other programs to support career development and growth.']"
34729,"['Competitive Wages & Family Benefits:', 'Competitive wages Parental leave (4 weeks paid) Housing programs Childcare reimbursement Comprehensive Health Benefits:', 'Pay is based upon relevant education and experience per hour.', 'Hourly Pay:', 'Competitive Wages & Family Benefits:', 'Competitive wages Parental leave (4 weeks paid) Housing programs Childcare reimbursement Comprehensive Health Benefits:']"
46266,"['Full suite of benefits including health insurance, retirement plans, and paid time off Base salary $110,000-$150,000 Collaborative work environment with opportunities for professional growth and development Supportive team culture that values diversity and inclusion']"
54076,[]
54262,"['Pay Transparency', ""Maximus compensation is based on various factors including but not limited to job location, a candidate's education, training, experience, expected quality and quantity of work, required travel (if any), external market and internal value analysis including seniority and merit systems, as well as internal pay alignment. Annual salary is just one component of Maximus's total compensation package. Other rewards may include short- and long-term incentives as well as program-specific awards. Additionally, Maximus provides a variety of benefits to employees, including health insurance coverage, life and disability insurance, a retirement savings plan, paid holidays and paid time off. Compensation ranges may differ based on contract value but will be commensurate with job duties and relevant work experience. An applicant's salary history will not be used in determining compensation. Maximus will comply with regulatory minimum wage rates and exempt salary thresholds in all instances.""]"
54866,[]
31035,"['Target Salary Range', '$146,000 - $234,000. This represents the typical salary range for this position based on experience and other factors.']"
35053,[]
1573,[]
