data,num_samples,statistic,value
doclen-space_tokenized,10000,mean,600.1172
doclen-space_tokenized,10000,std,338.45
doclen-space_tokenized,10000,median,528.0
doclen-bert_tokenized,10000,mean,740.0592
doclen-bert_tokenized,10000,std,416.0432
doclen-bert_tokenized,10000,median,655.0
space_tokenized,10000,STTR,0.4477
ngrams,10000,ngram_vendiscore,234.0714
BERT_embeddings,10000,embedding_vendiscore,1.205
lemmas,10000,STTR,0.4067
paragraphs_per_doc,10000,mean,20.7453
paragraphs_per_doc,10000,std,13.8809
paragraphs_per_doc,10000,median,17.0
lists_per_doc,10000,mean,2.4241
lists_per_doc,10000,std,1.8575
lists_per_doc,10000,median,2.0
paragraph_len-space_tokenized,10000,mean,28.6188
paragraph_len-space_tokenized,10000,std,43.6172
paragraph_len-space_tokenized,10000,median,12.0
elements_per_list,10000,mean,6.2188
elements_per_list,10000,std,3.9114
elements_per_list,10000,median,5.0
salary_info,10000,percentage,62.67
salary_info,10000,mean_lines_per_doc,1.0673
other_language_detected,10000,percentage,0.21
