country,measure,statistic,value
AUT,paragraphs_per_doc,std,9.9138
AUT,doclen-space_tokenized,median,298.0
AUT,doclen-bert_tokenized,mean,553.4901
AUT,doclen-bert_tokenized,std,249.0211
AUT,doclen-bert_tokenized,median,511.0
AUT,STTR,space_tokenized_STTR,0.5106
AUT,vendi_score,ngram_vendiscore,274.5643
AUT,vendi_score,embedding_vendiscore,1.424
AUT,STTR,lemma_STTR,0.4462
AUT,paragraphs_per_doc,mean,13.6395
AUT,paragraphs_per_doc,median,12.0
AUT,doclen-space_tokenized,std,155.7903
AUT,lists_per_doc,mean,2.336
AUT,lists_per_doc,median,3.0
AUT,paragraph_len-space_tokenized,mean,23.4895
AUT,paragraph_len-space_tokenized,std,44.2046
AUT,paragraph_len-space_tokenized,median,7.0
AUT,elements_per_list,mean,5.3036
AUT,elements_per_list,std,2.3449
AUT,elements_per_list,median,5.0
AUT,salary_info,percentage,78.86
AUT,salary_info,mean_lines_per_doc,1.0482
AUT,other_language_detected,percentage,0.26
AUT,lists_per_doc,std,1.4269
AUT,doclen-space_tokenized,mean,328.3815
DE,doclen-space_tokenized,mean,328.3208
DE,salary_info,mean_lines_per_doc,0.9447
DE,other_language_detected,percentage,0.02
DE,doclen-space_tokenized,median,304.0
DE,doclen-bert_tokenized,mean,549.9856
DE,doclen-bert_tokenized,std,255.7952
DE,doclen-bert_tokenized,median,521.0
DE,STTR,space_tokenized_STTR,0.4966
DE,vendi_score,ngram_vendiscore,283.9367
DE,vendi_score,embedding_vendiscore,1.4001
DE,STTR,lemma_STTR,0.4291
DE,paragraphs_per_doc,mean,20.113
DE,paragraphs_per_doc,std,15.6566
DE,doclen-space_tokenized,std,160.1441
DE,lists_per_doc,mean,1.827
DE,paragraphs_per_doc,median,17.0
DE,elements_per_list,median,5.0
DE,elements_per_list,std,3.3574
DE,elements_per_list,mean,5.1527
DE,paragraph_len-space_tokenized,median,6.0
DE,salary_info,percentage,59.21
DE,paragraph_len-space_tokenized,mean,16.0056
DE,lists_per_doc,median,2.0
DE,lists_per_doc,std,1.6543
DE,paragraph_len-space_tokenized,std,35.567
ES,paragraphs_per_doc,std,12.0621
ES,doclen-bert_tokenized,mean,426.1634
ES,doclen-bert_tokenized,std,312.6629
ES,doclen-bert_tokenized,median,339.0
ES,STTR,space_tokenized_STTR,0.4298
ES,vendi_score,ngram_vendiscore,242.1171
ES,vendi_score,embedding_vendiscore,1.3889
ES,doclen-space_tokenized,median,236.0
ES,STTR,lemma_STTR,0.383
ES,paragraphs_per_doc,mean,15.9729
ES,lists_per_doc,mean,0.9121
ES,paragraph_len-space_tokenized,median,10.0
ES,lists_per_doc,median,0.0
ES,paragraph_len-space_tokenized,mean,18.9916
ES,paragraph_len-space_tokenized,std,26.021
ES,elements_per_list,mean,5.1243
ES,elements_per_list,std,2.598
ES,elements_per_list,median,5.0
ES,salary_info,percentage,55.22
ES,salary_info,mean_lines_per_doc,0.6183
