id,token_cnt
1,798
2,286
3,994
4,285
5,2052
6,723
7,703
8,807
9,359
10,350
11,480
12,336
13,575
14,745
15,287
16,668
17,508
18,658
19,243
20,1088
21,1267
22,696
23,782
24,632
25,492
26,36
27,417
28,563
29,725
30,150
31,973
32,1099
33,845
34,242
35,1263
36,403
37,871
38,310
39,254
40,876
41,1077
42,369
43,1479
44,262
45,1211
46,393
47,773
48,405
49,489
50,301
51,1215
52,95
53,905
54,1035
55,218
56,927
57,874
58,502
59,692
60,568
61,1933
62,438
63,568
64,74
65,923
66,439
67,808
68,157
69,799
70,205
71,502
72,625
73,1121
74,72
75,351
76,289
77,1210
78,593
79,427
80,1428
81,553
82,1319
83,545
84,1231
85,588
86,446
87,19
88,168
89,949
90,165
91,407
92,522
93,585
94,645
95,425
96,503
97,1570
98,1465
99,1301
100,466
101,324
102,908
103,437
104,57
105,351
106,1263
107,682
108,695
109,739
110,625
111,1773
112,1889
113,737
114,670
115,635
116,224
117,869
118,1044
119,517
120,1458
121,545
122,467
123,779
124,523
125,1013
126,220
127,473
128,601
129,599
130,336
131,985
132,397
133,289
134,1079
135,1105
136,349
137,425
138,1037
139,739
140,224
141,1087
142,862
143,374
144,531
145,602
146,522
147,447
148,1617
149,407
150,1262
151,403
152,937
153,1148
154,1265
155,204
156,1650
157,552
158,925
159,513
160,332
161,930
162,1045
163,972
164,456
165,446
166,156
167,1182
168,826
169,393
170,158
171,519
172,1968
173,454
174,444
175,714
176,139
177,1432
178,145
179,783
180,497
181,485
182,770
183,423
184,214
185,1178
186,654
187,1188
188,2359
189,620
190,1355
191,1151
192,647
193,519
194,923
195,1310
196,440
197,764
198,781
199,561
200,1093
201,956
202,297
203,530
204,262
205,788
206,1069
207,545
208,1237
209,254
210,184
211,893
212,116
213,54
214,385
215,925
216,513
217,828
218,556
219,691
220,612
221,685
222,1007
223,631
224,418
225,846
226,923
227,163
228,576
229,1360
230,1465
231,432
232,1095
233,570
234,39
235,1141
236,863
237,1349
238,268
239,444
240,507
241,330
242,321
243,216
244,1432
245,853
246,1319
247,203
248,1192
249,1318
250,95
251,214
252,1335
253,325
254,180
255,139
256,647
257,927
258,336
259,547
260,594
261,78
262,499
263,1200
264,4066
265,1302
266,1565
267,51
268,68
269,313
270,399
271,778
272,451
273,604
274,482
275,869
276,96
277,320
278,874
279,2041
280,977
281,848
282,385
283,577
284,1169
