id,token_cnt
1,552
2,214
3,655
4,193
5,1305
6,479
7,447
8,581
9,252
10,215
11,311
12,225
13,341
14,453
15,164
16,466
17,312
18,417
19,162
20,842
21,786
22,527
23,441
24,426
25,307
26,26
27,277
28,393
29,484
30,100
31,622
32,807
33,521
34,155
35,805
36,245
37,624
38,199
39,187
40,572
41,782
42,253
43,1049
44,171
45,911
46,314
47,576
48,271
49,310
50,211
51,740
52,58
53,571
54,652
55,175
56,583
57,549
58,366
59,468
60,394
61,1349
62,267
63,360
64,52
65,577
66,284
67,518
68,111
69,626
70,153
71,356
72,432
73,811
74,50
75,213
76,198
77,738
78,386
79,303
80,919
81,370
82,884
83,342
84,871
85,311
86,280
87,12
88,106
89,717
90,97
91,225
92,388
93,361
94,463
95,302
96,349
97,874
98,949
99,806
100,284
101,227
102,650
103,301
104,34
105,222
106,933
107,513
108,506
109,467
110,448
111,1042
112,1193
113,492
114,472
115,411
116,146
117,583
118,572
119,337
120,831
121,414
122,319
123,539
124,324
125,722
126,167
127,311
128,432
129,464
130,221
131,640
132,232
133,204
134,669
135,719
136,245
137,273
138,701
139,505
140,152
141,779
142,563
143,253
144,327
145,432
146,358
147,281
148,1045
149,244
150,880
151,258
152,661
153,744
154,846
155,132
156,1188
157,334
158,616
159,349
160,201
161,646
162,730
163,685
164,318
165,306
166,102
167,842
168,466
169,269
170,105
171,358
172,1239
173,285
174,315
175,487
176,98
177,1066
178,88
179,522
180,343
181,315
182,555
183,288
184,151
185,829
186,476
187,830
188,1720
189,371
190,946
191,868
192,399
193,363
194,600
195,913
196,276
197,524
198,532
199,402
200,635
201,662
202,224
203,347
204,180
205,492
206,746
207,346
208,940
209,174
210,137
211,570
212,83
213,38
214,301
215,673
216,300
217,578
218,357
219,419
220,451
221,446
222,600
223,429
224,291
225,563
226,672
227,121
228,444
229,910
230,879
231,289
232,751
233,362
234,31
235,723
236,584
237,831
238,185
239,306
240,371
241,222
242,179
243,150
244,818
245,611
246,989
247,142
248,822
249,921
250,67
251,160
252,945
253,196
254,120
255,96
256,382
257,647
258,213
259,384
260,424
261,58
262,351
263,890
264,2289
265,900
266,1155
267,31
268,53
269,225
270,248
271,499
272,336
273,420
274,344
275,623
276,59
277,218
278,585
279,1504
280,657
281,594
282,257
283,419
284,721
285,1153
286,525
287,338
288,61
289,58
290,240
291,165
292,1027
293,411
294,502
295,417
296,382
297,627
298,574
299,610
300,164
301,344
302,866
303,420
304,452
305,470
306,274
307,503
308,35
309,511
310,634
311,218
312,763
313,127
314,405
315,272
316,408
317,114
318,393
319,664
320,182
321,296
322,187
323,405
324,843
325,791
326,469
327,592
328,169
329,199
330,141
331,600
332,240
333,854
334,169
335,291
336,694
337,197
338,548
339,469
340,202
341,257
342,441
343,787
344,1184
345,186
346,272
347,867
348,214
349,971
350,328
351,156
352,47
353,313
354,457
355,490
356,351
357,1174
358,486
359,723
360,806
361,316
362,978
363,172
364,140
365,536
366,319
367,690
368,151
369,370
370,387
371,767
372,745
373,675
374,228
375,690
376,850
377,1111
378,1220
379,553
380,476
381,900
382,730
383,255
384,522
385,596
386,384
387,197
388,137
389,342
390,1191
391,78
392,553
393,15
394,383
395,243
396,80
397,378
398,767
399,331
400,1023
401,250
402,43
403,436
404,247
405,414
406,98
407,509
408,930
409,344
410,351
411,495
412,244
413,1509
414,288
415,233
416,186
417,307
418,623
419,385
420,1219
421,804
422,281
423,453
424,331
425,349
426,363
427,104
428,514
429,782
430,1290
431,528
432,228
433,625
434,295
435,793
436,993
437,137
438,376
439,993
440,916
441,1181
442,221
443,204
444,441
445,380
446,674
447,513
448,424
449,27
450,238
451,370
452,523
453,1114
454,806
455,37
456,397
457,110
458,462
459,502
460,1236
461,813
462,32
463,224
464,783
465,529
466,378
467,671
468,98
469,284
470,551
471,780
472,94
473,404
474,598
475,1818
476,139
477,198
478,270
479,142
480,216
481,212
482,794
483,237
484,520
485,378
486,210
487,262
488,334
489,472
490,763
491,102
492,359
493,628
494,368
495,155
496,602
497,433
498,368
499,738
500,71
501,420
502,887
503,387
504,412
505,300
506,356
507,358
508,463
509,466
510,217
511,643
512,391
513,360
514,337
515,1441
516,316
517,27
518,225
519,364
520,388
521,437
522,1131
523,330
524,966
525,1016
526,99
527,390
528,607
529,464
530,364
531,306
532,508
533,271
534,446
535,208
536,228
537,289
538,566
539,176
540,581
541,93
542,114
543,1138
544,62
545,340
546,507
547,228
548,1063
549,169
550,631
551,658
552,325
553,181
554,224
555,1089
556,526
557,830
558,480
559,988
560,1016
561,278
562,404
563,293
564,571
565,151
566,340
567,629
568,1143
569,483
570,321
571,779
572,356
573,414
574,145
575,187
576,269
577,347
578,335
579,132
580,184
581,218
582,295
583,453
584,186
585,364
586,713
587,240
588,50
589,1031
590,116
591,119
592,587
593,504
594,580
595,440
596,744
597,834
598,399
599,487
600,676
601,263
602,115
603,123
604,504
605,293
606,243
607,1179
608,1113
609,667
610,516
611,684
612,988
613,895
614,288
615,1062
616,280
617,355
618,888
619,861
620,363
621,338
622,57
623,62
624,260
625,453
626,169
627,346
628,560
629,28
630,264
631,356
632,361
633,726
634,336
635,478
636,352
637,17
638,76
639,1577
640,450
641,89
642,556
643,285
644,300
645,716
646,438
647,1403
648,229
649,399
650,525
651,549
652,252
653,758
654,164
655,606
656,397
657,734
658,329
659,303
660,182
661,427
662,364
663,87
664,222
665,453
666,470
667,880
668,724
669,574
670,359
671,504
672,132
673,329
674,133
675,630
676,398
677,492
678,180
679,55
680,329
681,449
682,37
683,862
684,53
685,553
686,601
687,494
688,274
689,313
690,125
691,165
692,415
693,620
694,201
695,594
696,202
697,348
698,80
699,306
700,816
701,656
702,319
703,1392
704,196
705,224
706,1187
707,184
708,232
709,249
710,369
711,398
712,342
713,135
714,492
715,473
716,730
717,361
718,240
719,632
720,412
721,324
722,288
723,238
724,697
725,667
726,529
727,254
728,97
729,193
730,359
731,1148
732,1059
733,353
734,1008
735,696
736,710
737,504
738,122
739,898
740,1161
741,466
742,523
743,685
744,460
745,99
746,146
747,406
748,479
749,472
750,439
751,614
752,30
753,311
754,164
755,646
756,528
757,116
758,640
759,36
760,328
761,340
762,498
763,124
764,497
765,407
766,73
767,469
768,285
769,482
770,652
771,545
772,384
773,295
774,130
775,467
776,162
777,127
778,1061
779,401
780,1194
781,497
782,664
783,424
784,651
785,459
786,547
787,596
788,139
789,372
790,1168
791,185
792,438
793,888
794,446
795,1577
796,297
797,370
798,151
799,412
800,872
801,259
802,193
803,288
804,158
805,203
806,784
807,599
808,426
809,128
810,207
811,1162
812,314
813,431
814,365
815,409
816,545
817,577
818,261
819,315
820,56
821,353
822,389
823,270
824,317
825,608
826,307
827,873
828,296
829,380
830,151
831,226
832,402
833,469
834,175
835,13
836,184
837,100
838,235
839,623
840,445
841,341
842,675
843,450
844,749
845,293
846,240
847,785
848,867
849,972
850,558
851,59
852,528
853,681
854,567
855,603
856,75
857,422
858,340
859,1553
860,223
861,418
862,32
863,365
864,281
865,497
866,510
867,435
868,1264
869,153
870,118
871,733
872,137
873,775
874,258
875,312
876,1052
877,176
878,361
879,46
880,465
881,135
882,856
883,337
884,308
885,749
886,460
887,743
888,265
889,289
890,130
891,207
892,154
893,404
894,188
895,173
896,2264
897,1060
898,525
899,497
900,820
901,991
902,501
903,105
904,296
905,312
906,123
907,803
908,790
909,180
910,569
911,511
912,159
913,352
914,304
915,277
916,233
917,612
918,887
919,954
920,467
921,403
922,249
923,296
924,170
925,223
926,632
927,619
928,373
929,1024
930,220
931,241
932,727
933,949
934,316
935,136
936,363
937,411
938,380
939,382
940,190
941,305
942,1356
943,81
944,347
945,231
946,395
947,160
948,764
949,245
950,206
951,925
952,518
953,775
954,484
955,497
956,371
957,568
958,476
959,471
960,591
961,446
962,90
963,65
964,366
965,888
966,338
967,344
968,48
969,124
970,1044
971,445
972,317
973,765
974,224
975,547
976,109
977,973
978,221
979,405
980,277
981,750
982,608
983,1349
984,401
985,230
986,378
987,327
988,389
989,503
990,156
991,666
992,46
993,730
994,550
995,422
996,248
997,312
998,359
999,371
1000,406
1001,225
1002,802
1003,440
1004,29
1005,196
1006,464
1007,363
1008,363
1009,570
1010,157
1011,433
1012,494
1013,583
1014,421
1015,317
1016,289
1017,136
1018,158
1019,43
1020,890
1021,573
1022,186
1023,375
1024,152
1025,751
1026,236
1027,712
1028,463
1029,438
1030,249
1031,148
1032,368
1033,337
1034,188
1035,391
1036,887
1037,59
1038,616
1039,99
1040,762
1041,437
1042,364
1043,375
1044,430
1045,99
1046,114
1047,461
1048,481
1049,668
1050,528
1051,113
1052,410
1053,1428
1054,248
1055,293
1056,572
1057,159
1058,594
1059,685
1060,293
1061,588
1062,584
1063,864
1064,84
1065,565
1066,192
1067,785
1068,945
1069,676
1070,595
1071,864
1072,201
1073,1916
1074,285
1075,482
1076,902
1077,383
1078,155
1079,252
1080,486
1081,121
1082,267
1083,677
1084,415
1085,72
1086,626
1087,958
1088,46
1089,379
1090,277
1091,488
1092,253
1093,194
1094,574
1095,247
1096,239
1097,883
1098,380
1099,338
1100,669
1101,147
1102,929
1103,489
1104,289
1105,365
1106,380
1107,917
1108,744
1109,235
1110,394
1111,248
1112,245
1113,198
1114,212
1115,1123
1116,635
1117,191
1118,137
1119,164
1120,217
1121,361
1122,1196
1123,774
1124,666
1125,195
1126,625
1127,615
1128,466
1129,766
1130,458
1131,402
1132,485
1133,1180
1134,592
1135,79
1136,156
1137,385
1138,203
1139,1067
1140,155
1141,411
1142,201
1143,606
1144,1092
1145,281
1146,279
1147,398
1148,409
1149,128
1150,692
1151,186
1152,601
1153,695
1154,603
1155,568
1156,215
1157,618
1158,322
1159,487
1160,136
1161,39
1162,728
1163,922
1164,489
1165,240
1166,703
1167,685
1168,281
1169,522
1170,455
1171,80
1172,233
1173,483
1174,348
1175,1098
1176,319
1177,431
1178,547
1179,77
1180,866
1181,510
1182,1232
1183,667
1184,327
1185,512
1186,341
1187,645
1188,334
1189,245
1190,379
1191,472
1192,781
1193,531
1194,491
1195,361
1196,40
1197,159
1198,809
1199,255
1200,160
1201,864
1202,883
1203,436
1204,301
1205,56
1206,414
1207,219
1208,295
1209,1212
1210,792
1211,737
1212,528
1213,94
1214,107
1215,231
1216,353
1217,79
1218,826
1219,249
1220,342
1221,253
1222,308
1223,322
1224,221
1225,269
1226,158
1227,769
1228,267
1229,1136
1230,625
1231,245
1232,562
1233,172
1234,452
1235,232
1236,391
1237,61
1238,495
1239,330
1240,241
1241,211
1242,357
1243,696
1244,253
1245,722
1246,636
1247,947
1248,962
1249,200
1250,744
1251,412
1252,463
1253,630
1254,321
1255,927
1256,450
1257,313
1258,192
1259,1073
1260,339
1261,518
1262,703
1263,151
1264,1907
1265,227
1266,138
1267,147
1268,371
1269,420
1270,96
1271,188
1272,101
1273,792
1274,87
1275,709
1276,624
1277,436
1278,411
1279,722
1280,1169
1281,457
1282,953
1283,399
1284,324
1285,529
1286,147
1287,403
1288,660
1289,278
1290,452
1291,670
1292,616
1293,88
1294,534
1295,429
1296,542
1297,398
1298,137
1299,382
1300,37
1301,714
1302,333
1303,304
1304,593
1305,76
1306,296
1307,197
1308,274
1309,563
1310,193
1311,195
1312,201
1313,822
1314,476
1315,782
1316,387
1317,114
1318,52
1319,891
1320,415
1321,272
1322,534
1323,965
1324,187
1325,352
1326,279
1327,453
1328,555
1329,196
1330,131
1331,889
1332,654
1333,480
1334,886
1335,217
1336,876
1337,248
1338,409
1339,706
1340,344
1341,323
1342,567
1343,320
1344,168
1345,436
1346,504
1347,681
1348,933
1349,21
1350,55
1351,1216
1352,367
1353,291
1354,455
1355,579
1356,325
1357,335
1358,367
1359,330
1360,917
1361,51
1362,303
1363,380
1364,71
1365,270
1366,386
1367,288
1368,456
1369,126
1370,197
1371,1169
1372,152
1373,421
1374,433
1375,274
1376,195
1377,557
1378,303
1379,499
1380,466
1381,315
1382,995
1383,859
1384,734
1385,217
1386,367
1387,222
1388,498
1389,235
1390,451
1391,775
1392,226
1393,235
1394,505
1395,443
1396,463
1397,359
1398,198
1399,434
1400,323
1401,110
1402,699
1403,876
1404,156
1405,439
1406,305
1407,496
1408,692
1409,489
1410,401
1411,247
1412,118
1413,290
1414,197
1415,66
1416,1090
1417,1139
1418,489
1419,245
1420,355
1421,564
1422,404
1423,321
1424,246
1425,972
1426,329
1427,205
1428,788
1429,1098
1430,691
1431,932
1432,263
1433,296
1434,275
1435,686
1436,535
1437,210
1438,815
1439,193
1440,110
1441,923
1442,254
1443,319
1444,517
1445,416
1446,535
1447,415
1448,518
1449,772
1450,345
1451,491
1452,318
1453,70
1454,584
1455,475
1456,346
1457,316
1458,1148
1459,491
1460,260
1461,549
1462,678
1463,262
1464,564
1465,451
1466,794
1467,216
1468,88
1469,159
1470,394
1471,254
1472,1234
1473,611
1474,834
1475,172
1476,443
1477,238
1478,566
1479,965
1480,443
1481,26
1482,26
1483,155
1484,339
1485,414
1486,270
1487,555
1488,533
1489,407
1490,70
1491,996
1492,964
1493,249
1494,451
1495,689
1496,315
1497,494
1498,193
1499,154
1500,244
1501,227
1502,544
1503,230
1504,377
1505,460
1506,148
1507,710
1508,351
1509,310
1510,519
1511,199
1512,309
1513,951
1514,386
1515,643
1516,909
1517,346
1518,528
1519,183
1520,410
1521,606
1522,596
1523,561
1524,434
1525,693
1526,1016
1527,367
1528,785
1529,81
1530,600
1531,506
1532,402
1533,407
1534,497
1535,946
1536,524
1537,322
1538,566
1539,384
1540,606
1541,464
1542,880
1543,457
1544,328
1545,605
1546,194
1547,80
1548,43
1549,598
1550,629
1551,374
1552,580
1553,661
1554,317
1555,825
1556,23
1557,232
1558,539
1559,164
1560,172
1561,666
1562,559
1563,128
1564,1225
1565,831
1566,264
1567,495
1568,297
1569,669
1570,548
1571,487
1572,652
1573,389
1574,685
1575,449
1576,130
1577,621
1578,633
1579,91
1580,424
1581,1350
1582,302
1583,1079
1584,359
1585,338
1586,356
1587,23
1588,207
1589,46
1590,527
1591,347
1592,175
1593,328
1594,468
1595,623
1596,268
1597,496
1598,904
1599,732
1600,922
1601,606
1602,737
1603,537
1604,158
1605,320
1606,754
1607,495
1608,313
1609,93
1610,528
1611,677
1612,542
1613,238
1614,459
1615,595
1616,677
1617,162
1618,407
1619,136
1620,103
1621,388
1622,208
1623,554
1624,453
1625,395
1626,233
1627,385
1628,47
1629,229
1630,268
1631,618
1632,599
1633,979
1634,910
1635,47
1636,123
1637,426
1638,119
1639,1328
1640,552
1641,900
1642,261
1643,278
1644,99
1645,1230
1646,712
1647,300
1648,340
1649,445
1650,1351
1651,174
1652,781
1653,1128
1654,152
1655,56
1656,498
1657,247
1658,270
1659,905
1660,390
1661,517
1662,466
1663,125
1664,526
1665,441
1666,855
1667,88
1668,625
1669,581
1670,621
1671,798
1672,312
1673,560
1674,72
1675,260
1676,264
1677,835
1678,625
1679,213
1680,456
1681,293
1682,329
1683,129
1684,964
1685,859
1686,434
1687,405
1688,42
1689,337
1690,92
1691,618
1692,897
1693,78
1694,133
1695,524
1696,1035
1697,1670
1698,230
1699,971
1700,512
1701,428
1702,289
1703,329
1704,361
1705,249
1706,498
1707,353
1708,211
1709,585
1710,694
1711,570
1712,480
1713,101
1714,256
1715,394
1716,374
1717,209
1718,709
1719,496
1720,473
1721,110
1722,130
1723,672
1724,217
1725,46
1726,377
1727,673
1728,582
1729,605
1730,426
1731,885
1732,145
1733,170
1734,821
1735,74
1736,385
1737,155
1738,351
1739,91
1740,214
1741,310
1742,198
1743,464
1744,359
