ngram,Frequency,relative_freq
"('DET', 'NOUN')",365598,8.2603730835084
"('VERB', 'PUNCT')",222154,5.019378995491565
"('ADJ', 'NOUN')",169274,3.8246007728100286
"('NOUN', 'VERB')",160135,3.618112910157106
"('NOUN', 'PUNCT')",146242,3.3042124970006275
"('ADP', 'DET')",145371,3.284532999422042
"('NOUN', 'ADP')",144262,3.259476096075714
"('PUNCT', 'SCONJ')",139017,3.1409698219084548
"('SCONJ', 'PRON')",98789,2.232052682308742
"('DET', 'ADJ')",90200,2.0379915976905174
"('PUNCT', 'PRON')",86643,1.9576242350188413
"('NOUN', 'ADV')",84873,1.9176326038889941
"('AUX', 'PUNCT')",83778,1.892892018529004
"('ADP', 'NOUN')",82311,1.8597464123891814
"('PRON', 'ADV')",79474,1.7956468318720196
"('ADV', 'PUNCT')",73888,1.6694359553232476
"('PRON', 'VERB')",68949,1.5578434885716572
"('ADV', 'VERB')",68096,1.538570685546934
"('ADV', 'ADV')",67268,1.519862736069243
"('PUNCT', 'NOUN')",64335,1.4535941179314793
"('NOUN', 'DET')",62436,1.4106878424989482
"('VERB', 'PRON')",62092,1.4029154576917915
"('NOUN', 'CCONJ')",60560,1.3683012323296864
"('PART', 'VERB')",59447,1.3431539524158334
"('PRON', 'DET')",58375,1.3189330323191124
"('PRON', 'ADP')",56237,1.270626756976958
"('ADV', 'ADP')",55829,1.2614083470894
"('PUNCT', 'VERB')",54655,1.2348828245207895
"('PUNCT', 'ADV')",53911,1.218072782961125
"('PRON', 'PRON')",53878,1.2173271762790432
"('PUNCT', 'DET')",48895,1.1047405672846768
"('NOUN', 'AUX')",47122,1.0646811537291858
"('VERB', 'AUX')",46221,1.044323831894162
"('NOUN', 'PART')",42812,0.9673004022209138
"('SCONJ', 'DET')",37037,0.8368192328565819
"('VERB', 'DET')",34609,0.7819606563688594
"('ADV', 'AUX')",34228,0.7733522883120956
"('ADV', 'DET')",31554,0.7129355529215807
"('PUNCT', 'ADP')",30476,0.688579067973572
"('CCONJ', 'NOUN')",30304,0.6846928755699937
"('ADP', 'ADJ')",29845,0.674322164446491
"('PUNCT', 'SPACE')",29667,0.670300407191625
"('VERB', 'ADV')",27678,0.6253606589897798
"('VERB', 'CCONJ')",27602,0.6236435042068033
"('PRON', 'AUX')",25118,0.5675196557737296
"('CCONJ', 'VERB')",24694,0.5579397396160714
