POS,Frequency,relative_freq
NOUN,793392,17.885600436075805
PUNCT,618099,13.933933974552327
DET,485603,10.947049161775919
VERB,465208,10.487280446066954
ADV,404738,9.124092692258618
PRON,394869,8.901613778047695
ADP,340592,7.678036107906218
ADJ,192484,4.339206740599369
AUX,186800,4.211071149518725
SCONJ,155657,3.509008040260365
CCONJ,154303,3.478484537388586
PART,98733,2.2257585000290807
PROPN,68638,1.5473206721663075
SPACE,32752,0.7383351300269663
NUM,29444,0.6637621998202855
X,14560,0.3282291003050998
INTJ,54,0.0012173332016810019
