ngram,Frequency,relative_freq
"('ADP', 'DET', 'NOUN')",109897,2.4886507408297285
"('NOUN', 'VERB', 'PUNCT')",90869,2.057755936635728
"('PUNCT', 'SCONJ', 'PRON')",86837,1.9664500794510418
"('DET', 'ADJ', 'NOUN')",80531,1.8236488057886826
"('DET', 'NOUN', 'VERB')",77932,1.764793666199645
"('DET', 'NOUN', 'ADP')",71460,1.61823327242502
"('NOUN', 'ADP', 'DET')",59099,1.3383146958724634
"('VERB', 'PUNCT', 'SCONJ')",56314,1.275247530133537
"('DET', 'NOUN', 'PUNCT')",52399,1.186591173268942
"('NOUN', 'DET', 'NOUN')",48657,1.1018524536297816
"('DET', 'NOUN', 'ADV')",47373,1.07277588601442
"('PART', 'VERB', 'PUNCT')",47297,1.0710548430714548
"('PRON', 'DET', 'NOUN')",43417,0.9831910717726992
"('VERB', 'AUX', 'PUNCT')",39387,0.8919305051917752
"('ADJ', 'NOUN', 'PUNCT')",37936,0.8590721721622664
"('ADJ', 'NOUN', 'VERB')",37484,0.8488364957119989
"('NOUN', 'ADP', 'NOUN')",37311,0.8449188584865647
"('PUNCT', 'DET', 'NOUN')",35811,0.8109509056648808
"('NOUN', 'PART', 'VERB')",34190,0.774242871315581
"('PUNCT', 'SCONJ', 'DET')",34077,0.7716839522030142
"('ADV', 'VERB', 'PUNCT')",33260,0.7531827405661371
"('ADJ', 'NOUN', 'ADP')",31664,0.7170408387638655
"('SCONJ', 'DET', 'NOUN')",31188,0.7062616750684511
"('DET', 'NOUN', 'DET')",30753,0.6964109687501627
"('VERB', 'PUNCT', 'PRON')",30345,0.6871716855826647
"('PRON', 'ADP', 'DET')",28026,0.6346572305203415
"('ADP', 'DET', 'ADJ')",27775,0.6289732597481796
"('VERB', 'DET', 'NOUN')",26976,0.6108796635451628
"('NOUN', 'PUNCT', 'SCONJ')",26789,0.6066449920933928
"('ADP', 'ADJ', 'NOUN')",26610,0.6025914830566719
"('SCONJ', 'PRON', 'DET')",26331,0.5962734438318387
"('PUNCT', 'VERB', 'PRON')",26114,0.5913594133236351
"('NOUN', 'PUNCT', 'PRON')",25861,0.5856301519477111
"('PUNCT', 'PRON', 'VERB')",25548,0.5785421724589197
"('PRON', 'VERB', 'PUNCT')",25136,0.5692123080838972
"('ADV', 'PUNCT', 'SCONJ')",24005,0.5436004716563475
"('ADV', 'ADP', 'DET')",23830,0.5396375438271511
"('NOUN', 'ADV', 'PUNCT')",23133,0.5238537684160087
"('DET', 'NOUN', 'CCONJ')",22947,0.5196417422661198
"('NOUN', 'VERB', 'AUX')",22753,0.5152485537011822
"('NOUN', 'CCONJ', 'NOUN')",22566,0.5110138822494121
"('DET', 'NOUN', 'PART')",22399,0.5072321168352647
"('DET', 'NOUN', 'AUX')",22046,0.49923832527122847
"('NOUN', 'PUNCT', 'NOUN')",21851,0.4948224914044095
"('ADV', 'DET', 'NOUN')",21803,0.49373551691411566
"('VERB', 'PUNCT', 'VERB')",21414,0.48492649448235897
"('VERB', 'PUNCT', 'ADV')",20998,0.475506048899812
"('ADV', 'AUX', 'PUNCT')",19416,0.43968118132387607
"('ADP', 'NOUN', 'VERB')",19384,0.43895653166368015
"('SCONJ', 'PRON', 'PRON')",19184,0.43442747128745557
"('SCONJ', 'PRON', 'ADV')",18631,0.4219046193471948
"('VERB', 'PUNCT', 'NOUN')",18630,0.4218819740453137
"('CCONJ', 'DET', 'NOUN')",18004,0.40770601506773096
"('VERB', 'PUNCT', 'DET')",17835,0.4038789590498213
"('PUNCT', 'PRON', 'AUX')",17414,0.3943452869578686
"('VERB', 'PRON', 'ADV')",17274,0.3911749446945115
"('ADP', 'NOUN', 'PUNCT')",17184,0.38913686752521043
"('PRON', 'ADV', 'ADV')",17066,0.386464721903238
"('AUX', 'PUNCT', 'SCONJ')",16345,0.37013745924694863
"('PUNCT', 'ADV', 'VERB')",15470,0.3503228201009663
"('ADV', 'ADV', 'PUNCT')",15429,0.34939436272384033
"('PRON', 'PRON', 'ADV')",15379,0.34826209762978416
"('PUNCT', 'PRON', 'PRON')",15351,0.3476280291771128
"('PRON', 'ADV', 'VERB')",14830,0.3358298268970479
"('ADJ', 'NOUN', 'ADV')",14063,0.31846088035422687
"('NOUN', 'ADV', 'VERB')",14008,0.3172153887507651
"('PUNCT', 'NOUN', 'PUNCT')",13900,0.31476969614760386
"('NOUN', 'AUX', 'PUNCT')",13662,0.3093801142998967
"('PRON', 'PRON', 'VERB')",13626,0.3085648834321763
"('AUX', 'DET', 'NOUN')",13563,0.3071382294136656
"('VERB', 'PUNCT', 'SPACE')",13130,0.2973328136991395
"('NOUN', 'ADV', 'ADV')",13014,0.29470595868092925
"('PRON', 'ADV', 'ADP')",12898,0.29207910366271905
"('SCONJ', 'PRON', 'ADP')",12789,0.2896107657576767
"('NOUN', 'PUNCT', 'DET')",12787,0.28956547515391445
"('ADJ', 'NOUN', 'CCONJ')",12771,0.2892031503238165
"('NOUN', 'VERB', 'CCONJ')",12745,0.2886143724749073
"('NOUN', 'CCONJ', 'DET')",12689,0.28734623556956446
"('PRON', 'ADP', 'NOUN')",12643,0.2863045516830328
"('ADV', 'ADP', 'NOUN')",12583,0.28494583357016545
"('NOUN', 'ADP', 'ADJ')",12462,0.2822057520425496
"('NOUN', 'ADP', 'PUNCT')",12442,0.28175284600492717
"('PUNCT', 'VERB', 'DET')",12295,0.2784239866284022
"('AUX', 'PUNCT', 'VERB')",12082,0.27360053732772305
"('NOUN', 'ADV', 'ADP')",12073,0.2733967296107929
"('VERB', 'PRON', 'DET')",11984,0.271381297743373
"('PUNCT', 'ADJ', 'NOUN')",11979,0.2712680712339674
"('VERB', 'PRON', 'ADP')",11967,0.270996327611394
"('ADJ', 'NOUN', 'AUX')",11869,0.2687770880270439
"('ADV', 'VERB', 'PRON')",11749,0.26605965180130925
"('ADP', 'NOUN', 'ADP')",11739,0.26583319878249795
"('PRON', 'PRON', 'ADP')",11667,0.26420273704705716
"('PRON', 'DET', 'ADJ')",11520,0.26087387767053216
"('PUNCT', 'ADP', 'DET')",11180,0.2531744750309505
"('PUNCT', 'NOUN', 'DET')",10511,0.23802476807247946
"('NOUN', 'PUNCT', 'ADP')",10305,0.23335983588496823
"('CCONJ', 'ADJ', 'NOUN')",10287,0.232952220451108
"('ADV', 'ADV', 'VERB')",10159,0.23005362181032432
"('ADV', 'ADJ', 'NOUN')",10068,0.22799289933914219
"('ADV', 'ADV', 'ADP')",10031,0.22715502316954062
"('NOUN', 'PUNCT', 'ADV')",9887,0.22389409969865898
"('NOUN', 'DET', 'ADJ')",9796,0.22183337722747684
"('AUX', 'PUNCT', 'PRON')",9788,0.22165221481242783
"('NOUN', 'AUX', 'ADV')",9750,0.22079169334094517
"('ADV', 'PART', 'VERB')",9654,0.2186177443603574
"('VERB', 'ADV', 'PUNCT')",9647,0.21845922724718958
"('VERB', 'PUNCT', 'ADP')",9572,0.21676082960610535
"('ADJ', 'NOUN', 'PART')",9505,0.21524359438007015
"('PUNCT', 'SPACE', 'NOUN')",9469,0.21442836351234976
"('PRON', 'VERB', 'ADV')",9337,0.21143918366404155
"('AUX', 'PUNCT', 'ADV')",9328,0.21123537594711145
"('ADP', 'NOUN', 'CCONJ')",9314,0.21091834172077573
"('PUNCT', 'DET', 'ADJ')",9174,0.20774799945741856
"('NOUN', 'PUNCT', 'VERB')",9136,0.2068874779859359
"('ADV', 'VERB', 'AUX')",9118,0.20647986255207573
"('PRON', 'AUX', 'ADV')",9091,0.20586843940128538
"('PRON', 'ADV', 'PUNCT')",8911,0.20179228506268335
"('VERB', 'VERB', 'PUNCT')",8904,0.20163376794951546
"('ADV', 'ADV', 'ADV')",8822,0.19977685319526342
"('PUNCT', 'AUX', 'PRON')",8722,0.19751232300715113
"('PUNCT', 'ADV', 'AUX')",8682,0.19660651093190623
"('NOUN', 'CCONJ', 'VERB')",8626,0.1953383740265634
"('AUX', 'PRON', 'ADV')",8604,0.1948401773851787
"('VERB', 'PUNCT', 'AUX')",8570,0.1940702371212205
"('PUNCT', 'NOUN', 'ADP')",8376,0.18967704855628276
"('ADJ', 'NOUN', 'DET')",8282,0.18754839017945724
"('ADV', 'PUNCT', 'PRON')",8243,0.18666522340609343
"('NOUN', 'ADJ', 'NOUN')",8228,0.1863255438778766
"('PUNCT', 'PRON', 'ADV')",8178,0.18519327878382047
"('PRON', 'VERB', 'DET')",8147,0.18449127442550567
"('SCONJ', 'PRON', 'VERB')",8011,0.18141151336967298
"('NOUN', 'VERB', 'PRON')",7956,0.18016602176621127
"('PUNCT', 'PRON', 'ADP')",7930,0.1795772439173021
"('PRON', 'PART', 'VERB')",7873,0.1782864617100781
"('CCONJ', 'NOUN', 'PUNCT')",7821,0.17710890601225973
"('VERB', 'PRON', 'PRON')",7604,0.17219487550405613
"('CCONJ', 'VERB', 'PRON')",7577,0.1715834523532658
"('PUNCT', 'NOUN', 'CCONJ')",7514,0.17015679833475508
"('AUX', 'ADV', 'ADV')",7318,0.16571831916605506
"('ADV', 'PUNCT', 'ADV')",7264,0.16449547286447444
"('PRON', 'ADV', 'DET')",7226,0.16363495139299178
"('VERB', 'PUNCT', 'CCONJ')",7207,0.16320469065725043
"('ADV', 'DET', 'ADJ')",7088,0.16050989973339685
"('PUNCT', 'ADP', 'PRON')",7083,0.16039667322399123
"('CCONJ', 'NOUN', 'VERB')",7082,0.16037402792211014
"('NOUN', 'AUX', 'DET')",7039,0.15940027994122186
"('ADV', 'ADV', 'AUX')",7006,0.15865298497914482
"('NOUN', 'VERB', 'ADV')",6972,0.15788304471518663
"('PUNCT', 'NOUN', 'ADV')",6926,0.15684136082865502
"('PUNCT', 'ADV', 'ADV')",6871,0.15559586922519325
"('PRON', 'VERB', 'AUX')",6735,0.1525161081693606
"('AUX', 'PUNCT', 'NOUN')",6610,0.14968544543422027
"('AUX', 'PUNCT', 'DET')",6545,0.1482135008119473
"('PRON', 'VERB', 'PRON')",6487,0.1469000733028422
"('PUNCT', 'PRON', 'DET')",6465,0.1464018766614575
"('ADP', 'PUNCT', 'SCONJ')",6354,0.1438882481526529
"('DET', 'DET', 'NOUN')",6309,0.14286920956800236
"('ADV', 'CCONJ', 'ADV')",6211,0.14064996998365237
"('NOUN', 'ADV', 'AUX')",6184,0.14003854683286204
"('ADV', 'PUNCT', 'VERB')",6164,0.1395856407952396
"('ADP', 'NOUN', 'ADV')",6130,0.13881570053128142
"('PUNCT', 'ADP', 'NOUN')",6121,0.13861189281435132
"('ADJ', 'ADJ', 'NOUN')",6109,0.13834014919177784
"('NOUN', 'ADP', 'PRON')",6087,0.13784195255039314
"('ADP', 'NOUN', 'DET')",6074,0.13754756362593856
"('AUX', 'DET', 'ADJ')",6073,0.13752491832405744
"('ADV', 'PUNCT', 'DET')",6032,0.1365964609469314
"('NOUN', 'PUNCT', 'SPACE')",5770,0.1306633918540773
"('CCONJ', 'VERB', 'DET')",5754,0.13030106702397934
"('PRON', 'ADV', 'AUX')",5710,0.12930467374120994
"('PRON', 'PART', 'ADV')",5669,0.12837621636408392
"('ADV', 'AUX', 'PRON')",5668,0.1283535710622028
"('ADV', 'PUNCT', 'NOUN')",5621,0.12728924187379004
"('NOUN', 'CCONJ', 'ADJ')",5606,0.1269495623455732
"('PART', 'VERB', 'CCONJ')",5529,0.12520587410072676
"('VERB', 'DET', 'ADJ')",5460,0.12364334827092929
"('VERB', 'CCONJ', 'PRON')",5323,0.12054094191321549
"('PRON', 'ADP', 'ADJ')",5266,0.11925015970599151
"('CCONJ', 'NOUN', 'ADP')",5230,0.1184349288382711
"('DET', 'NOUN', 'NOUN')",5230,0.1184349288382711
"('VERB', 'CCONJ', 'DET')",5173,0.11714414663104712
"('VERB', 'ADP', 'DET')",5117,0.11587600972570425
"('CCONJ', 'DET', 'ADJ')",5117,0.11587600972570425
"('ADP', 'PRON', 'VERB')",5112,0.11576278321629864
"('SCONJ', 'PRON', 'PART')",5073,0.11487961644293485
"('AUX', 'PUNCT', 'AUX')",4953,0.11216218021720015
"('PRON', 'ADJ', 'NOUN')",4947,0.1120263084059134
"('NOUN', 'PUNCT', 'PROPN')",4889,0.11071288089680831
"('NOUN', 'ADV', 'CCONJ')",4821,0.10917300036889195
"('AUX', 'PUNCT', 'SPACE')",4815,0.10903712855760524
"('ADV', 'ADP', 'ADJ')",4796,0.10860686782186389
"('ADP', 'PRON', 'PRON')",4787,0.10840306010493381
"('PRON', 'AUX', 'DET')",4757,0.10772370104850013
"('NOUN', 'AUX', 'PRON')",4757,0.10772370104850013
"('NOUN', 'PUNCT', 'PUNCT')",4742,0.1073840215202833
"('PUNCT', 'PROPN', 'PUNCT')",4733,0.10718021380335319
"('ADV', 'ADP', 'PUNCT')",4699,0.10641027353939501
"('VERB', 'CCONJ', 'VERB')",4694,0.10629704702998939
"('VERB', 'ADV', 'DET')",4687,0.10613852991682153
"('PUNCT', 'VERB', 'ADV')",4683,0.10604794870929705
"('PUNCT', 'CCONJ', 'PRON')",4597,0.10410045274752051
"('NOUN', 'PUNCT', 'CCONJ')",4594,0.10403251684187714
"('DET', 'NOUN', 'PRON')",4575,0.10360225610613581
"('PUNCT', 'NOUN', 'VERB')",4565,0.10337580308732458
"('NOUN', 'AUX', 'ADP')",4543,0.10287760644593989
"('NOUN', 'ADP', 'PROPN')",4539,0.10278702523841539
"('ADV', 'ADV', 'DET')",4513,0.10219824738950621
"('VERB', 'CCONJ', 'ADV')",4460,0.10099804638980672
"('NOUN', 'ADV', 'PART')",4430,0.10031868733337303
"('PUNCT', 'ADV', 'SCONJ')",4414,0.09995636250327508
"('PUNCT', 'SPACE', 'SCONJ')",4383,0.09925435814496027
"('SCONJ', 'DET', 'ADJ')",4370,0.09895996922050568
"('VERB', 'PUNCT', 'PUNCT')",4360,0.09873351620169446
"('NOUN', 'VERB', 'VERB')",4317,0.09775976822080619
"('PRON', 'ADV', 'PART')",4300,0.09737479808882711
"('NOUN', 'ADP', 'ADV')",4293,0.09721628097565925
"('PUNCT', 'ADV', 'ADP')",4280,0.09692189205120465
"('VERB', 'PUNCT', 'PROPN')",4266,0.09660485782486894
"('NOUN', 'VERB', 'DET')",4266,0.09660485782486894
"('VERB', 'ADV', 'ADV')",4246,0.09615195178724649
"('PUNCT', 'VERB', 'PUNCT')",4231,0.09581227225902965
"('CCONJ', 'ADP', 'DET')",4224,0.09565375514586179
"('PUNCT', 'AUX', 'DET')",4206,0.09524613971200159
"('VERB', 'PRON', 'PUNCT')",4200,0.09511026790071485
"('ADP', 'NOUN', 'PART')",4178,0.09461207125933015
"('AUX', 'ADP', 'DET')",4133,0.09359303267467964
"('DET', 'NOUN', 'ADJ')",4133,0.09359303267467964
"('PRON', 'ADP', 'PRON')",4107,0.09300425482577045
"('PUNCT', 'SCONJ', 'NOUN')",4099,0.09282309241072147
"('NOUN', 'PART', 'ADV')",4088,0.09257399409002912
"('AUX', 'PRON', 'DET')",4030,0.091260566580924
"('VERB', 'NOUN', 'PUNCT')",4019,0.09101146826023165
"('SCONJ', 'PRON', 'NOUN')",3977,0.0900603655812245
"('ADV', 'CCONJ', 'VERB')",3976,0.0900377202793434
