id,token_cnt
1,553
2,181
3,658
4,664
5,20
6,705
7,203
8,486
9,709
10,1864
11,521
12,448
13,201
14,487
17,781
18,414
19,1005
20,620
21,369
23,988
27,276
28,413
30,442
31,848
32,368
33,280
35,544
36,580
37,490
38,541
39,177
40,257
41,275
42,534
43,493
44,257
45,346
46,266
47,683
48,138
49,413
51,1002
52,445
53,453
54,477
55,963
56,504
57,725
58,164
59,304
60,282
61,306
62,534
63,1070
64,850
65,644
67,910
68,539
70,499
72,244
74,420
76,569
77,37
78,542
79,344
81,451
82,1233
83,580
84,422
85,446
86,694
87,405
88,242
89,836
93,381
96,163
97,1226
99,793
100,811
101,241
102,706
103,717
104,311
105,425
106,188
107,470
108,1063
109,377
110,809
111,120
112,168
114,721
116,268
117,230
118,1039
119,686
120,368
121,252
122,555
125,326
126,374
127,184
128,542
129,227
130,285
131,1134
132,883
135,213
136,1050
137,661
139,543
140,772
141,350
142,268
143,394
144,80
145,256
146,936
147,262
148,672
149,801
150,193
151,445
152,407
153,539
155,744
156,87
157,386
158,236
159,998
160,77
161,173
162,550
163,9
164,129
165,451
166,356
167,357
168,458
169,539
171,375
172,810
174,724
175,323
176,359
177,422
178,457
179,887
180,72
181,790
182,415
183,663
184,147
187,721
188,348
189,185
190,732
191,437
192,557
193,660
194,710
196,634
197,630
198,881
199,458
200,109
201,201
202,242
203,95
204,202
206,1138
208,476
209,829
210,107
211,153
212,523
213,1072
214,444
215,328
216,1168
217,423
218,885
219,461
220,12
221,549
222,380
223,497
224,635
226,942
227,339
229,1801
230,39
231,120
232,101
234,733
236,196
237,365
239,661
241,994
242,387
243,344
244,418
245,562
246,442
248,38
249,418
250,263
251,276
253,699
254,760
255,297
256,620
257,584
261,393
262,331
263,1412
264,2179
265,79
267,502
268,460
270,475
272,356
273,654
274,336
275,738
277,604
278,368
279,382
280,487
281,39
282,357
283,252
284,354
285,813
286,1139
287,676
288,555
291,1003
292,624
293,590
294,299
295,457
296,214
298,126
299,513
300,883
301,601
303,351
304,816
305,1573
306,333
307,1362
308,455
310,579
311,614
312,582
313,502
314,451
315,547
316,163
317,713
318,514
319,1167
320,773
321,285
322,267
323,1767
324,214
325,410
326,1152
327,684
328,396
329,303
332,422
333,548
334,385
335,695
336,593
337,100
339,524
340,413
341,761
342,447
343,432
344,73
345,86
347,448
348,685
349,1296
350,456
351,533
352,1031
354,149
356,259
357,134
358,35
361,437
362,787
363,305
366,861
367,281
368,217
369,698
370,688
371,824
372,594
373,460
374,288
375,349
377,760
378,530
379,721
380,468
381,182
382,10
384,190
385,444
386,761
387,207
388,361
389,991
390,158
392,584
393,607
394,980
395,714
396,429
397,274
399,380
400,435
401,519
402,441
403,337
404,692
406,496
409,1258
410,319
411,380
412,731
413,114
415,532
416,325
417,474
418,602
419,839
420,885
421,319
422,569
423,919
424,201
425,1351
427,526
428,437
429,503
430,528
431,490
433,674
435,104
436,411
437,247
438,428
439,522
440,456
442,1488
443,972
445,900
446,485
447,823
449,765
450,597
452,345
453,901
455,818
456,511
457,529
460,379
461,121
462,395
463,110
464,19
465,473
466,955
470,632
472,552
473,306
476,110
477,693
478,982
480,352
481,247
482,124
483,995
484,86
485,408
487,291
488,2377
490,424
491,395
492,864
493,490
494,682
495,119
498,49
499,563
501,773
502,446
503,176
504,174
506,132
508,686
510,412
511,655
512,1027
513,609
516,349
517,13
518,540
519,651
521,362
522,161
523,434
524,483
525,289
528,915
529,628
530,926
531,524
532,998
534,533
535,784
536,450
537,768
538,609
539,161
541,399
542,951
545,496
546,1033
547,514
548,443
550,780
552,626
553,522
554,592
556,80
557,103
558,265
559,815
561,410
562,1025
563,373
565,166
567,656
569,886
570,762
571,607
572,675
573,699
574,334
575,580
576,1138
577,435
578,410
579,92
580,978
581,926
589,41
590,89
591,434
592,862
593,932
594,68
595,720
597,252
598,274
600,419
601,60
602,420
603,196
604,837
605,855
606,927
609,422
611,448
613,661
614,1067
615,180
616,792
617,575
618,67
619,1524
620,25
621,135
622,321
623,760
624,584
627,645
628,1338
629,94
630,376
631,37
632,496
633,401
636,112
637,811
638,35
639,860
640,683
641,694
642,1354
643,658
644,608
645,454
647,818
649,368
650,1434
651,729
652,325
653,59
654,450
655,590
658,522
659,527
660,443
661,336
662,840
664,474
665,394
666,273
668,521
669,342
670,815
671,551
672,630
673,753
674,149
675,232
676,803
677,989
680,1532
682,153
683,551
684,671
685,506
686,548
687,256
688,424
689,1314
691,449
692,727
693,733
694,329
696,1264
697,373
698,333
699,936
700,458
701,37
702,401
703,901
704,684
705,1040
706,624
707,598
709,545
710,1028
711,218
712,311
713,498
714,320
716,620
718,109
720,492
721,119
722,420
723,149
724,267
726,390
729,173
730,1011
731,1594
732,427
733,387
734,790
735,1004
736,1062
737,195
738,871
739,1066
741,418
742,83
743,301
745,472
746,357
747,569
749,220
751,881
752,956
753,323
755,251
756,147
757,117
758,191
759,858
760,783
761,365
762,359
763,422
764,564
765,473
766,65
767,374
768,930
769,5258
771,470
772,176
773,957
774,753
775,657
777,1492
778,751
779,41
780,925
781,693
783,334
784,57
785,198
786,285
787,37
788,355
789,812
790,296
791,327
792,323
794,693
795,362
796,827
797,469
798,569
799,613
800,647
802,92
803,310
805,672
806,1828
807,427
808,763
811,929
812,519
813,235
815,529
816,813
819,370
820,432
821,549
823,573
826,209
827,569
828,1335
830,647
832,444
833,77
834,150
835,603
836,297
837,293
838,71
839,404
840,238
841,1192
842,367
843,546
845,539
846,610
849,525
851,837
852,418
853,547
854,316
855,839
856,368
857,757
858,767
859,49
860,214
862,132
864,146
865,521
866,507
868,279
870,525
871,923
872,909
873,102
874,476
875,535
876,369
878,666
881,512
882,314
883,906
884,227
885,200
886,748
887,789
888,193
889,780
890,48
891,549
893,331
894,888
895,163
896,431
897,300
899,1011
900,208
902,446
903,278
904,492
905,1143
906,124
907,408
908,612
909,799
910,539
911,856
913,295
914,250
915,491
916,198
918,725
919,616
920,384
921,491
922,244
923,513
924,1974
927,1025
928,525
929,943
930,618
932,416
933,1032
937,39
939,124
940,661
941,649
942,222
945,263
946,221
947,630
948,159
950,399
951,764
953,824
954,330
956,629
957,996
958,233
959,391
960,489
961,727
963,1149
964,894
966,735
967,398
968,442
969,453
970,468
971,339
974,344
975,160
976,606
977,563
978,267
980,800
981,205
982,294
983,426
984,409
985,346
986,561
987,541
988,779
989,702
990,747
991,275
992,2036
993,66
994,336
995,372
996,582
997,338
998,335
999,951
1001,1000
1002,271
1003,425
1004,244
1006,526
1007,1264
1009,285
1010,838
1011,1669
1012,89
1013,402
1015,57
1017,257
1018,1154
1019,502
1020,421
1021,394
1022,452
1023,207
1025,56
1026,495
1027,456
1028,524
1029,422
1030,693
1031,558
1032,306
1033,561
1034,487
1035,137
1036,91
1037,222
1038,291
1040,368
1041,285
1042,1294
1044,673
1047,514
1048,95
1051,490
1053,216
1054,47
1056,579
1057,220
1061,118
1062,385
1064,935
1065,426
1066,570
1067,112
1068,1493
1070,828
1071,71
1072,1037
1073,276
1074,303
1075,553
1077,461
1078,1083
1079,348
1080,783
1082,365
1083,455
1084,269
1085,1070
1086,274
1088,172
1090,625
1091,346
1092,403
1093,499
1094,97
1095,516
1096,910
1097,132
1098,52
1099,501
1100,995
1101,615
1102,407
1103,482
1104,812
1105,628
1107,949
1110,699
1112,216
1113,278
1114,1562
1115,188
1116,789
1117,15
1118,481
1119,1330
1121,800
1122,815
1123,1350
1124,572
1125,622
1126,229
1127,38
1129,998
1131,346
1132,918
1133,346
1134,625
1135,400
1137,130
1138,628
1139,429
1140,0
1141,1362
1142,173
1144,403
1146,1388
