id,token_cnt
1,526
2,152
3,562
4,535
5,18
6,558
7,185
8,444
9,640
10,1408
11,451
12,387
13,190
14,373
17,588
18,366
19,783
20,560
21,313
23,873
27,220
28,351
30,392
31,773
32,314
33,244
35,408
36,507
37,370
38,418
39,138
40,236
41,229
42,441
43,384
44,214
45,322
46,239
47,631
48,118
49,345
51,878
52,388
53,387
54,412
55,798
56,398
57,670
58,146
59,285
60,236
61,273
62,499
63,872
64,694
65,594
67,529
68,472
70,409
72,215
74,356
76,433
77,28
78,423
79,275
81,395
82,691
83,494
84,357
85,396
86,636
87,345
88,213
89,679
93,331
96,139
97,1098
99,675
100,654
101,168
102,650
103,577
104,288
105,373
106,157
107,394
108,866
109,315
110,718
111,101
112,144
114,635
116,239
117,202
118,910
119,569
120,328
121,217
122,472
125,280
126,302
127,159
128,503
129,196
130,252
131,1031
132,769
135,175
136,930
137,608
139,471
140,691
141,271
142,214
143,303
144,66
145,210
146,742
147,186
148,547
149,643
150,176
151,376
152,294
153,432
155,590
156,78
157,346
158,211
159,638
160,61
161,135
162,468
163,8
164,83
165,378
166,291
167,312
168,389
169,459
171,340
172,718
174,562
175,252
176,326
177,361
178,420
179,764
180,61
181,649
182,354
183,567
184,122
187,631
188,286
189,156
190,664
191,388
192,474
193,595
194,604
196,593
197,575
198,776
199,394
200,77
201,166
202,219
203,86
204,169
206,912
208,389
209,753
210,82
211,132
212,489
213,883
214,401
215,266
216,969
217,345
218,782
219,435
220,10
221,495
222,310
223,379
224,530
226,758
227,286
229,1504
230,35
231,92
232,77
234,679
236,171
237,322
239,574
241,821
242,327
243,261
244,376
245,476
246,364
248,29
249,355
250,238
251,234
253,607
254,627
255,261
256,522
257,514
261,326
262,287
263,1254
264,1208
265,62
267,395
268,382
270,427
272,288
273,543
274,301
275,659
277,480
278,321
279,348
280,441
281,32
282,293
283,216
284,326
285,715
286,1005
287,588
288,493
291,838
292,524
293,470
294,268
295,423
296,183
298,102
299,430
300,667
301,543
303,292
304,726
305,1104
306,240
307,1161
308,379
310,484
311,521
312,500
313,412
314,411
315,441
316,133
317,638
318,481
319,988
320,581
321,244
322,236
323,1591
324,191
325,364
326,930
327,600
328,372
329,265
332,358
333,446
334,318
335,613
336,525
337,86
339,443
340,381
341,672
342,361
343,377
344,63
345,61
347,353
348,627
349,1142
350,379
351,445
352,821
354,147
356,212
357,113
358,28
361,395
362,651
363,277
366,730
367,215
368,196
369,566
370,607
371,653
372,539
373,348
374,249
375,294
377,650
378,488
379,608
380,392
381,169
382,6
384,154
385,392
386,599
387,181
388,278
389,852
390,137
392,534
393,566
394,864
395,583
396,377
397,228
399,295
400,342
401,443
402,365
403,281
404,590
406,408
409,1054
410,252
411,313
412,634
413,85
415,374
416,254
417,369
418,540
419,706
420,787
421,260
422,500
423,826
424,140
425,1187
427,453
428,340
429,391
430,429
431,405
433,521
435,92
436,325
437,204
438,379
439,490
440,397
442,1269
443,798
445,784
446,407
447,706
449,673
450,543
452,304
453,807
455,628
456,452
457,470
460,304
461,101
462,323
463,101
464,12
465,410
466,843
470,473
472,452
473,269
476,92
477,586
478,870
480,287
481,223
482,102
483,875
484,67
485,337
487,245
488,1506
490,390
491,316
492,757
493,420
494,568
495,111
498,38
499,451
501,708
502,371
503,156
504,138
506,109
508,579
510,360
511,537
512,810
513,560
516,296
517,11
518,453
519,562
521,313
522,145
523,395
524,440
525,250
528,844
529,500
530,766
531,454
532,856
534,469
535,681
536,364
537,659
538,513
539,137
541,353
542,840
545,456
546,926
547,410
548,406
550,669
552,516
553,467
554,389
556,75
557,95
558,231
559,671
561,327
562,893
563,314
565,141
567,550
569,752
570,681
571,502
572,604
573,630
574,288
575,487
576,982
577,340
578,347
579,81
580,743
581,806
589,28
590,80
591,370
592,735
593,740
594,65
595,644
597,226
598,222
600,340
601,48
602,342
603,175
604,701
605,537
606,781
609,354
611,353
613,586
614,1014
615,156
616,735
617,501
618,59
619,1346
620,22
621,118
622,251
623,693
624,523
627,541
628,1129
629,80
630,320
631,33
632,445
633,328
636,87
637,737
638,31
639,727
640,587
641,637
642,1144
643,499
644,494
645,418
647,682
649,301
650,1294
651,646
652,297
653,52
654,352
655,467
658,477
659,441
660,359
661,306
662,673
664,417
665,346
666,253
668,418
669,308
670,686
671,479
672,514
673,669
674,124
675,187
676,506
677,867
680,1326
682,136
683,486
684,548
685,431
686,488
687,213
688,377
689,1127
691,362
692,643
693,639
694,294
696,1034
697,312
698,289
699,836
700,385
701,32
702,327
703,734
704,599
705,921
706,552
707,534
709,434
710,662
711,192
712,277
713,459
714,270
716,537
718,98
720,443
721,93
722,360
723,128
724,234
726,233
729,148
730,846
731,924
732,388
733,315
734,673
735,917
736,904
737,161
738,762
739,939
741,345
742,75
743,266
745,414
746,328
747,515
749,179
751,724
752,862
753,298
755,197
756,129
757,101
758,151
759,537
760,644
761,314
762,324
763,384
764,476
765,411
766,62
767,343
768,834
769,2968
771,395
772,128
773,836
774,582
775,495
777,1345
778,555
779,32
780,712
781,610
783,279
784,51
785,166
786,252
787,30
788,295
789,696
790,240
791,301
792,262
794,526
795,310
796,664
797,425
798,494
799,557
800,570
802,77
803,272
805,584
806,1684
807,316
808,654
811,780
812,460
813,191
815,453
816,600
819,304
820,383
821,472
823,492
826,176
827,425
828,1185
830,547
832,354
833,70
834,117
835,540
836,241
837,265
838,60
839,353
840,200
841,1015
842,283
843,426
845,469
846,449
849,398
851,709
852,362
853,504
854,299
855,684
856,293
857,545
858,637
859,42
860,174
862,117
864,121
865,434
866,457
868,244
870,403
871,577
872,815
873,84
874,402
875,445
876,329
878,463
881,451
882,279
883,744
884,207
885,150
886,564
887,659
888,154
889,660
890,39
891,485
893,297
894,728
895,142
896,370
897,253
899,861
900,145
902,391
903,230
904,415
905,1038
906,115
907,370
908,493
909,665
910,452
911,699
913,250
914,190
915,412
916,153
918,624
919,513
920,354
921,367
922,209
923,412
924,1700
927,803
928,398
929,850
930,483
932,372
933,887
937,35
939,95
940,590
941,502
942,197
945,194
946,183
947,569
948,146
950,343
951,671
953,642
954,282
956,588
957,896
958,194
959,321
960,419
961,626
963,984
964,763
966,622
967,356
968,386
969,420
970,402
971,299
974,309
975,129
976,539
977,473
978,220
980,722
981,162
982,220
983,366
984,377
985,318
986,507
987,456
988,666
989,504
990,658
991,231
992,1304
993,57
994,198
995,214
996,509
997,252
998,288
999,799
1001,861
1002,229
1003,370
1004,214
1006,431
1007,1073
1009,231
1010,681
1011,1330
1012,80
1013,362
1015,46
1017,183
1018,939
1019,402
1020,347
1021,340
1022,363
1023,154
1025,51
1026,468
1027,392
1028,474
1029,348
1030,591
1031,472
1032,270
1033,449
1034,381
1035,114
1036,80
1037,167
1038,221
1040,301
1041,236
1042,1147
1044,597
1047,447
1048,81
1051,433
1053,196
1054,46
1056,503
1057,181
1061,110
1062,352
1064,804
1065,381
1066,517
1067,94
1068,1214
1070,743
1071,51
1072,887
1073,220
1074,245
1075,445
1077,404
1078,930
1079,313
1080,653
1082,329
1083,416
1084,241
1085,937
1086,240
1088,141
1090,554
1091,309
1092,324
1093,441
1094,78
1095,440
1096,710
1097,106
1098,43
1099,409
1100,867
1101,545
1102,318
1103,413
1104,711
1105,534
1107,698
1110,592
1112,186
1113,228
1114,1213
1115,177
1116,714
1117,11
1118,398
1119,1126
1121,708
1122,455
1123,1177
1124,518
1125,538
1126,197
1127,31
1129,883
1131,294
1132,771
1133,298
1134,519
1135,362
1137,110
1138,537
1139,350
1140,0
1141,1078
1142,149
1144,333
1146,1206
1147,73
1148,419
1149,397
1150,15
1152,304
1153,707
1154,471
1155,325
1156,313
1157,386
1158,240
1161,527
1162,1175
1163,91
1164,429
1165,373
1167,101
1168,549
1169,795
1170,303
1171,244
1172,343
1173,980
1175,674
1176,494
1177,256
1178,204
1179,36
1180,456
1181,534
1182,238
1183,420
1184,85
1186,420
1187,501
1189,653
1190,299
1191,407
1192,296
1193,888
1194,359
1196,964
1199,357
1202,513
1203,291
1204,380
1205,64
1209,548
1210,362
1211,496
1212,1768
1214,222
1215,458
1217,307
1218,268
1220,199
1221,357
1222,857
1223,305
1224,713
1225,582
1227,147
1228,675
1229,418
1230,457
1231,402
1232,428
1233,1225
1237,731
1238,306
1239,294
1241,264
1242,646
1245,621
1246,521
1247,354
1248,885
1249,671
1250,399
1251,505
1252,1107
1253,371
1254,282
1255,297
1256,365
1257,511
1258,829
1259,605
1260,111
1261,612
1262,369
1263,724
1264,1257
1265,506
1266,44
1267,171
1268,331
1269,557
1271,228
1272,520
1273,259
1274,818
1275,869
1276,213
1279,385
1280,382
1281,357
1282,480
1283,394
1286,182
1287,438
1288,365
1289,1120
1290,199
1291,220
1292,120
1293,543
1294,509
1295,184
1296,1085
1297,111
1298,204
1299,74
1300,49
1302,397
1303,455
1304,534
1305,439
1306,481
1307,409
1308,334
1309,659
1310,483
1311,444
1312,402
1313,49
1314,273
1315,145
1316,377
1317,495
1318,222
1319,132
1320,397
1322,450
1323,910
1324,523
1325,335
1326,413
1327,872
1328,470
1329,47
1331,207
1332,447
1334,342
1335,463
1336,837
1337,413
1338,278
1339,108
1340,832
1341,1006
1342,71
1343,553
1346,256
1347,641
1349,813
1350,203
1351,861
1352,495
1353,1306
1354,475
1355,236
1356,908
1357,10
1359,1562
1360,121
1361,210
1362,388
1363,804
1364,537
1365,125
1366,1006
1367,236
1368,648
1369,296
1370,440
1371,207
1372,390
1375,613
1376,78
1378,334
1379,807
1380,195
1381,113
1382,349
1383,302
1386,838
1388,540
1389,733
1390,404
1391,122
1392,442
1395,554
1397,203
1398,559
1399,1678
1400,113
1401,228
1402,252
1403,351
1405,461
1407,523
1408,398
1410,310
1411,727
1413,338
1415,324
1416,167
1417,1334
1418,245
1419,211
1420,785
1422,428
1424,230
1426,358
1427,454
1428,197
1429,616
1430,298
1431,551
1432,274
1433,556
1435,93
1436,138
1437,284
1438,653
1439,294
1440,214
1441,325
1442,401
1443,420
1444,612
1445,309
1446,382
1447,196
1448,904
1449,532
1450,6
1451,146
1452,671
1453,518
1454,135
1455,114
1457,365
1458,672
1460,582
1461,418
1462,180
1463,597
1464,434
1465,103
1466,385
1469,491
1470,637
1471,513
1472,364
1473,584
1474,63
1476,429
1477,642
1478,517
1479,361
1480,768
1481,830
1483,474
1484,48
1485,451
1486,992
1487,1205
1488,57
1491,96
1493,123
1494,401
1495,406
1496,292
1497,336
1498,532
1500,585
1502,456
1503,338
1504,227
1505,640
1506,133
1507,263
1508,165
1509,217
1510,388
1511,621
1513,611
1514,323
1515,485
1516,1347
1517,176
1519,320
1520,284
1522,667
1523,28
1524,292
1525,477
1526,459
1527,369
1528,382
1529,368
1530,607
1531,245
1532,451
1533,436
1534,58
1535,69
1536,449
1538,902
1539,64
1540,322
1542,412
1544,785
1546,597
1547,288
1548,422
1549,1423
1550,303
1552,283
1553,395
1554,653
1555,294
1556,386
1557,577
1558,416
1559,536
1560,493
1561,554
1563,675
1564,621
1565,824
1568,341
1569,415
1571,285
1572,605
1573,292
1574,544
1575,555
1576,123
1577,274
1579,604
1580,402
1581,126
1582,384
1583,291
1584,312
1586,98
1587,535
1588,476
1590,391
1591,253
1592,257
1594,589
1596,453
1597,866
1598,1129
1600,48
1601,333
1602,189
1603,357
1604,1241
1605,541
1607,262
1608,535
1609,253
1610,397
1611,182
1612,571
1613,67
1614,88
1615,410
1616,279
1618,548
1619,762
1621,321
1622,1321
1625,737
1626,116
1627,677
1628,254
1629,70
1630,977
1631,714
1634,427
1635,825
1636,406
1637,296
1638,341
1639,404
1640,518
1641,148
1642,1011
1643,250
1644,596
1645,1290
1646,488
1647,411
1649,556
1650,369
1651,209
1652,396
1653,402
1654,406
1655,405
1656,677
1657,314
1658,649
1659,315
1660,319
1661,443
1662,179
1663,332
1664,229
1665,817
1666,569
1667,604
1668,383
1671,368
1672,873
1673,189
1674,79
1675,361
1677,530
1678,1005
1679,1352
1680,48
1682,271
1683,154
1684,404
1685,268
1689,410
1690,457
1692,253
1693,577
1694,278
1695,184
1696,374
1697,596
1698,1095
1699,354
1700,500
1701,359
1703,536
1704,519
1706,168
1707,321
1708,297
1709,389
1713,519
1714,369
1715,859
1716,383
1717,400
1718,156
1719,608
1720,162
1721,210
1722,305
1723,639
1724,506
1725,289
1726,256
1727,76
1728,574
1729,39
1730,285
1731,280
1732,330
1733,904
1734,183
1735,1125
1736,135
1737,355
1738,125
1739,193
1740,174
1742,236
1743,223
1744,1011
1745,528
1748,227
1749,333
1750,63
1753,734
1755,245
1756,196
1757,273
1758,396
1759,389
1760,549
1762,726
1763,238
1764,534
1765,340
1766,59
1767,237
1769,285
1771,414
1772,119
1773,387
1774,467
1775,122
1776,715
1777,593
1778,505
1779,82
1780,119
1781,420
1782,588
1783,233
1784,382
1785,711
1786,592
1787,486
1789,262
1790,661
1791,404
1792,961
1794,82
1795,577
1797,176
1798,694
1800,449
1802,379
1803,421
1806,564
1807,645
1809,223
1810,417
1811,754
1812,268
1813,592
1814,396
1815,464
1816,492
1817,587
1818,324
1819,141
1820,163
1821,158
1822,523
1823,855
1824,399
1825,600
1826,466
1827,126
1828,397
1829,539
1830,668
1831,382
1833,388
1834,348
1835,235
1836,193
1837,435
1838,687
1840,1229
1841,454
1842,616
1844,35
1845,524
1846,464
1848,722
1849,225
1850,413
1851,1019
1852,1014
1853,547
1854,423
1855,236
1856,285
1858,83
1859,1008
1860,283
1861,354
1862,105
1863,823
1864,802
1865,497
1868,264
1869,368
1870,210
1871,512
1872,426
1874,58
1875,82
1876,404
1877,251
1878,399
1879,505
1880,140
1881,573
1883,177
1884,339
1885,228
1886,615
1887,108
1888,580
1889,30
1890,461
1891,289
1892,277
1893,404
1894,322
1896,449
1897,482
1898,362
1901,455
1902,602
1903,397
1904,441
1906,728
1907,380
1908,619
1909,241
1910,477
1911,165
1912,315
1913,666
1914,478
1916,278
1917,1043
1918,18
1919,81
1921,287
1922,1638
1923,742
1924,463
1926,106
1927,570
1928,267
1929,52
1930,518
1931,96
1932,300
1933,626
1934,286
1936,250
1937,565
1938,424
1940,1110
1941,444
1942,814
1943,197
1944,3
1945,196
1946,514
1947,472
1948,559
1949,500
1950,92
1951,326
1952,1051
1953,284
1954,682
1955,466
1957,225
1958,335
1959,481
1960,750
1961,170
1962,307
1966,342
1967,378
1968,244
1969,44
1970,920
1971,1051
1973,489
1974,298
1975,289
1976,190
1977,637
1978,309
1979,530
1980,491
1981,26
1982,342
1983,453
1984,248
1985,100
1987,252
1988,549
1990,651
1991,246
1992,106
1993,313
1994,476
1995,181
1996,358
1997,523
1998,411
1999,559
2000,309
2001,465
2002,496
2003,447
2005,1522
2006,700
2007,630
2008,380
2009,373
2010,578
2011,184
2012,335
2013,455
2014,352
2016,432
2017,389
2019,219
2020,749
2021,141
2022,616
2023,308
2024,855
2025,628
2027,356
2028,115
2029,157
2030,385
2032,458
2033,744
2034,455
2035,372
2036,561
2037,455
2038,940
2039,36
2040,516
2041,531
2042,609
2043,199
2044,58
2045,289
2046,545
2047,423
2048,591
2049,234
2050,341
2051,242
2052,423
2053,157
2054,1058
