POS,Frequency,relative_freq
NOUN,847804,19.496438662741028
VERB,582247,13.389584057240794
PUNCT,495999,11.406190676478156
PRON,400197,9.203089704121439
ADP,396460,9.117152162799783
DET,348407,8.012106224044253
ADJ,291487,6.703151219487516
AUX,251886,5.7924708411415695
ADV,172701,3.9715010232247527
CCONJ,143821,3.307365033562094
PART,142940,3.2871052064536173
SCONJ,114829,2.6406534472636243
PROPN,70264,1.6158189465947739
NUM,45662,1.0500615498606762
SPACE,33827,0.7778991732104835
SYM,5236,0.12040914272415798
X,3268,0.07515223040919562
INTJ,1472,0.03385069864208567
