ngram,Frequency,relative_freq
"('ADP', 'DET', 'NOUN')",98510,2.2758403524907296
"('VERB', 'DET', 'NOUN')",83242,1.923109355619057
"('DET', 'ADJ', 'NOUN')",65970,1.5240806827105209
"('DET', 'NOUN', 'ADP')",61434,1.4192871405432492
"('NOUN', 'ADP', 'DET')",61288,1.415914156161322
"('PRON', 'AUX', 'VERB')",59627,1.377540683158712
"('DET', 'NOUN', 'PUNCT')",58600,1.3538142793214571
"('ADJ', 'NOUN', 'PUNCT')",55543,1.2831895309957626
"('NOUN', 'PUNCT', 'VERB')",53793,1.2427599236781424
"('PUNCT', 'PRON', 'AUX')",51078,1.1800362757539486
"('NOUN', 'PUNCT', 'PRON')",41316,0.9545083748198862
"('NOUN', 'NOUN', 'PUNCT')",39439,0.9111447331426442
"('NOUN', 'ADP', 'NOUN')",37351,0.8629064359545349
"('ADP', 'PRON', 'NOUN')",36176,0.8357608424698469
"('VERB', 'ADP', 'DET')",34864,0.8054501882980082
"('VERB', 'PRON', 'NOUN')",34743,0.8026547697349041
"('ADJ', 'NOUN', 'ADP')",34499,0.7970177273431902
"('SCONJ', 'PRON', 'AUX')",33457,0.7729447840146415
"('SCONJ', 'PRON', 'VERB')",33411,0.771882062908007
"('ADP', 'NOUN', 'PUNCT')",31879,0.7364888295305244
"('VERB', 'PART', 'VERB')",30637,0.7077953596513905
"('ADP', 'DET', 'ADJ')",29939,0.6916697219898482
"('NOUN', 'PART', 'VERB')",29365,0.6784088107896687
"('NOUN', 'ADP', 'PRON')",28948,0.6687750129316987
"('PUNCT', 'SCONJ', 'PRON')",27999,0.646850614449172
"('VERB', 'DET', 'ADJ')",27878,0.644055195886068
"('PRON', 'NOUN', 'PUNCT')",27412,0.6332893690232045
"('DET', 'NOUN', 'NOUN')",26821,0.6196357130662253
"('PUNCT', 'VERB', 'DET')",26245,0.60632859660054
"('NOUN', 'AUX', 'VERB')",26191,0.605081054431882
"('NOUN', 'PUNCT', 'NOUN')",25945,0.5993978067746623
"('NOUN', 'CCONJ', 'NOUN')",25138,0.580753982143051
