id,token_cnt
1,557
2,229
3,58
4,884
5,192
6,654
7,1490
8,489
9,402
10,387
11,630
12,353
13,312
14,590
15,268
16,221
17,390
18,316
19,247
20,873
21,401
22,451
23,213
24,442
25,351
26,458
27,407
28,236
29,229
30,658
31,186
32,361
33,689
34,397
35,284
36,161
37,283
38,237
39,503
40,874
41,734
42,618
43,438
44,308
45,225
46,25
47,248
48,394
49,601
50,531
51,355
52,353
53,558
54,636
55,230
56,722
57,128
58,1101
59,706
60,628
61,796
62,596
63,276
64,366
65,163
66,381
67,903
68,247
69,97
70,156
71,614
72,180
73,633
74,305
75,299
76,492
77,330
78,175
79,762
80,207
81,1023
82,754
83,175
84,990
85,328
86,676
87,284
88,314
89,156
90,887
91,63
92,582
93,707
94,194
95,305
96,545
97,676
98,81
99,390
100,217
101,590
102,406
103,101
104,70
105,400
106,1411
107,423
108,459
109,356
110,734
111,564
112,242
113,336
114,358
115,751
116,53
117,676
118,312
119,575
120,118
121,547
122,300
123,174
124,330
125,368
126,436
127,612
128,613
129,535
130,591
131,773
132,409
133,46
134,234
135,220
136,79
137,161
138,907
139,411
140,863
141,84
142,140
143,458
144,1043
145,394
146,277
147,968
148,372
149,741
150,367
151,10
152,516
153,281
154,349
155,579
156,764
157,295
158,1472
159,31
160,97
161,64
162,620
163,942
164,336
165,266
166,337
167,544
168,334
169,29
170,352
171,254
172,238
173,626
174,486
175,239
176,520
177,500
178,318
179,1409
180,900
181,960
182,276
183,537
184,287
185,739
186,441
187,330
188,317
189,460
190,136
191,223
192,1169
193,728
194,759
195,622
196,478
197,498
198,224
199,406
200,181
201,103
202,710
203,558
204,301
205,769
206,268
207,1186
208,469
209,546
210,504
211,465
212,414
213,472
214,150
215,634
216,384
217,1088
218,637
219,231
220,1627
221,207
222,347
223,953
224,384
225,291
226,342
227,432
228,341
229,503
230,477
231,385
232,640
233,420
234,388
235,354
236,676
237,1168
238,430
239,861
240,512
241,209
242,25
243,369
244,696
245,276
246,783
247,218
248,704
249,561
250,784
251,288
252,331
253,241
254,296
255,512
256,617
257,163
258,7
259,146
260,389
261,707
262,150
263,878
264,129
265,537
266,832
267,618
268,237
269,273
270,385
271,390
272,367
273,280
274,490
275,381
276,1049
277,268
278,883
279,281
280,247
281,382
282,690
283,722
284,773
285,248
286,297
287,895
288,143
289,1071
290,663
291,337
292,495
293,398
294,405
295,583
296,98
297,332
298,216
299,545
300,465
301,924
302,757
303,781
304,703
305,666
306,554
307,706
308,429
309,310
310,101
311,311
312,83
313,10
314,768
315,575
316,475
317,266
318,551
319,876
320,292
321,242
322,110
323,940
324,61
325,411
326,235
327,1240
328,384
329,322
330,696
331,334
332,582
333,115
334,50
335,491
336,657
337,127
338,136
339,292
340,388
341,535
342,211
343,512
344,22
345,470
346,438
347,331
348,164
349,426
350,444
351,789
352,518
353,792
354,461
355,483
356,405
357,403
358,384
359,918
360,398
361,434
362,687
363,465
364,391
365,91
366,323
367,660
368,338
369,812
370,334
371,145
372,566
373,738
374,721
375,352
376,668
377,277
378,460
379,349
380,325
381,87
382,777
383,46
384,718
385,791
386,68
387,657
388,245
389,218
390,367
391,199
392,757
393,741
394,340
395,570
396,915
397,176
398,724
399,519
400,66
401,1305
402,25
403,133
404,254
405,455
406,560
407,74
408,286
409,683
410,308
411,97
412,626
413,366
414,541
415,632
416,1194
417,514
418,567
419,682
420,287
421,546
422,756
423,413
424,503
425,469
426,439
427,383
428,329
429,714
430,396
431,294
432,259
433,419
434,268
435,464
436,516
437,701
438,111
439,190
440,278
441,819
442,1301
443,452
444,542
445,437
446,456
447,210
448,379
449,1112
450,343
451,642
452,305
453,1060
454,333
455,304
456,737
457,379
458,41
459,587
460,574
461,608
462,854
463,436
464,202
465,270
466,413
467,499
468,74
469,392
470,54
471,360
472,148
473,256
474,180
475,148
476,282
477,402
478,311
479,719
480,924
481,936
482,168
483,874
484,366
485,950
486,294
487,198
488,868
489,885
490,264
491,98
492,156
493,478
494,640
495,210
496,397
497,480
498,433
499,63
500,324
501,774
502,2382
503,371
504,139
505,874
506,608
507,565
508,1408
509,584
510,31
511,818
512,675
513,313
514,51
515,178
516,290
517,48
518,690
519,230
520,282
521,276
522,545
523,319
524,754
525,376
526,365
527,630
528,550
529,70
530,270
531,583
532,1556
533,354
534,638
535,609
536,459
537,186
538,469
539,562
540,314
541,422
542,510
543,155
544,789
545,1260
546,541
547,311
548,78
549,125
550,277
551,279
552,60
553,333
554,197
555,973
556,258
557,436
558,475
559,384
560,381
561,683
562,383
563,297
564,716
565,292
566,658
567,688
568,251
569,188
570,124
571,480
572,283
573,325
574,512
575,709
576,88
577,417
578,441
579,314
580,440
581,468
582,742
583,199
584,145
585,610
586,681
587,160
588,517
589,42
590,273
591,737
592,138
593,398
594,252
595,920
596,406
597,397
598,409
599,971
600,112
601,383
602,541
603,754
604,692
605,335
606,150
607,459
608,208
609,512
610,331
611,395
612,212
613,428
614,1734
615,741
616,353
617,809
618,415
619,959
620,32
621,95
622,669
623,560
624,188
625,190
626,569
627,154
628,651
629,638
630,200
631,608
632,859
633,182
634,343
635,437
636,647
637,792
638,780
639,675
640,424
641,465
642,384
643,348
644,229
645,555
646,499
647,224
648,665
649,154
650,239
651,383
652,538
653,332
654,492
655,498
656,807
657,430
658,229
659,1115
660,55
661,190
662,178
663,538
664,290
665,294
666,922
667,353
668,218
669,244
670,669
671,1448
672,409
673,47
674,192
675,1010
676,396
677,310
678,297
679,386
680,164
681,46
682,443
683,464
684,546
685,384
686,129
687,75
688,172
689,219
690,232
691,1190
692,458
693,81
694,489
695,368
696,481
697,190
698,354
699,851
700,372
701,767
702,58
703,1152
704,837
705,50
706,948
707,326
708,306
709,998
710,328
711,672
712,301
713,239
714,933
715,209
716,127
717,591
718,301
719,342
720,679
721,146
722,116
723,47
724,861
725,525
726,410
727,458
728,696
729,552
730,774
731,619
732,191
733,300
734,1403
735,928
736,404
737,1171
738,1248
739,515
740,580
741,261
742,886
743,785
744,311
745,527
746,330
747,120
748,477
749,347
750,0
751,1148
752,150
753,328
754,1099
755,562
756,19
757,297
758,295
759,443
760,536
761,1256
762,75
763,417
764,424
765,101
766,575
767,708
768,299
769,261
770,314
771,1117
772,753
773,509
774,226
775,202
776,444
777,616
778,260
779,403
780,427
781,527
782,605
783,342
784,435
785,1092
786,355
787,1083
788,352
789,558
790,307
791,409
792,60
793,546
794,282
795,501
796,1587
797,197
798,296
799,192
800,367
801,709
802,573
803,604
804,774
805,409
806,458
807,1185
808,876
809,436
810,304
811,296
812,576
813,340
814,991
815,758
816,485
817,1084
818,401
819,211
820,293
821,470
822,593
823,124
824,647
825,381
826,676
827,1171
828,511
829,44
830,417
831,591
832,237
833,322
834,1019
835,824
836,207
837,414
838,471
839,162
840,396
841,912
842,200
843,246
844,111
845,532
846,772
847,973
848,94
849,220
850,224
851,45
852,369
853,429
854,505
855,475
856,503
857,437
858,384
859,640
860,514
861,484
862,460
863,37
864,288
865,388
866,561
867,234
868,136
869,692
870,887
871,511
872,273
873,265
874,1227
875,848
876,30
877,237
878,865
879,407
880,300
881,107
882,724
883,1097
884,512
885,635
886,260
887,652
888,925
889,403
890,840
891,531
892,1145
893,492
894,232
895,910
896,1554
897,129
898,229
899,562
900,123
901,1098
902,538
903,323
904,512
905,215
906,410
907,611
908,397
909,819
910,199
911,114
912,343
913,304
914,288
915,536
916,787
917,121
918,436
919,210
920,613
921,1695
922,110
923,222
924,360
925,489
926,388
927,340
928,105
929,219
930,787
931,422
932,227
933,401
934,413
935,272
936,582
937,430
938,451
939,228
940,514
941,90
942,215
943,309
944,687
945,660
946,312
947,418
948,421
949,607
950,365
951,211
952,883
953,6
954,91
955,687
956,534
957,745
958,633
959,619
960,434
961,146
962,602
963,412
964,103
965,362
966,684
967,484
968,336
969,722
970,73
971,421
972,665
973,348
974,826
975,878
976,340
977,47
978,345
979,913
980,1268
981,65
982,101
983,336
984,385
985,414
986,274
987,352
988,496
989,526
990,459
991,288
992,249
993,109
994,317
995,143
996,624
997,691
998,305
999,479
1000,1512
1001,183
1002,168
1003,697
1004,26
1005,239
1006,526
1007,465
1008,414
1009,333
1010,583
1011,281
1012,487
1013,407
1014,526
1015,899
1016,365
1017,414
1018,770
1019,849
1020,1228
1021,410
1022,299
1023,665
1024,320
1025,396
1026,668
1027,389
1028,540
1029,568
1030,539
1031,565
1032,348
1033,424
1034,297
1035,596
1036,326
1037,612
1038,128
1039,569
1040,400
1041,400
1042,336
1043,113
1044,397
1045,512
1046,367
1047,234
1048,295
1049,602
1050,513
1051,878
1052,1121
1053,295
1054,1141
1055,565
1056,286
1057,563
1058,227
1059,175
1060,578
1061,59
1062,90
1063,382
1064,269
1065,627
1066,249
1067,1339
1068,975
1069,120
1070,653
1071,169
1072,67
1073,986
1074,363
1075,844
1076,412
1077,280
1078,383
1079,399
1080,448
1081,154
1082,1073
1083,234
1084,630
1085,1149
1086,491
1087,577
1088,378
1089,220
1090,398
1091,411
1092,358
1093,668
1094,323
1095,765
1096,324
1097,432
1098,167
