ngram,Frequency,relative_freq
"('DET', 'NOUN')",530510,11.682216236499093
"('NOUN', 'ADP')",292190,6.434236418055588
"('NOUN', 'PUNCT')",230407,5.0737298003865074
"('ADP', 'DET')",225339,4.962128752552202
"('ADP', 'NOUN')",207725,4.57425565536328
"('VERB', 'DET')",171851,3.784284070910266
"('NOUN', 'ADJ')",144861,3.1899446310823456
"('VERB', 'ADP')",120128,2.6453059736068365
"('ADJ', 'PUNCT')",96393,2.122644002346529
"('PRON', 'VERB')",91543,2.0158434731444013
"('ADP', 'VERB')",88472,1.9482178184681676
"('ADJ', 'ADP')",81080,1.7854405995275233
"('PUNCT', 'VERB')",79714,1.7553602855295631
"('NOUN', 'CCONJ')",72355,1.5933097506020466
"('AUX', 'VERB')",71272,1.56946130253485
"('PUNCT', 'DET')",59593,1.3122812240705932
"('PUNCT', 'ADP')",46333,1.02028637515921
"('NOUN', 'PRON')",45107,0.9932889630351258
"('PUNCT', 'ADV')",44980,0.9904923306209669
"('VERB', 'NOUN')",43520,0.958342068221976
"('SCONJ', 'DET')",43488,0.9576374049365186
"('VERB', 'PUNCT')",40966,0.9021011297514123
"('PUNCT', 'SCONJ')",37462,0.8249404999938342
"('SCONJ', 'VERB')",37113,0.8172552660368152
"('ADV', 'ADP')",36045,0.7937371288846766
"('NOUN', 'ADV')",35584,0.783585573428557
"('ADV', 'ADJ')",35550,0.7828368686877585
"('AUX', 'ADJ')",34917,0.7688977480723055
"('NOUN', 'VERB')",34308,0.7554871249209455
"('ADJ', 'NOUN')",34155,0.7521179535873527
"('VERB', 'SCONJ')",33763,0.7434858283405004
"('NOUN', 'AUX')",32407,0.7136257216192458
"('CCONJ', 'VERB')",32219,0.7094858248171839
"('PUNCT', 'AUX')",32085,0.7065350473093314
"('ADJ', 'CCONJ')",31549,0.6947319372779209
"('ADP', 'PRON')",31038,0.6834793454382742
"('VERB', 'ADV')",30354,0.6684171677116236
"('ADV', 'VERB')",28874,0.6358264907592218
"('PRON', 'PRON')",28170,0.6203238984791605
"('PRON', 'AUX')",27871,0.6137397009056685
"('DET', 'ADJ')",27834,0.6129249339818584
"('PROPN', 'PUNCT')",27793,0.6120220841473663
"('CCONJ', 'DET')",27063,0.5959469529478708
"('CCONJ', 'NOUN')",26568,0.5850466927509526
"('PUNCT', 'SPACE')",25144,0.5536891765481012
"('VERB', 'VERB')",24664,0.5431192272662412
"('PUNCT', 'NOUN')",24637,0.5425246676191365
"('NOUN', 'SCONJ')",24461,0.5386490195491211
"('PUNCT', 'PRON')",24273,0.5345091227470593
"('ADV', 'AUX')",23196,0.5107927990458859
"('SCONJ', 'PRON')",22423,0.49377077655655716
"('NUM', 'NOUN')",22007,0.48461015384561174
"('PUNCT', 'PROPN')",21798,0.4800078217624686
"('PUNCT', 'PUNCT')",20761,0.4571723271681168
"('ADP', 'SCONJ')",20528,0.4520414976208806
"('ADV', 'PUNCT')",19940,0.439093309750602
"('PUNCT', 'CCONJ')",19147,0.4216308727078625
"('AUX', 'DET')",19127,0.42119045815445166
