POS,Frequency,relative_freq
NOUN,947399,20.816575759759676
ADP,632061,13.887861071512067
DET,606267,13.321106456880596
VERB,516585,11.350582794425002
PUNCT,462985,10.172865211101483
ADJ,320075,7.032797676908122
PRON,213189,4.684261825954435
ADV,201724,4.432348913775252
AUX,168905,3.711238589762295
SCONJ,162564,3.5719119629739655
CCONJ,151666,3.3324573692601644
PROPN,93630,2.057270472510841
NUM,42706,0.9383508789816083
SPACE,27395,0.6019323357303694
SYM,1557,0.034210938008110425
PART,1429,0.03139847810763635
INTJ,1029,0.022609540918654872
X,10,0.0002197234297245371
