ngram,Frequency,relative_freq
"('ADP', 'DET', 'NOUN')",197987,4.3694357761113
"('DET', 'NOUN', 'ADP')",171053,3.7750210761876595
"('VERB', 'DET', 'NOUN')",152794,3.3720576097175567
"('NOUN', 'ADP', 'NOUN')",121093,2.6724385259468835
"('DET', 'NOUN', 'PUNCT')",112319,2.4788024311547985
"('NOUN', 'ADP', 'DET')",94145,2.077714855732944
"('DET', 'NOUN', 'ADJ')",88608,1.9555171059194294
"('ADP', 'NOUN', 'PUNCT')",65066,1.435961493474106
"('ADP', 'NOUN', 'ADP')",54506,1.2029096173623648
"('PUNCT', 'DET', 'NOUN')",52096,1.1497225888179239
"('VERB', 'ADP', 'DET')",50591,1.1165082826107107
"('NOUN', 'ADJ', 'PUNCT')",50339,1.110946817385317
"('NOUN', 'ADJ', 'ADP')",43088,0.9509222763165446
"('NOUN', 'PUNCT', 'VERB')",40129,0.885619198531067
"('DET', 'NOUN', 'CCONJ')",38779,0.8558256348236001
"('SCONJ', 'DET', 'NOUN')",38619,0.8522945457916039
"('ADP', 'VERB', 'DET')",36291,0.800917200376061
"('ADJ', 'ADP', 'DET')",35191,0.7766409632810879
"('PUNCT', 'VERB', 'DET')",34808,0.7681884189107474
"('NOUN', 'ADP', 'VERB')",33073,0.7298981722200398
"('NOUN', 'PUNCT', 'DET')",32845,0.7248663703494455
"('DET', 'NOUN', 'PRON')",29675,0.6549066689030231
"('ADP', 'NOUN', 'ADJ')",29229,0.645063758226334
"('PRON', 'VERB', 'ADP')",25804,0.569476383635168
"('VERB', 'ADP', 'NOUN')",25662,0.5663425421192714
"('NOUN', 'PRON', 'VERB')",24419,0.5389103942019519
"('CCONJ', 'DET', 'NOUN')",23698,0.5229984242515194
"('VERB', 'ADP', 'VERB')",23107,0.5099554641395839
"('DET', 'NOUN', 'AUX')",22968,0.5068878305430373
"('NOUN', 'PUNCT', 'ADV')",22875,0.5048353850431896
"('NOUN', 'PUNCT', 'ADP')",22648,0.4998256524790452
"('DET', 'NOUN', 'ADV')",22180,0.4894972170604567
"('AUX', 'VERB', 'DET')",21768,0.48040466280306676
"('DET', 'NOUN', 'VERB')",21711,0.47914671233541817
"('DET', 'ADJ', 'NOUN')",20316,0.44836002983770235
"('NOUN', 'PUNCT', 'SCONJ')",19536,0.43114597080672146
