id,token_cnt
1,562
2,327
3,1007
4,187
5,711
6,1696
7,484
8,435
9,615
10,244
11,319
12,348
13,243
14,1077
15,520
16,210
17,465
18,373
19,568
20,407
21,296
22,180
23,779
24,409
25,541
26,591
27,1039
28,500
29,495
30,341
31,342
32,36
33,418
34,428
35,391
36,255
37,139
38,791
39,977
40,653
41,374
42,161
43,1012
44,377
45,192
46,696
47,228
48,231
49,311
50,908
51,207
52,1230
53,207
54,401
55,706
56,322
57,225
58,740
59,89
60,551
61,745
62,751
63,650
64,452
65,534
66,468
67,1575
68,400
69,476
70,277
71,692
72,46
73,654
74,666
75,170
76,861
77,146
78,395
79,580
80,751
81,682
82,920
83,200
84,241
85,1036
86,450
87,882
88,134
89,1250
90,851
91,356
92,407
93,364
94,40
95,133
96,925
97,385
98,333
99,449
100,626
101,37
102,770
103,641
104,1568
105,891
106,1156
107,957
108,338
109,302
110,793
111,374
112,91
113,835
114,501
115,577
116,534
117,522
118,116
119,592
120,1126
121,575
122,436
123,181
124,759
125,796
126,710
127,380
128,443
129,637
130,410
131,426
132,757
133,1109
134,397
135,470
136,614
137,214
138,472
139,771
140,307
141,761
142,866
143,252
144,323
145,718
146,569
147,189
148,173
149,342
150,959
151,692
152,261
153,376
154,438
155,472
156,361
157,1227
158,302
159,1002
160,330
161,266
162,775
163,815
164,928
165,145
166,348
167,496
168,343
169,247
170,492
171,460
172,725
173,785
174,512
175,363
176,374
177,930
178,590
179,336
180,122
181,422
182,1297
183,332
184,1024
185,152
186,120
187,699
188,460
189,312
190,9
191,609
192,428
193,187
194,951
195,900
196,562
197,1011
198,438
199,800
200,491
201,968
202,450
203,716
204,427
205,993
206,361
207,170
208,621
209,693
210,546
211,410
212,99
213,678
214,717
215,310
216,451
217,350
218,213
219,891
220,356
221,657
222,185
223,1531
224,95
225,340
226,772
227,413
228,1219
229,660
230,816
231,333
232,547
233,392
234,531
235,512
236,501
237,445
238,581
239,687
240,137
241,550
242,211
243,1097
244,762
245,310
246,1086
247,317
248,859
249,472
250,523
251,961
252,456
253,223
254,554
255,525
256,136
257,282
258,247
259,1001
260,996
261,1084
262,186
263,962
264,1078
265,983
266,447
267,975
268,112
269,725
270,373
271,503
272,66
273,379
274,961
275,2528
276,1053
277,1591
278,895
279,655
280,34
281,284
282,546
283,427
284,510
285,419
286,811
287,63
288,653
289,358
290,904
291,350
292,579
293,812
294,631
295,392
296,129
297,539
298,392
299,185
300,1014
301,441
302,577
303,478
304,780
305,312
306,713
307,692
308,339
309,130
310,440
311,749
312,873
313,84
314,450
315,475
316,609
317,567
318,938
319,188
320,149
321,793
322,604
323,493
324,274
325,1120
326,130
327,484
328,378
329,458
330,1098
331,131
332,564
333,488
334,185
335,382
336,416
337,221
338,504
339,880
340,539
341,1014
342,665
343,255
344,168
345,398
346,243
347,870
348,213
349,378
350,1111
351,1194
352,291
353,431
354,366
355,226
356,566
357,593
358,257
359,274
360,374
361,539
362,864
363,293
364,1219
365,236
366,301
367,831
368,1022
369,1022
370,395
371,378
372,421
373,169
374,50
375,371
376,734
377,558
378,437
379,271
380,241
381,1218
382,926
383,842
384,1364
385,818
386,60
387,407
388,1116
389,338
390,310
391,221
392,202
393,342
394,213
395,214
396,498
397,908
398,387
399,472
400,868
401,619
402,837
403,641
404,244
405,829
406,166
407,977
408,45
409,464
410,1273
411,1355
412,607
413,860
414,307
415,509
416,163
417,688
418,396
419,1294
420,169
421,385
422,1259
423,581
424,845
425,520
426,323
427,133
428,813
429,334
430,268
431,42
432,594
433,237
434,511
435,94
436,527
437,569
438,856
439,329
440,1015
441,361
442,570
443,347
444,425
445,534
446,311
447,1586
448,246
449,354
450,258
451,708
452,551
453,1241
454,888
455,579
456,413
457,722
458,434
459,243
460,129
461,743
462,867
463,1385
464,295
465,400
466,660
467,525
468,340
469,421
470,207
471,362
472,928
473,247
474,215
475,480
476,540
477,628
478,867
479,523
480,759
481,448
482,49
483,342
484,417
485,600
486,1470
487,1053
488,38
489,468
490,156
491,836
492,597
493,277
494,1273
495,536
496,1035
497,384
498,253
499,661
500,672
501,499
502,633
503,160
504,392
505,533
506,808
507,137
508,475
509,202
510,683
511,1677
512,113
513,268
514,366
515,443
516,800
517,344
518,140
519,267
520,234
521,928
522,480
523,277
524,673
525,476
526,267
527,648
528,301
529,343
530,731
531,144
532,520
533,648
534,529
535,163
536,612
537,419
538,677
539,668
540,939
541,1100
542,37
543,539
544,1264
545,155
546,408
547,368
548,494
549,589
550,508
551,65
552,173
553,1620
554,28
555,287
556,601
557,438
558,439
559,1117
560,348
561,428
562,927
563,631
564,1463
565,668
566,772
567,603
568,561
569,691
570,684
571,397
572,331
573,664
574,407
575,341
576,534
577,431
578,558
579,921
580,332
581,312
582,633
583,302
584,407
585,657
586,73
587,113
588,255
589,774
590,1011
591,361
592,941
593,1305
594,150
595,212
596,69
597,1150
598,407
599,947
600,516
601,528
602,699
603,500
604,463
605,671
606,678
607,379
608,192
609,349
610,333
611,1383
612,631
613,650
614,381
615,1091
616,480
617,1396
618,1198
619,475
620,460
621,959
622,647
623,194
624,391
625,659
626,1198
627,623
628,398
629,463
630,936
631,505
632,172
633,212
634,373
635,178
636,379
637,191
638,213
639,586
640,358
641,520
642,420
643,815
644,382
645,85
646,1258
647,134
648,132
649,686
650,843
651,652
652,779
653,1066
654,418
655,691
656,680
657,246
658,447
659,625
660,285
661,175
662,736
663,767
664,405
665,541
666,735
667,1283
668,603
669,727
670,639
671,479
672,1152
673,1037
674,1112
675,320
676,912
677,1055
678,431
679,470
680,65
681,95
682,1189
683,476
684,515
685,344
686,34
687,370
688,422
689,566
690,346
691,886
692,454
693,680
694,362
695,800
696,330
697,34
698,94
699,2052
700,871
701,664
702,283
703,66
704,322
705,627
706,603
707,535
708,20
709,438
710,537
711,513
712,100
713,369
714,1224
715,693
716,351
717,478
718,374
719,762
720,553
721,457
722,85
723,544
724,588
725,950
726,634
727,515
728,375
729,678
730,212
731,479
732,165
733,1037
734,707
735,125
736,107
737,557
738,789
739,498
740,473
741,1078
742,231
743,139
744,348
745,660
746,491
747,248
748,247
749,108
750,641
751,754
752,586
753,386
754,403
755,136
756,319
757,384
758,580
759,732
760,243
761,390
762,977
763,128
764,364
765,968
766,837
767,897
768,761
769,1738
770,279
771,243
772,1189
773,201
774,332
775,363
776,527
777,620
778,550
779,496
780,411
781,625
782,550
783,913
784,430
785,864
786,522
787,319
788,314
789,580
790,423
791,551
792,300
793,353
794,295
795,914
796,537
797,236
798,152
799,452
800,236
801,990
802,473
803,1338
804,659
805,475
806,660
807,377
808,809
809,1818
810,43
811,835
812,564
813,1227
814,533
815,980
816,827
817,506
818,835
819,590
820,103
821,71
822,178
823,435
824,621
825,715
826,242
827,488
828,728
829,40
830,304
831,656
832,413
833,178
834,408
835,587
836,344
837,130
838,667
839,421
840,312
841,209
842,529
843,835
844,292
