ngram,Frequency,relative_freq
"('DET', 'NOUN')",599818,11.271685316317445
"('NOUN', 'ADP')",323347,6.076285860003029
"('ADP', 'NOUN')",240071,4.5113763934620925
"('ADP', 'DET')",237858,4.469790046261758
"('PRON', 'VERB')",237145,4.456391462640502
"('NOUN', 'PUNCT')",230459,4.330749204447352
"('VERB', 'DET')",192253,3.612788074245818
"('VERB', 'ADP')",157406,2.9579487426190343
"('ADP', 'VERB')",111974,2.1041977593358814
"('NOUN', 'ADJ')",111882,2.1024689098363645
"('VERB', 'ADV')",91434,1.718213316726356
"('PUNCT', 'PRON')",90848,1.707201297088129
"('NOUN', 'CCONJ')",80344,1.5098117846650299
"('SCONJ', 'PRON')",79160,1.4875622432799431
"('PUNCT', 'DET')",75956,1.4273531802750299
"('PRON', 'PRON')",74739,1.4044835080912037
"('ADJ', 'PUNCT')",74004,1.3906715039374546
"('ADV', 'VERB')",64969,1.2208872079794673
"('ADJ', 'ADP')",59575,1.1195240101490982
"('NOUN', 'VERB')",59256,1.1135294124279473
"('VERB', 'VERB')",56470,1.061175339540404
"('ADJ', 'NOUN')",56413,1.0601042045243991
"('ADP', 'PRON')",55017,1.0338707925534694
"('ADV', 'ADP')",54104,1.0167138404550031
"('DET', 'ADJ')",53180,0.9993501780902904
"('SPACE', 'PUNCT')",52649,0.9893717097832962
"('PUNCT', 'ADP')",51786,0.9731543498041326
"('PUNCT', 'VERB')",49653,0.9330713499946819
"('VERB', 'PUNCT')",48023,0.9024406469054157
"('PRON', 'AUX')",47638,0.8952057875867855
"('NOUN', 'PRON')",46058,0.865514676616822
"('NOUN', 'ADV')",44030,0.8274048202579067
"('AUX', 'VERB')",38348,0.7206295718203545
"('PUNCT', 'ADV')",38118,0.7163074480715623
"('ADV', 'ADJ')",37007,0.6954297111806576
"('ADV', 'DET')",36297,0.6820875030865602
"('NOUN', 'NOUN')",35446,0.6660956452160292
"('SCONJ', 'DET')",34868,0.6552339603168906
"('ADV', 'ADV')",34844,0.6547829560996253
"('CCONJ', 'DET')",34218,0.6430192627659562
"('AUX', 'ADV')",33854,0.636179032137433
"('PUNCT', 'SCONJ')",32929,0.6187965779303342
"('CCONJ', 'ADP')",32571,0.6120690983561272
"('VERB', 'PRON')",31196,0.5862303150753045
"('PUNCT', 'SPACE')",29823,0.560429115479254
"('NOUN', 'SPACE')",29243,0.5495298468953433
"('PUNCT', 'NOUN')",28805,0.5412990199302522
"('NOUN', 'AUX')",28649,0.538367492518028
"('NOUN', 'DET')",28468,0.5349661690461525
"('ADV', 'PUNCT')",27347,0.5139005137313871
"('PRON', 'ADV')",25843,0.4856375827827637
"('PUNCT', 'CCONJ')",25135,0.4723329583734383
"('ADJ', 'CCONJ')",24830,0.4666014464456921
"('CCONJ', 'VERB')",24745,0.4650041398428777
"('NUM', 'NOUN')",22203,0.4172352764975313
"('VERB', 'SCONJ')",21785,0.4093802863801612
"('ADP', 'ADJ')",21243,0.39919510780692063
"('ADV', 'PRON')",20137,0.37841133012794614
"('AUX', 'ADJ')",19541,0.3672113920658587
"('ADP', 'ADV')",19038,0.35775909534567407
"('NOUN', 'SCONJ')",18911,0.35537253136264535
"('CCONJ', 'PRON')",17681,0.33225856522780034
"('ADJ', 'DET')",17358,0.3261888001371053
"('PUNCT', 'PROPN')",16857,0.3167740871016928
"('ADV', 'SCONJ')",16843,0.3165110013082881
"('VERB', 'NOUN')",16386,0.3079231293378619
"('VERB', 'CCONJ')",15741,0.2958023909988578
"('CCONJ', 'ADV')",15732,0.29563326441738336
"('ADV', 'NOUN')",15002,0.2819152194755648
"('PROPN', 'PUNCT')",14973,0.2813702560463692
"('ADP', 'ADP')",14803,0.27817564284074026
"('PRON', 'ADP')",14658,0.2754508256947626
"('PROPN', 'PROPN')",14609,0.274530025417846
"('AUX', 'DET')",14528,0.2730078861845757
"('ADP', 'NUM')",14106,0.26507772869766144
"('VERB', 'ADJ')",13165,0.24739460501238572
"('VERB', 'AUX')",12960,0.24354227732324485
"('ADV', 'AUX')",12046,0.22636653338239257
