POS,Frequency,relative_freq
NOUN,1050621,19.706072897882716
ADP,743459,13.944759576085941
DET,698124,13.094429328712708
VERB,671166,12.588789032943708
PUNCT,477380,8.954023458498595
PRON,443625,8.320894584558296
ADV,330866,6.2059196564992165
ADJ,298543,5.599650227011073
CCONJ,160753,3.0151789623026195
SCONJ,128259,2.405702155020259
AUX,123244,2.3116378296518514
SPACE,89672,1.6819414126492227
PROPN,75053,1.4077387461366104
NUM,36687,0.6881232113241819
X,3310,0.06208433040267784
SYM,434,0.008140362354913047
INTJ,262,0.004914227965408337
