ngram,Frequency,relative_freq
"('ADP', 'DET', 'NOUN')",212316,3.997318251983776
"('DET', 'NOUN', 'ADP')",193068,3.6349320836583385
"('VERB', 'DET', 'NOUN')",168471,3.171839160637723
"('NOUN', 'ADP', 'NOUN')",130387,2.454823635154245
"('DET', 'NOUN', 'PUNCT')",120635,2.271220667910392
"('NOUN', 'ADP', 'DET')",96109,1.8094644769113433
"('DET', 'NOUN', 'ADJ')",75124,1.4143754420864618
"('ADP', 'NOUN', 'ADP')",67694,1.2744892601112952
"('PUNCT', 'DET', 'NOUN')",66674,1.2552855043085132
"('ADP', 'NOUN', 'PUNCT')",64756,1.2191749125146545
"('VERB', 'ADP', 'DET')",61924,1.1658562493445777
"('ADP', 'VERB', 'DET')",59332,1.117056116951626
"('PRON', 'VERB', 'ADP')",56890,1.0710800662943774
"('PUNCT', 'PRON', 'VERB')",56343,1.0607815815648463
"('DET', 'NOUN', 'CCONJ')",46121,0.8683298248824569
"('NOUN', 'PUNCT', 'PRON')",46053,0.8670495744956048
"('PRON', 'PRON', 'VERB')",46007,0.8661835227633227
"('PRON', 'VERB', 'DET')",40206,0.7569668684378931
"('NOUN', 'PUNCT', 'DET')",39974,0.7525989553533388
"('PRON', 'VERB', 'ADV')",39898,0.7511680872739157
"('SCONJ', 'PRON', 'VERB')",39464,0.7429970774519479
"('DET', 'NOUN', 'VERB')",39085,0.7358615642664044
"('NOUN', 'ADP', 'VERB')",38600,0.7267303666542972
"('DET', 'ADJ', 'NOUN')",38456,0.7240192481880221
"('NOUN', 'ADJ', 'PUNCT')",38294,0.7209692399134626
"('PRON', 'VERB', 'VERB')",37428,0.7046648746926694
"('VERB', 'ADP', 'NOUN')",35593,0.6701169414592332
"('SCONJ', 'DET', 'NOUN')",30857,0.5809512674572966
"('ADV', 'DET', 'NOUN')",30256,0.5696361133029123
"('CCONJ', 'DET', 'NOUN')",29342,0.552428041926694
"('DET', 'NOUN', 'PRON')",29271,0.5510913099051278
"('VERB', 'ADP', 'VERB')",28473,0.5360671950711866
"('ADP', 'PRON', 'VERB')",27739,0.5222480217778122
"('DET', 'NOUN', 'ADV')",27688,0.5212878339876731
"('NOUN', 'ADJ', 'ADP')",27540,0.5185014066751126
"('NOUN', 'PUNCT', 'ADP')",26742,0.5034772918411714
"('ADP', 'NOUN', 'ADJ')",25268,0.4757259819849943
"('NOUN', 'PUNCT', 'VERB')",24985,0.47039788111030095
"('VERB', 'VERB', 'DET')",24915,0.46907997630030607
"('NOUN', 'SPACE', 'PUNCT')",24728,0.4655592877364627
"('PUNCT', 'SCONJ', 'PRON')",23796,0.44801232655196
"('NOUN', 'CCONJ', 'DET')",23103,0.4349650689330111
"('ADV', 'VERB', 'ADV')",22213,0.41820885063450525
"('PUNCT', 'VERB', 'DET')",21864,0.4116381537961024
"('VERB', 'ADV', 'ADP')",21660,0.40779740263554604
"('ADJ', 'ADP', 'DET')",21359,0.40213041195256827
"('ADP', 'NOUN', 'CCONJ')",21018,0.39571033280673623
"('ADP', 'VERB', 'ADP')",20704,0.3897985883733308
"('NOUN', 'CCONJ', 'ADP')",20642,0.38863130125590684
"('DET', 'NOUN', 'AUX')",20229,0.38085566287693723
"('NOUN', 'ADP', 'PRON')",19349,0.364287716694145
"('NOUN', 'PUNCT', 'ADV')",19263,0.36266857649900847
"('NOUN', 'PRON', 'PRON')",18212,0.34288117713751454
"('ADJ', 'NOUN', 'ADP')",18097,0.3407160478068087
"('NOUN', 'DET', 'NOUN')",17847,0.33600924491397
"('NOUN', 'PRON', 'VERB')",17275,0.325240079895155
"('ADV', 'ADP', 'NOUN')",17098,0.32190766344702526
"('VERB', 'ADV', 'DET')",16963,0.3193659898848923
"('PRON', 'VERB', 'PUNCT')",16827,0.31680548911118805
"('NOUN', 'VERB', 'ADP')",16733,0.3150357312234807
"('PRON', 'AUX', 'VERB')",16645,0.3133789366052015
"('VERB', 'PRON', 'VERB')",16520,0.3110255351587821
"('ADJ', 'NOUN', 'PUNCT')",16285,0.3066011404395137
"('NOUN', 'PUNCT', 'SCONJ')",15964,0.30055760552510885
"('ADV', 'ADP', 'DET')",15893,0.29922087350354265
"('ADP', 'DET', 'ADJ')",15786,0.2972063618654076
"('PUNCT', 'ADP', 'DET')",15781,0.2971122258075509
"('AUX', 'VERB', 'ADP')",15674,0.2950977141694159
"('VERB', 'DET', 'ADJ')",15650,0.2946458610917034
"('PUNCT', 'ADP', 'NOUN')",15647,0.2945893794569893
"('ADV', 'VERB', 'DET')",15024,0.2828600266480353
"('VERB', 'ADV', 'VERB')",14999,0.2823893463587514
"('ADJ', 'PUNCT', 'PRON')",14762,0.2779272972163403
"('ADJ', 'DET', 'NOUN')",14598,0.2748396345186381
"('SCONJ', 'PRON', 'AUX')",14282,0.2688902356620899
"('DET', 'NOUN', 'NOUN')",13564,0.25537229775385717
"('NOUN', 'ADJ', 'CCONJ')",13491,0.2539979113091483
"('VERB', 'VERB', 'ADP')",13478,0.2537531575587207
"('ADJ', 'ADP', 'NOUN')",13399,0.25226580784458363
"('ADV', 'PRON', 'VERB')",13333,0.25102321188087423
"('PRON', 'ADV', 'VERB')",13293,0.25027012341802
"('NOUN', 'PUNCT', 'NOUN')",13123,0.2470694974508897
"('PUNCT', 'PRON', 'AUX')",12828,0.24151547003734
"('VERB', 'ADP', 'PRON')",12822,0.24140250676791186
"('DET', 'NOUN', 'SPACE')",12810,0.2411765802290556
"('PRON', 'VERB', 'PRON')",12804,0.24106361695962747
"('NOUN', 'PUNCT', 'CCONJ')",12731,0.23968923051491858
"('ADV', 'ADJ', 'PUNCT')",12587,0.23697811204864347
"('ADJ', 'ADP', 'VERB')",12393,0.23332563300380066
"('CCONJ', 'ADP', 'NOUN')",12388,0.2332314969459439
"('ADV', 'VERB', 'ADP')",12303,0.23163118396237872
"('NOUN', 'SCONJ', 'PRON')",12070,0.22724444366625302
"('VERB', 'SCONJ', 'PRON')",11986,0.22566295789425922
"('NOUN', 'CCONJ', 'VERB')",11812,0.22238702308084346
"('ADJ', 'PUNCT', 'DET')",11767,0.2215397985601325
"('SCONJ', 'PRON', 'PRON')",11678,0.2198641767302819
"('PRON', 'PRON', 'PRON')",11513,0.21675768682100838
"('PUNCT', 'PRON', 'PRON')",11439,0.21536447316472812
"('ADP', 'NOUN', 'VERB')",11353,0.2137453329695916
"('AUX', 'ADV', 'ADJ')",11267,0.2121261927744551
"('PRON', 'AUX', 'ADV')",11240,0.2116178580620285
"('VERB', 'ADV', 'ADV')",10879,0.2048212346847694
"('CCONJ', 'PRON', 'VERB')",10685,0.20116875563992656
"('ADP', 'NOUN', 'NOUN')",10567,0.19894714467450667
"('CCONJ', 'VERB', 'DET')",10225,0.19250823831710334
"('AUX', 'DET', 'NOUN')",10115,0.1904372450442543
"('SCONJ', 'PRON', 'ADV')",10067,0.18953353888882926
"('ADV', 'ADJ', 'ADP')",10028,0.18879927763754645
"('DET', 'NOUN', 'SCONJ')",10005,0.18836625177140529
"('SPACE', 'PUNCT', 'SPACE')",9828,0.18503383532327547
"('VERB', 'PUNCT', 'PRON')",9631,0.18132487464371855
"('NOUN', 'PUNCT', 'SPACE')",9501,0.17887733713944243
"('ADP', 'NUM', 'NOUN')",9440,0.1777288772335898
